"year","council","income","activity","val"
2014,"Ashburton District Council","Rates","Roading",7093
2014,"Ashburton District Council","Regulatory income and petrol tax","Roading",321
2014,"Ashburton District Council","Current grants, subsidies, and donations income","Roading",1648
2014,"Ashburton District Council","Interest income","Roading",0
2014,"Ashburton District Council","Dividend income","Roading",0
2014,"Ashburton District Council","Sales and other operating income","Roading",227
2014,"Ashburton District Council","Employee costs","Roading",1439
2014,"Ashburton District Council","Depreciation and amortisation","Roading",6174
2014,"Ashburton District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Ashburton District Council","Interest expenditure","Roading",0
2014,"Ashburton District Council","Purchases and other operating expenditure","Roading",2570
2013,"Ashburton District Council","Rates","Roading",6696
2013,"Ashburton District Council","Regulatory income and petrol tax","Roading",314
2013,"Ashburton District Council","Current grants, subsidies, and donations income","Roading",4482
2013,"Ashburton District Council","Interest income","Roading",0
2013,"Ashburton District Council","Dividend income","Roading",0
2013,"Ashburton District Council","Sales and other operating income","Roading",122
2013,"Ashburton District Council","Employee costs","Roading",0
2013,"Ashburton District Council","Depreciation and amortisation","Roading",6274
2013,"Ashburton District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Ashburton District Council","Interest expenditure","Roading",0
2013,"Ashburton District Council","Purchases and other operating expenditure","Roading",3757
2012,"Ashburton District Council","Rates","Roading",6734
2012,"Ashburton District Council","Regulatory income and petrol tax","Roading",297
2012,"Ashburton District Council","Current grants, subsidies, and donations income","Roading",5199
2012,"Ashburton District Council","Interest income","Roading",0
2012,"Ashburton District Council","Dividend income","Roading",0
2012,"Ashburton District Council","Sales and other operating income","Roading",168
2012,"Ashburton District Council","Employee costs","Roading",1
2012,"Ashburton District Council","Depreciation and amortisation","Roading",6128
2012,"Ashburton District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Ashburton District Council","Interest expenditure","Roading",0
2012,"Ashburton District Council","Purchases and other operating expenditure","Roading",3539
2011,"Ashburton District Council","Rates","Roading",6294
2011,"Ashburton District Council","Regulatory income and petrol tax","Roading",288
2011,"Ashburton District Council","Current grants, subsidies, and donations income","Roading",4723
2011,"Ashburton District Council","Interest income","Roading",0
2011,"Ashburton District Council","Dividend income","Roading",0
2011,"Ashburton District Council","Sales and other operating income","Roading",263
2011,"Ashburton District Council","Employee costs","Roading",0
2011,"Ashburton District Council","Depreciation and amortisation","Roading",5936
2011,"Ashburton District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Ashburton District Council","Interest expenditure","Roading",0
2011,"Ashburton District Council","Purchases and other operating expenditure","Roading",5169
2010,"Ashburton District Council","Rates","Roading",6403
2010,"Ashburton District Council","Regulatory income and petrol tax","Roading",275
2010,"Ashburton District Council","Current grants, subsidies, and donations income","Roading",4693
2010,"Ashburton District Council","Interest income","Roading",0
2010,"Ashburton District Council","Dividend income","Roading",0
2010,"Ashburton District Council","Sales and other operating income","Roading",110
2010,"Ashburton District Council","Employee costs","Roading",1
2010,"Ashburton District Council","Depreciation and amortisation","Roading",6470
2010,"Ashburton District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Ashburton District Council","Interest expenditure","Roading",0
2010,"Ashburton District Council","Purchases and other operating expenditure","Roading",4807
2009,"Ashburton District Council","Rates","Roading",5775
2009,"Ashburton District Council","Regulatory income and petrol tax","Roading",260
2009,"Ashburton District Council","Current grants, subsidies, and donations income","Roading",4634
2009,"Ashburton District Council","Interest income","Roading",0
2009,"Ashburton District Council","Dividend income","Roading",0
2009,"Ashburton District Council","Sales and other operating income","Roading",409
2009,"Ashburton District Council","Employee costs","Roading",397
2009,"Ashburton District Council","Depreciation and amortisation","Roading",6468
2009,"Ashburton District Council","Current grants, subsidies, and donations expenditure","Roading",2
2009,"Ashburton District Council","Interest expenditure","Roading",0
2009,"Ashburton District Council","Purchases and other operating expenditure","Roading",4007
2014,"Ashburton District Council","Rates","Transportation",0
2014,"Ashburton District Council","Regulatory income and petrol tax","Transportation",62
2014,"Ashburton District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Ashburton District Council","Interest income","Transportation",0
2014,"Ashburton District Council","Dividend income","Transportation",0
2014,"Ashburton District Council","Sales and other operating income","Transportation",41
2014,"Ashburton District Council","Employee costs","Transportation",47
2014,"Ashburton District Council","Depreciation and amortisation","Transportation",0
2014,"Ashburton District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Ashburton District Council","Interest expenditure","Transportation",0
2014,"Ashburton District Council","Purchases and other operating expenditure","Transportation",110
2013,"Ashburton District Council","Rates","Transportation",0
2013,"Ashburton District Council","Regulatory income and petrol tax","Transportation",517
2013,"Ashburton District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Ashburton District Council","Interest income","Transportation",0
2013,"Ashburton District Council","Dividend income","Transportation",0
2013,"Ashburton District Council","Sales and other operating income","Transportation",5
2013,"Ashburton District Council","Employee costs","Transportation",47
2013,"Ashburton District Council","Depreciation and amortisation","Transportation",7
2013,"Ashburton District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Ashburton District Council","Interest expenditure","Transportation",0
2013,"Ashburton District Council","Purchases and other operating expenditure","Transportation",206
2012,"Ashburton District Council","Rates","Transportation",0
2012,"Ashburton District Council","Regulatory income and petrol tax","Transportation",366
2012,"Ashburton District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Ashburton District Council","Interest income","Transportation",0
2012,"Ashburton District Council","Dividend income","Transportation",0
2012,"Ashburton District Council","Sales and other operating income","Transportation",133
2012,"Ashburton District Council","Employee costs","Transportation",47
2012,"Ashburton District Council","Depreciation and amortisation","Transportation",9
2012,"Ashburton District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Ashburton District Council","Interest expenditure","Transportation",0
2012,"Ashburton District Council","Purchases and other operating expenditure","Transportation",145
2011,"Ashburton District Council","Rates","Transportation",0
2011,"Ashburton District Council","Regulatory income and petrol tax","Transportation",296
2011,"Ashburton District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Ashburton District Council","Interest income","Transportation",0
2011,"Ashburton District Council","Dividend income","Transportation",0
2011,"Ashburton District Council","Sales and other operating income","Transportation",135
2011,"Ashburton District Council","Employee costs","Transportation",48
2011,"Ashburton District Council","Depreciation and amortisation","Transportation",13
2011,"Ashburton District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Ashburton District Council","Interest expenditure","Transportation",0
2011,"Ashburton District Council","Purchases and other operating expenditure","Transportation",39
2010,"Ashburton District Council","Rates","Transportation",0
2010,"Ashburton District Council","Regulatory income and petrol tax","Transportation",146
2010,"Ashburton District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Ashburton District Council","Interest income","Transportation",0
2010,"Ashburton District Council","Dividend income","Transportation",0
2010,"Ashburton District Council","Sales and other operating income","Transportation",130
2010,"Ashburton District Council","Employee costs","Transportation",54
2010,"Ashburton District Council","Depreciation and amortisation","Transportation",8
2010,"Ashburton District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Ashburton District Council","Interest expenditure","Transportation",0
2010,"Ashburton District Council","Purchases and other operating expenditure","Transportation",133
2009,"Ashburton District Council","Rates","Transportation",0
2009,"Ashburton District Council","Regulatory income and petrol tax","Transportation",127
2009,"Ashburton District Council","Current grants, subsidies, and donations income","Transportation",0
2009,"Ashburton District Council","Interest income","Transportation",0
2009,"Ashburton District Council","Dividend income","Transportation",0
2009,"Ashburton District Council","Sales and other operating income","Transportation",145
2009,"Ashburton District Council","Employee costs","Transportation",48
2009,"Ashburton District Council","Depreciation and amortisation","Transportation",0
2009,"Ashburton District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2009,"Ashburton District Council","Interest expenditure","Transportation",0
2009,"Ashburton District Council","Purchases and other operating expenditure","Transportation",152
2014,"Ashburton District Council","Rates","Water supply",3899
2014,"Ashburton District Council","Regulatory income and petrol tax","Water supply",369
2014,"Ashburton District Council","Current grants, subsidies, and donations income","Water supply",0
2014,"Ashburton District Council","Interest income","Water supply",0
2014,"Ashburton District Council","Dividend income","Water supply",0
2014,"Ashburton District Council","Sales and other operating income","Water supply",0
2014,"Ashburton District Council","Employee costs","Water supply",0
2014,"Ashburton District Council","Depreciation and amortisation","Water supply",1363
2014,"Ashburton District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"Ashburton District Council","Interest expenditure","Water supply",86
2014,"Ashburton District Council","Purchases and other operating expenditure","Water supply",2042
2013,"Ashburton District Council","Rates","Water supply",5067
2013,"Ashburton District Council","Regulatory income and petrol tax","Water supply",43
2013,"Ashburton District Council","Current grants, subsidies, and donations income","Water supply",0
2013,"Ashburton District Council","Interest income","Water supply",0
2013,"Ashburton District Council","Dividend income","Water supply",0
2013,"Ashburton District Council","Sales and other operating income","Water supply",219
2013,"Ashburton District Council","Employee costs","Water supply",0
2013,"Ashburton District Council","Depreciation and amortisation","Water supply",1314
