"year","council","income","activity","val"
2011,"Auckland City Council","Rates","Roading",0
2011,"Auckland City Council","Regulatory income and petrol tax","Roading",1066
2011,"Auckland City Council","Current grants, subsidies, and donations income","Roading",841
2011,"Auckland City Council","Interest income","Roading",0
2011,"Auckland City Council","Dividend income","Roading",0
2011,"Auckland City Council","Sales and other operating income","Roading",0
2011,"Auckland City Council","Employee costs","Roading",1988
2011,"Auckland City Council","Depreciation and amortisation","Roading",21915
2011,"Auckland City Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Auckland City Council","Interest expenditure","Roading",0
2011,"Auckland City Council","Purchases and other operating expenditure","Roading",6584
2010,"Auckland City Council","Rates","Roading",0
2010,"Auckland City Council","Regulatory income and petrol tax","Roading",3245
2010,"Auckland City Council","Current grants, subsidies, and donations income","Roading",4858
2010,"Auckland City Council","Interest income","Roading",0
2010,"Auckland City Council","Dividend income","Roading",0
2010,"Auckland City Council","Sales and other operating income","Roading",0
2010,"Auckland City Council","Employee costs","Roading",3780
2010,"Auckland City Council","Depreciation and amortisation","Roading",65438
2010,"Auckland City Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Auckland City Council","Interest expenditure","Roading",0
2010,"Auckland City Council","Purchases and other operating expenditure","Roading",18484
2009,"Auckland City Council","Rates","Roading",0
2009,"Auckland City Council","Regulatory income and petrol tax","Roading",3274
2009,"Auckland City Council","Current grants, subsidies, and donations income","Roading",5728
2009,"Auckland City Council","Interest income","Roading",0
2009,"Auckland City Council","Dividend income","Roading",0
2009,"Auckland City Council","Sales and other operating income","Roading",0
2009,"Auckland City Council","Employee costs","Roading",4102
2009,"Auckland City Council","Depreciation and amortisation","Roading",67247
2009,"Auckland City Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Auckland City Council","Interest expenditure","Roading",0
2009,"Auckland City Council","Purchases and other operating expenditure","Roading",33550
2011,"Auckland City Council","Rates","Transportation",0
2011,"Auckland City Council","Regulatory income and petrol tax","Transportation",5501
2011,"Auckland City Council","Current grants, subsidies, and donations income","Transportation",739
2011,"Auckland City Council","Interest income","Transportation",0
2011,"Auckland City Council","Dividend income","Transportation",0
2011,"Auckland City Council","Sales and other operating income","Transportation",19163
2011,"Auckland City Council","Employee costs","Transportation",5178
2011,"Auckland City Council","Depreciation and amortisation","Transportation",6464
2011,"Auckland City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Auckland City Council","Interest expenditure","Transportation",0
