"year","council","income","activity","val"
2014,"Auckland Council","Rates","Roading",0
2014,"Auckland Council","Regulatory income and petrol tax","Roading",0
2014,"Auckland Council","Current grants, subsidies, and donations income","Roading",0
2014,"Auckland Council","Interest income","Roading",0
2014,"Auckland Council","Dividend income","Roading",0
2014,"Auckland Council","Sales and other operating income","Roading",0
2014,"Auckland Council","Employee costs","Roading",0
2014,"Auckland Council","Depreciation and amortisation","Roading",0
2014,"Auckland Council","Current grants, subsidies, and donations expenditure","Roading",87438
2014,"Auckland Council","Interest expenditure","Roading",61156
2014,"Auckland Council","Purchases and other operating expenditure","Roading",0
2013,"Auckland Council","Rates","Roading",0
2013,"Auckland Council","Regulatory income and petrol tax","Roading",0
2013,"Auckland Council","Current grants, subsidies, and donations income","Roading",0
2013,"Auckland Council","Interest income","Roading",0
2013,"Auckland Council","Dividend income","Roading",0
2013,"Auckland Council","Sales and other operating income","Roading",0
2013,"Auckland Council","Employee costs","Roading",0
2013,"Auckland Council","Depreciation and amortisation","Roading",0
2013,"Auckland Council","Current grants, subsidies, and donations expenditure","Roading",104130
2013,"Auckland Council","Interest expenditure","Roading",57763
2013,"Auckland Council","Purchases and other operating expenditure","Roading",0
2012,"Auckland Council","Rates","Roading",0
2012,"Auckland Council","Regulatory income and petrol tax","Roading",3
2012,"Auckland Council","Current grants, subsidies, and donations income","Roading",46005
2012,"Auckland Council","Interest income","Roading",0
2012,"Auckland Council","Dividend income","Roading",0
2012,"Auckland Council","Sales and other operating income","Roading",7300
2012,"Auckland Council","Employee costs","Roading",0
2012,"Auckland Council","Depreciation and amortisation","Roading",0
2012,"Auckland Council","Current grants, subsidies, and donations expenditure","Roading",84477
2012,"Auckland Council","Interest expenditure","Roading",0
2012,"Auckland Council","Purchases and other operating expenditure","Roading",5067
2011,"Auckland Council","Rates","Roading",0
2011,"Auckland Council","Regulatory income and petrol tax","Roading",33
2011,"Auckland Council","Current grants, subsidies, and donations income","Roading",0
2011,"Auckland Council","Interest income","Roading",0
2011,"Auckland Council","Dividend income","Roading",0
2011,"Auckland Council","Sales and other operating income","Roading",2223
2011,"Auckland Council","Employee costs","Roading",0
2011,"Auckland Council","Depreciation and amortisation","Roading",0
2011,"Auckland Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Auckland Council","Interest expenditure","Roading",0
2011,"Auckland Council","Purchases and other operating expenditure","Roading",-768
2014,"Auckland Council","Rates","Transportation",10
2014,"Auckland Council","Regulatory income and petrol tax","Transportation",0
2014,"Auckland Council","Current grants, subsidies, and donations income","Transportation",2473
2014,"Auckland Council","Interest income","Transportation",0
2014,"Auckland Council","Dividend income","Transportation",0
2014,"Auckland Council","Sales and other operating income","Transportation",63
2014,"Auckland Council","Employee costs","Transportation",850
2014,"Auckland Council","Depreciation and amortisation","Transportation",0
2014,"Auckland Council","Current grants, subsidies, and donations expenditure","Transportation",142701
2014,"Auckland Council","Interest expenditure","Transportation",77096
2014,"Auckland Council","Purchases and other operating expenditure","Transportation",601
2013,"Auckland Council","Rates","Transportation",93
2013,"Auckland Council","Regulatory income and petrol tax","Transportation",0
2013,"Auckland Council","Current grants, subsidies, and donations income","Transportation",29109
2013,"Auckland Council","Interest income","Transportation",0
2013,"Auckland Council","Dividend income","Transportation",0
2013,"Auckland Council","Sales and other operating income","Transportation",5
2013,"Auckland Council","Employee costs","Transportation",837
2013,"Auckland Council","Depreciation and amortisation","Transportation",0
2013,"Auckland Council","Current grants, subsidies, and donations expenditure","Transportation",147689
2013,"Auckland Council","Interest expenditure","Transportation",71304
2013,"Auckland Council","Purchases and other operating expenditure","Transportation",1329
2012,"Auckland Council","Rates","Transportation",0
2012,"Auckland Council","Regulatory income and petrol tax","Transportation",0
2012,"Auckland Council","Current grants, subsidies, and donations income","Transportation",495
2012,"Auckland Council","Interest income","Transportation",0
2012,"Auckland Council","Dividend income","Transportation",0
2012,"Auckland Council","Sales and other operating income","Transportation",31170
2012,"Auckland Council","Employee costs","Transportation",691
2012,"Auckland Council","Depreciation and amortisation","Transportation",0
2012,"Auckland Council","Current grants, subsidies, and donations expenditure","Transportation",178358
2012,"Auckland Council","Interest expenditure","Transportation",54258
2012,"Auckland Council","Purchases and other operating expenditure","Transportation",6855
2011,"Auckland Council","Rates","Transportation",0
2011,"Auckland Council","Regulatory income and petrol tax","Transportation",0
2011,"Auckland Council","Current grants, subsidies, and donations income","Transportation",21899
2011,"Auckland Council","Interest income","Transportation",0
2011,"Auckland Council","Dividend income","Transportation",0
2011,"Auckland Council","Sales and other operating income","Transportation",73
2011,"Auckland Council","Employee costs","Transportation",307
2011,"Auckland Council","Depreciation and amortisation","Transportation",0
2011,"Auckland Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Auckland Council","Interest expenditure","Transportation",0
2011,"Auckland Council","Purchases and other operating expenditure","Transportation",348
2014,"Auckland Council","Rates","Water supply",0
2014,"Auckland Council","Regulatory income and petrol tax","Water supply",0
2014,"Auckland Council","Current grants, subsidies, and donations income","Water supply",0
2014,"Auckland Council","Interest income","Water supply",0
2014,"Auckland Council","Dividend income","Water supply",0
2014,"Auckland Council","Sales and other operating income","Water supply",0
2014,"Auckland Council","Employee costs","Water supply",0
2014,"Auckland Council","Depreciation and amortisation","Water supply",0
2014,"Auckland Council","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"Auckland Council","Interest expenditure","Water supply",17659
2014,"Auckland Council","Purchases and other operating expenditure","Water supply",0
2013,"Auckland Council","Rates","Water supply",0
2013,"Auckland Council","Regulatory income and petrol tax","Water supply",0
2013,"Auckland Council","Current grants, subsidies, and donations income","Water supply",0
2013,"Auckland Council","Interest income","Water supply",0
2013,"Auckland Council","Dividend income","Water supply",0
2013,"Auckland Council","Sales and other operating income","Water supply",0
2013,"Auckland Council","Employee costs","Water supply",0
2013,"Auckland Council","Depreciation and amortisation","Water supply",0
2013,"Auckland Council","Current grants, subsidies, and donations expenditure","Water supply",0
2013,"Auckland Council","Interest expenditure","Water supply",2164
2013,"Auckland Council","Purchases and other operating expenditure","Water supply",0
2012,"Auckland Council","Rates","Water supply",11360
2012,"Auckland Council","Regulatory income and petrol tax","Water supply",0
2012,"Auckland Council","Current grants, subsidies, and donations income","Water supply",0
2012,"Auckland Council","Interest income","Water supply",0
2012,"Auckland Council","Dividend income","Water supply",0
2012,"Auckland Council","Sales and other operating income","Water supply",0
2012,"Auckland Council","Employee costs","Water supply",0
2012,"Auckland Council","Depreciation and amortisation","Water supply",0
2012,"Auckland Council","Current grants, subsidies, and donations expenditure","Water supply",0
2012,"Auckland Council","Interest expenditure","Water supply",33392
2012,"Auckland Council","Purchases and other operating expenditure","Water supply",0
2011,"Auckland Council","Rates","Water supply",0
2011,"Auckland Council","Regulatory income and petrol tax","Water supply",0
2011,"Auckland Council","Current grants, subsidies, and donations income","Water supply",0
2011,"Auckland Council","Interest income","Water supply",0
2011,"Auckland Council","Dividend income","Water supply",0
2011,"Auckland Council","Sales and other operating income","Water supply",0
2011,"Auckland Council","Employee costs","Water supply",0
2011,"Auckland Council","Depreciation and amortisation","Water supply",0
2011,"Auckland Council","Current grants, subsidies, and donations expenditure","Water supply",39900
2011,"Auckland Council","Interest expenditure","Water supply",8795
2011,"Auckland Council","Purchases and other operating expenditure","Water supply",0
2014,"Auckland Council","Rates","Wastewater",0
2014,"Auckland Council","Regulatory income and petrol tax","Wastewater",0
2014,"Auckland Council","Current grants, subsidies, and donations income","Wastewater",0
2014,"Auckland Council","Interest income","Wastewater",0
2014,"Auckland Council","Dividend income","Wastewater",0
2014,"Auckland Council","Sales and other operating income","Wastewater",69
2014,"Auckland Council","Employee costs","Wastewater",8123
2014,"Auckland Council","Depreciation and amortisation","Wastewater",45771
2014,"Auckland Council","Current grants, subsidies, and donations expenditure","Wastewater",33
2014,"Auckland Council","Interest expenditure","Wastewater",23429
2014,"Auckland Council","Purchases and other operating expenditure","Wastewater",39029
2013,"Auckland Council","Rates","Wastewater",0
2013,"Auckland Council","Regulatory income and petrol tax","Wastewater",0
2013,"Auckland Council","Current grants, subsidies, and donations income","Wastewater",0
2013,"Auckland Council","Interest income","Wastewater",0
2013,"Auckland Council","Dividend income","Wastewater",0
2013,"Auckland Council","Sales and other operating income","Wastewater",0
2013,"Auckland Council","Employee costs","Wastewater",6258
2013,"Auckland Council","Depreciation and amortisation","Wastewater",50869
2013,"Auckland Council","Current grants, subsidies, and donations expenditure","Wastewater",58
2013,"Auckland Council","Interest expenditure","Wastewater",31353
2013,"Auckland Council","Purchases and other operating expenditure","Wastewater",29094
2012,"Auckland Council","Rates","Wastewater",87980
2012,"Auckland Council","Regulatory income and petrol tax","Wastewater",0
2012,"Auckland Council","Current grants, subsidies, and donations income","Wastewater",0
2012,"Auckland Council","Interest income","Wastewater",0
2012,"Auckland Council","Dividend income","Wastewater",0
2012,"Auckland Council","Sales and other operating income","Wastewater",0
2012,"Auckland Council","Employee costs","Wastewater",161
2012,"Auckland Council","Depreciation and amortisation","Wastewater",43247
2012,"Auckland Council","Current grants, subsidies, and donations expenditure","Wastewater",87366
2012,"Auckland Council","Interest expenditure","Wastewater",12308
2012,"Auckland Council","Purchases and other operating expenditure","Wastewater",26945
2011,"Auckland Council","Rates","Wastewater",0
2011,"Auckland Council","Regulatory income and petrol tax","Wastewater",0
2011,"Auckland Council","Current grants, subsidies, and donations income","Wastewater",0
2011,"Auckland Council","Interest income","Wastewater",0
2011,"Auckland Council","Dividend income","Wastewater",0
2011,"Auckland Council","Sales and other operating income","Wastewater",1026
2011,"Auckland Council","Employee costs","Wastewater",27
2011,"Auckland Council","Depreciation and amortisation","Wastewater",35312
2011,"Auckland Council","Current grants, subsidies, and donations expenditure","Wastewater",60709
2011,"Auckland Council","Interest expenditure","Wastewater",32939
2011,"Auckland Council","Purchases and other operating expenditure","Wastewater",12568
2014,"Auckland Council","Rates","Solid waste/refuse",0
2014,"Auckland Council","Regulatory income and petrol tax","Solid waste/refuse",-1
2014,"Auckland Council","Current grants, subsidies, and donations income","Solid waste/refuse",5004
2014,"Auckland Council","Interest income","Solid waste/refuse",0
2014,"Auckland Council","Dividend income","Solid waste/refuse",0
2014,"Auckland Council","Sales and other operating income","Solid waste/refuse",21278
2014,"Auckland Council","Employee costs","Solid waste/refuse",5808
2014,"Auckland Council","Depreciation and amortisation","Solid waste/refuse",1489
2014,"Auckland Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",485
2014,"Auckland Council","Interest expenditure","Solid waste/refuse",96
2014,"Auckland Council","Purchases and other operating expenditure","Solid waste/refuse",67305
2013,"Auckland Council","Rates","Solid waste/refuse",0
2013,"Auckland Council","Regulatory income and petrol tax","Solid waste/refuse",6
2013,"Auckland Council","Current grants, subsidies, and donations income","Solid waste/refuse",4379
2013,"Auckland Council","Interest income","Solid waste/refuse",0
2013,"Auckland Council","Dividend income","Solid waste/refuse",0
2013,"Auckland Council","Sales and other operating income","Solid waste/refuse",19772
2013,"Auckland Council","Employee costs","Solid waste/refuse",5239
2013,"Auckland Council","Depreciation and amortisation","Solid waste/refuse",1517
2013,"Auckland Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",21
2013,"Auckland Council","Interest expenditure","Solid waste/refuse",93
2013,"Auckland Council","Purchases and other operating expenditure","Solid waste/refuse",61412
2012,"Auckland Council","Rates","Solid waste/refuse",75060
2012,"Auckland Council","Regulatory income and petrol tax","Solid waste/refuse",53
2012,"Auckland Council","Current grants, subsidies, and donations income","Solid waste/refuse",4490
2012,"Auckland Council","Interest income","Solid waste/refuse",0
2012,"Auckland Council","Dividend income","Solid waste/refuse",0
2012,"Auckland Council","Sales and other operating income","Solid waste/refuse",19570
2012,"Auckland Council","Employee costs","Solid waste/refuse",5667
2012,"Auckland Council","Depreciation and amortisation","Solid waste/refuse",1413
2012,"Auckland Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",21
2012,"Auckland Council","Interest expenditure","Solid waste/refuse",-120
2012,"Auckland Council","Purchases and other operating expenditure","Solid waste/refuse",65873
2011,"Auckland Council","Rates","Solid waste/refuse",1218
2011,"Auckland Council","Regulatory income and petrol tax","Solid waste/refuse",5
2011,"Auckland Council","Current grants, subsidies, and donations income","Solid waste/refuse",-1127
2011,"Auckland Council","Interest income","Solid waste/refuse",0
2011,"Auckland Council","Dividend income","Solid waste/refuse",0
2011,"Auckland Council","Sales and other operating income","Solid waste/refuse",3673
2011,"Auckland Council","Employee costs","Solid waste/refuse",3802
2011,"Auckland Council","Depreciation and amortisation","Solid waste/refuse",938
2011,"Auckland Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",139
2011,"Auckland Council","Interest expenditure","Solid waste/refuse",391
2011,"Auckland Council","Purchases and other operating expenditure","Solid waste/refuse",48069
2014,"Auckland Council","Rates","Environmental protection",0
2014,"Auckland Council","Regulatory income and petrol tax","Environmental protection",-2
2014,"Auckland Council","Current grants, subsidies, and donations income","Environmental protection",0
2014,"Auckland Council","Interest income","Environmental protection",0
2014,"Auckland Council","Dividend income","Environmental protection",0
2014,"Auckland Council","Sales and other operating income","Environmental protection",599
2014,"Auckland Council","Employee costs","Environmental protection",6725
2014,"Auckland Council","Depreciation and amortisation","Environmental protection",332
2014,"Auckland Council","Current grants, subsidies, and donations expenditure","Environmental protection",-20
2014,"Auckland Council","Interest expenditure","Environmental protection",4538
2014,"Auckland Council","Purchases and other operating expenditure","Environmental protection",6828
2013,"Auckland Council","Rates","Environmental protection",0
2013,"Auckland Council","Regulatory income and petrol tax","Environmental protection",181
2013,"Auckland Council","Current grants, subsidies, and donations income","Environmental protection",96
2013,"Auckland Council","Interest income","Environmental protection",0
2013,"Auckland Council","Dividend income","Environmental protection",0
2013,"Auckland Council","Sales and other operating income","Environmental protection",880
