"year","council","income","activity","val"
2011,"Auckland Regional Council","Rates","Roading",0
2011,"Auckland Regional Council","Regulatory income and petrol tax","Roading",0
2011,"Auckland Regional Council","Current grants, subsidies, and donations income","Roading",0
2011,"Auckland Regional Council","Interest income","Roading",0
2011,"Auckland Regional Council","Dividend income","Roading",0
2011,"Auckland Regional Council","Sales and other operating income","Roading",0
2011,"Auckland Regional Council","Employee costs","Roading",0
2011,"Auckland Regional Council","Depreciation and amortisation","Roading",377
2011,"Auckland Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Auckland Regional Council","Interest expenditure","Roading",0
2011,"Auckland Regional Council","Purchases and other operating expenditure","Roading",0
2010,"Auckland Regional Council","Rates","Roading",0
2010,"Auckland Regional Council","Regulatory income and petrol tax","Roading",0
2010,"Auckland Regional Council","Current grants, subsidies, and donations income","Roading",0
2010,"Auckland Regional Council","Interest income","Roading",0
2010,"Auckland Regional Council","Dividend income","Roading",0
2010,"Auckland Regional Council","Sales and other operating income","Roading",0
2010,"Auckland Regional Council","Employee costs","Roading",0
2010,"Auckland Regional Council","Depreciation and amortisation","Roading",1129
2010,"Auckland Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Auckland Regional Council","Interest expenditure","Roading",0
2010,"Auckland Regional Council","Purchases and other operating expenditure","Roading",0
2009,"Auckland Regional Council","Rates","Roading",0
2009,"Auckland Regional Council","Regulatory income and petrol tax","Roading",0
2009,"Auckland Regional Council","Current grants, subsidies, and donations income","Roading",0
2009,"Auckland Regional Council","Interest income","Roading",0
2009,"Auckland Regional Council","Dividend income","Roading",0
2009,"Auckland Regional Council","Sales and other operating income","Roading",0
2009,"Auckland Regional Council","Employee costs","Roading",0
2009,"Auckland Regional Council","Depreciation and amortisation","Roading",0
2009,"Auckland Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Auckland Regional Council","Interest expenditure","Roading",0
2009,"Auckland Regional Council","Purchases and other operating expenditure","Roading",0
2011,"Auckland Regional Council","Rates","Transportation",20214
2011,"Auckland Regional Council","Regulatory income and petrol tax","Transportation",0
2011,"Auckland Regional Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Auckland Regional Council","Interest income","Transportation",0
2011,"Auckland Regional Council","Dividend income","Transportation",0
2011,"Auckland Regional Council","Sales and other operating income","Transportation",0
2011,"Auckland Regional Council","Employee costs","Transportation",856
2011,"Auckland Regional Council","Depreciation and amortisation","Transportation",0
2011,"Auckland Regional Council","Current grants, subsidies, and donations expenditure","Transportation",732
2011,"Auckland Regional Council","Interest expenditure","Transportation",0
2011,"Auckland Regional Council","Purchases and other operating expenditure","Transportation",553
2010,"Auckland Regional Council","Rates","Transportation",60642
2010,"Auckland Regional Council","Regulatory income and petrol tax","Transportation",0
2010,"Auckland Regional Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Auckland Regional Council","Interest income","Transportation",0
2010,"Auckland Regional Council","Dividend income","Transportation",0
