"year","council","income","activity","val"
2011,"Auckland Regional Transport Authority","Rates","Roading",0
2011,"Auckland Regional Transport Authority","Regulatory income and petrol tax","Roading",0
2011,"Auckland Regional Transport Authority","Current grants, subsidies, and donations income","Roading",0
2011,"Auckland Regional Transport Authority","Interest income","Roading",0
2011,"Auckland Regional Transport Authority","Dividend income","Roading",0
2011,"Auckland Regional Transport Authority","Sales and other operating income","Roading",0
2011,"Auckland Regional Transport Authority","Employee costs","Roading",0
2011,"Auckland Regional Transport Authority","Depreciation and amortisation","Roading",0
2011,"Auckland Regional Transport Authority","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Auckland Regional Transport Authority","Interest expenditure","Roading",0
2011,"Auckland Regional Transport Authority","Purchases and other operating expenditure","Roading",0
2010,"Auckland Regional Transport Authority","Rates","Roading",0
2010,"Auckland Regional Transport Authority","Regulatory income and petrol tax","Roading",0
2010,"Auckland Regional Transport Authority","Current grants, subsidies, and donations income","Roading",0
2010,"Auckland Regional Transport Authority","Interest income","Roading",0
2010,"Auckland Regional Transport Authority","Dividend income","Roading",0
2010,"Auckland Regional Transport Authority","Sales and other operating income","Roading",0
2010,"Auckland Regional Transport Authority","Employee costs","Roading",0
2010,"Auckland Regional Transport Authority","Depreciation and amortisation","Roading",0
2010,"Auckland Regional Transport Authority","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Auckland Regional Transport Authority","Interest expenditure","Roading",0
2010,"Auckland Regional Transport Authority","Purchases and other operating expenditure","Roading",0
2009,"Auckland Regional Transport Authority","Rates","Roading",0
2009,"Auckland Regional Transport Authority","Regulatory income and petrol tax","Roading",0
2009,"Auckland Regional Transport Authority","Current grants, subsidies, and donations income","Roading",0
2009,"Auckland Regional Transport Authority","Interest income","Roading",0
2009,"Auckland Regional Transport Authority","Dividend income","Roading",0
2009,"Auckland Regional Transport Authority","Sales and other operating income","Roading",0
2009,"Auckland Regional Transport Authority","Employee costs","Roading",0
2009,"Auckland Regional Transport Authority","Depreciation and amortisation","Roading",0
2009,"Auckland Regional Transport Authority","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Auckland Regional Transport Authority","Interest expenditure","Roading",0
2009,"Auckland Regional Transport Authority","Purchases and other operating expenditure","Roading",0
2011,"Auckland Regional Transport Authority","Rates","Transportation",0
2011,"Auckland Regional Transport Authority","Regulatory income and petrol tax","Transportation",0
2011,"Auckland Regional Transport Authority","Current grants, subsidies, and donations income","Transportation",70286
2011,"Auckland Regional Transport Authority","Interest income","Transportation",0
2011,"Auckland Regional Transport Authority","Dividend income","Transportation",0
2011,"Auckland Regional Transport Authority","Sales and other operating income","Transportation",12937
2011,"Auckland Regional Transport Authority","Employee costs","Transportation",4478
2011,"Auckland Regional Transport Authority","Depreciation and amortisation","Transportation",8977
2011,"Auckland Regional Transport Authority","Current grants, subsidies, and donations expenditure","Transportation",63925
2011,"Auckland Regional Transport Authority","Interest expenditure","Transportation",0
2011,"Auckland Regional Transport Authority","Purchases and other operating expenditure","Transportation",24719
2010,"Auckland Regional Transport Authority","Rates","Transportation",0
2010,"Auckland Regional Transport Authority","Regulatory income and petrol tax","Transportation",0
2010,"Auckland Regional Transport Authority","Current grants, subsidies, and donations income","Transportation",203967
2010,"Auckland Regional Transport Authority","Interest income","Transportation",0
2010,"Auckland Regional Transport Authority","Dividend income","Transportation",0
2010,"Auckland Regional Transport Authority","Sales and other operating income","Transportation",32253
2010,"Auckland Regional Transport Authority","Employee costs","Transportation",11625
2010,"Auckland Regional Transport Authority","Depreciation and amortisation","Transportation",21156
2010,"Auckland Regional Transport Authority","Current grants, subsidies, and donations expenditure","Transportation",194770
2010,"Auckland Regional Transport Authority","Interest expenditure","Transportation",0
2010,"Auckland Regional Transport Authority","Purchases and other operating expenditure","Transportation",35643
2009,"Auckland Regional Transport Authority","Rates","Transportation",0
2009,"Auckland Regional Transport Authority","Regulatory income and petrol tax","Transportation",0
2009,"Auckland Regional Transport Authority","Current grants, subsidies, and donations income","Transportation",204696
2009,"Auckland Regional Transport Authority","Interest income","Transportation",0
2009,"Auckland Regional Transport Authority","Dividend income","Transportation",0
2009,"Auckland Regional Transport Authority","Sales and other operating income","Transportation",25003
2009,"Auckland Regional Transport Authority","Employee costs","Transportation",11897
2009,"Auckland Regional Transport Authority","Depreciation and amortisation","Transportation",18221
2009,"Auckland Regional Transport Authority","Current grants, subsidies, and donations expenditure","Transportation",176755
2009,"Auckland Regional Transport Authority","Interest expenditure","Transportation",0
2009,"Auckland Regional Transport Authority","Purchases and other operating expenditure","Transportation",40138
2011,"Auckland Regional Transport Authority","Rates","Water supply",0
2011,"Auckland Regional Transport Authority","Regulatory income and petrol tax","Water supply",0
2011,"Auckland Regional Transport Authority","Current grants, subsidies, and donations income","Water supply",0
2011,"Auckland Regional Transport Authority","Interest income","Water supply",0
2011,"Auckland Regional Transport Authority","Dividend income","Water supply",0
2011,"Auckland Regional Transport Authority","Sales and other operating income","Water supply",0
2011,"Auckland Regional Transport Authority","Employee costs","Water supply",0
2011,"Auckland Regional Transport Authority","Depreciation and amortisation","Water supply",0
2011,"Auckland Regional Transport Authority","Current grants, subsidies, and donations expenditure","Water supply",0
2011,"Auckland Regional Transport Authority","Interest expenditure","Water supply",0
2011,"Auckland Regional Transport Authority","Purchases and other operating expenditure","Water supply",0
2010,"Auckland Regional Transport Authority","Rates","Water supply",0
2010,"Auckland Regional Transport Authority","Regulatory income and petrol tax","Water supply",0
2010,"Auckland Regional Transport Authority","Current grants, subsidies, and donations income","Water supply",0
2010,"Auckland Regional Transport Authority","Interest income","Water supply",0
2010,"Auckland Regional Transport Authority","Dividend income","Water supply",0
2010,"Auckland Regional Transport Authority","Sales and other operating income","Water supply",0
2010,"Auckland Regional Transport Authority","Employee costs","Water supply",0
2010,"Auckland Regional Transport Authority","Depreciation and amortisation","Water supply",0
2010,"Auckland Regional Transport Authority","Current grants, subsidies, and donations expenditure","Water supply",0
2010,"Auckland Regional Transport Authority","Interest expenditure","Water supply",0
2010,"Auckland Regional Transport Authority","Purchases and other operating expenditure","Water supply",0
2009,"Auckland Regional Transport Authority","Rates","Water supply",0
2009,"Auckland Regional Transport Authority","Regulatory income and petrol tax","Water supply",0
2009,"Auckland Regional Transport Authority","Current grants, subsidies, and donations income","Water supply",0
2009,"Auckland Regional Transport Authority","Interest income","Water supply",0
2009,"Auckland Regional Transport Authority","Dividend income","Water supply",0
2009,"Auckland Regional Transport Authority","Sales and other operating income","Water supply",0
2009,"Auckland Regional Transport Authority","Employee costs","Water supply",0
2009,"Auckland Regional Transport Authority","Depreciation and amortisation","Water supply",0
