"year","council","income","activity","val"
2014,"Auckland Tourism, Events and Economic Development","Rates","Roading",0
2014,"Auckland Tourism, Events and Economic Development","Regulatory income and petrol tax","Roading",0
2014,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations income","Roading",0
2014,"Auckland Tourism, Events and Economic Development","Interest income","Roading",0
2014,"Auckland Tourism, Events and Economic Development","Dividend income","Roading",0
2014,"Auckland Tourism, Events and Economic Development","Sales and other operating income","Roading",0
2014,"Auckland Tourism, Events and Economic Development","Employee costs","Roading",0
2014,"Auckland Tourism, Events and Economic Development","Depreciation and amortisation","Roading",0
2014,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Auckland Tourism, Events and Economic Development","Interest expenditure","Roading",0
2014,"Auckland Tourism, Events and Economic Development","Purchases and other operating expenditure","Roading",0
2013,"Auckland Tourism, Events and Economic Development","Rates","Roading",0
2013,"Auckland Tourism, Events and Economic Development","Regulatory income and petrol tax","Roading",0
2013,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations income","Roading",0
2013,"Auckland Tourism, Events and Economic Development","Interest income","Roading",0
2013,"Auckland Tourism, Events and Economic Development","Dividend income","Roading",0
2013,"Auckland Tourism, Events and Economic Development","Sales and other operating income","Roading",0
2013,"Auckland Tourism, Events and Economic Development","Employee costs","Roading",0
2013,"Auckland Tourism, Events and Economic Development","Depreciation and amortisation","Roading",0
2013,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Auckland Tourism, Events and Economic Development","Interest expenditure","Roading",0
2013,"Auckland Tourism, Events and Economic Development","Purchases and other operating expenditure","Roading",0
2012,"Auckland Tourism, Events and Economic Development","Rates","Roading",0
2012,"Auckland Tourism, Events and Economic Development","Regulatory income and petrol tax","Roading",0
2012,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations income","Roading",0
2012,"Auckland Tourism, Events and Economic Development","Interest income","Roading",0
2012,"Auckland Tourism, Events and Economic Development","Dividend income","Roading",0
2012,"Auckland Tourism, Events and Economic Development","Sales and other operating income","Roading",0
2012,"Auckland Tourism, Events and Economic Development","Employee costs","Roading",0
2012,"Auckland Tourism, Events and Economic Development","Depreciation and amortisation","Roading",0
2012,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Auckland Tourism, Events and Economic Development","Interest expenditure","Roading",0
2012,"Auckland Tourism, Events and Economic Development","Purchases and other operating expenditure","Roading",0
2011,"Auckland Tourism, Events and Economic Development","Rates","Roading",0
2011,"Auckland Tourism, Events and Economic Development","Regulatory income and petrol tax","Roading",0
2011,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations income","Roading",0
2011,"Auckland Tourism, Events and Economic Development","Interest income","Roading",0
2011,"Auckland Tourism, Events and Economic Development","Dividend income","Roading",0
2011,"Auckland Tourism, Events and Economic Development","Sales and other operating income","Roading",0
2011,"Auckland Tourism, Events and Economic Development","Employee costs","Roading",0
2011,"Auckland Tourism, Events and Economic Development","Depreciation and amortisation","Roading",0
2011,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Auckland Tourism, Events and Economic Development","Interest expenditure","Roading",0
2011,"Auckland Tourism, Events and Economic Development","Purchases and other operating expenditure","Roading",0
2014,"Auckland Tourism, Events and Economic Development","Rates","Transportation",0
2014,"Auckland Tourism, Events and Economic Development","Regulatory income and petrol tax","Transportation",0
2014,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations income","Transportation",0
2014,"Auckland Tourism, Events and Economic Development","Interest income","Transportation",0
2014,"Auckland Tourism, Events and Economic Development","Dividend income","Transportation",0
2014,"Auckland Tourism, Events and Economic Development","Sales and other operating income","Transportation",0
2014,"Auckland Tourism, Events and Economic Development","Employee costs","Transportation",0
2014,"Auckland Tourism, Events and Economic Development","Depreciation and amortisation","Transportation",0
2014,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Auckland Tourism, Events and Economic Development","Interest expenditure","Transportation",0
2014,"Auckland Tourism, Events and Economic Development","Purchases and other operating expenditure","Transportation",0
2013,"Auckland Tourism, Events and Economic Development","Rates","Transportation",0
2013,"Auckland Tourism, Events and Economic Development","Regulatory income and petrol tax","Transportation",0
2013,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations income","Transportation",0
2013,"Auckland Tourism, Events and Economic Development","Interest income","Transportation",0
2013,"Auckland Tourism, Events and Economic Development","Dividend income","Transportation",0
2013,"Auckland Tourism, Events and Economic Development","Sales and other operating income","Transportation",0
2013,"Auckland Tourism, Events and Economic Development","Employee costs","Transportation",0
2013,"Auckland Tourism, Events and Economic Development","Depreciation and amortisation","Transportation",0
2013,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Auckland Tourism, Events and Economic Development","Interest expenditure","Transportation",0
2013,"Auckland Tourism, Events and Economic Development","Purchases and other operating expenditure","Transportation",0
2012,"Auckland Tourism, Events and Economic Development","Rates","Transportation",0
2012,"Auckland Tourism, Events and Economic Development","Regulatory income and petrol tax","Transportation",0
2012,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations income","Transportation",0
2012,"Auckland Tourism, Events and Economic Development","Interest income","Transportation",0
2012,"Auckland Tourism, Events and Economic Development","Dividend income","Transportation",0
2012,"Auckland Tourism, Events and Economic Development","Sales and other operating income","Transportation",0
2012,"Auckland Tourism, Events and Economic Development","Employee costs","Transportation",0
2012,"Auckland Tourism, Events and Economic Development","Depreciation and amortisation","Transportation",0
2012,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Auckland Tourism, Events and Economic Development","Interest expenditure","Transportation",0
2012,"Auckland Tourism, Events and Economic Development","Purchases and other operating expenditure","Transportation",0
2011,"Auckland Tourism, Events and Economic Development","Rates","Transportation",0
2011,"Auckland Tourism, Events and Economic Development","Regulatory income and petrol tax","Transportation",0
2011,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations income","Transportation",0
2011,"Auckland Tourism, Events and Economic Development","Interest income","Transportation",0
2011,"Auckland Tourism, Events and Economic Development","Dividend income","Transportation",0
2011,"Auckland Tourism, Events and Economic Development","Sales and other operating income","Transportation",0
2011,"Auckland Tourism, Events and Economic Development","Employee costs","Transportation",0
2011,"Auckland Tourism, Events and Economic Development","Depreciation and amortisation","Transportation",0
2011,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Auckland Tourism, Events and Economic Development","Interest expenditure","Transportation",0
2011,"Auckland Tourism, Events and Economic Development","Purchases and other operating expenditure","Transportation",0
2014,"Auckland Tourism, Events and Economic Development","Rates","Water supply",0
2014,"Auckland Tourism, Events and Economic Development","Regulatory income and petrol tax","Water supply",0
2014,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations income","Water supply",0
2014,"Auckland Tourism, Events and Economic Development","Interest income","Water supply",0
2014,"Auckland Tourism, Events and Economic Development","Dividend income","Water supply",0
2014,"Auckland Tourism, Events and Economic Development","Sales and other operating income","Water supply",0
2014,"Auckland Tourism, Events and Economic Development","Employee costs","Water supply",0
2014,"Auckland Tourism, Events and Economic Development","Depreciation and amortisation","Water supply",0
2014,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"Auckland Tourism, Events and Economic Development","Interest expenditure","Water supply",0
2014,"Auckland Tourism, Events and Economic Development","Purchases and other operating expenditure","Water supply",0
2013,"Auckland Tourism, Events and Economic Development","Rates","Water supply",0
2013,"Auckland Tourism, Events and Economic Development","Regulatory income and petrol tax","Water supply",0
2013,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations income","Water supply",0
2013,"Auckland Tourism, Events and Economic Development","Interest income","Water supply",0
2013,"Auckland Tourism, Events and Economic Development","Dividend income","Water supply",0
2013,"Auckland Tourism, Events and Economic Development","Sales and other operating income","Water supply",0
2013,"Auckland Tourism, Events and Economic Development","Employee costs","Water supply",0
2013,"Auckland Tourism, Events and Economic Development","Depreciation and amortisation","Water supply",0
2013,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations expenditure","Water supply",0
2013,"Auckland Tourism, Events and Economic Development","Interest expenditure","Water supply",0
2013,"Auckland Tourism, Events and Economic Development","Purchases and other operating expenditure","Water supply",0
2012,"Auckland Tourism, Events and Economic Development","Rates","Water supply",0
2012,"Auckland Tourism, Events and Economic Development","Regulatory income and petrol tax","Water supply",0
2012,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations income","Water supply",0
2012,"Auckland Tourism, Events and Economic Development","Interest income","Water supply",0
2012,"Auckland Tourism, Events and Economic Development","Dividend income","Water supply",0
2012,"Auckland Tourism, Events and Economic Development","Sales and other operating income","Water supply",0
2012,"Auckland Tourism, Events and Economic Development","Employee costs","Water supply",0
2012,"Auckland Tourism, Events and Economic Development","Depreciation and amortisation","Water supply",0
2012,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations expenditure","Water supply",0
2012,"Auckland Tourism, Events and Economic Development","Interest expenditure","Water supply",0
2012,"Auckland Tourism, Events and Economic Development","Purchases and other operating expenditure","Water supply",0
2011,"Auckland Tourism, Events and Economic Development","Rates","Water supply",0
2011,"Auckland Tourism, Events and Economic Development","Regulatory income and petrol tax","Water supply",0
2011,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations income","Water supply",0
2011,"Auckland Tourism, Events and Economic Development","Interest income","Water supply",0
2011,"Auckland Tourism, Events and Economic Development","Dividend income","Water supply",0
2011,"Auckland Tourism, Events and Economic Development","Sales and other operating income","Water supply",0
2011,"Auckland Tourism, Events and Economic Development","Employee costs","Water supply",0
2011,"Auckland Tourism, Events and Economic Development","Depreciation and amortisation","Water supply",0
2011,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations expenditure","Water supply",0
2011,"Auckland Tourism, Events and Economic Development","Interest expenditure","Water supply",0
2011,"Auckland Tourism, Events and Economic Development","Purchases and other operating expenditure","Water supply",0
2014,"Auckland Tourism, Events and Economic Development","Rates","Wastewater",0
2014,"Auckland Tourism, Events and Economic Development","Regulatory income and petrol tax","Wastewater",0
2014,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations income","Wastewater",0
2014,"Auckland Tourism, Events and Economic Development","Interest income","Wastewater",0
2014,"Auckland Tourism, Events and Economic Development","Dividend income","Wastewater",0
2014,"Auckland Tourism, Events and Economic Development","Sales and other operating income","Wastewater",0
2014,"Auckland Tourism, Events and Economic Development","Employee costs","Wastewater",0
2014,"Auckland Tourism, Events and Economic Development","Depreciation and amortisation","Wastewater",0
2014,"Auckland Tourism, Events and Economic Development","Current grants, subsidies, and donations expenditure","Wastewater",0
2014,"Auckland Tourism, Events and Economic Development","Interest expenditure","Wastewater",0
2014,"Auckland Tourism, Events and Economic Development","Purchases and other operating expenditure","Wastewater",0
