"year","council","income","activity","val"
2014,"Auckland Transport","Rates","Roading",0
2014,"Auckland Transport","Regulatory income and petrol tax","Roading",8519
2014,"Auckland Transport","Current grants, subsidies, and donations income","Roading",31007
2014,"Auckland Transport","Interest income","Roading",0
2014,"Auckland Transport","Dividend income","Roading",0
2014,"Auckland Transport","Sales and other operating income","Roading",3670
2014,"Auckland Transport","Employee costs","Roading",11969
2014,"Auckland Transport","Depreciation and amortisation","Roading",208064
2014,"Auckland Transport","Current grants, subsidies, and donations expenditure","Roading",-3
2014,"Auckland Transport","Interest expenditure","Roading",0
2014,"Auckland Transport","Purchases and other operating expenditure","Roading",101671
2013,"Auckland Transport","Rates","Roading",0
2013,"Auckland Transport","Regulatory income and petrol tax","Roading",8823
2013,"Auckland Transport","Current grants, subsidies, and donations income","Roading",33161
2013,"Auckland Transport","Interest income","Roading",0
2013,"Auckland Transport","Dividend income","Roading",0
2013,"Auckland Transport","Sales and other operating income","Roading",6585
2013,"Auckland Transport","Employee costs","Roading",12151
2013,"Auckland Transport","Depreciation and amortisation","Roading",197140
2013,"Auckland Transport","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Auckland Transport","Interest expenditure","Roading",0
2013,"Auckland Transport","Purchases and other operating expenditure","Roading",125969
2012,"Auckland Transport","Rates","Roading",0
2012,"Auckland Transport","Regulatory income and petrol tax","Roading",8395
2012,"Auckland Transport","Current grants, subsidies, and donations income","Roading",35287
2012,"Auckland Transport","Interest income","Roading",0
2012,"Auckland Transport","Dividend income","Roading",0
2012,"Auckland Transport","Sales and other operating income","Roading",2521
2012,"Auckland Transport","Employee costs","Roading",16761
2012,"Auckland Transport","Depreciation and amortisation","Roading",182257
2012,"Auckland Transport","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Auckland Transport","Interest expenditure","Roading",0
2012,"Auckland Transport","Purchases and other operating expenditure","Roading",124488
2011,"Auckland Transport","Rates","Roading",0
2011,"Auckland Transport","Regulatory income and petrol tax","Roading",5351
2011,"Auckland Transport","Current grants, subsidies, and donations income","Roading",113957
2011,"Auckland Transport","Interest income","Roading",0
2011,"Auckland Transport","Dividend income","Roading",0
2011,"Auckland Transport","Sales and other operating income","Roading",2113
2011,"Auckland Transport","Employee costs","Roading",6856
2011,"Auckland Transport","Depreciation and amortisation","Roading",117135
2011,"Auckland Transport","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Auckland Transport","Interest expenditure","Roading",0
2011,"Auckland Transport","Purchases and other operating expenditure","Roading",79335
2014,"Auckland Transport","Rates","Transportation",0
2014,"Auckland Transport","Regulatory income and petrol tax","Transportation",34667
2014,"Auckland Transport","Current grants, subsidies, and donations income","Transportation",178408
2014,"Auckland Transport","Interest income","Transportation",0
2014,"Auckland Transport","Dividend income","Transportation",0
2014,"Auckland Transport","Sales and other operating income","Transportation",91931
2014,"Auckland Transport","Employee costs","Transportation",33407
2014,"Auckland Transport","Depreciation and amortisation","Transportation",61271
2014,"Auckland Transport","Current grants, subsidies, and donations expenditure","Transportation",246533
2014,"Auckland Transport","Interest expenditure","Transportation",13614
2014,"Auckland Transport","Purchases and other operating expenditure","Transportation",85396
2013,"Auckland Transport","Rates","Transportation",0
2013,"Auckland Transport","Regulatory income and petrol tax","Transportation",37789
2013,"Auckland Transport","Current grants, subsidies, and donations income","Transportation",164557
2013,"Auckland Transport","Interest income","Transportation",0
2013,"Auckland Transport","Dividend income","Transportation",0
2013,"Auckland Transport","Sales and other operating income","Transportation",95729
2013,"Auckland Transport","Employee costs","Transportation",59467
2013,"Auckland Transport","Depreciation and amortisation","Transportation",53583
2013,"Auckland Transport","Current grants, subsidies, and donations expenditure","Transportation",235078
2013,"Auckland Transport","Interest expenditure","Transportation",8388
2013,"Auckland Transport","Purchases and other operating expenditure","Transportation",135239
2012,"Auckland Transport","Rates","Transportation",0
2012,"Auckland Transport","Regulatory income and petrol tax","Transportation",41045
2012,"Auckland Transport","Current grants, subsidies, and donations income","Transportation",155436
2012,"Auckland Transport","Interest income","Transportation",0
2012,"Auckland Transport","Dividend income","Transportation",0
2012,"Auckland Transport","Sales and other operating income","Transportation",93594
2012,"Auckland Transport","Employee costs","Transportation",53304
2012,"Auckland Transport","Depreciation and amortisation","Transportation",44541
2012,"Auckland Transport","Current grants, subsidies, and donations expenditure","Transportation",231688
2012,"Auckland Transport","Interest expenditure","Transportation",2997
2012,"Auckland Transport","Purchases and other operating expenditure","Transportation",166232
