"year","council","income","activity","val"
2014,"Bay of Plenty Regional Council","Rates","Roading",0
2014,"Bay of Plenty Regional Council","Regulatory income and petrol tax","Roading",0
2014,"Bay of Plenty Regional Council","Current grants, subsidies, and donations income","Roading",0
2014,"Bay of Plenty Regional Council","Interest income","Roading",0
2014,"Bay of Plenty Regional Council","Dividend income","Roading",0
2014,"Bay of Plenty Regional Council","Sales and other operating income","Roading",0
2014,"Bay of Plenty Regional Council","Employee costs","Roading",0
2014,"Bay of Plenty Regional Council","Depreciation and amortisation","Roading",0
2014,"Bay of Plenty Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Bay of Plenty Regional Council","Interest expenditure","Roading",0
2014,"Bay of Plenty Regional Council","Purchases and other operating expenditure","Roading",0
2013,"Bay of Plenty Regional Council","Rates","Roading",0
2013,"Bay of Plenty Regional Council","Regulatory income and petrol tax","Roading",0
2013,"Bay of Plenty Regional Council","Current grants, subsidies, and donations income","Roading",0
2013,"Bay of Plenty Regional Council","Interest income","Roading",0
2013,"Bay of Plenty Regional Council","Dividend income","Roading",0
2013,"Bay of Plenty Regional Council","Sales and other operating income","Roading",0
2013,"Bay of Plenty Regional Council","Employee costs","Roading",0
2013,"Bay of Plenty Regional Council","Depreciation and amortisation","Roading",0
2013,"Bay of Plenty Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Bay of Plenty Regional Council","Interest expenditure","Roading",0
2013,"Bay of Plenty Regional Council","Purchases and other operating expenditure","Roading",0
2012,"Bay of Plenty Regional Council","Rates","Roading",0
2012,"Bay of Plenty Regional Council","Regulatory income and petrol tax","Roading",0
2012,"Bay of Plenty Regional Council","Current grants, subsidies, and donations income","Roading",0
2012,"Bay of Plenty Regional Council","Interest income","Roading",0
2012,"Bay of Plenty Regional Council","Dividend income","Roading",0
2012,"Bay of Plenty Regional Council","Sales and other operating income","Roading",0
2012,"Bay of Plenty Regional Council","Employee costs","Roading",0
2012,"Bay of Plenty Regional Council","Depreciation and amortisation","Roading",0
2012,"Bay of Plenty Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Bay of Plenty Regional Council","Interest expenditure","Roading",0
2012,"Bay of Plenty Regional Council","Purchases and other operating expenditure","Roading",0
2011,"Bay of Plenty Regional Council","Rates","Roading",0
2011,"Bay of Plenty Regional Council","Regulatory income and petrol tax","Roading",0
2011,"Bay of Plenty Regional Council","Current grants, subsidies, and donations income","Roading",0
2011,"Bay of Plenty Regional Council","Interest income","Roading",0
2011,"Bay of Plenty Regional Council","Dividend income","Roading",0
2011,"Bay of Plenty Regional Council","Sales and other operating income","Roading",0
2011,"Bay of Plenty Regional Council","Employee costs","Roading",0
2011,"Bay of Plenty Regional Council","Depreciation and amortisation","Roading",0
2011,"Bay of Plenty Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Bay of Plenty Regional Council","Interest expenditure","Roading",0
2011,"Bay of Plenty Regional Council","Purchases and other operating expenditure","Roading",0
2010,"Bay of Plenty Regional Council","Rates","Roading",0
2010,"Bay of Plenty Regional Council","Regulatory income and petrol tax","Roading",0
2010,"Bay of Plenty Regional Council","Current grants, subsidies, and donations income","Roading",0
