"year","council","income","activity","val"
2014,"Buller District Council","Rates","Roading",0
2014,"Buller District Council","Regulatory income and petrol tax","Roading",177
2014,"Buller District Council","Current grants, subsidies, and donations income","Roading",2385
2014,"Buller District Council","Interest income","Roading",0
2014,"Buller District Council","Dividend income","Roading",0
2014,"Buller District Council","Sales and other operating income","Roading",0
2014,"Buller District Council","Employee costs","Roading",0
2014,"Buller District Council","Depreciation and amortisation","Roading",2435
2014,"Buller District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Buller District Council","Interest expenditure","Roading",0
2014,"Buller District Council","Purchases and other operating expenditure","Roading",3317
2013,"Buller District Council","Rates","Roading",0
2013,"Buller District Council","Regulatory income and petrol tax","Roading",188
2013,"Buller District Council","Current grants, subsidies, and donations income","Roading",2475
2013,"Buller District Council","Interest income","Roading",0
2013,"Buller District Council","Dividend income","Roading",0
2013,"Buller District Council","Sales and other operating income","Roading",0
2013,"Buller District Council","Employee costs","Roading",0
2013,"Buller District Council","Depreciation and amortisation","Roading",2648
2013,"Buller District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Buller District Council","Interest expenditure","Roading",0
2013,"Buller District Council","Purchases and other operating expenditure","Roading",3237
2012,"Buller District Council","Rates","Roading",47
2012,"Buller District Council","Regulatory income and petrol tax","Roading",177
2012,"Buller District Council","Current grants, subsidies, and donations income","Roading",0
2012,"Buller District Council","Interest income","Roading",0
2012,"Buller District Council","Dividend income","Roading",0
2012,"Buller District Council","Sales and other operating income","Roading",28
2012,"Buller District Council","Employee costs","Roading",40
2012,"Buller District Council","Depreciation and amortisation","Roading",2606
2012,"Buller District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Buller District Council","Interest expenditure","Roading",0
2012,"Buller District Council","Purchases and other operating expenditure","Roading",2787
2011,"Buller District Council","Rates","Roading",39
2011,"Buller District Council","Regulatory income and petrol tax","Roading",173
2011,"Buller District Council","Current grants, subsidies, and donations income","Roading",2914
2011,"Buller District Council","Interest income","Roading",0
2011,"Buller District Council","Dividend income","Roading",0
2011,"Buller District Council","Sales and other operating income","Roading",28
2011,"Buller District Council","Employee costs","Roading",38
2011,"Buller District Council","Depreciation and amortisation","Roading",2605
2011,"Buller District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Buller District Council","Interest expenditure","Roading",0
2011,"Buller District Council","Purchases and other operating expenditure","Roading",2623
2010,"Buller District Council","Rates","Roading",38
2010,"Buller District Council","Regulatory income and petrol tax","Roading",170
2010,"Buller District Council","Current grants, subsidies, and donations income","Roading",2878
2010,"Buller District Council","Interest income","Roading",0
2010,"Buller District Council","Dividend income","Roading",0
2010,"Buller District Council","Sales and other operating income","Roading",388
2010,"Buller District Council","Employee costs","Roading",30
2010,"Buller District Council","Depreciation and amortisation","Roading",2239
2010,"Buller District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Buller District Council","Interest expenditure","Roading",0
2010,"Buller District Council","Purchases and other operating expenditure","Roading",2473
2009,"Buller District Council","Rates","Roading",38
2009,"Buller District Council","Regulatory income and petrol tax","Roading",167
2009,"Buller District Council","Current grants, subsidies, and donations income","Roading",2510
2009,"Buller District Council","Interest income","Roading",0
2009,"Buller District Council","Dividend income","Roading",0
2009,"Buller District Council","Sales and other operating income","Roading",42
2009,"Buller District Council","Employee costs","Roading",356
2009,"Buller District Council","Depreciation and amortisation","Roading",2214
2009,"Buller District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Buller District Council","Interest expenditure","Roading",0
2009,"Buller District Council","Purchases and other operating expenditure","Roading",2486
2014,"Buller District Council","Rates","Transportation",0
2014,"Buller District Council","Regulatory income and petrol tax","Transportation",0
2014,"Buller District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Buller District Council","Interest income","Transportation",0
2014,"Buller District Council","Dividend income","Transportation",0
2014,"Buller District Council","Sales and other operating income","Transportation",57
2014,"Buller District Council","Employee costs","Transportation",4
2014,"Buller District Council","Depreciation and amortisation","Transportation",54
2014,"Buller District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Buller District Council","Interest expenditure","Transportation",0
2014,"Buller District Council","Purchases and other operating expenditure","Transportation",39
2013,"Buller District Council","Rates","Transportation",0
2013,"Buller District Council","Regulatory income and petrol tax","Transportation",0
2013,"Buller District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Buller District Council","Interest income","Transportation",0
2013,"Buller District Council","Dividend income","Transportation",0
2013,"Buller District Council","Sales and other operating income","Transportation",58
2013,"Buller District Council","Employee costs","Transportation",4
2013,"Buller District Council","Depreciation and amortisation","Transportation",54
2013,"Buller District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Buller District Council","Interest expenditure","Transportation",0
2013,"Buller District Council","Purchases and other operating expenditure","Transportation",53
2012,"Buller District Council","Rates","Transportation",0
2012,"Buller District Council","Regulatory income and petrol tax","Transportation",0
2012,"Buller District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Buller District Council","Interest income","Transportation",0
2012,"Buller District Council","Dividend income","Transportation",0
2012,"Buller District Council","Sales and other operating income","Transportation",59
2012,"Buller District Council","Employee costs","Transportation",2
2012,"Buller District Council","Depreciation and amortisation","Transportation",54
2012,"Buller District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Buller District Council","Interest expenditure","Transportation",0
2012,"Buller District Council","Purchases and other operating expenditure","Transportation",47
2011,"Buller District Council","Rates","Transportation",0
2011,"Buller District Council","Regulatory income and petrol tax","Transportation",0
2011,"Buller District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Buller District Council","Interest income","Transportation",0
2011,"Buller District Council","Dividend income","Transportation",0
2011,"Buller District Council","Sales and other operating income","Transportation",0
2011,"Buller District Council","Employee costs","Transportation",0
2011,"Buller District Council","Depreciation and amortisation","Transportation",0
2011,"Buller District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Buller District Council","Interest expenditure","Transportation",0
2011,"Buller District Council","Purchases and other operating expenditure","Transportation",0
2010,"Buller District Council","Rates","Transportation",0
2010,"Buller District Council","Regulatory income and petrol tax","Transportation",0
2010,"Buller District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Buller District Council","Interest income","Transportation",0
2010,"Buller District Council","Dividend income","Transportation",0
2010,"Buller District Council","Sales and other operating income","Transportation",0
2010,"Buller District Council","Employee costs","Transportation",0
2010,"Buller District Council","Depreciation and amortisation","Transportation",0
2010,"Buller District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Buller District Council","Interest expenditure","Transportation",0
2010,"Buller District Council","Purchases and other operating expenditure","Transportation",0
2009,"Buller District Council","Rates","Transportation",0
2009,"Buller District Council","Regulatory income and petrol tax","Transportation",0
2009,"Buller District Council","Current grants, subsidies, and donations income","Transportation",0
2009,"Buller District Council","Interest income","Transportation",0
2009,"Buller District Council","Dividend income","Transportation",0
2009,"Buller District Council","Sales and other operating income","Transportation",0
2009,"Buller District Council","Employee costs","Transportation",0
2009,"Buller District Council","Depreciation and amortisation","Transportation",0
2009,"Buller District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2009,"Buller District Council","Interest expenditure","Transportation",0
2009,"Buller District Council","Purchases and other operating expenditure","Transportation",0
2014,"Buller District Council","Rates","Water supply",2031
2014,"Buller District Council","Regulatory income and petrol tax","Water supply",0
2014,"Buller District Council","Current grants, subsidies, and donations income","Water supply",0
2014,"Buller District Council","Interest income","Water supply",0
2014,"Buller District Council","Dividend income","Water supply",0
2014,"Buller District Council","Sales and other operating income","Water supply",216
2014,"Buller District Council","Employee costs","Water supply",0
2014,"Buller District Council","Depreciation and amortisation","Water supply",647
2014,"Buller District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"Buller District Council","Interest expenditure","Water supply",56
2014,"Buller District Council","Purchases and other operating expenditure","Water supply",892
2013,"Buller District Council","Rates","Water supply",1902
2013,"Buller District Council","Regulatory income and petrol tax","Water supply",0
2013,"Buller District Council","Current grants, subsidies, and donations income","Water supply",0
2013,"Buller District Council","Interest income","Water supply",0
2013,"Buller District Council","Dividend income","Water supply",0
2013,"Buller District Council","Sales and other operating income","Water supply",229
2013,"Buller District Council","Employee costs","Water supply",0
2013,"Buller District Council","Depreciation and amortisation","Water supply",552
2013,"Buller District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2013,"Buller District Council","Interest expenditure","Water supply",49
2013,"Buller District Council","Purchases and other operating expenditure","Water supply",828
2012,"Buller District Council","Rates","Water supply",1538
2012,"Buller District Council","Regulatory income and petrol tax","Water supply",0
2012,"Buller District Council","Current grants, subsidies, and donations income","Water supply",0
2012,"Buller District Council","Interest income","Water supply",0
2012,"Buller District Council","Dividend income","Water supply",0
2012,"Buller District Council","Sales and other operating income","Water supply",229
2012,"Buller District Council","Employee costs","Water supply",0
2012,"Buller District Council","Depreciation and amortisation","Water supply",525
2012,"Buller District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2012,"Buller District Council","Interest expenditure","Water supply",30
2012,"Buller District Council","Purchases and other operating expenditure","Water supply",893
2011,"Buller District Council","Rates","Water supply",1353
2011,"Buller District Council","Regulatory income and petrol tax","Water supply",0
2011,"Buller District Council","Current grants, subsidies, and donations income","Water supply",0
2011,"Buller District Council","Interest income","Water supply",0
2011,"Buller District Council","Dividend income","Water supply",0
2011,"Buller District Council","Sales and other operating income","Water supply",215
2011,"Buller District Council","Employee costs","Water supply",0
2011,"Buller District Council","Depreciation and amortisation","Water supply",525
2011,"Buller District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2011,"Buller District Council","Interest expenditure","Water supply",27
2011,"Buller District Council","Purchases and other operating expenditure","Water supply",999
2010,"Buller District Council","Rates","Water supply",1267
2010,"Buller District Council","Regulatory income and petrol tax","Water supply",0
2010,"Buller District Council","Current grants, subsidies, and donations income","Water supply",0
2010,"Buller District Council","Interest income","Water supply",0
2010,"Buller District Council","Dividend income","Water supply",0
2010,"Buller District Council","Sales and other operating income","Water supply",218
2010,"Buller District Council","Employee costs","Water supply",0
2010,"Buller District Council","Depreciation and amortisation","Water supply",538
2010,"Buller District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2010,"Buller District Council","Interest expenditure","Water supply",1
2010,"Buller District Council","Purchases and other operating expenditure","Water supply",892
2009,"Buller District Council","Rates","Water supply",1037
2009,"Buller District Council","Regulatory income and petrol tax","Water supply",0
2009,"Buller District Council","Current grants, subsidies, and donations income","Water supply",0
2009,"Buller District Council","Interest income","Water supply",0
2009,"Buller District Council","Dividend income","Water supply",0
2009,"Buller District Council","Sales and other operating income","Water supply",183
2009,"Buller District Council","Employee costs","Water supply",58
2009,"Buller District Council","Depreciation and amortisation","Water supply",507
2009,"Buller District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2009,"Buller District Council","Interest expenditure","Water supply",39
2009,"Buller District Council","Purchases and other operating expenditure","Water supply",712
2014,"Buller District Council","Rates","Wastewater",2181
2014,"Buller District Council","Regulatory income and petrol tax","Wastewater",0
2014,"Buller District Council","Current grants, subsidies, and donations income","Wastewater",0
2014,"Buller District Council","Interest income","Wastewater",0
2014,"Buller District Council","Dividend income","Wastewater",0
2014,"Buller District Council","Sales and other operating income","Wastewater",44
2014,"Buller District Council","Employee costs","Wastewater",0
2014,"Buller District Council","Depreciation and amortisation","Wastewater",860
2014,"Buller District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2014,"Buller District Council","Interest expenditure","Wastewater",0
2014,"Buller District Council","Purchases and other operating expenditure","Wastewater",919
2013,"Buller District Council","Rates","Wastewater",2141
2013,"Buller District Council","Regulatory income and petrol tax","Wastewater",0
2013,"Buller District Council","Current grants, subsidies, and donations income","Wastewater",0
2013,"Buller District Council","Interest income","Wastewater",0
2013,"Buller District Council","Dividend income","Wastewater",0
2013,"Buller District Council","Sales and other operating income","Wastewater",33
2013,"Buller District Council","Employee costs","Wastewater",0
2013,"Buller District Council","Depreciation and amortisation","Wastewater",834
2013,"Buller District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2013,"Buller District Council","Interest expenditure","Wastewater",0
2013,"Buller District Council","Purchases and other operating expenditure","Wastewater",1015
2012,"Buller District Council","Rates","Wastewater",1882
2012,"Buller District Council","Regulatory income and petrol tax","Wastewater",0
2012,"Buller District Council","Current grants, subsidies, and donations income","Wastewater",0
2012,"Buller District Council","Interest income","Wastewater",0
2012,"Buller District Council","Dividend income","Wastewater",0
2012,"Buller District Council","Sales and other operating income","Wastewater",101
2012,"Buller District Council","Employee costs","Wastewater",0
2012,"Buller District Council","Depreciation and amortisation","Wastewater",757
2012,"Buller District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2012,"Buller District Council","Interest expenditure","Wastewater",0
2012,"Buller District Council","Purchases and other operating expenditure","Wastewater",1115
2011,"Buller District Council","Rates","Wastewater",1807
2011,"Buller District Council","Regulatory income and petrol tax","Wastewater",0
2011,"Buller District Council","Current grants, subsidies, and donations income","Wastewater",0
2011,"Buller District Council","Interest income","Wastewater",0
2011,"Buller District Council","Dividend income","Wastewater",0
2011,"Buller District Council","Sales and other operating income","Wastewater",11
2011,"Buller District Council","Employee costs","Wastewater",0
2011,"Buller District Council","Depreciation and amortisation","Wastewater",750
2011,"Buller District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2011,"Buller District Council","Interest expenditure","Wastewater",0
2011,"Buller District Council","Purchases and other operating expenditure","Wastewater",1052
2010,"Buller District Council","Rates","Wastewater",1607
2010,"Buller District Council","Regulatory income and petrol tax","Wastewater",0
2010,"Buller District Council","Current grants, subsidies, and donations income","Wastewater",0
2010,"Buller District Council","Interest income","Wastewater",0
2010,"Buller District Council","Dividend income","Wastewater",0
2010,"Buller District Council","Sales and other operating income","Wastewater",673
2010,"Buller District Council","Employee costs","Wastewater",0
