"year","council","income","activity","val"
2014,"Canterbury Regional Council","Rates","Roading",0
2014,"Canterbury Regional Council","Regulatory income and petrol tax","Roading",0
2014,"Canterbury Regional Council","Current grants, subsidies, and donations income","Roading",0
2014,"Canterbury Regional Council","Interest income","Roading",0
2014,"Canterbury Regional Council","Dividend income","Roading",0
2014,"Canterbury Regional Council","Sales and other operating income","Roading",0
2014,"Canterbury Regional Council","Employee costs","Roading",0
2014,"Canterbury Regional Council","Depreciation and amortisation","Roading",0
2014,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Canterbury Regional Council","Interest expenditure","Roading",0
2014,"Canterbury Regional Council","Purchases and other operating expenditure","Roading",0
2013,"Canterbury Regional Council","Rates","Roading",0
2013,"Canterbury Regional Council","Regulatory income and petrol tax","Roading",0
2013,"Canterbury Regional Council","Current grants, subsidies, and donations income","Roading",0
2013,"Canterbury Regional Council","Interest income","Roading",0
2013,"Canterbury Regional Council","Dividend income","Roading",0
2013,"Canterbury Regional Council","Sales and other operating income","Roading",0
2013,"Canterbury Regional Council","Employee costs","Roading",0
2013,"Canterbury Regional Council","Depreciation and amortisation","Roading",0
2013,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Canterbury Regional Council","Interest expenditure","Roading",0
2013,"Canterbury Regional Council","Purchases and other operating expenditure","Roading",0
2012,"Canterbury Regional Council","Rates","Roading",0
2012,"Canterbury Regional Council","Regulatory income and petrol tax","Roading",0
2012,"Canterbury Regional Council","Current grants, subsidies, and donations income","Roading",0
2012,"Canterbury Regional Council","Interest income","Roading",0
2012,"Canterbury Regional Council","Dividend income","Roading",0
2012,"Canterbury Regional Council","Sales and other operating income","Roading",0
2012,"Canterbury Regional Council","Employee costs","Roading",0
2012,"Canterbury Regional Council","Depreciation and amortisation","Roading",0
2012,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Canterbury Regional Council","Interest expenditure","Roading",0
2012,"Canterbury Regional Council","Purchases and other operating expenditure","Roading",0
2011,"Canterbury Regional Council","Rates","Roading",0
2011,"Canterbury Regional Council","Regulatory income and petrol tax","Roading",0
2011,"Canterbury Regional Council","Current grants, subsidies, and donations income","Roading",0
2011,"Canterbury Regional Council","Interest income","Roading",0
2011,"Canterbury Regional Council","Dividend income","Roading",0
2011,"Canterbury Regional Council","Sales and other operating income","Roading",0
2011,"Canterbury Regional Council","Employee costs","Roading",0
2011,"Canterbury Regional Council","Depreciation and amortisation","Roading",0
2011,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Canterbury Regional Council","Interest expenditure","Roading",0
2011,"Canterbury Regional Council","Purchases and other operating expenditure","Roading",0
2010,"Canterbury Regional Council","Rates","Roading",0
2010,"Canterbury Regional Council","Regulatory income and petrol tax","Roading",0
2010,"Canterbury Regional Council","Current grants, subsidies, and donations income","Roading",0
2010,"Canterbury Regional Council","Interest income","Roading",0
2010,"Canterbury Regional Council","Dividend income","Roading",0
2010,"Canterbury Regional Council","Sales and other operating income","Roading",0
2010,"Canterbury Regional Council","Employee costs","Roading",0
2010,"Canterbury Regional Council","Depreciation and amortisation","Roading",0
2010,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Canterbury Regional Council","Interest expenditure","Roading",0
2010,"Canterbury Regional Council","Purchases and other operating expenditure","Roading",0
2009,"Canterbury Regional Council","Rates","Roading",0
2009,"Canterbury Regional Council","Regulatory income and petrol tax","Roading",0
2009,"Canterbury Regional Council","Current grants, subsidies, and donations income","Roading",0
2009,"Canterbury Regional Council","Interest income","Roading",0
2009,"Canterbury Regional Council","Dividend income","Roading",0
2009,"Canterbury Regional Council","Sales and other operating income","Roading",0
2009,"Canterbury Regional Council","Employee costs","Roading",0
2009,"Canterbury Regional Council","Depreciation and amortisation","Roading",0
2009,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Canterbury Regional Council","Interest expenditure","Roading",0
2009,"Canterbury Regional Council","Purchases and other operating expenditure","Roading",0
2014,"Canterbury Regional Council","Rates","Transportation",20042
2014,"Canterbury Regional Council","Regulatory income and petrol tax","Transportation",0
2014,"Canterbury Regional Council","Current grants, subsidies, and donations income","Transportation",23488
2014,"Canterbury Regional Council","Interest income","Transportation",0
2014,"Canterbury Regional Council","Dividend income","Transportation",0
2014,"Canterbury Regional Council","Sales and other operating income","Transportation",18757
2014,"Canterbury Regional Council","Employee costs","Transportation",1505
2014,"Canterbury Regional Council","Depreciation and amortisation","Transportation",701
2014,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Canterbury Regional Council","Interest expenditure","Transportation",0
2014,"Canterbury Regional Council","Purchases and other operating expenditure","Transportation",58908
2013,"Canterbury Regional Council","Rates","Transportation",20257
2013,"Canterbury Regional Council","Regulatory income and petrol tax","Transportation",0
2013,"Canterbury Regional Council","Current grants, subsidies, and donations income","Transportation",23987
2013,"Canterbury Regional Council","Interest income","Transportation",0
2013,"Canterbury Regional Council","Dividend income","Transportation",0
2013,"Canterbury Regional Council","Sales and other operating income","Transportation",16408
2013,"Canterbury Regional Council","Employee costs","Transportation",1365
2013,"Canterbury Regional Council","Depreciation and amortisation","Transportation",708
2013,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Canterbury Regional Council","Interest expenditure","Transportation",0
2013,"Canterbury Regional Council","Purchases and other operating expenditure","Transportation",57133
2012,"Canterbury Regional Council","Rates","Transportation",18079
2012,"Canterbury Regional Council","Regulatory income and petrol tax","Transportation",0
2012,"Canterbury Regional Council","Current grants, subsidies, and donations income","Transportation",24966
2012,"Canterbury Regional Council","Interest income","Transportation",0
2012,"Canterbury Regional Council","Dividend income","Transportation",0
2012,"Canterbury Regional Council","Sales and other operating income","Transportation",13190
2012,"Canterbury Regional Council","Employee costs","Transportation",1594
2012,"Canterbury Regional Council","Depreciation and amortisation","Transportation",725
2012,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Canterbury Regional Council","Interest expenditure","Transportation",0
2012,"Canterbury Regional Council","Purchases and other operating expenditure","Transportation",54618
2011,"Canterbury Regional Council","Rates","Transportation",17977
2011,"Canterbury Regional Council","Regulatory income and petrol tax","Transportation",0
2011,"Canterbury Regional Council","Current grants, subsidies, and donations income","Transportation",24255
2011,"Canterbury Regional Council","Interest income","Transportation",0
2011,"Canterbury Regional Council","Dividend income","Transportation",0
2011,"Canterbury Regional Council","Sales and other operating income","Transportation",10343
2011,"Canterbury Regional Council","Employee costs","Transportation",1398
2011,"Canterbury Regional Council","Depreciation and amortisation","Transportation",475
2011,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Canterbury Regional Council","Interest expenditure","Transportation",0
2011,"Canterbury Regional Council","Purchases and other operating expenditure","Transportation",48486
2010,"Canterbury Regional Council","Rates","Transportation",19824
2010,"Canterbury Regional Council","Regulatory income and petrol tax","Transportation",0
2010,"Canterbury Regional Council","Current grants, subsidies, and donations income","Transportation",24797
2010,"Canterbury Regional Council","Interest income","Transportation",0
2010,"Canterbury Regional Council","Dividend income","Transportation",0
2010,"Canterbury Regional Council","Sales and other operating income","Transportation",5236
2010,"Canterbury Regional Council","Employee costs","Transportation",1601
2010,"Canterbury Regional Council","Depreciation and amortisation","Transportation",224
2010,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Transportation",13
2010,"Canterbury Regional Council","Interest expenditure","Transportation",0
2010,"Canterbury Regional Council","Purchases and other operating expenditure","Transportation",40990
2009,"Canterbury Regional Council","Rates","Transportation",18602
2009,"Canterbury Regional Council","Regulatory income and petrol tax","Transportation",0
2009,"Canterbury Regional Council","Current grants, subsidies, and donations income","Transportation",22297
2009,"Canterbury Regional Council","Interest income","Transportation",0
2009,"Canterbury Regional Council","Dividend income","Transportation",0
2009,"Canterbury Regional Council","Sales and other operating income","Transportation",53
2009,"Canterbury Regional Council","Employee costs","Transportation",2386
2009,"Canterbury Regional Council","Depreciation and amortisation","Transportation",420
2009,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2009,"Canterbury Regional Council","Interest expenditure","Transportation",27
2009,"Canterbury Regional Council","Purchases and other operating expenditure","Transportation",34959
2014,"Canterbury Regional Council","Rates","Water supply",0
2014,"Canterbury Regional Council","Regulatory income and petrol tax","Water supply",0
2014,"Canterbury Regional Council","Current grants, subsidies, and donations income","Water supply",0
2014,"Canterbury Regional Council","Interest income","Water supply",0
2014,"Canterbury Regional Council","Dividend income","Water supply",0
2014,"Canterbury Regional Council","Sales and other operating income","Water supply",0
2014,"Canterbury Regional Council","Employee costs","Water supply",0
2014,"Canterbury Regional Council","Depreciation and amortisation","Water supply",0
2014,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"Canterbury Regional Council","Interest expenditure","Water supply",0
2014,"Canterbury Regional Council","Purchases and other operating expenditure","Water supply",0
2013,"Canterbury Regional Council","Rates","Water supply",0
2013,"Canterbury Regional Council","Regulatory income and petrol tax","Water supply",0
2013,"Canterbury Regional Council","Current grants, subsidies, and donations income","Water supply",0
2013,"Canterbury Regional Council","Interest income","Water supply",0
2013,"Canterbury Regional Council","Dividend income","Water supply",0
2013,"Canterbury Regional Council","Sales and other operating income","Water supply",0
2013,"Canterbury Regional Council","Employee costs","Water supply",0
2013,"Canterbury Regional Council","Depreciation and amortisation","Water supply",0
2013,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2013,"Canterbury Regional Council","Interest expenditure","Water supply",0
2013,"Canterbury Regional Council","Purchases and other operating expenditure","Water supply",0
2012,"Canterbury Regional Council","Rates","Water supply",0
2012,"Canterbury Regional Council","Regulatory income and petrol tax","Water supply",0
2012,"Canterbury Regional Council","Current grants, subsidies, and donations income","Water supply",0
2012,"Canterbury Regional Council","Interest income","Water supply",0
2012,"Canterbury Regional Council","Dividend income","Water supply",0
2012,"Canterbury Regional Council","Sales and other operating income","Water supply",0
2012,"Canterbury Regional Council","Employee costs","Water supply",0
2012,"Canterbury Regional Council","Depreciation and amortisation","Water supply",0
2012,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2012,"Canterbury Regional Council","Interest expenditure","Water supply",0
2012,"Canterbury Regional Council","Purchases and other operating expenditure","Water supply",0
2011,"Canterbury Regional Council","Rates","Water supply",0
2011,"Canterbury Regional Council","Regulatory income and petrol tax","Water supply",0
2011,"Canterbury Regional Council","Current grants, subsidies, and donations income","Water supply",0
2011,"Canterbury Regional Council","Interest income","Water supply",0
2011,"Canterbury Regional Council","Dividend income","Water supply",0
2011,"Canterbury Regional Council","Sales and other operating income","Water supply",0
2011,"Canterbury Regional Council","Employee costs","Water supply",0
2011,"Canterbury Regional Council","Depreciation and amortisation","Water supply",0
2011,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2011,"Canterbury Regional Council","Interest expenditure","Water supply",0
2011,"Canterbury Regional Council","Purchases and other operating expenditure","Water supply",0
2010,"Canterbury Regional Council","Rates","Water supply",0
2010,"Canterbury Regional Council","Regulatory income and petrol tax","Water supply",0
2010,"Canterbury Regional Council","Current grants, subsidies, and donations income","Water supply",0
2010,"Canterbury Regional Council","Interest income","Water supply",0
2010,"Canterbury Regional Council","Dividend income","Water supply",0
2010,"Canterbury Regional Council","Sales and other operating income","Water supply",0
2010,"Canterbury Regional Council","Employee costs","Water supply",0
2010,"Canterbury Regional Council","Depreciation and amortisation","Water supply",0
2010,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2010,"Canterbury Regional Council","Interest expenditure","Water supply",0
2010,"Canterbury Regional Council","Purchases and other operating expenditure","Water supply",0
2009,"Canterbury Regional Council","Rates","Water supply",0
2009,"Canterbury Regional Council","Regulatory income and petrol tax","Water supply",0
2009,"Canterbury Regional Council","Current grants, subsidies, and donations income","Water supply",0
2009,"Canterbury Regional Council","Interest income","Water supply",0
2009,"Canterbury Regional Council","Dividend income","Water supply",0
2009,"Canterbury Regional Council","Sales and other operating income","Water supply",0
2009,"Canterbury Regional Council","Employee costs","Water supply",0
2009,"Canterbury Regional Council","Depreciation and amortisation","Water supply",0
2009,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2009,"Canterbury Regional Council","Interest expenditure","Water supply",0
2009,"Canterbury Regional Council","Purchases and other operating expenditure","Water supply",0
2014,"Canterbury Regional Council","Rates","Wastewater",0
2014,"Canterbury Regional Council","Regulatory income and petrol tax","Wastewater",0
2014,"Canterbury Regional Council","Current grants, subsidies, and donations income","Wastewater",0
2014,"Canterbury Regional Council","Interest income","Wastewater",0
2014,"Canterbury Regional Council","Dividend income","Wastewater",0
2014,"Canterbury Regional Council","Sales and other operating income","Wastewater",0
2014,"Canterbury Regional Council","Employee costs","Wastewater",0
2014,"Canterbury Regional Council","Depreciation and amortisation","Wastewater",0
2014,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2014,"Canterbury Regional Council","Interest expenditure","Wastewater",0
2014,"Canterbury Regional Council","Purchases and other operating expenditure","Wastewater",0
2013,"Canterbury Regional Council","Rates","Wastewater",0
2013,"Canterbury Regional Council","Regulatory income and petrol tax","Wastewater",0
2013,"Canterbury Regional Council","Current grants, subsidies, and donations income","Wastewater",0
2013,"Canterbury Regional Council","Interest income","Wastewater",0
2013,"Canterbury Regional Council","Dividend income","Wastewater",0
2013,"Canterbury Regional Council","Sales and other operating income","Wastewater",0
2013,"Canterbury Regional Council","Employee costs","Wastewater",0
2013,"Canterbury Regional Council","Depreciation and amortisation","Wastewater",0
2013,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2013,"Canterbury Regional Council","Interest expenditure","Wastewater",0
2013,"Canterbury Regional Council","Purchases and other operating expenditure","Wastewater",0
2012,"Canterbury Regional Council","Rates","Wastewater",0
2012,"Canterbury Regional Council","Regulatory income and petrol tax","Wastewater",0
2012,"Canterbury Regional Council","Current grants, subsidies, and donations income","Wastewater",0
2012,"Canterbury Regional Council","Interest income","Wastewater",0
2012,"Canterbury Regional Council","Dividend income","Wastewater",0
2012,"Canterbury Regional Council","Sales and other operating income","Wastewater",0
2012,"Canterbury Regional Council","Employee costs","Wastewater",0
2012,"Canterbury Regional Council","Depreciation and amortisation","Wastewater",0
2012,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2012,"Canterbury Regional Council","Interest expenditure","Wastewater",0
2012,"Canterbury Regional Council","Purchases and other operating expenditure","Wastewater",0
2011,"Canterbury Regional Council","Rates","Wastewater",0
2011,"Canterbury Regional Council","Regulatory income and petrol tax","Wastewater",0
2011,"Canterbury Regional Council","Current grants, subsidies, and donations income","Wastewater",0
2011,"Canterbury Regional Council","Interest income","Wastewater",0
2011,"Canterbury Regional Council","Dividend income","Wastewater",0
2011,"Canterbury Regional Council","Sales and other operating income","Wastewater",0
2011,"Canterbury Regional Council","Employee costs","Wastewater",0
2011,"Canterbury Regional Council","Depreciation and amortisation","Wastewater",0
2011,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2011,"Canterbury Regional Council","Interest expenditure","Wastewater",0
2011,"Canterbury Regional Council","Purchases and other operating expenditure","Wastewater",0
2010,"Canterbury Regional Council","Rates","Wastewater",0
2010,"Canterbury Regional Council","Regulatory income and petrol tax","Wastewater",0
2010,"Canterbury Regional Council","Current grants, subsidies, and donations income","Wastewater",0
2010,"Canterbury Regional Council","Interest income","Wastewater",0
2010,"Canterbury Regional Council","Dividend income","Wastewater",0
2010,"Canterbury Regional Council","Sales and other operating income","Wastewater",0
2010,"Canterbury Regional Council","Employee costs","Wastewater",0
2010,"Canterbury Regional Council","Depreciation and amortisation","Wastewater",0
2010,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2010,"Canterbury Regional Council","Interest expenditure","Wastewater",0
2010,"Canterbury Regional Council","Purchases and other operating expenditure","Wastewater",0
2009,"Canterbury Regional Council","Rates","Wastewater",0
2009,"Canterbury Regional Council","Regulatory income and petrol tax","Wastewater",0
2009,"Canterbury Regional Council","Current grants, subsidies, and donations income","Wastewater",0
2009,"Canterbury Regional Council","Interest income","Wastewater",0
2009,"Canterbury Regional Council","Dividend income","Wastewater",0
2009,"Canterbury Regional Council","Sales and other operating income","Wastewater",0
2009,"Canterbury Regional Council","Employee costs","Wastewater",0
2009,"Canterbury Regional Council","Depreciation and amortisation","Wastewater",0
2009,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2009,"Canterbury Regional Council","Interest expenditure","Wastewater",0
2009,"Canterbury Regional Council","Purchases and other operating expenditure","Wastewater",0
2014,"Canterbury Regional Council","Rates","Solid waste/refuse",0
2014,"Canterbury Regional Council","Regulatory income and petrol tax","Solid waste/refuse",0
2014,"Canterbury Regional Council","Current grants, subsidies, and donations income","Solid waste/refuse",0
2014,"Canterbury Regional Council","Interest income","Solid waste/refuse",0
2014,"Canterbury Regional Council","Dividend income","Solid waste/refuse",0
2014,"Canterbury Regional Council","Sales and other operating income","Solid waste/refuse",0
2014,"Canterbury Regional Council","Employee costs","Solid waste/refuse",0
2014,"Canterbury Regional Council","Depreciation and amortisation","Solid waste/refuse",0
2014,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",0
2014,"Canterbury Regional Council","Interest expenditure","Solid waste/refuse",0
2014,"Canterbury Regional Council","Purchases and other operating expenditure","Solid waste/refuse",0
2013,"Canterbury Regional Council","Rates","Solid waste/refuse",0
2013,"Canterbury Regional Council","Regulatory income and petrol tax","Solid waste/refuse",0
2013,"Canterbury Regional Council","Current grants, subsidies, and donations income","Solid waste/refuse",0
2013,"Canterbury Regional Council","Interest income","Solid waste/refuse",0
2013,"Canterbury Regional Council","Dividend income","Solid waste/refuse",0
2013,"Canterbury Regional Council","Sales and other operating income","Solid waste/refuse",0
2013,"Canterbury Regional Council","Employee costs","Solid waste/refuse",0
2013,"Canterbury Regional Council","Depreciation and amortisation","Solid waste/refuse",0
2013,"Canterbury Regional Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",0
2013,"Canterbury Regional Council","Interest expenditure","Solid waste/refuse",0
2013,"Canterbury Regional Council","Purchases and other operating expenditure","Solid waste/refuse",0
2012,"Canterbury Regional Council","Rates","Solid waste/refuse",0
2012,"Canterbury Regional Council","Regulatory income and petrol tax","Solid waste/refuse",0
2012,"Canterbury Regional Council","Current grants, subsidies, and donations income","Solid waste/refuse",0
2012,"Canterbury Regional Council","Interest income","Solid waste/refuse",0
2012,"Canterbury Regional Council","Dividend income","Solid waste/refuse",0
2012,"Canterbury Regional Council","Sales and other operating income","Solid waste/refuse",0
2012,"Canterbury Regional Council","Employee costs","Solid waste/refuse",0
