"year","council","income","activity","val"
2014,"Carterton District Council","Rates","Roading",1883
2014,"Carterton District Council","Regulatory income and petrol tax","Roading",66
2014,"Carterton District Council","Current grants, subsidies, and donations income","Roading",701
2014,"Carterton District Council","Interest income","Roading",0
2014,"Carterton District Council","Dividend income","Roading",0
2014,"Carterton District Council","Sales and other operating income","Roading",86
2014,"Carterton District Council","Employee costs","Roading",36
2014,"Carterton District Council","Depreciation and amortisation","Roading",1323
2014,"Carterton District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Carterton District Council","Interest expenditure","Roading",63
2014,"Carterton District Council","Purchases and other operating expenditure","Roading",1479
2013,"Carterton District Council","Rates","Roading",1722
2013,"Carterton District Council","Regulatory income and petrol tax","Roading",65
2013,"Carterton District Council","Current grants, subsidies, and donations income","Roading",927
2013,"Carterton District Council","Interest income","Roading",0
2013,"Carterton District Council","Dividend income","Roading",0
2013,"Carterton District Council","Sales and other operating income","Roading",126
2013,"Carterton District Council","Employee costs","Roading",48
2013,"Carterton District Council","Depreciation and amortisation","Roading",1269
2013,"Carterton District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Carterton District Council","Interest expenditure","Roading",41
2013,"Carterton District Council","Purchases and other operating expenditure","Roading",1954
2012,"Carterton District Council","Rates","Roading",1959
2012,"Carterton District Council","Regulatory income and petrol tax","Roading",56
2012,"Carterton District Council","Current grants, subsidies, and donations income","Roading",585
2012,"Carterton District Council","Interest income","Roading",0
2012,"Carterton District Council","Dividend income","Roading",0
2012,"Carterton District Council","Sales and other operating income","Roading",26
2012,"Carterton District Council","Employee costs","Roading",58
2012,"Carterton District Council","Depreciation and amortisation","Roading",1230
2012,"Carterton District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Carterton District Council","Interest expenditure","Roading",30
2012,"Carterton District Council","Purchases and other operating expenditure","Roading",1684
2011,"Carterton District Council","Rates","Roading",1746
2011,"Carterton District Council","Regulatory income and petrol tax","Roading",57
2011,"Carterton District Council","Current grants, subsidies, and donations income","Roading",835
2011,"Carterton District Council","Interest income","Roading",0
2011,"Carterton District Council","Dividend income","Roading",0
2011,"Carterton District Council","Sales and other operating income","Roading",46
2011,"Carterton District Council","Employee costs","Roading",59
2011,"Carterton District Council","Depreciation and amortisation","Roading",1480
2011,"Carterton District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Carterton District Council","Interest expenditure","Roading",38
2011,"Carterton District Council","Purchases and other operating expenditure","Roading",1727
2010,"Carterton District Council","Rates","Roading",1624
2010,"Carterton District Council","Regulatory income and petrol tax","Roading",55
2010,"Carterton District Council","Current grants, subsidies, and donations income","Roading",673
2010,"Carterton District Council","Interest income","Roading",0
2010,"Carterton District Council","Dividend income","Roading",0
2010,"Carterton District Council","Sales and other operating income","Roading",30
2010,"Carterton District Council","Employee costs","Roading",53
2010,"Carterton District Council","Depreciation and amortisation","Roading",1442
2010,"Carterton District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Carterton District Council","Interest expenditure","Roading",36
2010,"Carterton District Council","Purchases and other operating expenditure","Roading",1367
2009,"Carterton District Council","Rates","Roading",1352
2009,"Carterton District Council","Regulatory income and petrol tax","Roading",59
2009,"Carterton District Council","Current grants, subsidies, and donations income","Roading",749
2009,"Carterton District Council","Interest income","Roading",0
2009,"Carterton District Council","Dividend income","Roading",0
2009,"Carterton District Council","Sales and other operating income","Roading",18
2009,"Carterton District Council","Employee costs","Roading",33
2009,"Carterton District Council","Depreciation and amortisation","Roading",1338
2009,"Carterton District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Carterton District Council","Interest expenditure","Roading",7
2009,"Carterton District Council","Purchases and other operating expenditure","Roading",1521
2014,"Carterton District Council","Rates","Transportation",0
2014,"Carterton District Council","Regulatory income and petrol tax","Transportation",0
2014,"Carterton District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Carterton District Council","Interest income","Transportation",0
2014,"Carterton District Council","Dividend income","Transportation",0
2014,"Carterton District Council","Sales and other operating income","Transportation",0
2014,"Carterton District Council","Employee costs","Transportation",0
2014,"Carterton District Council","Depreciation and amortisation","Transportation",0
2014,"Carterton District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Carterton District Council","Interest expenditure","Transportation",0
2014,"Carterton District Council","Purchases and other operating expenditure","Transportation",0
2013,"Carterton District Council","Rates","Transportation",0
2013,"Carterton District Council","Regulatory income and petrol tax","Transportation",0
2013,"Carterton District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Carterton District Council","Interest income","Transportation",0
2013,"Carterton District Council","Dividend income","Transportation",0
2013,"Carterton District Council","Sales and other operating income","Transportation",0
2013,"Carterton District Council","Employee costs","Transportation",0
2013,"Carterton District Council","Depreciation and amortisation","Transportation",0
2013,"Carterton District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Carterton District Council","Interest expenditure","Transportation",0
2013,"Carterton District Council","Purchases and other operating expenditure","Transportation",0
2012,"Carterton District Council","Rates","Transportation",0
2012,"Carterton District Council","Regulatory income and petrol tax","Transportation",0
2012,"Carterton District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Carterton District Council","Interest income","Transportation",0
2012,"Carterton District Council","Dividend income","Transportation",0
2012,"Carterton District Council","Sales and other operating income","Transportation",0
2012,"Carterton District Council","Employee costs","Transportation",0
2012,"Carterton District Council","Depreciation and amortisation","Transportation",0
2012,"Carterton District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Carterton District Council","Interest expenditure","Transportation",0
2012,"Carterton District Council","Purchases and other operating expenditure","Transportation",0
2011,"Carterton District Council","Rates","Transportation",0
2011,"Carterton District Council","Regulatory income and petrol tax","Transportation",0
2011,"Carterton District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Carterton District Council","Interest income","Transportation",0
2011,"Carterton District Council","Dividend income","Transportation",0
2011,"Carterton District Council","Sales and other operating income","Transportation",0
2011,"Carterton District Council","Employee costs","Transportation",0
2011,"Carterton District Council","Depreciation and amortisation","Transportation",0
2011,"Carterton District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Carterton District Council","Interest expenditure","Transportation",0
2011,"Carterton District Council","Purchases and other operating expenditure","Transportation",0
2010,"Carterton District Council","Rates","Transportation",0
2010,"Carterton District Council","Regulatory income and petrol tax","Transportation",0
2010,"Carterton District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Carterton District Council","Interest income","Transportation",0
2010,"Carterton District Council","Dividend income","Transportation",0
2010,"Carterton District Council","Sales and other operating income","Transportation",0
2010,"Carterton District Council","Employee costs","Transportation",0
2010,"Carterton District Council","Depreciation and amortisation","Transportation",0
2010,"Carterton District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Carterton District Council","Interest expenditure","Transportation",0
2010,"Carterton District Council","Purchases and other operating expenditure","Transportation",0
2009,"Carterton District Council","Rates","Transportation",0
2009,"Carterton District Council","Regulatory income and petrol tax","Transportation",0
2009,"Carterton District Council","Current grants, subsidies, and donations income","Transportation",0
2009,"Carterton District Council","Interest income","Transportation",0
2009,"Carterton District Council","Dividend income","Transportation",0
2009,"Carterton District Council","Sales and other operating income","Transportation",0
2009,"Carterton District Council","Employee costs","Transportation",0
2009,"Carterton District Council","Depreciation and amortisation","Transportation",0
2009,"Carterton District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2009,"Carterton District Council","Interest expenditure","Transportation",0
2009,"Carterton District Council","Purchases and other operating expenditure","Transportation",0
2014,"Carterton District Council","Rates","Water supply",406
2014,"Carterton District Council","Regulatory income and petrol tax","Water supply",0
2014,"Carterton District Council","Current grants, subsidies, and donations income","Water supply",0
2014,"Carterton District Council","Interest income","Water supply",0
2014,"Carterton District Council","Dividend income","Water supply",0
2014,"Carterton District Council","Sales and other operating income","Water supply",1172
2014,"Carterton District Council","Employee costs","Water supply",248
2014,"Carterton District Council","Depreciation and amortisation","Water supply",587
2014,"Carterton District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"Carterton District Council","Interest expenditure","Water supply",24
2014,"Carterton District Council","Purchases and other operating expenditure","Water supply",563
2013,"Carterton District Council","Rates","Water supply",401
2013,"Carterton District Council","Regulatory income and petrol tax","Water supply",0
2013,"Carterton District Council","Current grants, subsidies, and donations income","Water supply",0
2013,"Carterton District Council","Interest income","Water supply",0
2013,"Carterton District Council","Dividend income","Water supply",0
2013,"Carterton District Council","Sales and other operating income","Water supply",980
2013,"Carterton District Council","Employee costs","Water supply",258
2013,"Carterton District Council","Depreciation and amortisation","Water supply",458
2013,"Carterton District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2013,"Carterton District Council","Interest expenditure","Water supply",25
2013,"Carterton District Council","Purchases and other operating expenditure","Water supply",546
2012,"Carterton District Council","Rates","Water supply",1337
2012,"Carterton District Council","Regulatory income and petrol tax","Water supply",22
2012,"Carterton District Council","Current grants, subsidies, and donations income","Water supply",0
2012,"Carterton District Council","Interest income","Water supply",0
2012,"Carterton District Council","Dividend income","Water supply",0
2012,"Carterton District Council","Sales and other operating income","Water supply",88
2012,"Carterton District Council","Employee costs","Water supply",226
2012,"Carterton District Council","Depreciation and amortisation","Water supply",455
2012,"Carterton District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2012,"Carterton District Council","Interest expenditure","Water supply",25
2012,"Carterton District Council","Purchases and other operating expenditure","Water supply",502
2011,"Carterton District Council","Rates","Water supply",1278
2011,"Carterton District Council","Regulatory income and petrol tax","Water supply",309
2011,"Carterton District Council","Current grants, subsidies, and donations income","Water supply",0
2011,"Carterton District Council","Interest income","Water supply",0
2011,"Carterton District Council","Dividend income","Water supply",0
2011,"Carterton District Council","Sales and other operating income","Water supply",9
2011,"Carterton District Council","Employee costs","Water supply",231
2011,"Carterton District Council","Depreciation and amortisation","Water supply",432
2011,"Carterton District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2011,"Carterton District Council","Interest expenditure","Water supply",0
2011,"Carterton District Council","Purchases and other operating expenditure","Water supply",557
2010,"Carterton District Council","Rates","Water supply",1148
2010,"Carterton District Council","Regulatory income and petrol tax","Water supply",65
2010,"Carterton District Council","Current grants, subsidies, and donations income","Water supply",0
2010,"Carterton District Council","Interest income","Water supply",0
2010,"Carterton District Council","Dividend income","Water supply",0
2010,"Carterton District Council","Sales and other operating income","Water supply",4
2010,"Carterton District Council","Employee costs","Water supply",230
2010,"Carterton District Council","Depreciation and amortisation","Water supply",380
2010,"Carterton District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2010,"Carterton District Council","Interest expenditure","Water supply",0
2010,"Carterton District Council","Purchases and other operating expenditure","Water supply",406
2009,"Carterton District Council","Rates","Water supply",1007
2009,"Carterton District Council","Regulatory income and petrol tax","Water supply",0
2009,"Carterton District Council","Current grants, subsidies, and donations income","Water supply",0
2009,"Carterton District Council","Interest income","Water supply",0
2009,"Carterton District Council","Dividend income","Water supply",0
2009,"Carterton District Council","Sales and other operating income","Water supply",88
2009,"Carterton District Council","Employee costs","Water supply",169
2009,"Carterton District Council","Depreciation and amortisation","Water supply",348
2009,"Carterton District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2009,"Carterton District Council","Interest expenditure","Water supply",0
