"year","council","income","activity","val"
2014,"Central Hawkes Bay District Council","Rates","Roading",6636
2014,"Central Hawkes Bay District Council","Regulatory income and petrol tax","Roading",135
2014,"Central Hawkes Bay District Council","Current grants, subsidies, and donations income","Roading",7644
2014,"Central Hawkes Bay District Council","Interest income","Roading",0
2014,"Central Hawkes Bay District Council","Dividend income","Roading",0
2014,"Central Hawkes Bay District Council","Sales and other operating income","Roading",20
2014,"Central Hawkes Bay District Council","Employee costs","Roading",135
2014,"Central Hawkes Bay District Council","Depreciation and amortisation","Roading",8205
2014,"Central Hawkes Bay District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Central Hawkes Bay District Council","Interest expenditure","Roading",24
2014,"Central Hawkes Bay District Council","Purchases and other operating expenditure","Roading",2791
2013,"Central Hawkes Bay District Council","Rates","Roading",6152
2013,"Central Hawkes Bay District Council","Regulatory income and petrol tax","Roading",252
2013,"Central Hawkes Bay District Council","Current grants, subsidies, and donations income","Roading",6858
2013,"Central Hawkes Bay District Council","Interest income","Roading",0
2013,"Central Hawkes Bay District Council","Dividend income","Roading",0
2013,"Central Hawkes Bay District Council","Sales and other operating income","Roading",117
2013,"Central Hawkes Bay District Council","Employee costs","Roading",105
2013,"Central Hawkes Bay District Council","Depreciation and amortisation","Roading",8890
2013,"Central Hawkes Bay District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Central Hawkes Bay District Council","Interest expenditure","Roading",29
2013,"Central Hawkes Bay District Council","Purchases and other operating expenditure","Roading",2984
2012,"Central Hawkes Bay District Council","Rates","Roading",5938
2012,"Central Hawkes Bay District Council","Regulatory income and petrol tax","Roading",131
2012,"Central Hawkes Bay District Council","Current grants, subsidies, and donations income","Roading",8894
2012,"Central Hawkes Bay District Council","Interest income","Roading",0
2012,"Central Hawkes Bay District Council","Dividend income","Roading",0
2012,"Central Hawkes Bay District Council","Sales and other operating income","Roading",10
2012,"Central Hawkes Bay District Council","Employee costs","Roading",195
2012,"Central Hawkes Bay District Council","Depreciation and amortisation","Roading",8804
2012,"Central Hawkes Bay District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Central Hawkes Bay District Council","Interest expenditure","Roading",0
2012,"Central Hawkes Bay District Council","Purchases and other operating expenditure","Roading",5861
2011,"Central Hawkes Bay District Council","Rates","Roading",5752
2011,"Central Hawkes Bay District Council","Regulatory income and petrol tax","Roading",137
2011,"Central Hawkes Bay District Council","Current grants, subsidies, and donations income","Roading",10439
2011,"Central Hawkes Bay District Council","Interest income","Roading",0
2011,"Central Hawkes Bay District Council","Dividend income","Roading",0
2011,"Central Hawkes Bay District Council","Sales and other operating income","Roading",11
2011,"Central Hawkes Bay District Council","Employee costs","Roading",149
2011,"Central Hawkes Bay District Council","Depreciation and amortisation","Roading",8396
2011,"Central Hawkes Bay District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Central Hawkes Bay District Council","Interest expenditure","Roading",39
2011,"Central Hawkes Bay District Council","Purchases and other operating expenditure","Roading",6507
2010,"Central Hawkes Bay District Council","Rates","Roading",5754
2010,"Central Hawkes Bay District Council","Regulatory income and petrol tax","Roading",137
2010,"Central Hawkes Bay District Council","Current grants, subsidies, and donations income","Roading",5575
2010,"Central Hawkes Bay District Council","Interest income","Roading",0
2010,"Central Hawkes Bay District Council","Dividend income","Roading",0
2010,"Central Hawkes Bay District Council","Sales and other operating income","Roading",0
2010,"Central Hawkes Bay District Council","Employee costs","Roading",158
2010,"Central Hawkes Bay District Council","Depreciation and amortisation","Roading",8337
2010,"Central Hawkes Bay District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Central Hawkes Bay District Council","Interest expenditure","Roading",55
2010,"Central Hawkes Bay District Council","Purchases and other operating expenditure","Roading",3568
2009,"Central Hawkes Bay District Council","Rates","Roading",5481
2009,"Central Hawkes Bay District Council","Regulatory income and petrol tax","Roading",126
2009,"Central Hawkes Bay District Council","Current grants, subsidies, and donations income","Roading",5661
2009,"Central Hawkes Bay District Council","Interest income","Roading",0
2009,"Central Hawkes Bay District Council","Dividend income","Roading",0
2009,"Central Hawkes Bay District Council","Sales and other operating income","Roading",11
2009,"Central Hawkes Bay District Council","Employee costs","Roading",126
2009,"Central Hawkes Bay District Council","Depreciation and amortisation","Roading",8434
2009,"Central Hawkes Bay District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Central Hawkes Bay District Council","Interest expenditure","Roading",0
2009,"Central Hawkes Bay District Council","Purchases and other operating expenditure","Roading",4454
2014,"Central Hawkes Bay District Council","Rates","Transportation",0
2014,"Central Hawkes Bay District Council","Regulatory income and petrol tax","Transportation",0
2014,"Central Hawkes Bay District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Central Hawkes Bay District Council","Interest income","Transportation",0
2014,"Central Hawkes Bay District Council","Dividend income","Transportation",0
2014,"Central Hawkes Bay District Council","Sales and other operating income","Transportation",0
2014,"Central Hawkes Bay District Council","Employee costs","Transportation",0
2014,"Central Hawkes Bay District Council","Depreciation and amortisation","Transportation",148
2014,"Central Hawkes Bay District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Central Hawkes Bay District Council","Interest expenditure","Transportation",0
2014,"Central Hawkes Bay District Council","Purchases and other operating expenditure","Transportation",-612
2013,"Central Hawkes Bay District Council","Rates","Transportation",0
2013,"Central Hawkes Bay District Council","Regulatory income and petrol tax","Transportation",0
2013,"Central Hawkes Bay District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Central Hawkes Bay District Council","Interest income","Transportation",0
2013,"Central Hawkes Bay District Council","Dividend income","Transportation",0
2013,"Central Hawkes Bay District Council","Sales and other operating income","Transportation",0
2013,"Central Hawkes Bay District Council","Employee costs","Transportation",0
2013,"Central Hawkes Bay District Council","Depreciation and amortisation","Transportation",0
2013,"Central Hawkes Bay District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Central Hawkes Bay District Council","Interest expenditure","Transportation",0
2013,"Central Hawkes Bay District Council","Purchases and other operating expenditure","Transportation",0
2012,"Central Hawkes Bay District Council","Rates","Transportation",0
2012,"Central Hawkes Bay District Council","Regulatory income and petrol tax","Transportation",0
2012,"Central Hawkes Bay District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Central Hawkes Bay District Council","Interest income","Transportation",0
2012,"Central Hawkes Bay District Council","Dividend income","Transportation",0
2012,"Central Hawkes Bay District Council","Sales and other operating income","Transportation",0
2012,"Central Hawkes Bay District Council","Employee costs","Transportation",0
2012,"Central Hawkes Bay District Council","Depreciation and amortisation","Transportation",0
2012,"Central Hawkes Bay District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Central Hawkes Bay District Council","Interest expenditure","Transportation",0
2012,"Central Hawkes Bay District Council","Purchases and other operating expenditure","Transportation",0
2011,"Central Hawkes Bay District Council","Rates","Transportation",0
2011,"Central Hawkes Bay District Council","Regulatory income and petrol tax","Transportation",0
2011,"Central Hawkes Bay District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Central Hawkes Bay District Council","Interest income","Transportation",0
2011,"Central Hawkes Bay District Council","Dividend income","Transportation",0
2011,"Central Hawkes Bay District Council","Sales and other operating income","Transportation",0
2011,"Central Hawkes Bay District Council","Employee costs","Transportation",0
2011,"Central Hawkes Bay District Council","Depreciation and amortisation","Transportation",0
2011,"Central Hawkes Bay District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Central Hawkes Bay District Council","Interest expenditure","Transportation",0
2011,"Central Hawkes Bay District Council","Purchases and other operating expenditure","Transportation",0
2010,"Central Hawkes Bay District Council","Rates","Transportation",0
2010,"Central Hawkes Bay District Council","Regulatory income and petrol tax","Transportation",0
2010,"Central Hawkes Bay District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Central Hawkes Bay District Council","Interest income","Transportation",0
2010,"Central Hawkes Bay District Council","Dividend income","Transportation",0
2010,"Central Hawkes Bay District Council","Sales and other operating income","Transportation",0
2010,"Central Hawkes Bay District Council","Employee costs","Transportation",0
2010,"Central Hawkes Bay District Council","Depreciation and amortisation","Transportation",0
2010,"Central Hawkes Bay District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Central Hawkes Bay District Council","Interest expenditure","Transportation",0
2010,"Central Hawkes Bay District Council","Purchases and other operating expenditure","Transportation",0
2009,"Central Hawkes Bay District Council","Rates","Transportation",0
2009,"Central Hawkes Bay District Council","Regulatory income and petrol tax","Transportation",0
2009,"Central Hawkes Bay District Council","Current grants, subsidies, and donations income","Transportation",0
2009,"Central Hawkes Bay District Council","Interest income","Transportation",0
2009,"Central Hawkes Bay District Council","Dividend income","Transportation",0
2009,"Central Hawkes Bay District Council","Sales and other operating income","Transportation",0
2009,"Central Hawkes Bay District Council","Employee costs","Transportation",0
2009,"Central Hawkes Bay District Council","Depreciation and amortisation","Transportation",0
2009,"Central Hawkes Bay District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2009,"Central Hawkes Bay District Council","Interest expenditure","Transportation",0
2009,"Central Hawkes Bay District Council","Purchases and other operating expenditure","Transportation",0
2014,"Central Hawkes Bay District Council","Rates","Water supply",2103
2014,"Central Hawkes Bay District Council","Regulatory income and petrol tax","Water supply",0
2014,"Central Hawkes Bay District Council","Current grants, subsidies, and donations income","Water supply",0
2014,"Central Hawkes Bay District Council","Interest income","Water supply",0
2014,"Central Hawkes Bay District Council","Dividend income","Water supply",0
2014,"Central Hawkes Bay District Council","Sales and other operating income","Water supply",337
2014,"Central Hawkes Bay District Council","Employee costs","Water supply",52
2014,"Central Hawkes Bay District Council","Depreciation and amortisation","Water supply",586
2014,"Central Hawkes Bay District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"Central Hawkes Bay District Council","Interest expenditure","Water supply",150
2014,"Central Hawkes Bay District Council","Purchases and other operating expenditure","Water supply",1026
2013,"Central Hawkes Bay District Council","Rates","Water supply",2017
2013,"Central Hawkes Bay District Council","Regulatory income and petrol tax","Water supply",0
2013,"Central Hawkes Bay District Council","Current grants, subsidies, and donations income","Water supply",0
2013,"Central Hawkes Bay District Council","Interest income","Water supply",0
2013,"Central Hawkes Bay District Council","Dividend income","Water supply",0
2013,"Central Hawkes Bay District Council","Sales and other operating income","Water supply",285
2013,"Central Hawkes Bay District Council","Employee costs","Water supply",0
2013,"Central Hawkes Bay District Council","Depreciation and amortisation","Water supply",603
2013,"Central Hawkes Bay District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2013,"Central Hawkes Bay District Council","Interest expenditure","Water supply",171
2013,"Central Hawkes Bay District Council","Purchases and other operating expenditure","Water supply",1046
2012,"Central Hawkes Bay District Council","Rates","Water supply",1928
2012,"Central Hawkes Bay District Council","Regulatory income and petrol tax","Water supply",0
2012,"Central Hawkes Bay District Council","Current grants, subsidies, and donations income","Water supply",0
2012,"Central Hawkes Bay District Council","Interest income","Water supply",0
2012,"Central Hawkes Bay District Council","Dividend income","Water supply",0
2012,"Central Hawkes Bay District Council","Sales and other operating income","Water supply",217
2012,"Central Hawkes Bay District Council","Employee costs","Water supply",37
2012,"Central Hawkes Bay District Council","Depreciation and amortisation","Water supply",596
2012,"Central Hawkes Bay District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2012,"Central Hawkes Bay District Council","Interest expenditure","Water supply",208
2012,"Central Hawkes Bay District Council","Purchases and other operating expenditure","Water supply",1131
2011,"Central Hawkes Bay District Council","Rates","Water supply",1807
2011,"Central Hawkes Bay District Council","Regulatory income and petrol tax","Water supply",0
2011,"Central Hawkes Bay District Council","Current grants, subsidies, and donations income","Water supply",0
2011,"Central Hawkes Bay District Council","Interest income","Water supply",0
2011,"Central Hawkes Bay District Council","Dividend income","Water supply",0
2011,"Central Hawkes Bay District Council","Sales and other operating income","Water supply",265
2011,"Central Hawkes Bay District Council","Employee costs","Water supply",43
2011,"Central Hawkes Bay District Council","Depreciation and amortisation","Water supply",487
2011,"Central Hawkes Bay District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2011,"Central Hawkes Bay District Council","Interest expenditure","Water supply",185
2011,"Central Hawkes Bay District Council","Purchases and other operating expenditure","Water supply",955
2010,"Central Hawkes Bay District Council","Rates","Water supply",1883
2010,"Central Hawkes Bay District Council","Regulatory income and petrol tax","Water supply",0
2010,"Central Hawkes Bay District Council","Current grants, subsidies, and donations income","Water supply",0
2010,"Central Hawkes Bay District Council","Interest income","Water supply",0
2010,"Central Hawkes Bay District Council","Dividend income","Water supply",0
2010,"Central Hawkes Bay District Council","Sales and other operating income","Water supply",286
2010,"Central Hawkes Bay District Council","Employee costs","Water supply",31
2010,"Central Hawkes Bay District Council","Depreciation and amortisation","Water supply",462
2010,"Central Hawkes Bay District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2010,"Central Hawkes Bay District Council","Interest expenditure","Water supply",185
2010,"Central Hawkes Bay District Council","Purchases and other operating expenditure","Water supply",942
2009,"Central Hawkes Bay District Council","Rates","Water supply",1608
2009,"Central Hawkes Bay District Council","Regulatory income and petrol tax","Water supply",0
2009,"Central Hawkes Bay District Council","Current grants, subsidies, and donations income","Water supply",0
2009,"Central Hawkes Bay District Council","Interest income","Water supply",0
2009,"Central Hawkes Bay District Council","Dividend income","Water supply",0
2009,"Central Hawkes Bay District Council","Sales and other operating income","Water supply",292
2009,"Central Hawkes Bay District Council","Employee costs","Water supply",38
