"year","council","income","activity","val"
2014,"Central Otago District Council","Rates","Roading",0
2014,"Central Otago District Council","Regulatory income and petrol tax","Roading",0
2014,"Central Otago District Council","Current grants, subsidies, and donations income","Roading",0
2014,"Central Otago District Council","Interest income","Roading",0
2014,"Central Otago District Council","Dividend income","Roading",0
2014,"Central Otago District Council","Sales and other operating income","Roading",0
2014,"Central Otago District Council","Employee costs","Roading",-2110
2014,"Central Otago District Council","Depreciation and amortisation","Roading",0
2014,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Central Otago District Council","Interest expenditure","Roading",0
2014,"Central Otago District Council","Purchases and other operating expenditure","Roading",0
2013,"Central Otago District Council","Rates","Roading",0
2013,"Central Otago District Council","Regulatory income and petrol tax","Roading",0
2013,"Central Otago District Council","Current grants, subsidies, and donations income","Roading",0
2013,"Central Otago District Council","Interest income","Roading",0
2013,"Central Otago District Council","Dividend income","Roading",0
2013,"Central Otago District Council","Sales and other operating income","Roading",0
2013,"Central Otago District Council","Employee costs","Roading",0
2013,"Central Otago District Council","Depreciation and amortisation","Roading",0
2013,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Central Otago District Council","Interest expenditure","Roading",0
2013,"Central Otago District Council","Purchases and other operating expenditure","Roading",2139
2012,"Central Otago District Council","Rates","Roading",4548
2012,"Central Otago District Council","Regulatory income and petrol tax","Roading",122
2012,"Central Otago District Council","Current grants, subsidies, and donations income","Roading",0
2012,"Central Otago District Council","Interest income","Roading",0
2012,"Central Otago District Council","Dividend income","Roading",0
2012,"Central Otago District Council","Sales and other operating income","Roading",84
2012,"Central Otago District Council","Employee costs","Roading",304
2012,"Central Otago District Council","Depreciation and amortisation","Roading",3133
2012,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Central Otago District Council","Interest expenditure","Roading",0
2012,"Central Otago District Council","Purchases and other operating expenditure","Roading",4588
2011,"Central Otago District Council","Rates","Roading",4439
2011,"Central Otago District Council","Regulatory income and petrol tax","Roading",129
2011,"Central Otago District Council","Current grants, subsidies, and donations income","Roading",0
2011,"Central Otago District Council","Interest income","Roading",0
2011,"Central Otago District Council","Dividend income","Roading",0
2011,"Central Otago District Council","Sales and other operating income","Roading",52
2011,"Central Otago District Council","Employee costs","Roading",347
2011,"Central Otago District Council","Depreciation and amortisation","Roading",4398
2011,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Central Otago District Council","Interest expenditure","Roading",0
2011,"Central Otago District Council","Purchases and other operating expenditure","Roading",2914
2010,"Central Otago District Council","Rates","Roading",4113
2010,"Central Otago District Council","Regulatory income and petrol tax","Roading",127
2010,"Central Otago District Council","Current grants, subsidies, and donations income","Roading",3250
2010,"Central Otago District Council","Interest income","Roading",0
2010,"Central Otago District Council","Dividend income","Roading",0
2010,"Central Otago District Council","Sales and other operating income","Roading",167
2010,"Central Otago District Council","Employee costs","Roading",203
2010,"Central Otago District Council","Depreciation and amortisation","Roading",4184
2010,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Central Otago District Council","Interest expenditure","Roading",0
2010,"Central Otago District Council","Purchases and other operating expenditure","Roading",3599
2009,"Central Otago District Council","Rates","Roading",3795
2009,"Central Otago District Council","Regulatory income and petrol tax","Roading",127
2009,"Central Otago District Council","Current grants, subsidies, and donations income","Roading",3255
2009,"Central Otago District Council","Interest income","Roading",0
2009,"Central Otago District Council","Dividend income","Roading",0
2009,"Central Otago District Council","Sales and other operating income","Roading",111
2009,"Central Otago District Council","Employee costs","Roading",253
2009,"Central Otago District Council","Depreciation and amortisation","Roading",3977
2009,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Central Otago District Council","Interest expenditure","Roading",0
2009,"Central Otago District Council","Purchases and other operating expenditure","Roading",3889
2014,"Central Otago District Council","Rates","Transportation",4439
2014,"Central Otago District Council","Regulatory income and petrol tax","Transportation",184
2014,"Central Otago District Council","Current grants, subsidies, and donations income","Transportation",1526
2014,"Central Otago District Council","Interest income","Transportation",0
2014,"Central Otago District Council","Dividend income","Transportation",0
2014,"Central Otago District Council","Sales and other operating income","Transportation",35
2014,"Central Otago District Council","Employee costs","Transportation",3189
2014,"Central Otago District Council","Depreciation and amortisation","Transportation",4299
2014,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Central Otago District Council","Interest expenditure","Transportation",0
2014,"Central Otago District Council","Purchases and other operating expenditure","Transportation",2154
2013,"Central Otago District Council","Rates","Transportation",4264
2013,"Central Otago District Council","Regulatory income and petrol tax","Transportation",197
2013,"Central Otago District Council","Current grants, subsidies, and donations income","Transportation",1506
2013,"Central Otago District Council","Interest income","Transportation",0
2013,"Central Otago District Council","Dividend income","Transportation",0
2013,"Central Otago District Council","Sales and other operating income","Transportation",4
2013,"Central Otago District Council","Employee costs","Transportation",1025
2013,"Central Otago District Council","Depreciation and amortisation","Transportation",4458
2013,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Central Otago District Council","Interest expenditure","Transportation",0
2013,"Central Otago District Council","Purchases and other operating expenditure","Transportation",41
2012,"Central Otago District Council","Rates","Transportation",33
2012,"Central Otago District Council","Regulatory income and petrol tax","Transportation",0
2012,"Central Otago District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Central Otago District Council","Interest income","Transportation",0
2012,"Central Otago District Council","Dividend income","Transportation",0
2012,"Central Otago District Council","Sales and other operating income","Transportation",24
