"year","council","income","activity","val"
2014,"Chatham Islands Council","Rates","Roading",47
2014,"Chatham Islands Council","Regulatory income and petrol tax","Roading",0
2014,"Chatham Islands Council","Current grants, subsidies, and donations income","Roading",1246
2014,"Chatham Islands Council","Interest income","Roading",0
2014,"Chatham Islands Council","Dividend income","Roading",0
2014,"Chatham Islands Council","Sales and other operating income","Roading",5
2014,"Chatham Islands Council","Employee costs","Roading",0
2014,"Chatham Islands Council","Depreciation and amortisation","Roading",1762
2014,"Chatham Islands Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Chatham Islands Council","Interest expenditure","Roading",0
2014,"Chatham Islands Council","Purchases and other operating expenditure","Roading",1733
2013,"Chatham Islands Council","Rates","Roading",48
2013,"Chatham Islands Council","Regulatory income and petrol tax","Roading",0
2013,"Chatham Islands Council","Current grants, subsidies, and donations income","Roading",1108
2013,"Chatham Islands Council","Interest income","Roading",0
2013,"Chatham Islands Council","Dividend income","Roading",0
2013,"Chatham Islands Council","Sales and other operating income","Roading",9
2013,"Chatham Islands Council","Employee costs","Roading",0
2013,"Chatham Islands Council","Depreciation and amortisation","Roading",1624
2013,"Chatham Islands Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Chatham Islands Council","Interest expenditure","Roading",0
2013,"Chatham Islands Council","Purchases and other operating expenditure","Roading",1500
2012,"Chatham Islands Council","Rates","Roading",151
2012,"Chatham Islands Council","Regulatory income and petrol tax","Roading",0
2012,"Chatham Islands Council","Current grants, subsidies, and donations income","Roading",1975
2012,"Chatham Islands Council","Interest income","Roading",0
2012,"Chatham Islands Council","Dividend income","Roading",0
2012,"Chatham Islands Council","Sales and other operating income","Roading",63
2012,"Chatham Islands Council","Employee costs","Roading",0
2012,"Chatham Islands Council","Depreciation and amortisation","Roading",1476
2012,"Chatham Islands Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Chatham Islands Council","Interest expenditure","Roading",0
2012,"Chatham Islands Council","Purchases and other operating expenditure","Roading",1721
2011,"Chatham Islands Council","Rates","Roading",45
2011,"Chatham Islands Council","Regulatory income and petrol tax","Roading",0
2011,"Chatham Islands Council","Current grants, subsidies, and donations income","Roading",3407
2011,"Chatham Islands Council","Interest income","Roading",0
2011,"Chatham Islands Council","Dividend income","Roading",0
2011,"Chatham Islands Council","Sales and other operating income","Roading",5
2011,"Chatham Islands Council","Employee costs","Roading",0
2011,"Chatham Islands Council","Depreciation and amortisation","Roading",2008
2011,"Chatham Islands Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Chatham Islands Council","Interest expenditure","Roading",0
2011,"Chatham Islands Council","Purchases and other operating expenditure","Roading",1586
2010,"Chatham Islands Council","Rates","Roading",43
2010,"Chatham Islands Council","Regulatory income and petrol tax","Roading",0
2010,"Chatham Islands Council","Current grants, subsidies, and donations income","Roading",3577
2010,"Chatham Islands Council","Interest income","Roading",0
2010,"Chatham Islands Council","Dividend income","Roading",0
2010,"Chatham Islands Council","Sales and other operating income","Roading",15
2010,"Chatham Islands Council","Employee costs","Roading",0
