"year","council","income","activity","val"
2014,"Christchurch City Council","Rates","Roading",20285
2014,"Christchurch City Council","Regulatory income and petrol tax","Roading",3596
2014,"Christchurch City Council","Current grants, subsidies, and donations income","Roading",16634
2014,"Christchurch City Council","Interest income","Roading",0
2014,"Christchurch City Council","Dividend income","Roading",0
2014,"Christchurch City Council","Sales and other operating income","Roading",6476
2014,"Christchurch City Council","Employee costs","Roading",9120
2014,"Christchurch City Council","Depreciation and amortisation","Roading",37062
2014,"Christchurch City Council","Current grants, subsidies, and donations expenditure","Roading",1780
2014,"Christchurch City Council","Interest expenditure","Roading",2877
2014,"Christchurch City Council","Purchases and other operating expenditure","Roading",15830
2013,"Christchurch City Council","Rates","Roading",29059
2013,"Christchurch City Council","Regulatory income and petrol tax","Roading",3553
2013,"Christchurch City Council","Current grants, subsidies, and donations income","Roading",13218
2013,"Christchurch City Council","Interest income","Roading",0
2013,"Christchurch City Council","Dividend income","Roading",0
2013,"Christchurch City Council","Sales and other operating income","Roading",9737
2013,"Christchurch City Council","Employee costs","Roading",3197
2013,"Christchurch City Council","Depreciation and amortisation","Roading",37468
2013,"Christchurch City Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Christchurch City Council","Interest expenditure","Roading",0
2013,"Christchurch City Council","Purchases and other operating expenditure","Roading",17358
2012,"Christchurch City Council","Rates","Roading",46032
2012,"Christchurch City Council","Regulatory income and petrol tax","Roading",3352
2012,"Christchurch City Council","Current grants, subsidies, and donations income","Roading",11289
2012,"Christchurch City Council","Interest income","Roading",0
2012,"Christchurch City Council","Dividend income","Roading",0
2012,"Christchurch City Council","Sales and other operating income","Roading",14995
2012,"Christchurch City Council","Employee costs","Roading",3784
2012,"Christchurch City Council","Depreciation and amortisation","Roading",38024
2012,"Christchurch City Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Christchurch City Council","Interest expenditure","Roading",0
2012,"Christchurch City Council","Purchases and other operating expenditure","Roading",68155
2011,"Christchurch City Council","Rates","Roading",46332
2011,"Christchurch City Council","Regulatory income and petrol tax","Roading",3519
2011,"Christchurch City Council","Current grants, subsidies, and donations income","Roading",67139
2011,"Christchurch City Council","Interest income","Roading",0
2011,"Christchurch City Council","Dividend income","Roading",0
2011,"Christchurch City Council","Sales and other operating income","Roading",6544
2011,"Christchurch City Council","Employee costs","Roading",21893
2011,"Christchurch City Council","Depreciation and amortisation","Roading",39135
2011,"Christchurch City Council","Current grants, subsidies, and donations expenditure","Roading",5
2011,"Christchurch City Council","Interest expenditure","Roading",4351
2011,"Christchurch City Council","Purchases and other operating expenditure","Roading",113012
2010,"Christchurch City Council","Rates","Roading",31531
2010,"Christchurch City Council","Regulatory income and petrol tax","Roading",2553
2010,"Christchurch City Council","Current grants, subsidies, and donations income","Roading",6654
2010,"Christchurch City Council","Interest income","Roading",0
2010,"Christchurch City Council","Dividend income","Roading",0
2010,"Christchurch City Council","Sales and other operating income","Roading",2992
2010,"Christchurch City Council","Employee costs","Roading",2162
2010,"Christchurch City Council","Depreciation and amortisation","Roading",38218
