"year","council","income","activity","val"
2014,"Clutha District Council","Rates","Roading",7505
2014,"Clutha District Council","Regulatory income and petrol tax","Roading",381
2014,"Clutha District Council","Current grants, subsidies, and donations income","Roading",3003
2014,"Clutha District Council","Interest income","Roading",0
2014,"Clutha District Council","Dividend income","Roading",0
2014,"Clutha District Council","Sales and other operating income","Roading",88
2014,"Clutha District Council","Employee costs","Roading",508
2014,"Clutha District Council","Depreciation and amortisation","Roading",9512
2014,"Clutha District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Clutha District Council","Interest expenditure","Roading",0
2014,"Clutha District Council","Purchases and other operating expenditure","Roading",4890
2013,"Clutha District Council","Rates","Roading",7574
2013,"Clutha District Council","Regulatory income and petrol tax","Roading",298
2013,"Clutha District Council","Current grants, subsidies, and donations income","Roading",2886
2013,"Clutha District Council","Interest income","Roading",0
2013,"Clutha District Council","Dividend income","Roading",0
2013,"Clutha District Council","Sales and other operating income","Roading",0
2013,"Clutha District Council","Employee costs","Roading",459
2013,"Clutha District Council","Depreciation and amortisation","Roading",8783
2013,"Clutha District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Clutha District Council","Interest expenditure","Roading",0
2013,"Clutha District Council","Purchases and other operating expenditure","Roading",5113
2012,"Clutha District Council","Rates","Roading",7529
2012,"Clutha District Council","Regulatory income and petrol tax","Roading",274
2012,"Clutha District Council","Current grants, subsidies, and donations income","Roading",3025
2012,"Clutha District Council","Interest income","Roading",0
2012,"Clutha District Council","Dividend income","Roading",0
2012,"Clutha District Council","Sales and other operating income","Roading",0
2012,"Clutha District Council","Employee costs","Roading",492
2012,"Clutha District Council","Depreciation and amortisation","Roading",11888
2012,"Clutha District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Clutha District Council","Interest expenditure","Roading",0
2012,"Clutha District Council","Purchases and other operating expenditure","Roading",5192
2011,"Clutha District Council","Rates","Roading",7440
2011,"Clutha District Council","Regulatory income and petrol tax","Roading",210
2011,"Clutha District Council","Current grants, subsidies, and donations income","Roading",3276
2011,"Clutha District Council","Interest income","Roading",0
2011,"Clutha District Council","Dividend income","Roading",0
2011,"Clutha District Council","Sales and other operating income","Roading",0
2011,"Clutha District Council","Employee costs","Roading",501
2011,"Clutha District Council","Depreciation and amortisation","Roading",11899
2011,"Clutha District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Clutha District Council","Interest expenditure","Roading",0
2011,"Clutha District Council","Purchases and other operating expenditure","Roading",6285
2010,"Clutha District Council","Rates","Roading",7605
2010,"Clutha District Council","Regulatory income and petrol tax","Roading",241
2010,"Clutha District Council","Current grants, subsidies, and donations income","Roading",2987
2010,"Clutha District Council","Interest income","Roading",0
2010,"Clutha District Council","Dividend income","Roading",0
2010,"Clutha District Council","Sales and other operating income","Roading",0
2010,"Clutha District Council","Employee costs","Roading",455
2010,"Clutha District Council","Depreciation and amortisation","Roading",10305
2010,"Clutha District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Clutha District Council","Interest expenditure","Roading",0
2010,"Clutha District Council","Purchases and other operating expenditure","Roading",4972
2009,"Clutha District Council","Rates","Roading",7163
2009,"Clutha District Council","Regulatory income and petrol tax","Roading",203
2009,"Clutha District Council","Current grants, subsidies, and donations income","Roading",3476
2009,"Clutha District Council","Interest income","Roading",0
2009,"Clutha District Council","Dividend income","Roading",0
2009,"Clutha District Council","Sales and other operating income","Roading",0
2009,"Clutha District Council","Employee costs","Roading",443
2009,"Clutha District Council","Depreciation and amortisation","Roading",10955
2009,"Clutha District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Clutha District Council","Interest expenditure","Roading",0
2009,"Clutha District Council","Purchases and other operating expenditure","Roading",6140
2014,"Clutha District Council","Rates","Transportation",0
2014,"Clutha District Council","Regulatory income and petrol tax","Transportation",0
2014,"Clutha District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Clutha District Council","Interest income","Transportation",0
2014,"Clutha District Council","Dividend income","Transportation",0
2014,"Clutha District Council","Sales and other operating income","Transportation",0
2014,"Clutha District Council","Employee costs","Transportation",0
2014,"Clutha District Council","Depreciation and amortisation","Transportation",0
2014,"Clutha District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Clutha District Council","Interest expenditure","Transportation",0
2014,"Clutha District Council","Purchases and other operating expenditure","Transportation",0
2013,"Clutha District Council","Rates","Transportation",0
2013,"Clutha District Council","Regulatory income and petrol tax","Transportation",0
2013,"Clutha District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Clutha District Council","Interest income","Transportation",0
2013,"Clutha District Council","Dividend income","Transportation",0
2013,"Clutha District Council","Sales and other operating income","Transportation",0
2013,"Clutha District Council","Employee costs","Transportation",0
2013,"Clutha District Council","Depreciation and amortisation","Transportation",0
2013,"Clutha District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Clutha District Council","Interest expenditure","Transportation",0
2013,"Clutha District Council","Purchases and other operating expenditure","Transportation",0
2012,"Clutha District Council","Rates","Transportation",0
2012,"Clutha District Council","Regulatory income and petrol tax","Transportation",0
2012,"Clutha District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Clutha District Council","Interest income","Transportation",0
2012,"Clutha District Council","Dividend income","Transportation",0
2012,"Clutha District Council","Sales and other operating income","Transportation",0
2012,"Clutha District Council","Employee costs","Transportation",0
2012,"Clutha District Council","Depreciation and amortisation","Transportation",0
2012,"Clutha District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Clutha District Council","Interest expenditure","Transportation",0
