"year","council","income","activity","val"
2014,"Dunedin City Council","Rates","Roading",19908
2014,"Dunedin City Council","Regulatory income and petrol tax","Roading",781
2014,"Dunedin City Council","Current grants, subsidies, and donations income","Roading",7139
2014,"Dunedin City Council","Interest income","Roading",0
2014,"Dunedin City Council","Dividend income","Roading",0
2014,"Dunedin City Council","Sales and other operating income","Roading",434
2014,"Dunedin City Council","Employee costs","Roading",2106
2014,"Dunedin City Council","Depreciation and amortisation","Roading",17792
2014,"Dunedin City Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Dunedin City Council","Interest expenditure","Roading",1224
2014,"Dunedin City Council","Purchases and other operating expenditure","Roading",14297
2013,"Dunedin City Council","Rates","Roading",21145
2013,"Dunedin City Council","Regulatory income and petrol tax","Roading",880
2013,"Dunedin City Council","Current grants, subsidies, and donations income","Roading",8045
2013,"Dunedin City Council","Interest income","Roading",0
2013,"Dunedin City Council","Dividend income","Roading",0
2013,"Dunedin City Council","Sales and other operating income","Roading",253
2013,"Dunedin City Council","Employee costs","Roading",1929
2013,"Dunedin City Council","Depreciation and amortisation","Roading",18049
2013,"Dunedin City Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Dunedin City Council","Interest expenditure","Roading",1288
2013,"Dunedin City Council","Purchases and other operating expenditure","Roading",16160
2012,"Dunedin City Council","Rates","Roading",21381
2012,"Dunedin City Council","Regulatory income and petrol tax","Roading",805
2012,"Dunedin City Council","Current grants, subsidies, and donations income","Roading",8003
2012,"Dunedin City Council","Interest income","Roading",0
2012,"Dunedin City Council","Dividend income","Roading",0
2012,"Dunedin City Council","Sales and other operating income","Roading",187
2012,"Dunedin City Council","Employee costs","Roading",1828
2012,"Dunedin City Council","Depreciation and amortisation","Roading",17954
2012,"Dunedin City Council","Current grants, subsidies, and donations expenditure","Roading",20
2012,"Dunedin City Council","Interest expenditure","Roading",1292
2012,"Dunedin City Council","Purchases and other operating expenditure","Roading",15839
2011,"Dunedin City Council","Rates","Roading",20231
2011,"Dunedin City Council","Regulatory income and petrol tax","Roading",823
2011,"Dunedin City Council","Current grants, subsidies, and donations income","Roading",7152
2011,"Dunedin City Council","Interest income","Roading",0
2011,"Dunedin City Council","Dividend income","Roading",0
2011,"Dunedin City Council","Sales and other operating income","Roading",180
2011,"Dunedin City Council","Employee costs","Roading",1727
2011,"Dunedin City Council","Depreciation and amortisation","Roading",17430
2011,"Dunedin City Council","Current grants, subsidies, and donations expenditure","Roading",44
2011,"Dunedin City Council","Interest expenditure","Roading",1028
2011,"Dunedin City Council","Purchases and other operating expenditure","Roading",14506
2010,"Dunedin City Council","Rates","Roading",19268
2010,"Dunedin City Council","Regulatory income and petrol tax","Roading",847
2010,"Dunedin City Council","Current grants, subsidies, and donations income","Roading",7242
2010,"Dunedin City Council","Interest income","Roading",0
2010,"Dunedin City Council","Dividend income","Roading",0
2010,"Dunedin City Council","Sales and other operating income","Roading",561
2010,"Dunedin City Council","Employee costs","Roading",1645
2010,"Dunedin City Council","Depreciation and amortisation","Roading",16465
2010,"Dunedin City Council","Current grants, subsidies, and donations expenditure","Roading",70
2010,"Dunedin City Council","Interest expenditure","Roading",642
2010,"Dunedin City Council","Purchases and other operating expenditure","Roading",12330
2009,"Dunedin City Council","Rates","Roading",13317
2009,"Dunedin City Council","Regulatory income and petrol tax","Roading",805
2009,"Dunedin City Council","Current grants, subsidies, and donations income","Roading",7545
2009,"Dunedin City Council","Interest income","Roading",0
2009,"Dunedin City Council","Dividend income","Roading",0
2009,"Dunedin City Council","Sales and other operating income","Roading",1089
