"year","council","income","activity","val"
2014,"Far North District Council","Rates","Roading",14338
2014,"Far North District Council","Regulatory income and petrol tax","Roading",689
2014,"Far North District Council","Current grants, subsidies, and donations income","Roading",5756
2014,"Far North District Council","Interest income","Roading",0
2014,"Far North District Council","Dividend income","Roading",0
2014,"Far North District Council","Sales and other operating income","Roading",13
2014,"Far North District Council","Employee costs","Roading",1087
2014,"Far North District Council","Depreciation and amortisation","Roading",15746
2014,"Far North District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Far North District Council","Interest expenditure","Roading",0
2014,"Far North District Council","Purchases and other operating expenditure","Roading",11742
2013,"Far North District Council","Rates","Roading",14178
2013,"Far North District Council","Regulatory income and petrol tax","Roading",580
2013,"Far North District Council","Current grants, subsidies, and donations income","Roading",5706
2013,"Far North District Council","Interest income","Roading",0
2013,"Far North District Council","Dividend income","Roading",0
2013,"Far North District Council","Sales and other operating income","Roading",0
2013,"Far North District Council","Employee costs","Roading",969
2013,"Far North District Council","Depreciation and amortisation","Roading",15654
2013,"Far North District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Far North District Council","Interest expenditure","Roading",0
2013,"Far North District Council","Purchases and other operating expenditure","Roading",9240
2012,"Far North District Council","Rates","Roading",14176
2012,"Far North District Council","Regulatory income and petrol tax","Roading",715
2012,"Far North District Council","Current grants, subsidies, and donations income","Roading",8240
2012,"Far North District Council","Interest income","Roading",0
2012,"Far North District Council","Dividend income","Roading",0
2012,"Far North District Council","Sales and other operating income","Roading",0
2012,"Far North District Council","Employee costs","Roading",933
2012,"Far North District Council","Depreciation and amortisation","Roading",15119
2012,"Far North District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Far North District Council","Interest expenditure","Roading",792
2012,"Far North District Council","Purchases and other operating expenditure","Roading",13394
2011,"Far North District Council","Rates","Roading",13627
2011,"Far North District Council","Regulatory income and petrol tax","Roading",786
2011,"Far North District Council","Current grants, subsidies, and donations income","Roading",8635
2011,"Far North District Council","Interest income","Roading",0
2011,"Far North District Council","Dividend income","Roading",0
2011,"Far North District Council","Sales and other operating income","Roading",0
2011,"Far North District Council","Employee costs","Roading",869
2011,"Far North District Council","Depreciation and amortisation","Roading",14820
2011,"Far North District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Far North District Council","Interest expenditure","Roading",844
2011,"Far North District Council","Purchases and other operating expenditure","Roading",14007
2010,"Far North District Council","Rates","Roading",12898
2010,"Far North District Council","Regulatory income and petrol tax","Roading",531
2010,"Far North District Council","Current grants, subsidies, and donations income","Roading",6289
2010,"Far North District Council","Interest income","Roading",0
2010,"Far North District Council","Dividend income","Roading",0
2010,"Far North District Council","Sales and other operating income","Roading",181
2010,"Far North District Council","Employee costs","Roading",647
2010,"Far North District Council","Depreciation and amortisation","Roading",14230
2010,"Far North District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Far North District Council","Interest expenditure","Roading",640
2010,"Far North District Council","Purchases and other operating expenditure","Roading",10735
2009,"Far North District Council","Rates","Roading",11401
2009,"Far North District Council","Regulatory income and petrol tax","Roading",676
2009,"Far North District Council","Current grants, subsidies, and donations income","Roading",14489
2009,"Far North District Council","Interest income","Roading",0
