"year","council","income","activity","val"
2014,"Gisborne District Council","Rates","Roading",7532
2014,"Gisborne District Council","Regulatory income and petrol tax","Roading",311
2014,"Gisborne District Council","Current grants, subsidies, and donations income","Roading",8952
2014,"Gisborne District Council","Interest income","Roading",0
2014,"Gisborne District Council","Dividend income","Roading",0
2014,"Gisborne District Council","Sales and other operating income","Roading",2792
2014,"Gisborne District Council","Employee costs","Roading",181
2014,"Gisborne District Council","Depreciation and amortisation","Roading",10488
2014,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Gisborne District Council","Interest expenditure","Roading",60
2014,"Gisborne District Council","Purchases and other operating expenditure","Roading",15059
2013,"Gisborne District Council","Rates","Roading",9672
2013,"Gisborne District Council","Regulatory income and petrol tax","Roading",327
2013,"Gisborne District Council","Current grants, subsidies, and donations income","Roading",9364
2013,"Gisborne District Council","Interest income","Roading",0
2013,"Gisborne District Council","Dividend income","Roading",0
2013,"Gisborne District Council","Sales and other operating income","Roading",10
2013,"Gisborne District Council","Employee costs","Roading",36
2013,"Gisborne District Council","Depreciation and amortisation","Roading",10407
2013,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Gisborne District Council","Interest expenditure","Roading",0
2013,"Gisborne District Council","Purchases and other operating expenditure","Roading",14714
2012,"Gisborne District Council","Rates","Roading",8706
2012,"Gisborne District Council","Regulatory income and petrol tax","Roading",322
2012,"Gisborne District Council","Current grants, subsidies, and donations income","Roading",8463
2012,"Gisborne District Council","Interest income","Roading",0
2012,"Gisborne District Council","Dividend income","Roading",0
2012,"Gisborne District Council","Sales and other operating income","Roading",6
2012,"Gisborne District Council","Employee costs","Roading",35
2012,"Gisborne District Council","Depreciation and amortisation","Roading",10275
2012,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Gisborne District Council","Interest expenditure","Roading",0
2012,"Gisborne District Council","Purchases and other operating expenditure","Roading",13374
2011,"Gisborne District Council","Rates","Roading",8294
2011,"Gisborne District Council","Regulatory income and petrol tax","Roading",326
2011,"Gisborne District Council","Current grants, subsidies, and donations income","Roading",10898
2011,"Gisborne District Council","Interest income","Roading",0
2011,"Gisborne District Council","Dividend income","Roading",0
2011,"Gisborne District Council","Sales and other operating income","Roading",8
2011,"Gisborne District Council","Employee costs","Roading",38
2011,"Gisborne District Council","Depreciation and amortisation","Roading",9744
2011,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Gisborne District Council","Interest expenditure","Roading",0
2011,"Gisborne District Council","Purchases and other operating expenditure","Roading",15797
2010,"Gisborne District Council","Rates","Roading",8618
2010,"Gisborne District Council","Regulatory income and petrol tax","Roading",345
2010,"Gisborne District Council","Current grants, subsidies, and donations income","Roading",9769
2010,"Gisborne District Council","Interest income","Roading",0
2010,"Gisborne District Council","Dividend income","Roading",0
2010,"Gisborne District Council","Sales and other operating income","Roading",34
2010,"Gisborne District Council","Employee costs","Roading",34
2010,"Gisborne District Council","Depreciation and amortisation","Roading",9336
2010,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Gisborne District Council","Interest expenditure","Roading",0
2010,"Gisborne District Council","Purchases and other operating expenditure","Roading",14725
2009,"Gisborne District Council","Rates","Roading",9119
2009,"Gisborne District Council","Regulatory income and petrol tax","Roading",283
2009,"Gisborne District Council","Current grants, subsidies, and donations income","Roading",10723
2009,"Gisborne District Council","Interest income","Roading",0
2009,"Gisborne District Council","Dividend income","Roading",0
2009,"Gisborne District Council","Sales and other operating income","Roading",34
2009,"Gisborne District Council","Employee costs","Roading",61
2009,"Gisborne District Council","Depreciation and amortisation","Roading",8665
2009,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Gisborne District Council","Interest expenditure","Roading",0
2009,"Gisborne District Council","Purchases and other operating expenditure","Roading",13578
2014,"Gisborne District Council","Rates","Transportation",404
2014,"Gisborne District Council","Regulatory income and petrol tax","Transportation",0
2014,"Gisborne District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Gisborne District Council","Interest income","Transportation",0
2014,"Gisborne District Council","Dividend income","Transportation",0
2014,"Gisborne District Council","Sales and other operating income","Transportation",409
2014,"Gisborne District Council","Employee costs","Transportation",314
2014,"Gisborne District Council","Depreciation and amortisation","Transportation",0
2014,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Gisborne District Council","Interest expenditure","Transportation",0
2014,"Gisborne District Council","Purchases and other operating expenditure","Transportation",161
2013,"Gisborne District Council","Rates","Transportation",-696
2013,"Gisborne District Council","Regulatory income and petrol tax","Transportation",0
2013,"Gisborne District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Gisborne District Council","Interest income","Transportation",0
2013,"Gisborne District Council","Dividend income","Transportation",0
2013,"Gisborne District Council","Sales and other operating income","Transportation",1413
2013,"Gisborne District Council","Employee costs","Transportation",203
2013,"Gisborne District Council","Depreciation and amortisation","Transportation",0
2013,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Gisborne District Council","Interest expenditure","Transportation",0
2013,"Gisborne District Council","Purchases and other operating expenditure","Transportation",325
2012,"Gisborne District Council","Rates","Transportation",-391
2012,"Gisborne District Council","Regulatory income and petrol tax","Transportation",1091
2012,"Gisborne District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Gisborne District Council","Interest income","Transportation",0
2012,"Gisborne District Council","Dividend income","Transportation",0
2012,"Gisborne District Council","Sales and other operating income","Transportation",0
2012,"Gisborne District Council","Employee costs","Transportation",195
2012,"Gisborne District Council","Depreciation and amortisation","Transportation",0
2012,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Gisborne District Council","Interest expenditure","Transportation",0
2012,"Gisborne District Council","Purchases and other operating expenditure","Transportation",187
2011,"Gisborne District Council","Rates","Transportation",-564
2011,"Gisborne District Council","Regulatory income and petrol tax","Transportation",1204
2011,"Gisborne District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Gisborne District Council","Interest income","Transportation",0
2011,"Gisborne District Council","Dividend income","Transportation",0
2011,"Gisborne District Council","Sales and other operating income","Transportation",0
2011,"Gisborne District Council","Employee costs","Transportation",188
2011,"Gisborne District Council","Depreciation and amortisation","Transportation",9
2011,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Gisborne District Council","Interest expenditure","Transportation",0
2011,"Gisborne District Council","Purchases and other operating expenditure","Transportation",287
2010,"Gisborne District Council","Rates","Transportation",-459
2010,"Gisborne District Council","Regulatory income and petrol tax","Transportation",1077
2010,"Gisborne District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Gisborne District Council","Interest income","Transportation",0
2010,"Gisborne District Council","Dividend income","Transportation",0
2010,"Gisborne District Council","Sales and other operating income","Transportation",0
2010,"Gisborne District Council","Employee costs","Transportation",216
2010,"Gisborne District Council","Depreciation and amortisation","Transportation",9
2010,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Gisborne District Council","Interest expenditure","Transportation",0
2010,"Gisborne District Council","Purchases and other operating expenditure","Transportation",613
2009,"Gisborne District Council","Rates","Transportation",-177
2009,"Gisborne District Council","Regulatory income and petrol tax","Transportation",1648
2009,"Gisborne District Council","Current grants, subsidies, and donations income","Transportation",173
2009,"Gisborne District Council","Interest income","Transportation",0
2009,"Gisborne District Council","Dividend income","Transportation",0
2009,"Gisborne District Council","Sales and other operating income","Transportation",0
2009,"Gisborne District Council","Employee costs","Transportation",171
2009,"Gisborne District Council","Depreciation and amortisation","Transportation",9
2009,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2009,"Gisborne District Council","Interest expenditure","Transportation",0
2009,"Gisborne District Council","Purchases and other operating expenditure","Transportation",588
2014,"Gisborne District Council","Rates","Water supply",2427
2014,"Gisborne District Council","Regulatory income and petrol tax","Water supply",1
2014,"Gisborne District Council","Current grants, subsidies, and donations income","Water supply",0
2014,"Gisborne District Council","Interest income","Water supply",0
2014,"Gisborne District Council","Dividend income","Water supply",0
2014,"Gisborne District Council","Sales and other operating income","Water supply",1932
2014,"Gisborne District Council","Employee costs","Water supply",276
2014,"Gisborne District Council","Depreciation and amortisation","Water supply",2109
2014,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"Gisborne District Council","Interest expenditure","Water supply",23
2014,"Gisborne District Council","Purchases and other operating expenditure","Water supply",2613
2013,"Gisborne District Council","Rates","Water supply",2128
2013,"Gisborne District Council","Regulatory income and petrol tax","Water supply",2
2013,"Gisborne District Council","Current grants, subsidies, and donations income","Water supply",0
2013,"Gisborne District Council","Interest income","Water supply",0
2013,"Gisborne District Council","Dividend income","Water supply",0
2013,"Gisborne District Council","Sales and other operating income","Water supply",2191
2013,"Gisborne District Council","Employee costs","Water supply",48
2013,"Gisborne District Council","Depreciation and amortisation","Water supply",1951
2013,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2013,"Gisborne District Council","Interest expenditure","Water supply",0
2013,"Gisborne District Council","Purchases and other operating expenditure","Water supply",2977
2012,"Gisborne District Council","Rates","Water supply",2782
2012,"Gisborne District Council","Regulatory income and petrol tax","Water supply",3
2012,"Gisborne District Council","Current grants, subsidies, and donations income","Water supply",0
2012,"Gisborne District Council","Interest income","Water supply",0
2012,"Gisborne District Council","Dividend income","Water supply",0
2012,"Gisborne District Council","Sales and other operating income","Water supply",2066
2012,"Gisborne District Council","Employee costs","Water supply",0
2012,"Gisborne District Council","Depreciation and amortisation","Water supply",1991
2012,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2012,"Gisborne District Council","Interest expenditure","Water supply",0
2012,"Gisborne District Council","Purchases and other operating expenditure","Water supply",2802
2011,"Gisborne District Council","Rates","Water supply",3315
2011,"Gisborne District Council","Regulatory income and petrol tax","Water supply",0
2011,"Gisborne District Council","Current grants, subsidies, and donations income","Water supply",0
2011,"Gisborne District Council","Interest income","Water supply",0
2011,"Gisborne District Council","Dividend income","Water supply",0
2011,"Gisborne District Council","Sales and other operating income","Water supply",2087
2011,"Gisborne District Council","Employee costs","Water supply",3
2011,"Gisborne District Council","Depreciation and amortisation","Water supply",1769
2011,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2011,"Gisborne District Council","Interest expenditure","Water supply",0
2011,"Gisborne District Council","Purchases and other operating expenditure","Water supply",2787
2010,"Gisborne District Council","Rates","Water supply",3298
2010,"Gisborne District Council","Regulatory income and petrol tax","Water supply",0
2010,"Gisborne District Council","Current grants, subsidies, and donations income","Water supply",0
2010,"Gisborne District Council","Interest income","Water supply",0
2010,"Gisborne District Council","Dividend income","Water supply",0
2010,"Gisborne District Council","Sales and other operating income","Water supply",1658
2010,"Gisborne District Council","Employee costs","Water supply",3
2010,"Gisborne District Council","Depreciation and amortisation","Water supply",1657
2010,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2010,"Gisborne District Council","Interest expenditure","Water supply",0
2010,"Gisborne District Council","Purchases and other operating expenditure","Water supply",2522
2009,"Gisborne District Council","Rates","Water supply",2707
2009,"Gisborne District Council","Regulatory income and petrol tax","Water supply",0
2009,"Gisborne District Council","Current grants, subsidies, and donations income","Water supply",0
2009,"Gisborne District Council","Interest income","Water supply",0
2009,"Gisborne District Council","Dividend income","Water supply",0
2009,"Gisborne District Council","Sales and other operating income","Water supply",1717
2009,"Gisborne District Council","Employee costs","Water supply",2
2009,"Gisborne District Council","Depreciation and amortisation","Water supply",1563
2009,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2009,"Gisborne District Council","Interest expenditure","Water supply",0
2009,"Gisborne District Council","Purchases and other operating expenditure","Water supply",2576
2014,"Gisborne District Council","Rates","Wastewater",10163
2014,"Gisborne District Council","Regulatory income and petrol tax","Wastewater",0
2014,"Gisborne District Council","Current grants, subsidies, and donations income","Wastewater",0
2014,"Gisborne District Council","Interest income","Wastewater",0
2014,"Gisborne District Council","Dividend income","Wastewater",0
2014,"Gisborne District Council","Sales and other operating income","Wastewater",18
2014,"Gisborne District Council","Employee costs","Wastewater",370
2014,"Gisborne District Council","Depreciation and amortisation","Wastewater",2836
2014,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2014,"Gisborne District Council","Interest expenditure","Wastewater",347
2014,"Gisborne District Council","Purchases and other operating expenditure","Wastewater",3820
2013,"Gisborne District Council","Rates","Wastewater",9715
2013,"Gisborne District Council","Regulatory income and petrol tax","Wastewater",0
2013,"Gisborne District Council","Current grants, subsidies, and donations income","Wastewater",0
2013,"Gisborne District Council","Interest income","Wastewater",0
2013,"Gisborne District Council","Dividend income","Wastewater",0
2013,"Gisborne District Council","Sales and other operating income","Wastewater",327
2013,"Gisborne District Council","Employee costs","Wastewater",0
2013,"Gisborne District Council","Depreciation and amortisation","Wastewater",2830
2013,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2013,"Gisborne District Council","Interest expenditure","Wastewater",0
2013,"Gisborne District Council","Purchases and other operating expenditure","Wastewater",6162
2012,"Gisborne District Council","Rates","Wastewater",9200
2012,"Gisborne District Council","Regulatory income and petrol tax","Wastewater",0
2012,"Gisborne District Council","Current grants, subsidies, and donations income","Wastewater",0
2012,"Gisborne District Council","Interest income","Wastewater",0
2012,"Gisborne District Council","Dividend income","Wastewater",0
2012,"Gisborne District Council","Sales and other operating income","Wastewater",372
2012,"Gisborne District Council","Employee costs","Wastewater",1
2012,"Gisborne District Council","Depreciation and amortisation","Wastewater",2742
2012,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2012,"Gisborne District Council","Interest expenditure","Wastewater",0
2012,"Gisborne District Council","Purchases and other operating expenditure","Wastewater",6042
2011,"Gisborne District Council","Rates","Wastewater",9599
2011,"Gisborne District Council","Regulatory income and petrol tax","Wastewater",0
2011,"Gisborne District Council","Current grants, subsidies, and donations income","Wastewater",0
2011,"Gisborne District Council","Interest income","Wastewater",0
2011,"Gisborne District Council","Dividend income","Wastewater",0
2011,"Gisborne District Council","Sales and other operating income","Wastewater",341
2011,"Gisborne District Council","Employee costs","Wastewater",0
2011,"Gisborne District Council","Depreciation and amortisation","Wastewater",2906
2011,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2011,"Gisborne District Council","Interest expenditure","Wastewater",0
2011,"Gisborne District Council","Purchases and other operating expenditure","Wastewater",3959
2010,"Gisborne District Council","Rates","Wastewater",7770
2010,"Gisborne District Council","Regulatory income and petrol tax","Wastewater",0
2010,"Gisborne District Council","Current grants, subsidies, and donations income","Wastewater",0
2010,"Gisborne District Council","Interest income","Wastewater",0
2010,"Gisborne District Council","Dividend income","Wastewater",0
2010,"Gisborne District Council","Sales and other operating income","Wastewater",226
2010,"Gisborne District Council","Employee costs","Wastewater",0
2010,"Gisborne District Council","Depreciation and amortisation","Wastewater",1890
2010,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2010,"Gisborne District Council","Interest expenditure","Wastewater",0
2010,"Gisborne District Council","Purchases and other operating expenditure","Wastewater",3983
2009,"Gisborne District Council","Rates","Wastewater",7917
2009,"Gisborne District Council","Regulatory income and petrol tax","Wastewater",0
2009,"Gisborne District Council","Current grants, subsidies, and donations income","Wastewater",0
2009,"Gisborne District Council","Interest income","Wastewater",0
2009,"Gisborne District Council","Dividend income","Wastewater",0
2009,"Gisborne District Council","Sales and other operating income","Wastewater",62
2009,"Gisborne District Council","Employee costs","Wastewater",0
2009,"Gisborne District Council","Depreciation and amortisation","Wastewater",1906
2009,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2009,"Gisborne District Council","Interest expenditure","Wastewater",0
2009,"Gisborne District Council","Purchases and other operating expenditure","Wastewater",4220
2014,"Gisborne District Council","Rates","Solid waste/refuse",4257
2014,"Gisborne District Council","Regulatory income and petrol tax","Solid waste/refuse",0
2014,"Gisborne District Council","Current grants, subsidies, and donations income","Solid waste/refuse",0
2014,"Gisborne District Council","Interest income","Solid waste/refuse",0
2014,"Gisborne District Council","Dividend income","Solid waste/refuse",0
2014,"Gisborne District Council","Sales and other operating income","Solid waste/refuse",18
2014,"Gisborne District Council","Employee costs","Solid waste/refuse",110
2014,"Gisborne District Council","Depreciation and amortisation","Solid waste/refuse",264
2014,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",0
2014,"Gisborne District Council","Interest expenditure","Solid waste/refuse",110
2014,"Gisborne District Council","Purchases and other operating expenditure","Solid waste/refuse",3207
2013,"Gisborne District Council","Rates","Solid waste/refuse",4238
2013,"Gisborne District Council","Regulatory income and petrol tax","Solid waste/refuse",0
2013,"Gisborne District Council","Current grants, subsidies, and donations income","Solid waste/refuse",0
2013,"Gisborne District Council","Interest income","Solid waste/refuse",0
2013,"Gisborne District Council","Dividend income","Solid waste/refuse",0
2013,"Gisborne District Council","Sales and other operating income","Solid waste/refuse",114
2013,"Gisborne District Council","Employee costs","Solid waste/refuse",13
2013,"Gisborne District Council","Depreciation and amortisation","Solid waste/refuse",223
2013,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",0
2013,"Gisborne District Council","Interest expenditure","Solid waste/refuse",0
2013,"Gisborne District Council","Purchases and other operating expenditure","Solid waste/refuse",3937
2012,"Gisborne District Council","Rates","Solid waste/refuse",5151
2012,"Gisborne District Council","Regulatory income and petrol tax","Solid waste/refuse",119
2012,"Gisborne District Council","Current grants, subsidies, and donations income","Solid waste/refuse",0
2012,"Gisborne District Council","Interest income","Solid waste/refuse",0
2012,"Gisborne District Council","Dividend income","Solid waste/refuse",0
2012,"Gisborne District Council","Sales and other operating income","Solid waste/refuse",30
2012,"Gisborne District Council","Employee costs","Solid waste/refuse",8
2012,"Gisborne District Council","Depreciation and amortisation","Solid waste/refuse",223
2012,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",0
2012,"Gisborne District Council","Interest expenditure","Solid waste/refuse",0
2012,"Gisborne District Council","Purchases and other operating expenditure","Solid waste/refuse",4077
2011,"Gisborne District Council","Rates","Solid waste/refuse",5137
2011,"Gisborne District Council","Regulatory income and petrol tax","Solid waste/refuse",81
2011,"Gisborne District Council","Current grants, subsidies, and donations income","Solid waste/refuse",0
2011,"Gisborne District Council","Interest income","Solid waste/refuse",0
2011,"Gisborne District Council","Dividend income","Solid waste/refuse",0
2011,"Gisborne District Council","Sales and other operating income","Solid waste/refuse",18
2011,"Gisborne District Council","Employee costs","Solid waste/refuse",0
2011,"Gisborne District Council","Depreciation and amortisation","Solid waste/refuse",379
2011,"Gisborne District Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",0
2011,"Gisborne District Council","Interest expenditure","Solid waste/refuse",0
2011,"Gisborne District Council","Purchases and other operating expenditure","Solid waste/refuse",4010
2010,"Gisborne District Council","Rates","Solid waste/refuse",4106
2010,"Gisborne District Council","Regulatory income and petrol tax","Solid waste/refuse",44
2010,"Gisborne District Council","Current grants, subsidies, and donations income","Solid waste/refuse",0
2010,"Gisborne District Council","Interest income","Solid waste/refuse",0
