"year","council","income","activity","val"
2014,"Gore District Council","Rates","Roading",2109
2014,"Gore District Council","Regulatory income and petrol tax","Roading",108
2014,"Gore District Council","Current grants, subsidies, and donations income","Roading",1025
2014,"Gore District Council","Interest income","Roading",0
2014,"Gore District Council","Dividend income","Roading",0
2014,"Gore District Council","Sales and other operating income","Roading",44
2014,"Gore District Council","Employee costs","Roading",206
2014,"Gore District Council","Depreciation and amortisation","Roading",2308
2014,"Gore District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Gore District Council","Interest expenditure","Roading",23
2014,"Gore District Council","Purchases and other operating expenditure","Roading",1659
2013,"Gore District Council","Rates","Roading",2085
2013,"Gore District Council","Regulatory income and petrol tax","Roading",103
2013,"Gore District Council","Current grants, subsidies, and donations income","Roading",739
2013,"Gore District Council","Interest income","Roading",0
2013,"Gore District Council","Dividend income","Roading",0
2013,"Gore District Council","Sales and other operating income","Roading",0
2013,"Gore District Council","Employee costs","Roading",212
2013,"Gore District Council","Depreciation and amortisation","Roading",2303
2013,"Gore District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Gore District Council","Interest expenditure","Roading",19
2013,"Gore District Council","Purchases and other operating expenditure","Roading",1266
2012,"Gore District Council","Rates","Roading",1919
2012,"Gore District Council","Regulatory income and petrol tax","Roading",116
2012,"Gore District Council","Current grants, subsidies, and donations income","Roading",2218
2012,"Gore District Council","Interest income","Roading",0
2012,"Gore District Council","Dividend income","Roading",0
2012,"Gore District Council","Sales and other operating income","Roading",37
2012,"Gore District Council","Employee costs","Roading",207
2012,"Gore District Council","Depreciation and amortisation","Roading",2214
2012,"Gore District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Gore District Council","Interest expenditure","Roading",16
2012,"Gore District Council","Purchases and other operating expenditure","Roading",1556
2011,"Gore District Council","Rates","Roading",1870
2011,"Gore District Council","Regulatory income and petrol tax","Roading",122
2011,"Gore District Council","Current grants, subsidies, and donations income","Roading",904
2011,"Gore District Council","Interest income","Roading",0
2011,"Gore District Council","Dividend income","Roading",0
2011,"Gore District Council","Sales and other operating income","Roading",39
2011,"Gore District Council","Employee costs","Roading",207
2011,"Gore District Council","Depreciation and amortisation","Roading",2125
2011,"Gore District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Gore District Council","Interest expenditure","Roading",8
2011,"Gore District Council","Purchases and other operating expenditure","Roading",1660
2010,"Gore District Council","Rates","Roading",2057
2010,"Gore District Council","Regulatory income and petrol tax","Roading",115
2010,"Gore District Council","Current grants, subsidies, and donations income","Roading",915
2010,"Gore District Council","Interest income","Roading",0
2010,"Gore District Council","Dividend income","Roading",0
2010,"Gore District Council","Sales and other operating income","Roading",43
2010,"Gore District Council","Employee costs","Roading",181
2010,"Gore District Council","Depreciation and amortisation","Roading",2036
2010,"Gore District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Gore District Council","Interest expenditure","Roading",12
2010,"Gore District Council","Purchases and other operating expenditure","Roading",1450
2009,"Gore District Council","Rates","Roading",1931
2009,"Gore District Council","Regulatory income and petrol tax","Roading",124
2009,"Gore District Council","Current grants, subsidies, and donations income","Roading",808
2009,"Gore District Council","Interest income","Roading",0
2009,"Gore District Council","Dividend income","Roading",0
2009,"Gore District Council","Sales and other operating income","Roading",195
2009,"Gore District Council","Employee costs","Roading",136
2009,"Gore District Council","Depreciation and amortisation","Roading",1949
2009,"Gore District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Gore District Council","Interest expenditure","Roading",0
2009,"Gore District Council","Purchases and other operating expenditure","Roading",1579
2014,"Gore District Council","Rates","Transportation",-4
2014,"Gore District Council","Regulatory income and petrol tax","Transportation",0
2014,"Gore District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Gore District Council","Interest income","Transportation",0
2014,"Gore District Council","Dividend income","Transportation",0
2014,"Gore District Council","Sales and other operating income","Transportation",12
2014,"Gore District Council","Employee costs","Transportation",0
2014,"Gore District Council","Depreciation and amortisation","Transportation",1
2014,"Gore District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Gore District Council","Interest expenditure","Transportation",0
2014,"Gore District Council","Purchases and other operating expenditure","Transportation",4
2013,"Gore District Council","Rates","Transportation",-12
2013,"Gore District Council","Regulatory income and petrol tax","Transportation",0
2013,"Gore District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Gore District Council","Interest income","Transportation",0
2013,"Gore District Council","Dividend income","Transportation",0
2013,"Gore District Council","Sales and other operating income","Transportation",16
2013,"Gore District Council","Employee costs","Transportation",0
2013,"Gore District Council","Depreciation and amortisation","Transportation",1
2013,"Gore District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Gore District Council","Interest expenditure","Transportation",0
2013,"Gore District Council","Purchases and other operating expenditure","Transportation",4
2012,"Gore District Council","Rates","Transportation",-12
2012,"Gore District Council","Regulatory income and petrol tax","Transportation",0
2012,"Gore District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Gore District Council","Interest income","Transportation",0
2012,"Gore District Council","Dividend income","Transportation",0
