"year","council","income","activity","val"
2014,"Greater Wellington Regional Council","Rates","Roading",0
2014,"Greater Wellington Regional Council","Regulatory income and petrol tax","Roading",0
2014,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Roading",0
2014,"Greater Wellington Regional Council","Interest income","Roading",0
2014,"Greater Wellington Regional Council","Dividend income","Roading",0
2014,"Greater Wellington Regional Council","Sales and other operating income","Roading",0
2014,"Greater Wellington Regional Council","Employee costs","Roading",0
2014,"Greater Wellington Regional Council","Depreciation and amortisation","Roading",0
2014,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Greater Wellington Regional Council","Interest expenditure","Roading",0
2014,"Greater Wellington Regional Council","Purchases and other operating expenditure","Roading",0
2013,"Greater Wellington Regional Council","Rates","Roading",0
2013,"Greater Wellington Regional Council","Regulatory income and petrol tax","Roading",0
2013,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Roading",0
2013,"Greater Wellington Regional Council","Interest income","Roading",0
2013,"Greater Wellington Regional Council","Dividend income","Roading",0
2013,"Greater Wellington Regional Council","Sales and other operating income","Roading",0
2013,"Greater Wellington Regional Council","Employee costs","Roading",0
2013,"Greater Wellington Regional Council","Depreciation and amortisation","Roading",0
2013,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Greater Wellington Regional Council","Interest expenditure","Roading",0
2013,"Greater Wellington Regional Council","Purchases and other operating expenditure","Roading",0
2012,"Greater Wellington Regional Council","Rates","Roading",0
2012,"Greater Wellington Regional Council","Regulatory income and petrol tax","Roading",0
2012,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Roading",0
2012,"Greater Wellington Regional Council","Interest income","Roading",0
2012,"Greater Wellington Regional Council","Dividend income","Roading",0
2012,"Greater Wellington Regional Council","Sales and other operating income","Roading",0
2012,"Greater Wellington Regional Council","Employee costs","Roading",0
2012,"Greater Wellington Regional Council","Depreciation and amortisation","Roading",0
2012,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Greater Wellington Regional Council","Interest expenditure","Roading",0
2012,"Greater Wellington Regional Council","Purchases and other operating expenditure","Roading",0
2011,"Greater Wellington Regional Council","Rates","Roading",0
2011,"Greater Wellington Regional Council","Regulatory income and petrol tax","Roading",0
2011,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Roading",0
2011,"Greater Wellington Regional Council","Interest income","Roading",0
2011,"Greater Wellington Regional Council","Dividend income","Roading",0
2011,"Greater Wellington Regional Council","Sales and other operating income","Roading",0
2011,"Greater Wellington Regional Council","Employee costs","Roading",0
2011,"Greater Wellington Regional Council","Depreciation and amortisation","Roading",0
2011,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Greater Wellington Regional Council","Interest expenditure","Roading",0
2011,"Greater Wellington Regional Council","Purchases and other operating expenditure","Roading",0
2010,"Greater Wellington Regional Council","Rates","Roading",0
2010,"Greater Wellington Regional Council","Regulatory income and petrol tax","Roading",0
2010,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Roading",0
2010,"Greater Wellington Regional Council","Interest income","Roading",0
2010,"Greater Wellington Regional Council","Dividend income","Roading",0
2010,"Greater Wellington Regional Council","Sales and other operating income","Roading",0
2010,"Greater Wellington Regional Council","Employee costs","Roading",0
2010,"Greater Wellington Regional Council","Depreciation and amortisation","Roading",0
2010,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Greater Wellington Regional Council","Interest expenditure","Roading",0
2010,"Greater Wellington Regional Council","Purchases and other operating expenditure","Roading",0
2009,"Greater Wellington Regional Council","Rates","Roading",0
2009,"Greater Wellington Regional Council","Regulatory income and petrol tax","Roading",0
2009,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Roading",0
2009,"Greater Wellington Regional Council","Interest income","Roading",0
2009,"Greater Wellington Regional Council","Dividend income","Roading",0
2009,"Greater Wellington Regional Council","Sales and other operating income","Roading",0
2009,"Greater Wellington Regional Council","Employee costs","Roading",0
2009,"Greater Wellington Regional Council","Depreciation and amortisation","Roading",0
2009,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Greater Wellington Regional Council","Interest expenditure","Roading",0
2009,"Greater Wellington Regional Council","Purchases and other operating expenditure","Roading",0
2014,"Greater Wellington Regional Council","Rates","Transportation",48736
2014,"Greater Wellington Regional Council","Regulatory income and petrol tax","Transportation",0
2014,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Transportation",57873
2014,"Greater Wellington Regional Council","Interest income","Transportation",0
2014,"Greater Wellington Regional Council","Dividend income","Transportation",0
2014,"Greater Wellington Regional Council","Sales and other operating income","Transportation",2208
2014,"Greater Wellington Regional Council","Employee costs","Transportation",3997
2014,"Greater Wellington Regional Council","Depreciation and amortisation","Transportation",1197
2014,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Transportation",86428
2014,"Greater Wellington Regional Council","Interest expenditure","Transportation",4421
2014,"Greater Wellington Regional Council","Purchases and other operating expenditure","Transportation",10207
2013,"Greater Wellington Regional Council","Rates","Transportation",44207
2013,"Greater Wellington Regional Council","Regulatory income and petrol tax","Transportation",0
2013,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Transportation",56728
2013,"Greater Wellington Regional Council","Interest income","Transportation",0
2013,"Greater Wellington Regional Council","Dividend income","Transportation",0
2013,"Greater Wellington Regional Council","Sales and other operating income","Transportation",2372
2013,"Greater Wellington Regional Council","Employee costs","Transportation",3532
2013,"Greater Wellington Regional Council","Depreciation and amortisation","Transportation",194
2013,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Transportation",73239
2013,"Greater Wellington Regional Council","Interest expenditure","Transportation",4019
2013,"Greater Wellington Regional Council","Purchases and other operating expenditure","Transportation",8183
2012,"Greater Wellington Regional Council","Rates","Transportation",46352
2012,"Greater Wellington Regional Council","Regulatory income and petrol tax","Transportation",0
2012,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Transportation",52227
2012,"Greater Wellington Regional Council","Interest income","Transportation",0
2012,"Greater Wellington Regional Council","Dividend income","Transportation",0
2012,"Greater Wellington Regional Council","Sales and other operating income","Transportation",467
2012,"Greater Wellington Regional Council","Employee costs","Transportation",3753
2012,"Greater Wellington Regional Council","Depreciation and amortisation","Transportation",607
2012,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Transportation",80586
2012,"Greater Wellington Regional Council","Interest expenditure","Transportation",1888
2012,"Greater Wellington Regional Council","Purchases and other operating expenditure","Transportation",10851
2011,"Greater Wellington Regional Council","Rates","Transportation",41392
2011,"Greater Wellington Regional Council","Regulatory income and petrol tax","Transportation",0
2011,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Transportation",44865
2011,"Greater Wellington Regional Council","Interest income","Transportation",0
2011,"Greater Wellington Regional Council","Dividend income","Transportation",0
2011,"Greater Wellington Regional Council","Sales and other operating income","Transportation",0
2011,"Greater Wellington Regional Council","Employee costs","Transportation",3538
2011,"Greater Wellington Regional Council","Depreciation and amortisation","Transportation",554
2011,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Transportation",75988
2011,"Greater Wellington Regional Council","Interest expenditure","Transportation",0
2011,"Greater Wellington Regional Council","Purchases and other operating expenditure","Transportation",6279
2010,"Greater Wellington Regional Council","Rates","Transportation",40835
2010,"Greater Wellington Regional Council","Regulatory income and petrol tax","Transportation",0
2010,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Transportation",78069
2010,"Greater Wellington Regional Council","Interest income","Transportation",0
2010,"Greater Wellington Regional Council","Dividend income","Transportation",0
2010,"Greater Wellington Regional Council","Sales and other operating income","Transportation",0
2010,"Greater Wellington Regional Council","Employee costs","Transportation",3330
2010,"Greater Wellington Regional Council","Depreciation and amortisation","Transportation",474
2010,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Transportation",71645
2010,"Greater Wellington Regional Council","Interest expenditure","Transportation",1
2010,"Greater Wellington Regional Council","Purchases and other operating expenditure","Transportation",4794
2009,"Greater Wellington Regional Council","Rates","Transportation",40772
2009,"Greater Wellington Regional Council","Regulatory income and petrol tax","Transportation",0
2009,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Transportation",45953
2009,"Greater Wellington Regional Council","Interest income","Transportation",0
2009,"Greater Wellington Regional Council","Dividend income","Transportation",0
2009,"Greater Wellington Regional Council","Sales and other operating income","Transportation",10
2009,"Greater Wellington Regional Council","Employee costs","Transportation",4391
2009,"Greater Wellington Regional Council","Depreciation and amortisation","Transportation",392
2009,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Transportation",67466
2009,"Greater Wellington Regional Council","Interest expenditure","Transportation",0
2009,"Greater Wellington Regional Council","Purchases and other operating expenditure","Transportation",5432
2014,"Greater Wellington Regional Council","Rates","Water supply",0
2014,"Greater Wellington Regional Council","Regulatory income and petrol tax","Water supply",0
2014,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Water supply",0
2014,"Greater Wellington Regional Council","Interest income","Water supply",0
2014,"Greater Wellington Regional Council","Dividend income","Water supply",0
2014,"Greater Wellington Regional Council","Sales and other operating income","Water supply",26360
2014,"Greater Wellington Regional Council","Employee costs","Water supply",4944
2014,"Greater Wellington Regional Council","Depreciation and amortisation","Water supply",11453
2014,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"Greater Wellington Regional Council","Interest expenditure","Water supply",3341
2014,"Greater Wellington Regional Council","Purchases and other operating expenditure","Water supply",12781
2013,"Greater Wellington Regional Council","Rates","Water supply",0
2013,"Greater Wellington Regional Council","Regulatory income and petrol tax","Water supply",256
2013,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Water supply",0
2013,"Greater Wellington Regional Council","Interest income","Water supply",0
2013,"Greater Wellington Regional Council","Dividend income","Water supply",0
2013,"Greater Wellington Regional Council","Sales and other operating income","Water supply",25194
2013,"Greater Wellington Regional Council","Employee costs","Water supply",4550
2013,"Greater Wellington Regional Council","Depreciation and amortisation","Water supply",8254
2013,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2013,"Greater Wellington Regional Council","Interest expenditure","Water supply",3586
2013,"Greater Wellington Regional Council","Purchases and other operating expenditure","Water supply",11359
2012,"Greater Wellington Regional Council","Rates","Water supply",0
2012,"Greater Wellington Regional Council","Regulatory income and petrol tax","Water supply",0
2012,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Water supply",0
2012,"Greater Wellington Regional Council","Interest income","Water supply",0
2012,"Greater Wellington Regional Council","Dividend income","Water supply",0
2012,"Greater Wellington Regional Council","Sales and other operating income","Water supply",25466
2012,"Greater Wellington Regional Council","Employee costs","Water supply",4217
2012,"Greater Wellington Regional Council","Depreciation and amortisation","Water supply",8334
2012,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2012,"Greater Wellington Regional Council","Interest expenditure","Water supply",2199
2012,"Greater Wellington Regional Council","Purchases and other operating expenditure","Water supply",12192
2011,"Greater Wellington Regional Council","Rates","Water supply",0
2011,"Greater Wellington Regional Council","Regulatory income and petrol tax","Water supply",0
2011,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Water supply",0
2011,"Greater Wellington Regional Council","Interest income","Water supply",0
2011,"Greater Wellington Regional Council","Dividend income","Water supply",0
2011,"Greater Wellington Regional Council","Sales and other operating income","Water supply",23460
2011,"Greater Wellington Regional Council","Employee costs","Water supply",2823
2011,"Greater Wellington Regional Council","Depreciation and amortisation","Water supply",8175
2011,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2011,"Greater Wellington Regional Council","Interest expenditure","Water supply",0
2011,"Greater Wellington Regional Council","Purchases and other operating expenditure","Water supply",9842
2010,"Greater Wellington Regional Council","Rates","Water supply",0
2010,"Greater Wellington Regional Council","Regulatory income and petrol tax","Water supply",0
2010,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Water supply",0
2010,"Greater Wellington Regional Council","Interest income","Water supply",0
2010,"Greater Wellington Regional Council","Dividend income","Water supply",0
2010,"Greater Wellington Regional Council","Sales and other operating income","Water supply",23460
2010,"Greater Wellington Regional Council","Employee costs","Water supply",4695
2010,"Greater Wellington Regional Council","Depreciation and amortisation","Water supply",7953
2010,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2010,"Greater Wellington Regional Council","Interest expenditure","Water supply",0
2010,"Greater Wellington Regional Council","Purchases and other operating expenditure","Water supply",8393
2009,"Greater Wellington Regional Council","Rates","Water supply",0
2009,"Greater Wellington Regional Council","Regulatory income and petrol tax","Water supply",0
2009,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Water supply",0
2009,"Greater Wellington Regional Council","Interest income","Water supply",0
2009,"Greater Wellington Regional Council","Dividend income","Water supply",0
2009,"Greater Wellington Regional Council","Sales and other operating income","Water supply",23460
2009,"Greater Wellington Regional Council","Employee costs","Water supply",4273
2009,"Greater Wellington Regional Council","Depreciation and amortisation","Water supply",7529
2009,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2009,"Greater Wellington Regional Council","Interest expenditure","Water supply",0
2009,"Greater Wellington Regional Council","Purchases and other operating expenditure","Water supply",8475
2014,"Greater Wellington Regional Council","Rates","Wastewater",0
2014,"Greater Wellington Regional Council","Regulatory income and petrol tax","Wastewater",0
2014,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Wastewater",0
2014,"Greater Wellington Regional Council","Interest income","Wastewater",0
2014,"Greater Wellington Regional Council","Dividend income","Wastewater",0
2014,"Greater Wellington Regional Council","Sales and other operating income","Wastewater",0
2014,"Greater Wellington Regional Council","Employee costs","Wastewater",0
2014,"Greater Wellington Regional Council","Depreciation and amortisation","Wastewater",0
2014,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2014,"Greater Wellington Regional Council","Interest expenditure","Wastewater",0
2014,"Greater Wellington Regional Council","Purchases and other operating expenditure","Wastewater",0
2013,"Greater Wellington Regional Council","Rates","Wastewater",0
2013,"Greater Wellington Regional Council","Regulatory income and petrol tax","Wastewater",0
2013,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Wastewater",0
2013,"Greater Wellington Regional Council","Interest income","Wastewater",0
2013,"Greater Wellington Regional Council","Dividend income","Wastewater",0
2013,"Greater Wellington Regional Council","Sales and other operating income","Wastewater",0
2013,"Greater Wellington Regional Council","Employee costs","Wastewater",0
2013,"Greater Wellington Regional Council","Depreciation and amortisation","Wastewater",0
2013,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2013,"Greater Wellington Regional Council","Interest expenditure","Wastewater",0
2013,"Greater Wellington Regional Council","Purchases and other operating expenditure","Wastewater",0
2012,"Greater Wellington Regional Council","Rates","Wastewater",0
2012,"Greater Wellington Regional Council","Regulatory income and petrol tax","Wastewater",0
2012,"Greater Wellington Regional Council","Current grants, subsidies, and donations income","Wastewater",0
2012,"Greater Wellington Regional Council","Interest income","Wastewater",0
2012,"Greater Wellington Regional Council","Dividend income","Wastewater",0
2012,"Greater Wellington Regional Council","Sales and other operating income","Wastewater",0
2012,"Greater Wellington Regional Council","Employee costs","Wastewater",0
2012,"Greater Wellington Regional Council","Depreciation and amortisation","Wastewater",0
2012,"Greater Wellington Regional Council","Current grants, subsidies, and donations expenditure","Wastewater",0
