"year","council","income","activity","val"
2014,"Grey District Council","Rates","Roading",2721
2014,"Grey District Council","Regulatory income and petrol tax","Roading",169
2014,"Grey District Council","Current grants, subsidies, and donations income","Roading",1384
2014,"Grey District Council","Interest income","Roading",0
2014,"Grey District Council","Dividend income","Roading",0
2014,"Grey District Council","Sales and other operating income","Roading",111
2014,"Grey District Council","Employee costs","Roading",0
2014,"Grey District Council","Depreciation and amortisation","Roading",4376
2014,"Grey District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Grey District Council","Interest expenditure","Roading",11
2014,"Grey District Council","Purchases and other operating expenditure","Roading",2004
2013,"Grey District Council","Rates","Roading",2581
2013,"Grey District Council","Regulatory income and petrol tax","Roading",203
2013,"Grey District Council","Current grants, subsidies, and donations income","Roading",1514
2013,"Grey District Council","Interest income","Roading",0
2013,"Grey District Council","Dividend income","Roading",0
2013,"Grey District Council","Sales and other operating income","Roading",103
2013,"Grey District Council","Employee costs","Roading",0
2013,"Grey District Council","Depreciation and amortisation","Roading",4351
2013,"Grey District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Grey District Council","Interest expenditure","Roading",7
2013,"Grey District Council","Purchases and other operating expenditure","Roading",2253
2012,"Grey District Council","Rates","Roading",2486
2012,"Grey District Council","Regulatory income and petrol tax","Roading",194
2012,"Grey District Council","Current grants, subsidies, and donations income","Roading",2823
2012,"Grey District Council","Interest income","Roading",0
2012,"Grey District Council","Dividend income","Roading",0
2012,"Grey District Council","Sales and other operating income","Roading",1
2012,"Grey District Council","Employee costs","Roading",0
2012,"Grey District Council","Depreciation and amortisation","Roading",4357
2012,"Grey District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Grey District Council","Interest expenditure","Roading",22
2012,"Grey District Council","Purchases and other operating expenditure","Roading",2988
2011,"Grey District Council","Rates","Roading",2493
2011,"Grey District Council","Regulatory income and petrol tax","Roading",191
2011,"Grey District Council","Current grants, subsidies, and donations income","Roading",1895
2011,"Grey District Council","Interest income","Roading",0
2011,"Grey District Council","Dividend income","Roading",0
2011,"Grey District Council","Sales and other operating income","Roading",54
2011,"Grey District Council","Employee costs","Roading",0
2011,"Grey District Council","Depreciation and amortisation","Roading",4117
2011,"Grey District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Grey District Council","Interest expenditure","Roading",11
2011,"Grey District Council","Purchases and other operating expenditure","Roading",3230
2010,"Grey District Council","Rates","Roading",2430
2010,"Grey District Council","Regulatory income and petrol tax","Roading",186
2010,"Grey District Council","Current grants, subsidies, and donations income","Roading",2469
2010,"Grey District Council","Interest income","Roading",0
2010,"Grey District Council","Dividend income","Roading",0
2010,"Grey District Council","Sales and other operating income","Roading",41
2010,"Grey District Council","Employee costs","Roading",0
2010,"Grey District Council","Depreciation and amortisation","Roading",4046
2010,"Grey District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Grey District Council","Interest expenditure","Roading",0
2010,"Grey District Council","Purchases and other operating expenditure","Roading",3011
2009,"Grey District Council","Rates","Roading",2231
2009,"Grey District Council","Regulatory income and petrol tax","Roading",186
2009,"Grey District Council","Current grants, subsidies, and donations income","Roading",2924
2009,"Grey District Council","Interest income","Roading",0
2009,"Grey District Council","Dividend income","Roading",0
2009,"Grey District Council","Sales and other operating income","Roading",260
2009,"Grey District Council","Employee costs","Roading",0
2009,"Grey District Council","Depreciation and amortisation","Roading",3975
2009,"Grey District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Grey District Council","Interest expenditure","Roading",0
2009,"Grey District Council","Purchases and other operating expenditure","Roading",2867
2014,"Grey District Council","Rates","Transportation",191
2014,"Grey District Council","Regulatory income and petrol tax","Transportation",39
2014,"Grey District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Grey District Council","Interest income","Transportation",0
2014,"Grey District Council","Dividend income","Transportation",0
2014,"Grey District Council","Sales and other operating income","Transportation",96
2014,"Grey District Council","Employee costs","Transportation",67
2014,"Grey District Council","Depreciation and amortisation","Transportation",61
2014,"Grey District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Grey District Council","Interest expenditure","Transportation",8
2014,"Grey District Council","Purchases and other operating expenditure","Transportation",105
2013,"Grey District Council","Rates","Transportation",187
2013,"Grey District Council","Regulatory income and petrol tax","Transportation",77
2013,"Grey District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Grey District Council","Interest income","Transportation",0
2013,"Grey District Council","Dividend income","Transportation",0
2013,"Grey District Council","Sales and other operating income","Transportation",88
2013,"Grey District Council","Employee costs","Transportation",58
2013,"Grey District Council","Depreciation and amortisation","Transportation",64
2013,"Grey District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Grey District Council","Interest expenditure","Transportation",4
2013,"Grey District Council","Purchases and other operating expenditure","Transportation",142
2012,"Grey District Council","Rates","Transportation",177
2012,"Grey District Council","Regulatory income and petrol tax","Transportation",78
2012,"Grey District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Grey District Council","Interest income","Transportation",0
2012,"Grey District Council","Dividend income","Transportation",0
2012,"Grey District Council","Sales and other operating income","Transportation",100
2012,"Grey District Council","Employee costs","Transportation",55
2012,"Grey District Council","Depreciation and amortisation","Transportation",73
2012,"Grey District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Grey District Council","Interest expenditure","Transportation",8
2012,"Grey District Council","Purchases and other operating expenditure","Transportation",107
2011,"Grey District Council","Rates","Transportation",154
2011,"Grey District Council","Regulatory income and petrol tax","Transportation",73
2011,"Grey District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Grey District Council","Interest income","Transportation",0
2011,"Grey District Council","Dividend income","Transportation",0
2011,"Grey District Council","Sales and other operating income","Transportation",89
2011,"Grey District Council","Employee costs","Transportation",56
2011,"Grey District Council","Depreciation and amortisation","Transportation",56
2011,"Grey District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Grey District Council","Interest expenditure","Transportation",4
2011,"Grey District Council","Purchases and other operating expenditure","Transportation",106
2010,"Grey District Council","Rates","Transportation",163
2010,"Grey District Council","Regulatory income and petrol tax","Transportation",41
2010,"Grey District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Grey District Council","Interest income","Transportation",0
2010,"Grey District Council","Dividend income","Transportation",0
2010,"Grey District Council","Sales and other operating income","Transportation",63
2010,"Grey District Council","Employee costs","Transportation",35
2010,"Grey District Council","Depreciation and amortisation","Transportation",45
2010,"Grey District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Grey District Council","Interest expenditure","Transportation",0
2010,"Grey District Council","Purchases and other operating expenditure","Transportation",878
2009,"Grey District Council","Rates","Transportation",151
2009,"Grey District Council","Regulatory income and petrol tax","Transportation",30
2009,"Grey District Council","Current grants, subsidies, and donations income","Transportation",0
