"year","council","income","activity","val"
2014,"Hamilton City Council","Rates","Roading",26569
2014,"Hamilton City Council","Regulatory income and petrol tax","Roading",964
2014,"Hamilton City Council","Current grants, subsidies, and donations income","Roading",413
2014,"Hamilton City Council","Interest income","Roading",0
2014,"Hamilton City Council","Dividend income","Roading",0
2014,"Hamilton City Council","Sales and other operating income","Roading",2
2014,"Hamilton City Council","Employee costs","Roading",847
2014,"Hamilton City Council","Depreciation and amortisation","Roading",16475
2014,"Hamilton City Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Hamilton City Council","Interest expenditure","Roading",6275
2014,"Hamilton City Council","Purchases and other operating expenditure","Roading",10280
2013,"Hamilton City Council","Rates","Roading",21353
2013,"Hamilton City Council","Regulatory income and petrol tax","Roading",941
2013,"Hamilton City Council","Current grants, subsidies, and donations income","Roading",0
2013,"Hamilton City Council","Interest income","Roading",0
2013,"Hamilton City Council","Dividend income","Roading",0
2013,"Hamilton City Council","Sales and other operating income","Roading",440
2013,"Hamilton City Council","Employee costs","Roading",978
2013,"Hamilton City Council","Depreciation and amortisation","Roading",15332
2013,"Hamilton City Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Hamilton City Council","Interest expenditure","Roading",6466
2013,"Hamilton City Council","Purchases and other operating expenditure","Roading",11279
2012,"Hamilton City Council","Rates","Roading",17666
2012,"Hamilton City Council","Regulatory income and petrol tax","Roading",930
2012,"Hamilton City Council","Current grants, subsidies, and donations income","Roading",2733
2012,"Hamilton City Council","Interest income","Roading",0
2012,"Hamilton City Council","Dividend income","Roading",0
2012,"Hamilton City Council","Sales and other operating income","Roading",427
2012,"Hamilton City Council","Employee costs","Roading",1169
2012,"Hamilton City Council","Depreciation and amortisation","Roading",13889
2012,"Hamilton City Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Hamilton City Council","Interest expenditure","Roading",7317
2012,"Hamilton City Council","Purchases and other operating expenditure","Roading",18210
2011,"Hamilton City Council","Rates","Roading",12526
2011,"Hamilton City Council","Regulatory income and petrol tax","Roading",953
2011,"Hamilton City Council","Current grants, subsidies, and donations income","Roading",3659
2011,"Hamilton City Council","Interest income","Roading",0
2011,"Hamilton City Council","Dividend income","Roading",0
2011,"Hamilton City Council","Sales and other operating income","Roading",9998
2011,"Hamilton City Council","Employee costs","Roading",1031
2011,"Hamilton City Council","Depreciation and amortisation","Roading",13352
2011,"Hamilton City Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Hamilton City Council","Interest expenditure","Roading",6025
2011,"Hamilton City Council","Purchases and other operating expenditure","Roading",12094
2010,"Hamilton City Council","Rates","Roading",18344
2010,"Hamilton City Council","Regulatory income and petrol tax","Roading",953
2010,"Hamilton City Council","Current grants, subsidies, and donations income","Roading",3756
2010,"Hamilton City Council","Interest income","Roading",0
2010,"Hamilton City Council","Dividend income","Roading",0
2010,"Hamilton City Council","Sales and other operating income","Roading",5107
2010,"Hamilton City Council","Employee costs","Roading",2405
2010,"Hamilton City Council","Depreciation and amortisation","Roading",13534
2010,"Hamilton City Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Hamilton City Council","Interest expenditure","Roading",5164
2010,"Hamilton City Council","Purchases and other operating expenditure","Roading",10336
2009,"Hamilton City Council","Rates","Roading",14825
