"year","council","income","activity","val"
2014,"Hastings District Council","Rates","Roading",73
2014,"Hastings District Council","Regulatory income and petrol tax","Roading",523
2014,"Hastings District Council","Current grants, subsidies, and donations income","Roading",4442
2014,"Hastings District Council","Interest income","Roading",0
2014,"Hastings District Council","Dividend income","Roading",0
2014,"Hastings District Council","Sales and other operating income","Roading",756
2014,"Hastings District Council","Employee costs","Roading",0
2014,"Hastings District Council","Depreciation and amortisation","Roading",13116
2014,"Hastings District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Hastings District Council","Interest expenditure","Roading",0
2014,"Hastings District Council","Purchases and other operating expenditure","Roading",8792
2013,"Hastings District Council","Rates","Roading",0
2013,"Hastings District Council","Regulatory income and petrol tax","Roading",539
2013,"Hastings District Council","Current grants, subsidies, and donations income","Roading",4179
2013,"Hastings District Council","Interest income","Roading",0
2013,"Hastings District Council","Dividend income","Roading",0
2013,"Hastings District Council","Sales and other operating income","Roading",427
2013,"Hastings District Council","Employee costs","Roading",0
2013,"Hastings District Council","Depreciation and amortisation","Roading",13159
2013,"Hastings District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Hastings District Council","Interest expenditure","Roading",0
2013,"Hastings District Council","Purchases and other operating expenditure","Roading",8449
2012,"Hastings District Council","Rates","Roading",-5
2012,"Hastings District Council","Regulatory income and petrol tax","Roading",525
2012,"Hastings District Council","Current grants, subsidies, and donations income","Roading",4339
2012,"Hastings District Council","Interest income","Roading",0
2012,"Hastings District Council","Dividend income","Roading",0
2012,"Hastings District Council","Sales and other operating income","Roading",379
2012,"Hastings District Council","Employee costs","Roading",0
2012,"Hastings District Council","Depreciation and amortisation","Roading",12945
2012,"Hastings District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Hastings District Council","Interest expenditure","Roading",0
2012,"Hastings District Council","Purchases and other operating expenditure","Roading",8852
2011,"Hastings District Council","Rates","Roading",384
2011,"Hastings District Council","Regulatory income and petrol tax","Roading",549
2011,"Hastings District Council","Current grants, subsidies, and donations income","Roading",4595
2011,"Hastings District Council","Interest income","Roading",0
2011,"Hastings District Council","Dividend income","Roading",0
2011,"Hastings District Council","Sales and other operating income","Roading",112
2011,"Hastings District Council","Employee costs","Roading",0
2011,"Hastings District Council","Depreciation and amortisation","Roading",10809
2011,"Hastings District Council","Current grants, subsidies, and donations expenditure","Roading",2
2011,"Hastings District Council","Interest expenditure","Roading",680
2011,"Hastings District Council","Purchases and other operating expenditure","Roading",9152
2010,"Hastings District Council","Rates","Roading",387
2010,"Hastings District Council","Regulatory income and petrol tax","Roading",585
2010,"Hastings District Council","Current grants, subsidies, and donations income","Roading",4066
