"year","council","income","activity","val"
2014,"Hauraki District Council","Rates","Roading",4076
2014,"Hauraki District Council","Regulatory income and petrol tax","Roading",176
2014,"Hauraki District Council","Current grants, subsidies, and donations income","Roading",1741
2014,"Hauraki District Council","Interest income","Roading",0
2014,"Hauraki District Council","Dividend income","Roading",0
2014,"Hauraki District Council","Sales and other operating income","Roading",0
2014,"Hauraki District Council","Employee costs","Roading",0
2014,"Hauraki District Council","Depreciation and amortisation","Roading",2957
2014,"Hauraki District Council","Current grants, subsidies, and donations expenditure","Roading",15
2014,"Hauraki District Council","Interest expenditure","Roading",0
2014,"Hauraki District Council","Purchases and other operating expenditure","Roading",3690
2013,"Hauraki District Council","Rates","Roading",3431
2013,"Hauraki District Council","Regulatory income and petrol tax","Roading",141
2013,"Hauraki District Council","Current grants, subsidies, and donations income","Roading",3569
2013,"Hauraki District Council","Interest income","Roading",0
2013,"Hauraki District Council","Dividend income","Roading",0
2013,"Hauraki District Council","Sales and other operating income","Roading",22
2013,"Hauraki District Council","Employee costs","Roading",0
2013,"Hauraki District Council","Depreciation and amortisation","Roading",2937
2013,"Hauraki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Hauraki District Council","Interest expenditure","Roading",0
2013,"Hauraki District Council","Purchases and other operating expenditure","Roading",4703
2012,"Hauraki District Council","Rates","Roading",2426
2012,"Hauraki District Council","Regulatory income and petrol tax","Roading",179
2012,"Hauraki District Council","Current grants, subsidies, and donations income","Roading",3251
2012,"Hauraki District Council","Interest income","Roading",0
2012,"Hauraki District Council","Dividend income","Roading",0
2012,"Hauraki District Council","Sales and other operating income","Roading",0
2012,"Hauraki District Council","Employee costs","Roading",0
2012,"Hauraki District Council","Depreciation and amortisation","Roading",3249
2012,"Hauraki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Hauraki District Council","Interest expenditure","Roading",0
2012,"Hauraki District Council","Purchases and other operating expenditure","Roading",3287
2011,"Hauraki District Council","Rates","Roading",2000
2011,"Hauraki District Council","Regulatory income and petrol tax","Roading",172
2011,"Hauraki District Council","Current grants, subsidies, and donations income","Roading",3080
2011,"Hauraki District Council","Interest income","Roading",0
2011,"Hauraki District Council","Dividend income","Roading",0
2011,"Hauraki District Council","Sales and other operating income","Roading",0
2011,"Hauraki District Council","Employee costs","Roading",0
2011,"Hauraki District Council","Depreciation and amortisation","Roading",2936
2011,"Hauraki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Hauraki District Council","Interest expenditure","Roading",0
2011,"Hauraki District Council","Purchases and other operating expenditure","Roading",1521
2010,"Hauraki District Council","Rates","Roading",1940
2010,"Hauraki District Council","Regulatory income and petrol tax","Roading",169
2010,"Hauraki District Council","Current grants, subsidies, and donations income","Roading",5243
2010,"Hauraki District Council","Interest income","Roading",0
2010,"Hauraki District Council","Dividend income","Roading",0
2010,"Hauraki District Council","Sales and other operating income","Roading",0
2010,"Hauraki District Council","Employee costs","Roading",0
2010,"Hauraki District Council","Depreciation and amortisation","Roading",2710
2010,"Hauraki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Hauraki District Council","Interest expenditure","Roading",0
2010,"Hauraki District Council","Purchases and other operating expenditure","Roading",3941
2009,"Hauraki District Council","Rates","Roading",1747
2009,"Hauraki District Council","Regulatory income and petrol tax","Roading",173
2009,"Hauraki District Council","Current grants, subsidies, and donations income","Roading",3358
2009,"Hauraki District Council","Interest income","Roading",0
2009,"Hauraki District Council","Dividend income","Roading",0
2009,"Hauraki District Council","Sales and other operating income","Roading",0
2009,"Hauraki District Council","Employee costs","Roading",0
2009,"Hauraki District Council","Depreciation and amortisation","Roading",2768
2009,"Hauraki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Hauraki District Council","Interest expenditure","Roading",0
2009,"Hauraki District Council","Purchases and other operating expenditure","Roading",2687
2014,"Hauraki District Council","Rates","Transportation",0
2014,"Hauraki District Council","Regulatory income and petrol tax","Transportation",0
2014,"Hauraki District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Hauraki District Council","Interest income","Transportation",0
2014,"Hauraki District Council","Dividend income","Transportation",0
2014,"Hauraki District Council","Sales and other operating income","Transportation",0
2014,"Hauraki District Council","Employee costs","Transportation",0
2014,"Hauraki District Council","Depreciation and amortisation","Transportation",0
2014,"Hauraki District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Hauraki District Council","Interest expenditure","Transportation",0
2014,"Hauraki District Council","Purchases and other operating expenditure","Transportation",0
2013,"Hauraki District Council","Rates","Transportation",0
2013,"Hauraki District Council","Regulatory income and petrol tax","Transportation",0
2013,"Hauraki District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Hauraki District Council","Interest income","Transportation",0
2013,"Hauraki District Council","Dividend income","Transportation",0
2013,"Hauraki District Council","Sales and other operating income","Transportation",0
2013,"Hauraki District Council","Employee costs","Transportation",0
2013,"Hauraki District Council","Depreciation and amortisation","Transportation",0
2013,"Hauraki District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Hauraki District Council","Interest expenditure","Transportation",0
2013,"Hauraki District Council","Purchases and other operating expenditure","Transportation",0
2012,"Hauraki District Council","Rates","Transportation",0
2012,"Hauraki District Council","Regulatory income and petrol tax","Transportation",0
2012,"Hauraki District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Hauraki District Council","Interest income","Transportation",0
2012,"Hauraki District Council","Dividend income","Transportation",0
2012,"Hauraki District Council","Sales and other operating income","Transportation",0
