"year","council","income","activity","val"
2014,"Hawkes Bay Regional Council","Rates","Roading",0
2014,"Hawkes Bay Regional Council","Regulatory income and petrol tax","Roading",0
2014,"Hawkes Bay Regional Council","Current grants, subsidies, and donations income","Roading",0
2014,"Hawkes Bay Regional Council","Interest income","Roading",0
2014,"Hawkes Bay Regional Council","Dividend income","Roading",0
2014,"Hawkes Bay Regional Council","Sales and other operating income","Roading",0
2014,"Hawkes Bay Regional Council","Employee costs","Roading",0
2014,"Hawkes Bay Regional Council","Depreciation and amortisation","Roading",0
2014,"Hawkes Bay Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Hawkes Bay Regional Council","Interest expenditure","Roading",0
2014,"Hawkes Bay Regional Council","Purchases and other operating expenditure","Roading",0
2013,"Hawkes Bay Regional Council","Rates","Roading",0
2013,"Hawkes Bay Regional Council","Regulatory income and petrol tax","Roading",0
2013,"Hawkes Bay Regional Council","Current grants, subsidies, and donations income","Roading",0
2013,"Hawkes Bay Regional Council","Interest income","Roading",0
2013,"Hawkes Bay Regional Council","Dividend income","Roading",0
2013,"Hawkes Bay Regional Council","Sales and other operating income","Roading",0
2013,"Hawkes Bay Regional Council","Employee costs","Roading",0
2013,"Hawkes Bay Regional Council","Depreciation and amortisation","Roading",0
2013,"Hawkes Bay Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Hawkes Bay Regional Council","Interest expenditure","Roading",0
2013,"Hawkes Bay Regional Council","Purchases and other operating expenditure","Roading",0
2012,"Hawkes Bay Regional Council","Rates","Roading",0
2012,"Hawkes Bay Regional Council","Regulatory income and petrol tax","Roading",0
2012,"Hawkes Bay Regional Council","Current grants, subsidies, and donations income","Roading",0
2012,"Hawkes Bay Regional Council","Interest income","Roading",0
2012,"Hawkes Bay Regional Council","Dividend income","Roading",0
2012,"Hawkes Bay Regional Council","Sales and other operating income","Roading",0
2012,"Hawkes Bay Regional Council","Employee costs","Roading",0
2012,"Hawkes Bay Regional Council","Depreciation and amortisation","Roading",0
2012,"Hawkes Bay Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
