"year","council","income","activity","val"
2014,"Horowhenua District Council","Rates","Roading",3637
2014,"Horowhenua District Council","Regulatory income and petrol tax","Roading",190
2014,"Horowhenua District Council","Current grants, subsidies, and donations income","Roading",1045
2014,"Horowhenua District Council","Interest income","Roading",0
2014,"Horowhenua District Council","Dividend income","Roading",0
2014,"Horowhenua District Council","Sales and other operating income","Roading",0
2014,"Horowhenua District Council","Employee costs","Roading",0
2014,"Horowhenua District Council","Depreciation and amortisation","Roading",5560
2014,"Horowhenua District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Horowhenua District Council","Interest expenditure","Roading",0
2014,"Horowhenua District Council","Purchases and other operating expenditure","Roading",2977
2013,"Horowhenua District Council","Rates","Roading",3936
2013,"Horowhenua District Council","Regulatory income and petrol tax","Roading",181
2013,"Horowhenua District Council","Current grants, subsidies, and donations income","Roading",959
2013,"Horowhenua District Council","Interest income","Roading",0
2013,"Horowhenua District Council","Dividend income","Roading",0
2013,"Horowhenua District Council","Sales and other operating income","Roading",9
2013,"Horowhenua District Council","Employee costs","Roading",0
2013,"Horowhenua District Council","Depreciation and amortisation","Roading",5556
2013,"Horowhenua District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Horowhenua District Council","Interest expenditure","Roading",0
2013,"Horowhenua District Council","Purchases and other operating expenditure","Roading",2764
2012,"Horowhenua District Council","Rates","Roading",4269
2012,"Horowhenua District Council","Regulatory income and petrol tax","Roading",188
2012,"Horowhenua District Council","Current grants, subsidies, and donations income","Roading",947
2012,"Horowhenua District Council","Interest income","Roading",0
2012,"Horowhenua District Council","Dividend income","Roading",0
2012,"Horowhenua District Council","Sales and other operating income","Roading",0
2012,"Horowhenua District Council","Employee costs","Roading",0
2012,"Horowhenua District Council","Depreciation and amortisation","Roading",5556
2012,"Horowhenua District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Horowhenua District Council","Interest expenditure","Roading",0
2012,"Horowhenua District Council","Purchases and other operating expenditure","Roading",1946
2011,"Horowhenua District Council","Rates","Roading",4348
2011,"Horowhenua District Council","Regulatory income and petrol tax","Roading",164
2011,"Horowhenua District Council","Current grants, subsidies, and donations income","Roading",2102
2011,"Horowhenua District Council","Interest income","Roading",0
2011,"Horowhenua District Council","Dividend income","Roading",0
2011,"Horowhenua District Council","Sales and other operating income","Roading",168
2011,"Horowhenua District Council","Employee costs","Roading",0
2011,"Horowhenua District Council","Depreciation and amortisation","Roading",4818
2011,"Horowhenua District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Horowhenua District Council","Interest expenditure","Roading",0
2011,"Horowhenua District Council","Purchases and other operating expenditure","Roading",2363
2010,"Horowhenua District Council","Rates","Roading",4098
2010,"Horowhenua District Council","Regulatory income and petrol tax","Roading",0
2010,"Horowhenua District Council","Current grants, subsidies, and donations income","Roading",2241
2010,"Horowhenua District Council","Interest income","Roading",0
2010,"Horowhenua District Council","Dividend income","Roading",0
2010,"Horowhenua District Council","Sales and other operating income","Roading",203
2010,"Horowhenua District Council","Employee costs","Roading",0
2010,"Horowhenua District Council","Depreciation and amortisation","Roading",4205
2010,"Horowhenua District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Horowhenua District Council","Interest expenditure","Roading",0
2010,"Horowhenua District Council","Purchases and other operating expenditure","Roading",2269
2009,"Horowhenua District Council","Rates","Roading",2698
2009,"Horowhenua District Council","Regulatory income and petrol tax","Roading",192
2009,"Horowhenua District Council","Current grants, subsidies, and donations income","Roading",606
2009,"Horowhenua District Council","Interest income","Roading",0
2009,"Horowhenua District Council","Dividend income","Roading",0
2009,"Horowhenua District Council","Sales and other operating income","Roading",0
2009,"Horowhenua District Council","Employee costs","Roading",0
