"year","council","income","activity","val"
2014,"Hurunui District Council","Rates","Roading",3641
2014,"Hurunui District Council","Regulatory income and petrol tax","Roading",130
2014,"Hurunui District Council","Current grants, subsidies, and donations income","Roading",5059
2014,"Hurunui District Council","Interest income","Roading",0
2014,"Hurunui District Council","Dividend income","Roading",0
2014,"Hurunui District Council","Sales and other operating income","Roading",5
2014,"Hurunui District Council","Employee costs","Roading",550
2014,"Hurunui District Council","Depreciation and amortisation","Roading",4072
2014,"Hurunui District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Hurunui District Council","Interest expenditure","Roading",0
2014,"Hurunui District Council","Purchases and other operating expenditure","Roading",5189
2013,"Hurunui District Council","Rates","Roading",3500
2013,"Hurunui District Council","Regulatory income and petrol tax","Roading",116
2013,"Hurunui District Council","Current grants, subsidies, and donations income","Roading",3319
2013,"Hurunui District Council","Interest income","Roading",0
2013,"Hurunui District Council","Dividend income","Roading",0
2013,"Hurunui District Council","Sales and other operating income","Roading",7
2013,"Hurunui District Council","Employee costs","Roading",351
2013,"Hurunui District Council","Depreciation and amortisation","Roading",3103
2013,"Hurunui District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Hurunui District Council","Interest expenditure","Roading",0
2013,"Hurunui District Council","Purchases and other operating expenditure","Roading",2915
2012,"Hurunui District Council","Rates","Roading",2519
2012,"Hurunui District Council","Regulatory income and petrol tax","Roading",123
2012,"Hurunui District Council","Current grants, subsidies, and donations income","Roading",3725
2012,"Hurunui District Council","Interest income","Roading",0
2012,"Hurunui District Council","Dividend income","Roading",0
2012,"Hurunui District Council","Sales and other operating income","Roading",1210
2012,"Hurunui District Council","Employee costs","Roading",273
2012,"Hurunui District Council","Depreciation and amortisation","Roading",3052
2012,"Hurunui District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Hurunui District Council","Interest expenditure","Roading",0
2012,"Hurunui District Council","Purchases and other operating expenditure","Roading",2862
2011,"Hurunui District Council","Rates","Roading",2622
2011,"Hurunui District Council","Regulatory income and petrol tax","Roading",129
2011,"Hurunui District Council","Current grants, subsidies, and donations income","Roading",3989
2011,"Hurunui District Council","Interest income","Roading",0
2011,"Hurunui District Council","Dividend income","Roading",0
2011,"Hurunui District Council","Sales and other operating income","Roading",79
2011,"Hurunui District Council","Employee costs","Roading",359
2011,"Hurunui District Council","Depreciation and amortisation","Roading",2966
2011,"Hurunui District Council","Current grants, subsidies, and donations expenditure","Roading",1
2011,"Hurunui District Council","Interest expenditure","Roading",0
2011,"Hurunui District Council","Purchases and other operating expenditure","Roading",3281
2010,"Hurunui District Council","Rates","Roading",2476
2010,"Hurunui District Council","Regulatory income and petrol tax","Roading",120
2010,"Hurunui District Council","Current grants, subsidies, and donations income","Roading",3436
2010,"Hurunui District Council","Interest income","Roading",0
2010,"Hurunui District Council","Dividend income","Roading",0
2010,"Hurunui District Council","Sales and other operating income","Roading",32
2010,"Hurunui District Council","Employee costs","Roading",353
2010,"Hurunui District Council","Depreciation and amortisation","Roading",2775
2010,"Hurunui District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Hurunui District Council","Interest expenditure","Roading",0
2010,"Hurunui District Council","Purchases and other operating expenditure","Roading",2593
2009,"Hurunui District Council","Rates","Roading",2400
2009,"Hurunui District Council","Regulatory income and petrol tax","Roading",107
2009,"Hurunui District Council","Current grants, subsidies, and donations income","Roading",9308
2009,"Hurunui District Council","Interest income","Roading",0
2009,"Hurunui District Council","Dividend income","Roading",0
2009,"Hurunui District Council","Sales and other operating income","Roading",17
2009,"Hurunui District Council","Employee costs","Roading",377
2009,"Hurunui District Council","Depreciation and amortisation","Roading",3222
2009,"Hurunui District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Hurunui District Council","Interest expenditure","Roading",0
2009,"Hurunui District Council","Purchases and other operating expenditure","Roading",10706
2014,"Hurunui District Council","Rates","Transportation",0
2014,"Hurunui District Council","Regulatory income and petrol tax","Transportation",0
2014,"Hurunui District Council","Current grants, subsidies, and donations income","Transportation",0
