"year","council","income","activity","val"
2014,"Hutt City Council","Rates","Roading",0
2014,"Hutt City Council","Regulatory income and petrol tax","Roading",435
2014,"Hutt City Council","Current grants, subsidies, and donations income","Roading",3390
2014,"Hutt City Council","Interest income","Roading",0
2014,"Hutt City Council","Dividend income","Roading",0
2014,"Hutt City Council","Sales and other operating income","Roading",218
2014,"Hutt City Council","Employee costs","Roading",1217
2014,"Hutt City Council","Depreciation and amortisation","Roading",9781
2014,"Hutt City Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Hutt City Council","Interest expenditure","Roading",0
2014,"Hutt City Council","Purchases and other operating expenditure","Roading",9986
2013,"Hutt City Council","Rates","Roading",0
2013,"Hutt City Council","Regulatory income and petrol tax","Roading",422
2013,"Hutt City Council","Current grants, subsidies, and donations income","Roading",3332
2013,"Hutt City Council","Interest income","Roading",0
2013,"Hutt City Council","Dividend income","Roading",0
2013,"Hutt City Council","Sales and other operating income","Roading",123
2013,"Hutt City Council","Employee costs","Roading",1129
2013,"Hutt City Council","Depreciation and amortisation","Roading",9586
2013,"Hutt City Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Hutt City Council","Interest expenditure","Roading",0
2013,"Hutt City Council","Purchases and other operating expenditure","Roading",10052
2012,"Hutt City Council","Rates","Roading",0
2012,"Hutt City Council","Regulatory income and petrol tax","Roading",447
2012,"Hutt City Council","Current grants, subsidies, and donations income","Roading",3288
2012,"Hutt City Council","Interest income","Roading",0
2012,"Hutt City Council","Dividend income","Roading",0
2012,"Hutt City Council","Sales and other operating income","Roading",115
2012,"Hutt City Council","Employee costs","Roading",1208
2012,"Hutt City Council","Depreciation and amortisation","Roading",9585
2012,"Hutt City Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Hutt City Council","Interest expenditure","Roading",0
2012,"Hutt City Council","Purchases and other operating expenditure","Roading",9325
2011,"Hutt City Council","Rates","Roading",0
2011,"Hutt City Council","Regulatory income and petrol tax","Roading",459
2011,"Hutt City Council","Current grants, subsidies, and donations income","Roading",3409
2011,"Hutt City Council","Interest income","Roading",0
2011,"Hutt City Council","Dividend income","Roading",0
2011,"Hutt City Council","Sales and other operating income","Roading",139
2011,"Hutt City Council","Employee costs","Roading",1165
2011,"Hutt City Council","Depreciation and amortisation","Roading",9493
2011,"Hutt City Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Hutt City Council","Interest expenditure","Roading",0
2011,"Hutt City Council","Purchases and other operating expenditure","Roading",9684
2010,"Hutt City Council","Rates","Roading",0
2010,"Hutt City Council","Regulatory income and petrol tax","Roading",399
2010,"Hutt City Council","Current grants, subsidies, and donations income","Roading",0
2010,"Hutt City Council","Interest income","Roading",0
2010,"Hutt City Council","Dividend income","Roading",0
2010,"Hutt City Council","Sales and other operating income","Roading",151
2010,"Hutt City Council","Employee costs","Roading",896
2010,"Hutt City Council","Depreciation and amortisation","Roading",9217
2010,"Hutt City Council","Current grants, subsidies, and donations expenditure","Roading",26
2010,"Hutt City Council","Interest expenditure","Roading",0
2010,"Hutt City Council","Purchases and other operating expenditure","Roading",10194
2009,"Hutt City Council","Rates","Roading",0
2009,"Hutt City Council","Regulatory income and petrol tax","Roading",492
2009,"Hutt City Council","Current grants, subsidies, and donations income","Roading",3354
2009,"Hutt City Council","Interest income","Roading",0
2009,"Hutt City Council","Dividend income","Roading",0
2009,"Hutt City Council","Sales and other operating income","Roading",84
2009,"Hutt City Council","Employee costs","Roading",1040
2009,"Hutt City Council","Depreciation and amortisation","Roading",8628
2009,"Hutt City Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Hutt City Council","Interest expenditure","Roading",0
2009,"Hutt City Council","Purchases and other operating expenditure","Roading",12389
2014,"Hutt City Council","Rates","Transportation",0
2014,"Hutt City Council","Regulatory income and petrol tax","Transportation",2589
2014,"Hutt City Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Hutt City Council","Interest income","Transportation",0
2014,"Hutt City Council","Dividend income","Transportation",0
2014,"Hutt City Council","Sales and other operating income","Transportation",1501
2014,"Hutt City Council","Employee costs","Transportation",599
2014,"Hutt City Council","Depreciation and amortisation","Transportation",159
2014,"Hutt City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Hutt City Council","Interest expenditure","Transportation",0
2014,"Hutt City Council","Purchases and other operating expenditure","Transportation",1224
2013,"Hutt City Council","Rates","Transportation",0
2013,"Hutt City Council","Regulatory income and petrol tax","Transportation",2602
2013,"Hutt City Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Hutt City Council","Interest income","Transportation",0
2013,"Hutt City Council","Dividend income","Transportation",0
2013,"Hutt City Council","Sales and other operating income","Transportation",1588
2013,"Hutt City Council","Employee costs","Transportation",541
2013,"Hutt City Council","Depreciation and amortisation","Transportation",154
2013,"Hutt City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Hutt City Council","Interest expenditure","Transportation",0
2013,"Hutt City Council","Purchases and other operating expenditure","Transportation",1205
2012,"Hutt City Council","Rates","Transportation",0
2012,"Hutt City Council","Regulatory income and petrol tax","Transportation",1993
2012,"Hutt City Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Hutt City Council","Interest income","Transportation",0
2012,"Hutt City Council","Dividend income","Transportation",0
2012,"Hutt City Council","Sales and other operating income","Transportation",1948
2012,"Hutt City Council","Employee costs","Transportation",546
2012,"Hutt City Council","Depreciation and amortisation","Transportation",196
2012,"Hutt City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Hutt City Council","Interest expenditure","Transportation",0
2012,"Hutt City Council","Purchases and other operating expenditure","Transportation",1452
2011,"Hutt City Council","Rates","Transportation",0
2011,"Hutt City Council","Regulatory income and petrol tax","Transportation",918
2011,"Hutt City Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Hutt City Council","Interest income","Transportation",0
2011,"Hutt City Council","Dividend income","Transportation",0
2011,"Hutt City Council","Sales and other operating income","Transportation",1533
2011,"Hutt City Council","Employee costs","Transportation",528
2011,"Hutt City Council","Depreciation and amortisation","Transportation",234
2011,"Hutt City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Hutt City Council","Interest expenditure","Transportation",0
2011,"Hutt City Council","Purchases and other operating expenditure","Transportation",0
2010,"Hutt City Council","Rates","Transportation",0
2010,"Hutt City Council","Regulatory income and petrol tax","Transportation",1436
2010,"Hutt City Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Hutt City Council","Interest income","Transportation",0
2010,"Hutt City Council","Dividend income","Transportation",0
2010,"Hutt City Council","Sales and other operating income","Transportation",1588
2010,"Hutt City Council","Employee costs","Transportation",502
2010,"Hutt City Council","Depreciation and amortisation","Transportation",125
2010,"Hutt City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Hutt City Council","Interest expenditure","Transportation",0
2010,"Hutt City Council","Purchases and other operating expenditure","Transportation",0
2009,"Hutt City Council","Rates","Transportation",0
2009,"Hutt City Council","Regulatory income and petrol tax","Transportation",1489
2009,"Hutt City Council","Current grants, subsidies, and donations income","Transportation",0
2009,"Hutt City Council","Interest income","Transportation",0
2009,"Hutt City Council","Dividend income","Transportation",0
2009,"Hutt City Council","Sales and other operating income","Transportation",1938
2009,"Hutt City Council","Employee costs","Transportation",458
2009,"Hutt City Council","Depreciation and amortisation","Transportation",234
2009,"Hutt City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2009,"Hutt City Council","Interest expenditure","Transportation",0
2009,"Hutt City Council","Purchases and other operating expenditure","Transportation",1248
2014,"Hutt City Council","Rates","Water supply",12225
2014,"Hutt City Council","Regulatory income and petrol tax","Water supply",0
2014,"Hutt City Council","Current grants, subsidies, and donations income","Water supply",0
2014,"Hutt City Council","Interest income","Water supply",0
2014,"Hutt City Council","Dividend income","Water supply",0
2014,"Hutt City Council","Sales and other operating income","Water supply",2118
2014,"Hutt City Council","Employee costs","Water supply",0
2014,"Hutt City Council","Depreciation and amortisation","Water supply",3277
2014,"Hutt City Council","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"Hutt City Council","Interest expenditure","Water supply",0
2014,"Hutt City Council","Purchases and other operating expenditure","Water supply",10174
2013,"Hutt City Council","Rates","Water supply",12036
2013,"Hutt City Council","Regulatory income and petrol tax","Water supply",0
2013,"Hutt City Council","Current grants, subsidies, and donations income","Water supply",0
2013,"Hutt City Council","Interest income","Water supply",0
2013,"Hutt City Council","Dividend income","Water supply",0
2013,"Hutt City Council","Sales and other operating income","Water supply",2156
2013,"Hutt City Council","Employee costs","Water supply",0
2013,"Hutt City Council","Depreciation and amortisation","Water supply",3248
2013,"Hutt City Council","Current grants, subsidies, and donations expenditure","Water supply",0
2013,"Hutt City Council","Interest expenditure","Water supply",0
2013,"Hutt City Council","Purchases and other operating expenditure","Water supply",10133
2012,"Hutt City Council","Rates","Water supply",11685
2012,"Hutt City Council","Regulatory income and petrol tax","Water supply",0
2012,"Hutt City Council","Current grants, subsidies, and donations income","Water supply",0
2012,"Hutt City Council","Interest income","Water supply",0
2012,"Hutt City Council","Dividend income","Water supply",0
2012,"Hutt City Council","Sales and other operating income","Water supply",2235
2012,"Hutt City Council","Employee costs","Water supply",0
2012,"Hutt City Council","Depreciation and amortisation","Water supply",3133
2012,"Hutt City Council","Current grants, subsidies, and donations expenditure","Water supply",0
2012,"Hutt City Council","Interest expenditure","Water supply",0
2012,"Hutt City Council","Purchases and other operating expenditure","Water supply",9579
2011,"Hutt City Council","Rates","Water supply",11192
2011,"Hutt City Council","Regulatory income and petrol tax","Water supply",0
2011,"Hutt City Council","Current grants, subsidies, and donations income","Water supply",0
2011,"Hutt City Council","Interest income","Water supply",0
2011,"Hutt City Council","Dividend income","Water supply",0
2011,"Hutt City Council","Sales and other operating income","Water supply",2049
2011,"Hutt City Council","Employee costs","Water supply",0
2011,"Hutt City Council","Depreciation and amortisation","Water supply",3028
2011,"Hutt City Council","Current grants, subsidies, and donations expenditure","Water supply",0
2011,"Hutt City Council","Interest expenditure","Water supply",0
2011,"Hutt City Council","Purchases and other operating expenditure","Water supply",8934
2010,"Hutt City Council","Rates","Water supply",10823
2010,"Hutt City Council","Regulatory income and petrol tax","Water supply",0
2010,"Hutt City Council","Current grants, subsidies, and donations income","Water supply",0
2010,"Hutt City Council","Interest income","Water supply",0
2010,"Hutt City Council","Dividend income","Water supply",0
2010,"Hutt City Council","Sales and other operating income","Water supply",1977
2010,"Hutt City Council","Employee costs","Water supply",0
2010,"Hutt City Council","Depreciation and amortisation","Water supply",2990
2010,"Hutt City Council","Current grants, subsidies, and donations expenditure","Water supply",0
2010,"Hutt City Council","Interest expenditure","Water supply",0
2010,"Hutt City Council","Purchases and other operating expenditure","Water supply",8873
2009,"Hutt City Council","Rates","Water supply",10025
2009,"Hutt City Council","Regulatory income and petrol tax","Water supply",0
2009,"Hutt City Council","Current grants, subsidies, and donations income","Water supply",0
