"year","council","income","activity","val"
2014,"Invercargill City Council","Rates","Roading",7503
2014,"Invercargill City Council","Regulatory income and petrol tax","Roading",447
2014,"Invercargill City Council","Current grants, subsidies, and donations income","Roading",2132
2014,"Invercargill City Council","Interest income","Roading",0
2014,"Invercargill City Council","Dividend income","Roading",0
2014,"Invercargill City Council","Sales and other operating income","Roading",77
2014,"Invercargill City Council","Employee costs","Roading",1
2014,"Invercargill City Council","Depreciation and amortisation","Roading",8257
2014,"Invercargill City Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Invercargill City Council","Interest expenditure","Roading",273
2014,"Invercargill City Council","Purchases and other operating expenditure","Roading",4368
2013,"Invercargill City Council","Rates","Roading",7538
2013,"Invercargill City Council","Regulatory income and petrol tax","Roading",442
2013,"Invercargill City Council","Current grants, subsidies, and donations income","Roading",1901
2013,"Invercargill City Council","Interest income","Roading",0
2013,"Invercargill City Council","Dividend income","Roading",0
2013,"Invercargill City Council","Sales and other operating income","Roading",325
2013,"Invercargill City Council","Employee costs","Roading",2
2013,"Invercargill City Council","Depreciation and amortisation","Roading",7862
2013,"Invercargill City Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Invercargill City Council","Interest expenditure","Roading",306
2013,"Invercargill City Council","Purchases and other operating expenditure","Roading",5199
2012,"Invercargill City Council","Rates","Roading",7212
2012,"Invercargill City Council","Regulatory income and petrol tax","Roading",448
2012,"Invercargill City Council","Current grants, subsidies, and donations income","Roading",2044
2012,"Invercargill City Council","Interest income","Roading",0
2012,"Invercargill City Council","Dividend income","Roading",0
2012,"Invercargill City Council","Sales and other operating income","Roading",21
2012,"Invercargill City Council","Employee costs","Roading",0
2012,"Invercargill City Council","Depreciation and amortisation","Roading",7983
2012,"Invercargill City Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Invercargill City Council","Interest expenditure","Roading",368
2012,"Invercargill City Council","Purchases and other operating expenditure","Roading",4957
2011,"Invercargill City Council","Rates","Roading",7121
2011,"Invercargill City Council","Regulatory income and petrol tax","Roading",478
2011,"Invercargill City Council","Current grants, subsidies, and donations income","Roading",2909
2011,"Invercargill City Council","Interest income","Roading",0
2011,"Invercargill City Council","Dividend income","Roading",0
2011,"Invercargill City Council","Sales and other operating income","Roading",15
2011,"Invercargill City Council","Employee costs","Roading",0
2011,"Invercargill City Council","Depreciation and amortisation","Roading",7631
2011,"Invercargill City Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Invercargill City Council","Interest expenditure","Roading",433
2011,"Invercargill City Council","Purchases and other operating expenditure","Roading",4260
2010,"Invercargill City Council","Rates","Roading",7102
2010,"Invercargill City Council","Regulatory income and petrol tax","Roading",458
2010,"Invercargill City Council","Current grants, subsidies, and donations income","Roading",2990
2010,"Invercargill City Council","Interest income","Roading",0
2010,"Invercargill City Council","Dividend income","Roading",0
2010,"Invercargill City Council","Sales and other operating income","Roading",29
2010,"Invercargill City Council","Employee costs","Roading",10
2010,"Invercargill City Council","Depreciation and amortisation","Roading",7158
2010,"Invercargill City Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Invercargill City Council","Interest expenditure","Roading",444
2010,"Invercargill City Council","Purchases and other operating expenditure","Roading",3690
2009,"Invercargill City Council","Rates","Roading",5977
2009,"Invercargill City Council","Regulatory income and petrol tax","Roading",428
2009,"Invercargill City Council","Current grants, subsidies, and donations income","Roading",7654
2009,"Invercargill City Council","Interest income","Roading",0
2009,"Invercargill City Council","Dividend income","Roading",0
2009,"Invercargill City Council","Sales and other operating income","Roading",119
2009,"Invercargill City Council","Employee costs","Roading",6
2009,"Invercargill City Council","Depreciation and amortisation","Roading",6947
2009,"Invercargill City Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Invercargill City Council","Interest expenditure","Roading",683
2009,"Invercargill City Council","Purchases and other operating expenditure","Roading",3671
2014,"Invercargill City Council","Rates","Transportation",295
2014,"Invercargill City Council","Regulatory income and petrol tax","Transportation",519
2014,"Invercargill City Council","Current grants, subsidies, and donations income","Transportation",1070
2014,"Invercargill City Council","Interest income","Transportation",0
2014,"Invercargill City Council","Dividend income","Transportation",0
2014,"Invercargill City Council","Sales and other operating income","Transportation",1348
2014,"Invercargill City Council","Employee costs","Transportation",260
2014,"Invercargill City Council","Depreciation and amortisation","Transportation",210
2014,"Invercargill City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Invercargill City Council","Interest expenditure","Transportation",34
2014,"Invercargill City Council","Purchases and other operating expenditure","Transportation",2350
2013,"Invercargill City Council","Rates","Transportation",540
2013,"Invercargill City Council","Regulatory income and petrol tax","Transportation",551
2013,"Invercargill City Council","Current grants, subsidies, and donations income","Transportation",1359
2013,"Invercargill City Council","Interest income","Transportation",0
2013,"Invercargill City Council","Dividend income","Transportation",0
2013,"Invercargill City Council","Sales and other operating income","Transportation",1328
2013,"Invercargill City Council","Employee costs","Transportation",344
2013,"Invercargill City Council","Depreciation and amortisation","Transportation",180
2013,"Invercargill City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Invercargill City Council","Interest expenditure","Transportation",36
2013,"Invercargill City Council","Purchases and other operating expenditure","Transportation",2996
2012,"Invercargill City Council","Rates","Transportation",414
2012,"Invercargill City Council","Regulatory income and petrol tax","Transportation",426
2012,"Invercargill City Council","Current grants, subsidies, and donations income","Transportation",1158
2012,"Invercargill City Council","Interest income","Transportation",0
2012,"Invercargill City Council","Dividend income","Transportation",0
2012,"Invercargill City Council","Sales and other operating income","Transportation",1149
2012,"Invercargill City Council","Employee costs","Transportation",326
2012,"Invercargill City Council","Depreciation and amortisation","Transportation",182
2012,"Invercargill City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Invercargill City Council","Interest expenditure","Transportation",45
2012,"Invercargill City Council","Purchases and other operating expenditure","Transportation",2832
2011,"Invercargill City Council","Rates","Transportation",268
2011,"Invercargill City Council","Regulatory income and petrol tax","Transportation",708
2011,"Invercargill City Council","Current grants, subsidies, and donations income","Transportation",1130
2011,"Invercargill City Council","Interest income","Transportation",0
2011,"Invercargill City Council","Dividend income","Transportation",0
2011,"Invercargill City Council","Sales and other operating income","Transportation",1111
2011,"Invercargill City Council","Employee costs","Transportation",334
