"year","council","income","activity","val"
2014,"Kaikoura District Council","Rates","Roading",743
2014,"Kaikoura District Council","Regulatory income and petrol tax","Roading",33
2014,"Kaikoura District Council","Current grants, subsidies, and donations income","Roading",541
2014,"Kaikoura District Council","Interest income","Roading",0
2014,"Kaikoura District Council","Dividend income","Roading",0
2014,"Kaikoura District Council","Sales and other operating income","Roading",9
2014,"Kaikoura District Council","Employee costs","Roading",0
2014,"Kaikoura District Council","Depreciation and amortisation","Roading",821
2014,"Kaikoura District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Kaikoura District Council","Interest expenditure","Roading",49
2014,"Kaikoura District Council","Purchases and other operating expenditure","Roading",1004
2013,"Kaikoura District Council","Rates","Roading",608
2013,"Kaikoura District Council","Regulatory income and petrol tax","Roading",33
2013,"Kaikoura District Council","Current grants, subsidies, and donations income","Roading",250
2013,"Kaikoura District Council","Interest income","Roading",0
2013,"Kaikoura District Council","Dividend income","Roading",0
2013,"Kaikoura District Council","Sales and other operating income","Roading",20
2013,"Kaikoura District Council","Employee costs","Roading",0
2013,"Kaikoura District Council","Depreciation and amortisation","Roading",773
2013,"Kaikoura District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Kaikoura District Council","Interest expenditure","Roading",57
2013,"Kaikoura District Council","Purchases and other operating expenditure","Roading",618
2012,"Kaikoura District Council","Rates","Roading",579
2012,"Kaikoura District Council","Regulatory income and petrol tax","Roading",33
2012,"Kaikoura District Council","Current grants, subsidies, and donations income","Roading",167
2012,"Kaikoura District Council","Interest income","Roading",0
2012,"Kaikoura District Council","Dividend income","Roading",0
2012,"Kaikoura District Council","Sales and other operating income","Roading",9
2012,"Kaikoura District Council","Employee costs","Roading",0
2012,"Kaikoura District Council","Depreciation and amortisation","Roading",766
2012,"Kaikoura District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Kaikoura District Council","Interest expenditure","Roading",56
2012,"Kaikoura District Council","Purchases and other operating expenditure","Roading",330
2011,"Kaikoura District Council","Rates","Roading",642
