"year","council","income","activity","val"
2014,"Kaipara District Council","Rates","Roading",10051
2014,"Kaipara District Council","Regulatory income and petrol tax","Roading",222
2014,"Kaipara District Council","Current grants, subsidies, and donations income","Roading",4186
2014,"Kaipara District Council","Interest income","Roading",0
2014,"Kaipara District Council","Dividend income","Roading",0
2014,"Kaipara District Council","Sales and other operating income","Roading",0
2014,"Kaipara District Council","Employee costs","Roading",180
2014,"Kaipara District Council","Depreciation and amortisation","Roading",6086
2014,"Kaipara District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Kaipara District Council","Interest expenditure","Roading",0
2014,"Kaipara District Council","Purchases and other operating expenditure","Roading",6640
2013,"Kaipara District Council","Rates","Roading",9103
2013,"Kaipara District Council","Regulatory income and petrol tax","Roading",149
2013,"Kaipara District Council","Current grants, subsidies, and donations income","Roading",4086
2013,"Kaipara District Council","Interest income","Roading",0
2013,"Kaipara District Council","Dividend income","Roading",0
2013,"Kaipara District Council","Sales and other operating income","Roading",25
2013,"Kaipara District Council","Employee costs","Roading",145
2013,"Kaipara District Council","Depreciation and amortisation","Roading",6115
2013,"Kaipara District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Kaipara District Council","Interest expenditure","Roading",111
2013,"Kaipara District Council","Purchases and other operating expenditure","Roading",10816
2012,"Kaipara District Council","Rates","Roading",7614
2012,"Kaipara District Council","Regulatory income and petrol tax","Roading",868
2012,"Kaipara District Council","Current grants, subsidies, and donations income","Roading",11076
2012,"Kaipara District Council","Interest income","Roading",0
2012,"Kaipara District Council","Dividend income","Roading",0
2012,"Kaipara District Council","Sales and other operating income","Roading",168
2012,"Kaipara District Council","Employee costs","Roading",2454
2012,"Kaipara District Council","Depreciation and amortisation","Roading",10832
2012,"Kaipara District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Kaipara District Council","Interest expenditure","Roading",295
2012,"Kaipara District Council","Purchases and other operating expenditure","Roading",8622
2011,"Kaipara District Council","Rates","Roading",8223
2011,"Kaipara District Council","Regulatory income and petrol tax","Roading",154
2011,"Kaipara District Council","Current grants, subsidies, and donations income","Roading",11803
2011,"Kaipara District Council","Interest income","Roading",0
2011,"Kaipara District Council","Dividend income","Roading",0
2011,"Kaipara District Council","Sales and other operating income","Roading",73
2011,"Kaipara District Council","Employee costs","Roading",1589
2011,"Kaipara District Council","Depreciation and amortisation","Roading",10270
2011,"Kaipara District Council","Current grants, subsidies, and donations expenditure","Roading",0
