"year","council","income","activity","val"
2014,"Kapiti Coast District Council","Rates","Roading",4055
2014,"Kapiti Coast District Council","Regulatory income and petrol tax","Roading",230
2014,"Kapiti Coast District Council","Current grants, subsidies, and donations income","Roading",1055
2014,"Kapiti Coast District Council","Interest income","Roading",0
2014,"Kapiti Coast District Council","Dividend income","Roading",0
2014,"Kapiti Coast District Council","Sales and other operating income","Roading",2111
2014,"Kapiti Coast District Council","Employee costs","Roading",0
2014,"Kapiti Coast District Council","Depreciation and amortisation","Roading",4922
2014,"Kapiti Coast District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Kapiti Coast District Council","Interest expenditure","Roading",1547
2014,"Kapiti Coast District Council","Purchases and other operating expenditure","Roading",4568
2013,"Kapiti Coast District Council","Rates","Roading",6255
2013,"Kapiti Coast District Council","Regulatory income and petrol tax","Roading",233
2013,"Kapiti Coast District Council","Current grants, subsidies, and donations income","Roading",1209
2013,"Kapiti Coast District Council","Interest income","Roading",0
2013,"Kapiti Coast District Council","Dividend income","Roading",0
2013,"Kapiti Coast District Council","Sales and other operating income","Roading",129
2013,"Kapiti Coast District Council","Employee costs","Roading",943
2013,"Kapiti Coast District Council","Depreciation and amortisation","Roading",4332
2013,"Kapiti Coast District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Kapiti Coast District Council","Interest expenditure","Roading",1671
2013,"Kapiti Coast District Council","Purchases and other operating expenditure","Roading",4136
2012,"Kapiti Coast District Council","Rates","Roading",5430
2012,"Kapiti Coast District Council","Regulatory income and petrol tax","Roading",272
2012,"Kapiti Coast District Council","Current grants, subsidies, and donations income","Roading",3214
2012,"Kapiti Coast District Council","Interest income","Roading",0
2012,"Kapiti Coast District Council","Dividend income","Roading",0
2012,"Kapiti Coast District Council","Sales and other operating income","Roading",1107
2012,"Kapiti Coast District Council","Employee costs","Roading",869
2012,"Kapiti Coast District Council","Depreciation and amortisation","Roading",4126
2012,"Kapiti Coast District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Kapiti Coast District Council","Interest expenditure","Roading",1651
2012,"Kapiti Coast District Council","Purchases and other operating expenditure","Roading",4879
2011,"Kapiti Coast District Council","Rates","Roading",5430
2011,"Kapiti Coast District Council","Regulatory income and petrol tax","Roading",345
2011,"Kapiti Coast District Council","Current grants, subsidies, and donations income","Roading",3208
2011,"Kapiti Coast District Council","Interest income","Roading",0
2011,"Kapiti Coast District Council","Dividend income","Roading",0
2011,"Kapiti Coast District Council","Sales and other operating income","Roading",48
2011,"Kapiti Coast District Council","Employee costs","Roading",856
2011,"Kapiti Coast District Council","Depreciation and amortisation","Roading",3914
2011,"Kapiti Coast District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Kapiti Coast District Council","Interest expenditure","Roading",1260
2011,"Kapiti Coast District Council","Purchases and other operating expenditure","Roading",4812
2010,"Kapiti Coast District Council","Rates","Roading",3753
2010,"Kapiti Coast District Council","Regulatory income and petrol tax","Roading",217
2010,"Kapiti Coast District Council","Current grants, subsidies, and donations income","Roading",4667
2010,"Kapiti Coast District Council","Interest income","Roading",0
2010,"Kapiti Coast District Council","Dividend income","Roading",0
2010,"Kapiti Coast District Council","Sales and other operating income","Roading",619
2010,"Kapiti Coast District Council","Employee costs","Roading",461
2010,"Kapiti Coast District Council","Depreciation and amortisation","Roading",3611
2010,"Kapiti Coast District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Kapiti Coast District Council","Interest expenditure","Roading",1558
2010,"Kapiti Coast District Council","Purchases and other operating expenditure","Roading",3768
2009,"Kapiti Coast District Council","Rates","Roading",4259
2009,"Kapiti Coast District Council","Regulatory income and petrol tax","Roading",251
2009,"Kapiti Coast District Council","Current grants, subsidies, and donations income","Roading",3106
