"year","council","income","activity","val"
2014,"Kawerau District Council","Rates","Roading",820
2014,"Kawerau District Council","Regulatory income and petrol tax","Roading",59
2014,"Kawerau District Council","Current grants, subsidies, and donations income","Roading",159
2014,"Kawerau District Council","Interest income","Roading",0
2014,"Kawerau District Council","Dividend income","Roading",0
2014,"Kawerau District Council","Sales and other operating income","Roading",43
2014,"Kawerau District Council","Employee costs","Roading",83
2014,"Kawerau District Council","Depreciation and amortisation","Roading",740
2014,"Kawerau District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Kawerau District Council","Interest expenditure","Roading",0
2014,"Kawerau District Council","Purchases and other operating expenditure","Roading",286
2013,"Kawerau District Council","Rates","Roading",811
2013,"Kawerau District Council","Regulatory income and petrol tax","Roading",55
2013,"Kawerau District Council","Current grants, subsidies, and donations income","Roading",147
2013,"Kawerau District Council","Interest income","Roading",0
2013,"Kawerau District Council","Dividend income","Roading",0
2013,"Kawerau District Council","Sales and other operating income","Roading",17
2013,"Kawerau District Council","Employee costs","Roading",218
2013,"Kawerau District Council","Depreciation and amortisation","Roading",628
2013,"Kawerau District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Kawerau District Council","Interest expenditure","Roading",0
2013,"Kawerau District Council","Purchases and other operating expenditure","Roading",408
2012,"Kawerau District Council","Rates","Roading",1064
2012,"Kawerau District Council","Regulatory income and petrol tax","Roading",57
2012,"Kawerau District Council","Current grants, subsidies, and donations income","Roading",132
2012,"Kawerau District Council","Interest income","Roading",0
2012,"Kawerau District Council","Dividend income","Roading",0
2012,"Kawerau District Council","Sales and other operating income","Roading",26
2012,"Kawerau District Council","Employee costs","Roading",82
2012,"Kawerau District Council","Depreciation and amortisation","Roading",808
2012,"Kawerau District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Kawerau District Council","Interest expenditure","Roading",0
2012,"Kawerau District Council","Purchases and other operating expenditure","Roading",679
2011,"Kawerau District Council","Rates","Roading",940
2011,"Kawerau District Council","Regulatory income and petrol tax","Roading",64
2011,"Kawerau District Council","Current grants, subsidies, and donations income","Roading",335
2011,"Kawerau District Council","Interest income","Roading",0
2011,"Kawerau District Council","Dividend income","Roading",0
2011,"Kawerau District Council","Sales and other operating income","Roading",0
2011,"Kawerau District Council","Employee costs","Roading",4
2011,"Kawerau District Council","Depreciation and amortisation","Roading",805
2011,"Kawerau District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Kawerau District Council","Interest expenditure","Roading",0
2011,"Kawerau District Council","Purchases and other operating expenditure","Roading",563
2010,"Kawerau District Council","Rates","Roading",835
2010,"Kawerau District Council","Regulatory income and petrol tax","Roading",62
2010,"Kawerau District Council","Current grants, subsidies, and donations income","Roading",308
2010,"Kawerau District Council","Interest income","Roading",0
2010,"Kawerau District Council","Dividend income","Roading",0
2010,"Kawerau District Council","Sales and other operating income","Roading",0
2010,"Kawerau District Council","Employee costs","Roading",82
2010,"Kawerau District Council","Depreciation and amortisation","Roading",664
2010,"Kawerau District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Kawerau District Council","Interest expenditure","Roading",0
2010,"Kawerau District Council","Purchases and other operating expenditure","Roading",319
2009,"Kawerau District Council","Rates","Roading",799
2009,"Kawerau District Council","Regulatory income and petrol tax","Roading",64
2009,"Kawerau District Council","Current grants, subsidies, and donations income","Roading",279
2009,"Kawerau District Council","Interest income","Roading",0
2009,"Kawerau District Council","Dividend income","Roading",0
2009,"Kawerau District Council","Sales and other operating income","Roading",12
2009,"Kawerau District Council","Employee costs","Roading",267
2009,"Kawerau District Council","Depreciation and amortisation","Roading",672
2009,"Kawerau District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Kawerau District Council","Interest expenditure","Roading",0
2009,"Kawerau District Council","Purchases and other operating expenditure","Roading",545
2014,"Kawerau District Council","Rates","Transportation",0
2014,"Kawerau District Council","Regulatory income and petrol tax","Transportation",0
2014,"Kawerau District Council","Current grants, subsidies, and donations income","Transportation",0
