"year","council","income","activity","val"
2014,"Mackenzie District Council","Rates","Roading",1320
2014,"Mackenzie District Council","Regulatory income and petrol tax","Roading",75
2014,"Mackenzie District Council","Current grants, subsidies, and donations income","Roading",1113
2014,"Mackenzie District Council","Interest income","Roading",0
2014,"Mackenzie District Council","Dividend income","Roading",0
2014,"Mackenzie District Council","Sales and other operating income","Roading",52
2014,"Mackenzie District Council","Employee costs","Roading",85
2014,"Mackenzie District Council","Depreciation and amortisation","Roading",1860
2014,"Mackenzie District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Mackenzie District Council","Interest expenditure","Roading",0
2014,"Mackenzie District Council","Purchases and other operating expenditure","Roading",1752
2013,"Mackenzie District Council","Rates","Roading",1305
2013,"Mackenzie District Council","Regulatory income and petrol tax","Roading",72
2013,"Mackenzie District Council","Current grants, subsidies, and donations income","Roading",1721
2013,"Mackenzie District Council","Interest income","Roading",0
2013,"Mackenzie District Council","Dividend income","Roading",0
2013,"Mackenzie District Council","Sales and other operating income","Roading",50
2013,"Mackenzie District Council","Employee costs","Roading",126
2013,"Mackenzie District Council","Depreciation and amortisation","Roading",1800
2013,"Mackenzie District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Mackenzie District Council","Interest expenditure","Roading",0
2013,"Mackenzie District Council","Purchases and other operating expenditure","Roading",2262
2012,"Mackenzie District Council","Rates","Roading",1404
2012,"Mackenzie District Council","Regulatory income and petrol tax","Roading",70
2012,"Mackenzie District Council","Current grants, subsidies, and donations income","Roading",726
2012,"Mackenzie District Council","Interest income","Roading",0
2012,"Mackenzie District Council","Dividend income","Roading",0
2012,"Mackenzie District Council","Sales and other operating income","Roading",24
2012,"Mackenzie District Council","Employee costs","Roading",85
2012,"Mackenzie District Council","Depreciation and amortisation","Roading",1676
2012,"Mackenzie District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Mackenzie District Council","Interest expenditure","Roading",0
2012,"Mackenzie District Council","Purchases and other operating expenditure","Roading",1237
2011,"Mackenzie District Council","Rates","Roading",859
2011,"Mackenzie District Council","Regulatory income and petrol tax","Roading",62
2011,"Mackenzie District Council","Current grants, subsidies, and donations income","Roading",515
2011,"Mackenzie District Council","Interest income","Roading",0
2011,"Mackenzie District Council","Dividend income","Roading",0
2011,"Mackenzie District Council","Sales and other operating income","Roading",91
2011,"Mackenzie District Council","Employee costs","Roading",90
2011,"Mackenzie District Council","Depreciation and amortisation","Roading",1675
2011,"Mackenzie District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Mackenzie District Council","Interest expenditure","Roading",0
2011,"Mackenzie District Council","Purchases and other operating expenditure","Roading",1153
2010,"Mackenzie District Council","Rates","Roading",1146
2010,"Mackenzie District Council","Regulatory income and petrol tax","Roading",65
2010,"Mackenzie District Council","Current grants, subsidies, and donations income","Roading",674
2010,"Mackenzie District Council","Interest income","Roading",0
2010,"Mackenzie District Council","Dividend income","Roading",0
2010,"Mackenzie District Council","Sales and other operating income","Roading",80
2010,"Mackenzie District Council","Employee costs","Roading",102
2010,"Mackenzie District Council","Depreciation and amortisation","Roading",1675
2010,"Mackenzie District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Mackenzie District Council","Interest expenditure","Roading",0
2010,"Mackenzie District Council","Purchases and other operating expenditure","Roading",1117
2009,"Mackenzie District Council","Rates","Roading",1103
2009,"Mackenzie District Council","Regulatory income and petrol tax","Roading",60
2009,"Mackenzie District Council","Current grants, subsidies, and donations income","Roading",0
2009,"Mackenzie District Council","Interest income","Roading",0
2009,"Mackenzie District Council","Dividend income","Roading",0
2009,"Mackenzie District Council","Sales and other operating income","Roading",35
