"year","council","income","activity","val"
2014,"Manawatu-Wanganui Regional Council","Rates","Roading",0
2014,"Manawatu-Wanganui Regional Council","Regulatory income and petrol tax","Roading",0
2014,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations income","Roading",0
2014,"Manawatu-Wanganui Regional Council","Interest income","Roading",0
2014,"Manawatu-Wanganui Regional Council","Dividend income","Roading",0
2014,"Manawatu-Wanganui Regional Council","Sales and other operating income","Roading",0
2014,"Manawatu-Wanganui Regional Council","Employee costs","Roading",0
2014,"Manawatu-Wanganui Regional Council","Depreciation and amortisation","Roading",0
2014,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Manawatu-Wanganui Regional Council","Interest expenditure","Roading",0
2014,"Manawatu-Wanganui Regional Council","Purchases and other operating expenditure","Roading",0
2013,"Manawatu-Wanganui Regional Council","Rates","Roading",0
2013,"Manawatu-Wanganui Regional Council","Regulatory income and petrol tax","Roading",0
2013,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations income","Roading",0
2013,"Manawatu-Wanganui Regional Council","Interest income","Roading",0
2013,"Manawatu-Wanganui Regional Council","Dividend income","Roading",0
2013,"Manawatu-Wanganui Regional Council","Sales and other operating income","Roading",0
2013,"Manawatu-Wanganui Regional Council","Employee costs","Roading",0
2013,"Manawatu-Wanganui Regional Council","Depreciation and amortisation","Roading",0
2013,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Manawatu-Wanganui Regional Council","Interest expenditure","Roading",0
2013,"Manawatu-Wanganui Regional Council","Purchases and other operating expenditure","Roading",0
2012,"Manawatu-Wanganui Regional Council","Rates","Roading",0
2012,"Manawatu-Wanganui Regional Council","Regulatory income and petrol tax","Roading",0
2012,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations income","Roading",0
2012,"Manawatu-Wanganui Regional Council","Interest income","Roading",0
2012,"Manawatu-Wanganui Regional Council","Dividend income","Roading",0
2012,"Manawatu-Wanganui Regional Council","Sales and other operating income","Roading",0
2012,"Manawatu-Wanganui Regional Council","Employee costs","Roading",0
2012,"Manawatu-Wanganui Regional Council","Depreciation and amortisation","Roading",0
2012,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Manawatu-Wanganui Regional Council","Interest expenditure","Roading",0
2012,"Manawatu-Wanganui Regional Council","Purchases and other operating expenditure","Roading",0
2011,"Manawatu-Wanganui Regional Council","Rates","Roading",0
2011,"Manawatu-Wanganui Regional Council","Regulatory income and petrol tax","Roading",0
2011,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations income","Roading",0
2011,"Manawatu-Wanganui Regional Council","Interest income","Roading",0
2011,"Manawatu-Wanganui Regional Council","Dividend income","Roading",0
2011,"Manawatu-Wanganui Regional Council","Sales and other operating income","Roading",0
2011,"Manawatu-Wanganui Regional Council","Employee costs","Roading",0
2011,"Manawatu-Wanganui Regional Council","Depreciation and amortisation","Roading",0
2011,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Manawatu-Wanganui Regional Council","Interest expenditure","Roading",0
2011,"Manawatu-Wanganui Regional Council","Purchases and other operating expenditure","Roading",0
2010,"Manawatu-Wanganui Regional Council","Rates","Roading",0
2010,"Manawatu-Wanganui Regional Council","Regulatory income and petrol tax","Roading",0
2010,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations income","Roading",0
2010,"Manawatu-Wanganui Regional Council","Interest income","Roading",0
2010,"Manawatu-Wanganui Regional Council","Dividend income","Roading",0
2010,"Manawatu-Wanganui Regional Council","Sales and other operating income","Roading",0
2010,"Manawatu-Wanganui Regional Council","Employee costs","Roading",0
2010,"Manawatu-Wanganui Regional Council","Depreciation and amortisation","Roading",0
2010,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Manawatu-Wanganui Regional Council","Interest expenditure","Roading",0
2010,"Manawatu-Wanganui Regional Council","Purchases and other operating expenditure","Roading",0
2009,"Manawatu-Wanganui Regional Council","Rates","Roading",0
2009,"Manawatu-Wanganui Regional Council","Regulatory income and petrol tax","Roading",0
2009,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations income","Roading",0
2009,"Manawatu-Wanganui Regional Council","Interest income","Roading",0
2009,"Manawatu-Wanganui Regional Council","Dividend income","Roading",0
2009,"Manawatu-Wanganui Regional Council","Sales and other operating income","Roading",0
2009,"Manawatu-Wanganui Regional Council","Employee costs","Roading",0
2009,"Manawatu-Wanganui Regional Council","Depreciation and amortisation","Roading",0
2009,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Manawatu-Wanganui Regional Council","Interest expenditure","Roading",0
2009,"Manawatu-Wanganui Regional Council","Purchases and other operating expenditure","Roading",0
2014,"Manawatu-Wanganui Regional Council","Rates","Transportation",1667
2014,"Manawatu-Wanganui Regional Council","Regulatory income and petrol tax","Transportation",0
2014,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations income","Transportation",3103
2014,"Manawatu-Wanganui Regional Council","Interest income","Transportation",0
2014,"Manawatu-Wanganui Regional Council","Dividend income","Transportation",0
2014,"Manawatu-Wanganui Regional Council","Sales and other operating income","Transportation",640
2014,"Manawatu-Wanganui Regional Council","Employee costs","Transportation",669
2014,"Manawatu-Wanganui Regional Council","Depreciation and amortisation","Transportation",0
2014,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations expenditure","Transportation",3958
2014,"Manawatu-Wanganui Regional Council","Interest expenditure","Transportation",0
2014,"Manawatu-Wanganui Regional Council","Purchases and other operating expenditure","Transportation",508
2013,"Manawatu-Wanganui Regional Council","Rates","Transportation",1975
2013,"Manawatu-Wanganui Regional Council","Regulatory income and petrol tax","Transportation",0
2013,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations income","Transportation",3025
2013,"Manawatu-Wanganui Regional Council","Interest income","Transportation",0
2013,"Manawatu-Wanganui Regional Council","Dividend income","Transportation",0
2013,"Manawatu-Wanganui Regional Council","Sales and other operating income","Transportation",643
2013,"Manawatu-Wanganui Regional Council","Employee costs","Transportation",939
2013,"Manawatu-Wanganui Regional Council","Depreciation and amortisation","Transportation",0
2013,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations expenditure","Transportation",3939
2013,"Manawatu-Wanganui Regional Council","Interest expenditure","Transportation",0
2013,"Manawatu-Wanganui Regional Council","Purchases and other operating expenditure","Transportation",360
2012,"Manawatu-Wanganui Regional Council","Rates","Transportation",1868
2012,"Manawatu-Wanganui Regional Council","Regulatory income and petrol tax","Transportation",0
2012,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations income","Transportation",3344
2012,"Manawatu-Wanganui Regional Council","Interest income","Transportation",0
2012,"Manawatu-Wanganui Regional Council","Dividend income","Transportation",0
2012,"Manawatu-Wanganui Regional Council","Sales and other operating income","Transportation",664
2012,"Manawatu-Wanganui Regional Council","Employee costs","Transportation",851
2012,"Manawatu-Wanganui Regional Council","Depreciation and amortisation","Transportation",0
2012,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations expenditure","Transportation",4209
2012,"Manawatu-Wanganui Regional Council","Interest expenditure","Transportation",0
2012,"Manawatu-Wanganui Regional Council","Purchases and other operating expenditure","Transportation",476
2011,"Manawatu-Wanganui Regional Council","Rates","Transportation",1867
2011,"Manawatu-Wanganui Regional Council","Regulatory income and petrol tax","Transportation",0
2011,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations income","Transportation",3543
2011,"Manawatu-Wanganui Regional Council","Interest income","Transportation",0
2011,"Manawatu-Wanganui Regional Council","Dividend income","Transportation",0
2011,"Manawatu-Wanganui Regional Council","Sales and other operating income","Transportation",19
2011,"Manawatu-Wanganui Regional Council","Employee costs","Transportation",832
2011,"Manawatu-Wanganui Regional Council","Depreciation and amortisation","Transportation",0
2011,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations expenditure","Transportation",4057
2011,"Manawatu-Wanganui Regional Council","Interest expenditure","Transportation",0
2011,"Manawatu-Wanganui Regional Council","Purchases and other operating expenditure","Transportation",457
2010,"Manawatu-Wanganui Regional Council","Rates","Transportation",1528
2010,"Manawatu-Wanganui Regional Council","Regulatory income and petrol tax","Transportation",0
2010,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations income","Transportation",3501
2010,"Manawatu-Wanganui Regional Council","Interest income","Transportation",0
2010,"Manawatu-Wanganui Regional Council","Dividend income","Transportation",0
2010,"Manawatu-Wanganui Regional Council","Sales and other operating income","Transportation",203
2010,"Manawatu-Wanganui Regional Council","Employee costs","Transportation",702
2010,"Manawatu-Wanganui Regional Council","Depreciation and amortisation","Transportation",75
2010,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations expenditure","Transportation",222
2010,"Manawatu-Wanganui Regional Council","Interest expenditure","Transportation",0
2010,"Manawatu-Wanganui Regional Council","Purchases and other operating expenditure","Transportation",4228
2009,"Manawatu-Wanganui Regional Council","Rates","Transportation",1553
2009,"Manawatu-Wanganui Regional Council","Regulatory income and petrol tax","Transportation",0
2009,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations income","Transportation",3380
2009,"Manawatu-Wanganui Regional Council","Interest income","Transportation",0
2009,"Manawatu-Wanganui Regional Council","Dividend income","Transportation",0
2009,"Manawatu-Wanganui Regional Council","Sales and other operating income","Transportation",388
2009,"Manawatu-Wanganui Regional Council","Employee costs","Transportation",748
2009,"Manawatu-Wanganui Regional Council","Depreciation and amortisation","Transportation",0
2009,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations expenditure","Transportation",4052
2009,"Manawatu-Wanganui Regional Council","Interest expenditure","Transportation",0
2009,"Manawatu-Wanganui Regional Council","Purchases and other operating expenditure","Transportation",494
2014,"Manawatu-Wanganui Regional Council","Rates","Water supply",0
2014,"Manawatu-Wanganui Regional Council","Regulatory income and petrol tax","Water supply",0
2014,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations income","Water supply",0
2014,"Manawatu-Wanganui Regional Council","Interest income","Water supply",0
2014,"Manawatu-Wanganui Regional Council","Dividend income","Water supply",0
2014,"Manawatu-Wanganui Regional Council","Sales and other operating income","Water supply",0
2014,"Manawatu-Wanganui Regional Council","Employee costs","Water supply",0
2014,"Manawatu-Wanganui Regional Council","Depreciation and amortisation","Water supply",0
2014,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"Manawatu-Wanganui Regional Council","Interest expenditure","Water supply",0
2014,"Manawatu-Wanganui Regional Council","Purchases and other operating expenditure","Water supply",0
2013,"Manawatu-Wanganui Regional Council","Rates","Water supply",0
2013,"Manawatu-Wanganui Regional Council","Regulatory income and petrol tax","Water supply",0
2013,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations income","Water supply",0
2013,"Manawatu-Wanganui Regional Council","Interest income","Water supply",0
2013,"Manawatu-Wanganui Regional Council","Dividend income","Water supply",0
2013,"Manawatu-Wanganui Regional Council","Sales and other operating income","Water supply",0
2013,"Manawatu-Wanganui Regional Council","Employee costs","Water supply",0
2013,"Manawatu-Wanganui Regional Council","Depreciation and amortisation","Water supply",0
2013,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2013,"Manawatu-Wanganui Regional Council","Interest expenditure","Water supply",0
2013,"Manawatu-Wanganui Regional Council","Purchases and other operating expenditure","Water supply",0
2012,"Manawatu-Wanganui Regional Council","Rates","Water supply",0
2012,"Manawatu-Wanganui Regional Council","Regulatory income and petrol tax","Water supply",0
2012,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations income","Water supply",0
2012,"Manawatu-Wanganui Regional Council","Interest income","Water supply",0
2012,"Manawatu-Wanganui Regional Council","Dividend income","Water supply",0
2012,"Manawatu-Wanganui Regional Council","Sales and other operating income","Water supply",0
2012,"Manawatu-Wanganui Regional Council","Employee costs","Water supply",0
2012,"Manawatu-Wanganui Regional Council","Depreciation and amortisation","Water supply",0
2012,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2012,"Manawatu-Wanganui Regional Council","Interest expenditure","Water supply",0
2012,"Manawatu-Wanganui Regional Council","Purchases and other operating expenditure","Water supply",0
2011,"Manawatu-Wanganui Regional Council","Rates","Water supply",0
2011,"Manawatu-Wanganui Regional Council","Regulatory income and petrol tax","Water supply",0
2011,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations income","Water supply",0
2011,"Manawatu-Wanganui Regional Council","Interest income","Water supply",0
2011,"Manawatu-Wanganui Regional Council","Dividend income","Water supply",0
2011,"Manawatu-Wanganui Regional Council","Sales and other operating income","Water supply",0
2011,"Manawatu-Wanganui Regional Council","Employee costs","Water supply",0
2011,"Manawatu-Wanganui Regional Council","Depreciation and amortisation","Water supply",0
2011,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2011,"Manawatu-Wanganui Regional Council","Interest expenditure","Water supply",0
2011,"Manawatu-Wanganui Regional Council","Purchases and other operating expenditure","Water supply",0
2010,"Manawatu-Wanganui Regional Council","Rates","Water supply",0
2010,"Manawatu-Wanganui Regional Council","Regulatory income and petrol tax","Water supply",0
2010,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations income","Water supply",0
2010,"Manawatu-Wanganui Regional Council","Interest income","Water supply",0
2010,"Manawatu-Wanganui Regional Council","Dividend income","Water supply",0
2010,"Manawatu-Wanganui Regional Council","Sales and other operating income","Water supply",0
2010,"Manawatu-Wanganui Regional Council","Employee costs","Water supply",0
2010,"Manawatu-Wanganui Regional Council","Depreciation and amortisation","Water supply",0
2010,"Manawatu-Wanganui Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2010,"Manawatu-Wanganui Regional Council","Interest expenditure","Water supply",0
