"year","council","income","activity","val"
2014,"Manawatu District Council","Rates","Roading",5901
2014,"Manawatu District Council","Regulatory income and petrol tax","Roading",364
2014,"Manawatu District Council","Current grants, subsidies, and donations income","Roading",2607
2014,"Manawatu District Council","Interest income","Roading",0
2014,"Manawatu District Council","Dividend income","Roading",0
2014,"Manawatu District Council","Sales and other operating income","Roading",0
2014,"Manawatu District Council","Employee costs","Roading",0
2014,"Manawatu District Council","Depreciation and amortisation","Roading",6912
2014,"Manawatu District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Manawatu District Council","Interest expenditure","Roading",0
2014,"Manawatu District Council","Purchases and other operating expenditure","Roading",5042
2013,"Manawatu District Council","Rates","Roading",5767
2013,"Manawatu District Council","Regulatory income and petrol tax","Roading",184
2013,"Manawatu District Council","Current grants, subsidies, and donations income","Roading",1932
2013,"Manawatu District Council","Interest income","Roading",0
2013,"Manawatu District Council","Dividend income","Roading",0
2013,"Manawatu District Council","Sales and other operating income","Roading",0
2013,"Manawatu District Council","Employee costs","Roading",105
2013,"Manawatu District Council","Depreciation and amortisation","Roading",6791
2013,"Manawatu District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Manawatu District Council","Interest expenditure","Roading",0
2013,"Manawatu District Council","Purchases and other operating expenditure","Roading",3929
2012,"Manawatu District Council","Rates","Roading",5963
2012,"Manawatu District Council","Regulatory income and petrol tax","Roading",209
2012,"Manawatu District Council","Current grants, subsidies, and donations income","Roading",6226
2012,"Manawatu District Council","Interest income","Roading",0
2012,"Manawatu District Council","Dividend income","Roading",0
2012,"Manawatu District Council","Sales and other operating income","Roading",23
2012,"Manawatu District Council","Employee costs","Roading",100
2012,"Manawatu District Council","Depreciation and amortisation","Roading",7345
2012,"Manawatu District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Manawatu District Council","Interest expenditure","Roading",0
2012,"Manawatu District Council","Purchases and other operating expenditure","Roading",4332
2011,"Manawatu District Council","Rates","Roading",5849
2011,"Manawatu District Council","Regulatory income and petrol tax","Roading",215
2011,"Manawatu District Council","Current grants, subsidies, and donations income","Roading",4162
2011,"Manawatu District Council","Interest income","Roading",0
2011,"Manawatu District Council","Dividend income","Roading",0
2011,"Manawatu District Council","Sales and other operating income","Roading",86
2011,"Manawatu District Council","Employee costs","Roading",94
2011,"Manawatu District Council","Depreciation and amortisation","Roading",6562
2011,"Manawatu District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Manawatu District Council","Interest expenditure","Roading",0
2011,"Manawatu District Council","Purchases and other operating expenditure","Roading",6683
2010,"Manawatu District Council","Rates","Roading",6516
2010,"Manawatu District Council","Regulatory income and petrol tax","Roading",218
2010,"Manawatu District Council","Current grants, subsidies, and donations income","Roading",4896
2010,"Manawatu District Council","Interest income","Roading",0
2010,"Manawatu District Council","Dividend income","Roading",0
2010,"Manawatu District Council","Sales and other operating income","Roading",4
2010,"Manawatu District Council","Employee costs","Roading",93
2010,"Manawatu District Council","Depreciation and amortisation","Roading",6367
2010,"Manawatu District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Manawatu District Council","Interest expenditure","Roading",93
2010,"Manawatu District Council","Purchases and other operating expenditure","Roading",4325
2009,"Manawatu District Council","Rates","Roading",6862
2009,"Manawatu District Council","Regulatory income and petrol tax","Roading",185
2009,"Manawatu District Council","Current grants, subsidies, and donations income","Roading",3231
2009,"Manawatu District Council","Interest income","Roading",0
2009,"Manawatu District Council","Dividend income","Roading",0
2009,"Manawatu District Council","Sales and other operating income","Roading",8
2009,"Manawatu District Council","Employee costs","Roading",84
2009,"Manawatu District Council","Depreciation and amortisation","Roading",5784
2009,"Manawatu District Council","Current grants, subsidies, and donations expenditure","Roading",3
2009,"Manawatu District Council","Interest expenditure","Roading",40
2009,"Manawatu District Council","Purchases and other operating expenditure","Roading",4728
2014,"Manawatu District Council","Rates","Transportation",0
2014,"Manawatu District Council","Regulatory income and petrol tax","Transportation",0
2014,"Manawatu District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Manawatu District Council","Interest income","Transportation",0
2014,"Manawatu District Council","Dividend income","Transportation",0
2014,"Manawatu District Council","Sales and other operating income","Transportation",0
2014,"Manawatu District Council","Employee costs","Transportation",0
2014,"Manawatu District Council","Depreciation and amortisation","Transportation",0
2014,"Manawatu District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Manawatu District Council","Interest expenditure","Transportation",0
2014,"Manawatu District Council","Purchases and other operating expenditure","Transportation",0
2013,"Manawatu District Council","Rates","Transportation",0
2013,"Manawatu District Council","Regulatory income and petrol tax","Transportation",0
2013,"Manawatu District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Manawatu District Council","Interest income","Transportation",0
2013,"Manawatu District Council","Dividend income","Transportation",0
2013,"Manawatu District Council","Sales and other operating income","Transportation",0
2013,"Manawatu District Council","Employee costs","Transportation",0
2013,"Manawatu District Council","Depreciation and amortisation","Transportation",0
2013,"Manawatu District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Manawatu District Council","Interest expenditure","Transportation",0
2013,"Manawatu District Council","Purchases and other operating expenditure","Transportation",0
2012,"Manawatu District Council","Rates","Transportation",0
2012,"Manawatu District Council","Regulatory income and petrol tax","Transportation",0
2012,"Manawatu District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Manawatu District Council","Interest income","Transportation",0
2012,"Manawatu District Council","Dividend income","Transportation",0
2012,"Manawatu District Council","Sales and other operating income","Transportation",0
2012,"Manawatu District Council","Employee costs","Transportation",0
2012,"Manawatu District Council","Depreciation and amortisation","Transportation",0
2012,"Manawatu District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Manawatu District Council","Interest expenditure","Transportation",0
2012,"Manawatu District Council","Purchases and other operating expenditure","Transportation",0
2011,"Manawatu District Council","Rates","Transportation",0
2011,"Manawatu District Council","Regulatory income and petrol tax","Transportation",0
2011,"Manawatu District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Manawatu District Council","Interest income","Transportation",0
2011,"Manawatu District Council","Dividend income","Transportation",0
2011,"Manawatu District Council","Sales and other operating income","Transportation",0
2011,"Manawatu District Council","Employee costs","Transportation",0
2011,"Manawatu District Council","Depreciation and amortisation","Transportation",0
2011,"Manawatu District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Manawatu District Council","Interest expenditure","Transportation",0
2011,"Manawatu District Council","Purchases and other operating expenditure","Transportation",0
2010,"Manawatu District Council","Rates","Transportation",0
2010,"Manawatu District Council","Regulatory income and petrol tax","Transportation",0
2010,"Manawatu District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Manawatu District Council","Interest income","Transportation",0
2010,"Manawatu District Council","Dividend income","Transportation",0
2010,"Manawatu District Council","Sales and other operating income","Transportation",0
2010,"Manawatu District Council","Employee costs","Transportation",0
2010,"Manawatu District Council","Depreciation and amortisation","Transportation",0
2010,"Manawatu District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Manawatu District Council","Interest expenditure","Transportation",0
2010,"Manawatu District Council","Purchases and other operating expenditure","Transportation",0
2009,"Manawatu District Council","Rates","Transportation",0
2009,"Manawatu District Council","Regulatory income and petrol tax","Transportation",0
2009,"Manawatu District Council","Current grants, subsidies, and donations income","Transportation",0
2009,"Manawatu District Council","Interest income","Transportation",0
2009,"Manawatu District Council","Dividend income","Transportation",0
2009,"Manawatu District Council","Sales and other operating income","Transportation",0
2009,"Manawatu District Council","Employee costs","Transportation",0
2009,"Manawatu District Council","Depreciation and amortisation","Transportation",0
