"year","council","income","activity","val"
2011,"Manukau City Council","Rates","Roading",0
2011,"Manukau City Council","Regulatory income and petrol tax","Roading",855
2011,"Manukau City Council","Current grants, subsidies, and donations income","Roading",2326
2011,"Manukau City Council","Interest income","Roading",0
2011,"Manukau City Council","Dividend income","Roading",0
2011,"Manukau City Council","Sales and other operating income","Roading",0
2011,"Manukau City Council","Employee costs","Roading",1302
2011,"Manukau City Council","Depreciation and amortisation","Roading",13955
2011,"Manukau City Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Manukau City Council","Interest expenditure","Roading",0
2011,"Manukau City Council","Purchases and other operating expenditure","Roading",7187
2010,"Manukau City Council","Rates","Roading",0
2010,"Manukau City Council","Regulatory income and petrol tax","Roading",1427
2010,"Manukau City Council","Current grants, subsidies, and donations income","Roading",6977
2010,"Manukau City Council","Interest income","Roading",0
2010,"Manukau City Council","Dividend income","Roading",0
2010,"Manukau City Council","Sales and other operating income","Roading",0
2010,"Manukau City Council","Employee costs","Roading",3905
2010,"Manukau City Council","Depreciation and amortisation","Roading",43880
2010,"Manukau City Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Manukau City Council","Interest expenditure","Roading",0
2010,"Manukau City Council","Purchases and other operating expenditure","Roading",21568
2009,"Manukau City Council","Rates","Roading",0
2009,"Manukau City Council","Regulatory income and petrol tax","Roading",1413
2009,"Manukau City Council","Current grants, subsidies, and donations income","Roading",8091
2009,"Manukau City Council","Interest income","Roading",0
2009,"Manukau City Council","Dividend income","Roading",0
2009,"Manukau City Council","Sales and other operating income","Roading",917
2009,"Manukau City Council","Employee costs","Roading",1913
2009,"Manukau City Council","Depreciation and amortisation","Roading",34119
2009,"Manukau City Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Manukau City Council","Interest expenditure","Roading",0
2009,"Manukau City Council","Purchases and other operating expenditure","Roading",20269
2011,"Manukau City Council","Rates","Transportation",0
2011,"Manukau City Council","Regulatory income and petrol tax","Transportation",1983
2011,"Manukau City Council","Current grants, subsidies, and donations income","Transportation",109
2011,"Manukau City Council","Interest income","Transportation",0
2011,"Manukau City Council","Dividend income","Transportation",0
2011,"Manukau City Council","Sales and other operating income","Transportation",802
2011,"Manukau City Council","Employee costs","Transportation",858
2011,"Manukau City Council","Depreciation and amortisation","Transportation",0
2011,"Manukau City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Manukau City Council","Interest expenditure","Transportation",0
