"year","council","income","activity","val"
2014,"Marlborough District Council","Rates","Roading",9484
2014,"Marlborough District Council","Regulatory income and petrol tax","Roading",379
2014,"Marlborough District Council","Current grants, subsidies, and donations income","Roading",4209
2014,"Marlborough District Council","Interest income","Roading",0
2014,"Marlborough District Council","Dividend income","Roading",0
2014,"Marlborough District Council","Sales and other operating income","Roading",82
2014,"Marlborough District Council","Employee costs","Roading",0
2014,"Marlborough District Council","Depreciation and amortisation","Roading",8259
2014,"Marlborough District Council","Current grants, subsidies, and donations expenditure","Roading",683
2014,"Marlborough District Council","Interest expenditure","Roading",0
2014,"Marlborough District Council","Purchases and other operating expenditure","Roading",9679
2013,"Marlborough District Council","Rates","Roading",10031
2013,"Marlborough District Council","Regulatory income and petrol tax","Roading",417
2013,"Marlborough District Council","Current grants, subsidies, and donations income","Roading",3878
2013,"Marlborough District Council","Interest income","Roading",0
2013,"Marlborough District Council","Dividend income","Roading",0
2013,"Marlborough District Council","Sales and other operating income","Roading",23
2013,"Marlborough District Council","Employee costs","Roading",0
2013,"Marlborough District Council","Depreciation and amortisation","Roading",7311
2013,"Marlborough District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Marlborough District Council","Interest expenditure","Roading",0
2013,"Marlborough District Council","Purchases and other operating expenditure","Roading",9807
2012,"Marlborough District Council","Rates","Roading",10149
2012,"Marlborough District Council","Regulatory income and petrol tax","Roading",369
2012,"Marlborough District Council","Current grants, subsidies, and donations income","Roading",4028
2012,"Marlborough District Council","Interest income","Roading",0
2012,"Marlborough District Council","Dividend income","Roading",0
2012,"Marlborough District Council","Sales and other operating income","Roading",106
2012,"Marlborough District Council","Employee costs","Roading",0
2012,"Marlborough District Council","Depreciation and amortisation","Roading",6851
2012,"Marlborough District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Marlborough District Council","Interest expenditure","Roading",0
2012,"Marlborough District Council","Purchases and other operating expenditure","Roading",9357
2011,"Marlborough District Council","Rates","Roading",9739
2011,"Marlborough District Council","Regulatory income and petrol tax","Roading",392
2011,"Marlborough District Council","Current grants, subsidies, and donations income","Roading",6175
2011,"Marlborough District Council","Interest income","Roading",0
2011,"Marlborough District Council","Dividend income","Roading",0
2011,"Marlborough District Council","Sales and other operating income","Roading",128
2011,"Marlborough District Council","Employee costs","Roading",0
2011,"Marlborough District Council","Depreciation and amortisation","Roading",6683
2011,"Marlborough District Council","Current grants, subsidies, and donations expenditure","Roading",67
2011,"Marlborough District Council","Interest expenditure","Roading",0
2011,"Marlborough District Council","Purchases and other operating expenditure","Roading",12691
2010,"Marlborough District Council","Rates","Roading",9650
2010,"Marlborough District Council","Regulatory income and petrol tax","Roading",412
2010,"Marlborough District Council","Current grants, subsidies, and donations income","Roading",3174
2010,"Marlborough District Council","Interest income","Roading",0
2010,"Marlborough District Council","Dividend income","Roading",0
2010,"Marlborough District Council","Sales and other operating income","Roading",69
2010,"Marlborough District Council","Employee costs","Roading",1
2010,"Marlborough District Council","Depreciation and amortisation","Roading",6537
2010,"Marlborough District Council","Current grants, subsidies, and donations expenditure","Roading",0
