"year","council","income","activity","val"
2014,"Masterton District Council","Rates","Roading",5397
2014,"Masterton District Council","Regulatory income and petrol tax","Roading",168
2014,"Masterton District Council","Current grants, subsidies, and donations income","Roading",1828
2014,"Masterton District Council","Interest income","Roading",0
2014,"Masterton District Council","Dividend income","Roading",0
2014,"Masterton District Council","Sales and other operating income","Roading",100
2014,"Masterton District Council","Employee costs","Roading",37
2014,"Masterton District Council","Depreciation and amortisation","Roading",4522
2014,"Masterton District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Masterton District Council","Interest expenditure","Roading",23
2014,"Masterton District Council","Purchases and other operating expenditure","Roading",3584
2013,"Masterton District Council","Rates","Roading",5043
2013,"Masterton District Council","Regulatory income and petrol tax","Roading",166
2013,"Masterton District Council","Current grants, subsidies, and donations income","Roading",2115
2013,"Masterton District Council","Interest income","Roading",0
2013,"Masterton District Council","Dividend income","Roading",0
2013,"Masterton District Council","Sales and other operating income","Roading",89
2013,"Masterton District Council","Employee costs","Roading",24
2013,"Masterton District Council","Depreciation and amortisation","Roading",4490
2013,"Masterton District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Masterton District Council","Interest expenditure","Roading",24
2013,"Masterton District Council","Purchases and other operating expenditure","Roading",5508
2012,"Masterton District Council","Rates","Roading",5136
2012,"Masterton District Council","Regulatory income and petrol tax","Roading",167
2012,"Masterton District Council","Current grants, subsidies, and donations income","Roading",1966
2012,"Masterton District Council","Interest income","Roading",0
2012,"Masterton District Council","Dividend income","Roading",0
2012,"Masterton District Council","Sales and other operating income","Roading",84
2012,"Masterton District Council","Employee costs","Roading",25
2012,"Masterton District Council","Depreciation and amortisation","Roading",4448
2012,"Masterton District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Masterton District Council","Interest expenditure","Roading",24
2012,"Masterton District Council","Purchases and other operating expenditure","Roading",5014
2011,"Masterton District Council","Rates","Roading",4914
2011,"Masterton District Council","Regulatory income and petrol tax","Roading",160
2011,"Masterton District Council","Current grants, subsidies, and donations income","Roading",1994
2011,"Masterton District Council","Interest income","Roading",0
2011,"Masterton District Council","Dividend income","Roading",0
2011,"Masterton District Council","Sales and other operating income","Roading",49
2011,"Masterton District Council","Employee costs","Roading",22
2011,"Masterton District Council","Depreciation and amortisation","Roading",4396
2011,"Masterton District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Masterton District Council","Interest expenditure","Roading",26
2011,"Masterton District Council","Purchases and other operating expenditure","Roading",5052
2010,"Masterton District Council","Rates","Roading",4792
2010,"Masterton District Council","Regulatory income and petrol tax","Roading",170
2010,"Masterton District Council","Current grants, subsidies, and donations income","Roading",1732
2010,"Masterton District Council","Interest income","Roading",0
2010,"Masterton District Council","Dividend income","Roading",0
2010,"Masterton District Council","Sales and other operating income","Roading",57
2010,"Masterton District Council","Employee costs","Roading",24
2010,"Masterton District Council","Depreciation and amortisation","Roading",4529
2010,"Masterton District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Masterton District Council","Interest expenditure","Roading",26
2010,"Masterton District Council","Purchases and other operating expenditure","Roading",3699
2009,"Masterton District Council","Rates","Roading",4716
2009,"Masterton District Council","Regulatory income and petrol tax","Roading",171
2009,"Masterton District Council","Current grants, subsidies, and donations income","Roading",1801
2009,"Masterton District Council","Interest income","Roading",0
2009,"Masterton District Council","Dividend income","Roading",0
2009,"Masterton District Council","Sales and other operating income","Roading",65
2009,"Masterton District Council","Employee costs","Roading",23
2009,"Masterton District Council","Depreciation and amortisation","Roading",4649
2009,"Masterton District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Masterton District Council","Interest expenditure","Roading",37
2009,"Masterton District Council","Purchases and other operating expenditure","Roading",3586
2014,"Masterton District Council","Rates","Transportation",32
2014,"Masterton District Council","Regulatory income and petrol tax","Transportation",69
2014,"Masterton District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Masterton District Council","Interest income","Transportation",0
2014,"Masterton District Council","Dividend income","Transportation",0
2014,"Masterton District Council","Sales and other operating income","Transportation",389
2014,"Masterton District Council","Employee costs","Transportation",0
2014,"Masterton District Council","Depreciation and amortisation","Transportation",91
2014,"Masterton District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Masterton District Council","Interest expenditure","Transportation",28
2014,"Masterton District Council","Purchases and other operating expenditure","Transportation",213
2013,"Masterton District Council","Rates","Transportation",55
2013,"Masterton District Council","Regulatory income and petrol tax","Transportation",53
2013,"Masterton District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Masterton District Council","Interest income","Transportation",0
2013,"Masterton District Council","Dividend income","Transportation",0
