"year","council","income","activity","val"
2014,"Matamata-Piako District Council","Rates","Roading",5555
2014,"Matamata-Piako District Council","Regulatory income and petrol tax","Roading",224
2014,"Matamata-Piako District Council","Current grants, subsidies, and donations income","Roading",2378
2014,"Matamata-Piako District Council","Interest income","Roading",0
2014,"Matamata-Piako District Council","Dividend income","Roading",0
2014,"Matamata-Piako District Council","Sales and other operating income","Roading",21
2014,"Matamata-Piako District Council","Employee costs","Roading",0
2014,"Matamata-Piako District Council","Depreciation and amortisation","Roading",5815
2014,"Matamata-Piako District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Matamata-Piako District Council","Interest expenditure","Roading",180
2014,"Matamata-Piako District Council","Purchases and other operating expenditure","Roading",4739
2013,"Matamata-Piako District Council","Rates","Roading",5090
2013,"Matamata-Piako District Council","Regulatory income and petrol tax","Roading",224
2013,"Matamata-Piako District Council","Current grants, subsidies, and donations income","Roading",2494
2013,"Matamata-Piako District Council","Interest income","Roading",0
2013,"Matamata-Piako District Council","Dividend income","Roading",0
2013,"Matamata-Piako District Council","Sales and other operating income","Roading",31
2013,"Matamata-Piako District Council","Employee costs","Roading",0
2013,"Matamata-Piako District Council","Depreciation and amortisation","Roading",5658
2013,"Matamata-Piako District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Matamata-Piako District Council","Interest expenditure","Roading",216
2013,"Matamata-Piako District Council","Purchases and other operating expenditure","Roading",5860
2012,"Matamata-Piako District Council","Rates","Roading",4789
2012,"Matamata-Piako District Council","Regulatory income and petrol tax","Roading",222
2012,"Matamata-Piako District Council","Current grants, subsidies, and donations income","Roading",5282
2012,"Matamata-Piako District Council","Interest income","Roading",0
2012,"Matamata-Piako District Council","Dividend income","Roading",0
2012,"Matamata-Piako District Council","Sales and other operating income","Roading",0
2012,"Matamata-Piako District Council","Employee costs","Roading",0
2012,"Matamata-Piako District Council","Depreciation and amortisation","Roading",5514
2012,"Matamata-Piako District Council","Current grants, subsidies, and donations expenditure","Roading",0
