"year","council","income","activity","val"
2014,"Museums","Rates","Roading",0
2014,"Museums","Regulatory income and petrol tax","Roading",0
2014,"Museums","Current grants, subsidies, and donations income","Roading",0
2014,"Museums","Interest income","Roading",0
2014,"Museums","Dividend income","Roading",0
2014,"Museums","Sales and other operating income","Roading",0
2014,"Museums","Employee costs","Roading",0
2014,"Museums","Depreciation and amortisation","Roading",0
2014,"Museums","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Museums","Interest expenditure","Roading",0
2014,"Museums","Purchases and other operating expenditure","Roading",0
2013,"Museums","Rates","Roading",0
2013,"Museums","Regulatory income and petrol tax","Roading",0
2013,"Museums","Current grants, subsidies, and donations income","Roading",0
2013,"Museums","Interest income","Roading",0
2013,"Museums","Dividend income","Roading",0
2013,"Museums","Sales and other operating income","Roading",0
2013,"Museums","Employee costs","Roading",0
2013,"Museums","Depreciation and amortisation","Roading",0
2013,"Museums","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Museums","Interest expenditure","Roading",0
2013,"Museums","Purchases and other operating expenditure","Roading",0
2012,"Museums","Rates","Roading",0
2012,"Museums","Regulatory income and petrol tax","Roading",0
2012,"Museums","Current grants, subsidies, and donations income","Roading",0
2012,"Museums","Interest income","Roading",0
2012,"Museums","Dividend income","Roading",0
2012,"Museums","Sales and other operating income","Roading",0
2012,"Museums","Employee costs","Roading",0
2012,"Museums","Depreciation and amortisation","Roading",0
2012,"Museums","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Museums","Interest expenditure","Roading",0
2012,"Museums","Purchases and other operating expenditure","Roading",0
2011,"Museums","Rates","Roading",0
2011,"Museums","Regulatory income and petrol tax","Roading",0
2011,"Museums","Current grants, subsidies, and donations income","Roading",0
2011,"Museums","Interest income","Roading",0
2011,"Museums","Dividend income","Roading",0
2011,"Museums","Sales and other operating income","Roading",0
2011,"Museums","Employee costs","Roading",0
2011,"Museums","Depreciation and amortisation","Roading",0
2011,"Museums","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Museums","Interest expenditure","Roading",0
2011,"Museums","Purchases and other operating expenditure","Roading",0
2010,"Museums","Rates","Roading",0
2010,"Museums","Regulatory income and petrol tax","Roading",0
2010,"Museums","Current grants, subsidies, and donations income","Roading",0
2010,"Museums","Interest income","Roading",0
2010,"Museums","Dividend income","Roading",0
2010,"Museums","Sales and other operating income","Roading",0
2010,"Museums","Employee costs","Roading",0
2010,"Museums","Depreciation and amortisation","Roading",0
2010,"Museums","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Museums","Interest expenditure","Roading",0
2010,"Museums","Purchases and other operating expenditure","Roading",0
