"year","council","income","activity","val"
2014,"Napier City Council","Rates","Roading",5304
2014,"Napier City Council","Regulatory income and petrol tax","Roading",392
2014,"Napier City Council","Current grants, subsidies, and donations income","Roading",0
2014,"Napier City Council","Interest income","Roading",0
2014,"Napier City Council","Dividend income","Roading",0
2014,"Napier City Council","Sales and other operating income","Roading",233
2014,"Napier City Council","Employee costs","Roading",356
2014,"Napier City Council","Depreciation and amortisation","Roading",7108
2014,"Napier City Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Napier City Council","Interest expenditure","Roading",0
2014,"Napier City Council","Purchases and other operating expenditure","Roading",6968
2013,"Napier City Council","Rates","Roading",9622
2013,"Napier City Council","Regulatory income and petrol tax","Roading",396
2013,"Napier City Council","Current grants, subsidies, and donations income","Roading",0
2013,"Napier City Council","Interest income","Roading",0
2013,"Napier City Council","Dividend income","Roading",0
2013,"Napier City Council","Sales and other operating income","Roading",132
2013,"Napier City Council","Employee costs","Roading",364
2013,"Napier City Council","Depreciation and amortisation","Roading",7305
2013,"Napier City Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Napier City Council","Interest expenditure","Roading",0
2013,"Napier City Council","Purchases and other operating expenditure","Roading",7734
2012,"Napier City Council","Rates","Roading",12659
2012,"Napier City Council","Regulatory income and petrol tax","Roading",393
2012,"Napier City Council","Current grants, subsidies, and donations income","Roading",2119
2012,"Napier City Council","Interest income","Roading",0
2012,"Napier City Council","Dividend income","Roading",0
2012,"Napier City Council","Sales and other operating income","Roading",57
2012,"Napier City Council","Employee costs","Roading",291
2012,"Napier City Council","Depreciation and amortisation","Roading",6902
2012,"Napier City Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Napier City Council","Interest expenditure","Roading",9
2012,"Napier City Council","Purchases and other operating expenditure","Roading",2824
2011,"Napier City Council","Rates","Roading",11859
2011,"Napier City Council","Regulatory income and petrol tax","Roading",412
2011,"Napier City Council","Current grants, subsidies, and donations income","Roading",0
2011,"Napier City Council","Interest income","Roading",0
2011,"Napier City Council","Dividend income","Roading",0
2011,"Napier City Council","Sales and other operating income","Roading",33
2011,"Napier City Council","Employee costs","Roading",299
2011,"Napier City Council","Depreciation and amortisation","Roading",7733
2011,"Napier City Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Napier City Council","Interest expenditure","Roading",0
2011,"Napier City Council","Purchases and other operating expenditure","Roading",3845
2010,"Napier City Council","Rates","Roading",11343
2010,"Napier City Council","Regulatory income and petrol tax","Roading",420
2010,"Napier City Council","Current grants, subsidies, and donations income","Roading",864
2010,"Napier City Council","Interest income","Roading",0
2010,"Napier City Council","Dividend income","Roading",0
2010,"Napier City Council","Sales and other operating income","Roading",51
2010,"Napier City Council","Employee costs","Roading",345
2010,"Napier City Council","Depreciation and amortisation","Roading",6760
2010,"Napier City Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Napier City Council","Interest expenditure","Roading",0
2010,"Napier City Council","Purchases and other operating expenditure","Roading",4171
2009,"Napier City Council","Rates","Roading",9204
2009,"Napier City Council","Regulatory income and petrol tax","Roading",384
2009,"Napier City Council","Current grants, subsidies, and donations income","Roading",814
2009,"Napier City Council","Interest income","Roading",0
2009,"Napier City Council","Dividend income","Roading",0
2009,"Napier City Council","Sales and other operating income","Roading",60
2009,"Napier City Council","Employee costs","Roading",315
2009,"Napier City Council","Depreciation and amortisation","Roading",6112
2009,"Napier City Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Napier City Council","Interest expenditure","Roading",0
2009,"Napier City Council","Purchases and other operating expenditure","Roading",4179
2014,"Napier City Council","Rates","Transportation",0
2014,"Napier City Council","Regulatory income and petrol tax","Transportation",1536
2014,"Napier City Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Napier City Council","Interest income","Transportation",0
2014,"Napier City Council","Dividend income","Transportation",0
2014,"Napier City Council","Sales and other operating income","Transportation",1058
2014,"Napier City Council","Employee costs","Transportation",404
2014,"Napier City Council","Depreciation and amortisation","Transportation",204
2014,"Napier City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Napier City Council","Interest expenditure","Transportation",0
2014,"Napier City Council","Purchases and other operating expenditure","Transportation",22
2013,"Napier City Council","Rates","Transportation",0
2013,"Napier City Council","Regulatory income and petrol tax","Transportation",1491
2013,"Napier City Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Napier City Council","Interest income","Transportation",0
2013,"Napier City Council","Dividend income","Transportation",0
2013,"Napier City Council","Sales and other operating income","Transportation",1010
2013,"Napier City Council","Employee costs","Transportation",390
2013,"Napier City Council","Depreciation and amortisation","Transportation",232
2013,"Napier City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Napier City Council","Interest expenditure","Transportation",0
2013,"Napier City Council","Purchases and other operating expenditure","Transportation",15
2012,"Napier City Council","Rates","Transportation",0
2012,"Napier City Council","Regulatory income and petrol tax","Transportation",1554
2012,"Napier City Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Napier City Council","Interest income","Transportation",0
2012,"Napier City Council","Dividend income","Transportation",0
2012,"Napier City Council","Sales and other operating income","Transportation",1003
2012,"Napier City Council","Employee costs","Transportation",389
2012,"Napier City Council","Depreciation and amortisation","Transportation",169
2012,"Napier City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Napier City Council","Interest expenditure","Transportation",0
2012,"Napier City Council","Purchases and other operating expenditure","Transportation",383
2011,"Napier City Council","Rates","Transportation",0
2011,"Napier City Council","Regulatory income and petrol tax","Transportation",1590
2011,"Napier City Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Napier City Council","Interest income","Transportation",0
2011,"Napier City Council","Dividend income","Transportation",0
2011,"Napier City Council","Sales and other operating income","Transportation",925
2011,"Napier City Council","Employee costs","Transportation",364
2011,"Napier City Council","Depreciation and amortisation","Transportation",131
2011,"Napier City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Napier City Council","Interest expenditure","Transportation",0
2011,"Napier City Council","Purchases and other operating expenditure","Transportation",546
2010,"Napier City Council","Rates","Transportation",0
2010,"Napier City Council","Regulatory income and petrol tax","Transportation",1453
2010,"Napier City Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Napier City Council","Interest income","Transportation",0
2010,"Napier City Council","Dividend income","Transportation",0
2010,"Napier City Council","Sales and other operating income","Transportation",853
2010,"Napier City Council","Employee costs","Transportation",303
2010,"Napier City Council","Depreciation and amortisation","Transportation",124
2010,"Napier City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Napier City Council","Interest expenditure","Transportation",0
2010,"Napier City Council","Purchases and other operating expenditure","Transportation",369
2009,"Napier City Council","Rates","Transportation",0
2009,"Napier City Council","Regulatory income and petrol tax","Transportation",702
2009,"Napier City Council","Current grants, subsidies, and donations income","Transportation",0
2009,"Napier City Council","Interest income","Transportation",0
2009,"Napier City Council","Dividend income","Transportation",0
2009,"Napier City Council","Sales and other operating income","Transportation",834
2009,"Napier City Council","Employee costs","Transportation",270
2009,"Napier City Council","Depreciation and amortisation","Transportation",100
2009,"Napier City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2009,"Napier City Council","Interest expenditure","Transportation",0
2009,"Napier City Council","Purchases and other operating expenditure","Transportation",323
2014,"Napier City Council","Rates","Water supply",6901
2014,"Napier City Council","Regulatory income and petrol tax","Water supply",0
2014,"Napier City Council","Current grants, subsidies, and donations income","Water supply",0
2014,"Napier City Council","Interest income","Water supply",0
2014,"Napier City Council","Dividend income","Water supply",0
2014,"Napier City Council","Sales and other operating income","Water supply",494
2014,"Napier City Council","Employee costs","Water supply",119
2014,"Napier City Council","Depreciation and amortisation","Water supply",1472
2014,"Napier City Council","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"Napier City Council","Interest expenditure","Water supply",0
2014,"Napier City Council","Purchases and other operating expenditure","Water supply",1845
2013,"Napier City Council","Rates","Water supply",3619
2013,"Napier City Council","Regulatory income and petrol tax","Water supply",0
2013,"Napier City Council","Current grants, subsidies, and donations income","Water supply",0
2013,"Napier City Council","Interest income","Water supply",0
2013,"Napier City Council","Dividend income","Water supply",0
2013,"Napier City Council","Sales and other operating income","Water supply",513
2013,"Napier City Council","Employee costs","Water supply",109
2013,"Napier City Council","Depreciation and amortisation","Water supply",1475
2013,"Napier City Council","Current grants, subsidies, and donations expenditure","Water supply",0
2013,"Napier City Council","Interest expenditure","Water supply",0
2013,"Napier City Council","Purchases and other operating expenditure","Water supply",1800
2012,"Napier City Council","Rates","Water supply",3394
2012,"Napier City Council","Regulatory income and petrol tax","Water supply",0
2012,"Napier City Council","Current grants, subsidies, and donations income","Water supply",0
2012,"Napier City Council","Interest income","Water supply",0
2012,"Napier City Council","Dividend income","Water supply",0
2012,"Napier City Council","Sales and other operating income","Water supply",465
2012,"Napier City Council","Employee costs","Water supply",102
2012,"Napier City Council","Depreciation and amortisation","Water supply",1446
2012,"Napier City Council","Current grants, subsidies, and donations expenditure","Water supply",0
2012,"Napier City Council","Interest expenditure","Water supply",0
2012,"Napier City Council","Purchases and other operating expenditure","Water supply",1618
2011,"Napier City Council","Rates","Water supply",3320
2011,"Napier City Council","Regulatory income and petrol tax","Water supply",0
2011,"Napier City Council","Current grants, subsidies, and donations income","Water supply",0
2011,"Napier City Council","Interest income","Water supply",0
2011,"Napier City Council","Dividend income","Water supply",0
2011,"Napier City Council","Sales and other operating income","Water supply",511
2011,"Napier City Council","Employee costs","Water supply",101
2011,"Napier City Council","Depreciation and amortisation","Water supply",1299
2011,"Napier City Council","Current grants, subsidies, and donations expenditure","Water supply",0
2011,"Napier City Council","Interest expenditure","Water supply",0
2011,"Napier City Council","Purchases and other operating expenditure","Water supply",1110
2010,"Napier City Council","Rates","Water supply",3274
2010,"Napier City Council","Regulatory income and petrol tax","Water supply",0
2010,"Napier City Council","Current grants, subsidies, and donations income","Water supply",0
2010,"Napier City Council","Interest income","Water supply",0
2010,"Napier City Council","Dividend income","Water supply",0
2010,"Napier City Council","Sales and other operating income","Water supply",465
2010,"Napier City Council","Employee costs","Water supply",67
2010,"Napier City Council","Depreciation and amortisation","Water supply",1297
2010,"Napier City Council","Current grants, subsidies, and donations expenditure","Water supply",0
2010,"Napier City Council","Interest expenditure","Water supply",0
2010,"Napier City Council","Purchases and other operating expenditure","Water supply",1164
2009,"Napier City Council","Rates","Water supply",3632
2009,"Napier City Council","Regulatory income and petrol tax","Water supply",0
2009,"Napier City Council","Current grants, subsidies, and donations income","Water supply",0
2009,"Napier City Council","Interest income","Water supply",0
2009,"Napier City Council","Dividend income","Water supply",0
2009,"Napier City Council","Sales and other operating income","Water supply",502
2009,"Napier City Council","Employee costs","Water supply",328
2009,"Napier City Council","Depreciation and amortisation","Water supply",1344
2009,"Napier City Council","Current grants, subsidies, and donations expenditure","Water supply",0
2009,"Napier City Council","Interest expenditure","Water supply",0
2009,"Napier City Council","Purchases and other operating expenditure","Water supply",731
2014,"Napier City Council","Rates","Wastewater",6498
2014,"Napier City Council","Regulatory income and petrol tax","Wastewater",0
2014,"Napier City Council","Current grants, subsidies, and donations income","Wastewater",176
2014,"Napier City Council","Interest income","Wastewater",0
2014,"Napier City Council","Dividend income","Wastewater",0
2014,"Napier City Council","Sales and other operating income","Wastewater",455
2014,"Napier City Council","Employee costs","Wastewater",397
2014,"Napier City Council","Depreciation and amortisation","Wastewater",5437
2014,"Napier City Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2014,"Napier City Council","Interest expenditure","Wastewater",0
2014,"Napier City Council","Purchases and other operating expenditure","Wastewater",2981
2013,"Napier City Council","Rates","Wastewater",10213
2013,"Napier City Council","Regulatory income and petrol tax","Wastewater",0
2013,"Napier City Council","Current grants, subsidies, and donations income","Wastewater",0
2013,"Napier City Council","Interest income","Wastewater",0
2013,"Napier City Council","Dividend income","Wastewater",0
2013,"Napier City Council","Sales and other operating income","Wastewater",467
2013,"Napier City Council","Employee costs","Wastewater",261
2013,"Napier City Council","Depreciation and amortisation","Wastewater",5340
2013,"Napier City Council","Current grants, subsidies, and donations expenditure","Wastewater",0
