"year","council","income","activity","val"
2014,"Nelson City Council","Rates","Roading",7571
2014,"Nelson City Council","Regulatory income and petrol tax","Roading",0
2014,"Nelson City Council","Current grants, subsidies, and donations income","Roading",1491
2014,"Nelson City Council","Interest income","Roading",0
2014,"Nelson City Council","Dividend income","Roading",0
2014,"Nelson City Council","Sales and other operating income","Roading",655
2014,"Nelson City Council","Employee costs","Roading",1129
2014,"Nelson City Council","Depreciation and amortisation","Roading",5218
2014,"Nelson City Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Nelson City Council","Interest expenditure","Roading",0
2014,"Nelson City Council","Purchases and other operating expenditure","Roading",4598
2013,"Nelson City Council","Rates","Roading",7093
2013,"Nelson City Council","Regulatory income and petrol tax","Roading",329
2013,"Nelson City Council","Current grants, subsidies, and donations income","Roading",1838
2013,"Nelson City Council","Interest income","Roading",0
2013,"Nelson City Council","Dividend income","Roading",0
2013,"Nelson City Council","Sales and other operating income","Roading",604
2013,"Nelson City Council","Employee costs","Roading",1198
2013,"Nelson City Council","Depreciation and amortisation","Roading",5235
2013,"Nelson City Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Nelson City Council","Interest expenditure","Roading",0
2013,"Nelson City Council","Purchases and other operating expenditure","Roading",5048
2012,"Nelson City Council","Rates","Roading",6714
2012,"Nelson City Council","Regulatory income and petrol tax","Roading",331
2012,"Nelson City Council","Current grants, subsidies, and donations income","Roading",2124
2012,"Nelson City Council","Interest income","Roading",0
2012,"Nelson City Council","Dividend income","Roading",0
2012,"Nelson City Council","Sales and other operating income","Roading",307
2012,"Nelson City Council","Employee costs","Roading",1198
2012,"Nelson City Council","Depreciation and amortisation","Roading",4343
2012,"Nelson City Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Nelson City Council","Interest expenditure","Roading",0
2012,"Nelson City Council","Purchases and other operating expenditure","Roading",5808
2011,"Nelson City Council","Rates","Roading",6275
2011,"Nelson City Council","Regulatory income and petrol tax","Roading",335
2011,"Nelson City Council","Current grants, subsidies, and donations income","Roading",1511
2011,"Nelson City Council","Interest income","Roading",0
2011,"Nelson City Council","Dividend income","Roading",0
2011,"Nelson City Council","Sales and other operating income","Roading",596
2011,"Nelson City Council","Employee costs","Roading",1150
2011,"Nelson City Council","Depreciation and amortisation","Roading",4047
2011,"Nelson City Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Nelson City Council","Interest expenditure","Roading",0
2011,"Nelson City Council","Purchases and other operating expenditure","Roading",3475
2010,"Nelson City Council","Rates","Roading",6512
2010,"Nelson City Council","Regulatory income and petrol tax","Roading",341
2010,"Nelson City Council","Current grants, subsidies, and donations income","Roading",1349
2010,"Nelson City Council","Interest income","Roading",0
2010,"Nelson City Council","Dividend income","Roading",0
2010,"Nelson City Council","Sales and other operating income","Roading",889
2010,"Nelson City Council","Employee costs","Roading",1037
2010,"Nelson City Council","Depreciation and amortisation","Roading",4336
2010,"Nelson City Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Nelson City Council","Interest expenditure","Roading",210
2010,"Nelson City Council","Purchases and other operating expenditure","Roading",3093
2009,"Nelson City Council","Rates","Roading",6744
2009,"Nelson City Council","Regulatory income and petrol tax","Roading",331
2009,"Nelson City Council","Current grants, subsidies, and donations income","Roading",2104
2009,"Nelson City Council","Interest income","Roading",0
2009,"Nelson City Council","Dividend income","Roading",0
2009,"Nelson City Council","Sales and other operating income","Roading",341
2009,"Nelson City Council","Employee costs","Roading",918
2009,"Nelson City Council","Depreciation and amortisation","Roading",4199
2009,"Nelson City Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Nelson City Council","Interest expenditure","Roading",215
