"year","council","income","activity","val"
2014,"New Plymouth District Council","Rates","Roading",0
2014,"New Plymouth District Council","Regulatory income and petrol tax","Roading",530
2014,"New Plymouth District Council","Current grants, subsidies, and donations income","Roading",3746
2014,"New Plymouth District Council","Interest income","Roading",0
2014,"New Plymouth District Council","Dividend income","Roading",0
2014,"New Plymouth District Council","Sales and other operating income","Roading",549
2014,"New Plymouth District Council","Employee costs","Roading",689
2014,"New Plymouth District Council","Depreciation and amortisation","Roading",10346
2014,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Roading",24
2014,"New Plymouth District Council","Interest expenditure","Roading",0
2014,"New Plymouth District Council","Purchases and other operating expenditure","Roading",8631
2013,"New Plymouth District Council","Rates","Roading",0
2013,"New Plymouth District Council","Regulatory income and petrol tax","Roading",508
2013,"New Plymouth District Council","Current grants, subsidies, and donations income","Roading",3472
2013,"New Plymouth District Council","Interest income","Roading",0
2013,"New Plymouth District Council","Dividend income","Roading",0
2013,"New Plymouth District Council","Sales and other operating income","Roading",449
2013,"New Plymouth District Council","Employee costs","Roading",22
2013,"New Plymouth District Council","Depreciation and amortisation","Roading",10041
2013,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"New Plymouth District Council","Interest expenditure","Roading",0
2013,"New Plymouth District Council","Purchases and other operating expenditure","Roading",7514
2012,"New Plymouth District Council","Rates","Roading",0
2012,"New Plymouth District Council","Regulatory income and petrol tax","Roading",497
2012,"New Plymouth District Council","Current grants, subsidies, and donations income","Roading",4126
2012,"New Plymouth District Council","Interest income","Roading",0
2012,"New Plymouth District Council","Dividend income","Roading",0
2012,"New Plymouth District Council","Sales and other operating income","Roading",1188
2012,"New Plymouth District Council","Employee costs","Roading",10
2012,"New Plymouth District Council","Depreciation and amortisation","Roading",9946
2012,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Roading",39
2012,"New Plymouth District Council","Interest expenditure","Roading",0
2012,"New Plymouth District Council","Purchases and other operating expenditure","Roading",8685
2011,"New Plymouth District Council","Rates","Roading",3339
2011,"New Plymouth District Council","Regulatory income and petrol tax","Roading",503
2011,"New Plymouth District Council","Current grants, subsidies, and donations income","Roading",4074
2011,"New Plymouth District Council","Interest income","Roading",0
2011,"New Plymouth District Council","Dividend income","Roading",0
2011,"New Plymouth District Council","Sales and other operating income","Roading",579
2011,"New Plymouth District Council","Employee costs","Roading",69
2011,"New Plymouth District Council","Depreciation and amortisation","Roading",9593
2011,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Roading",2
2011,"New Plymouth District Council","Interest expenditure","Roading",0
2011,"New Plymouth District Council","Purchases and other operating expenditure","Roading",8777
2010,"New Plymouth District Council","Rates","Roading",3282
2010,"New Plymouth District Council","Regulatory income and petrol tax","Roading",497
2010,"New Plymouth District Council","Current grants, subsidies, and donations income","Roading",3672
2010,"New Plymouth District Council","Interest income","Roading",0
2010,"New Plymouth District Council","Dividend income","Roading",0
2010,"New Plymouth District Council","Sales and other operating income","Roading",631
2010,"New Plymouth District Council","Employee costs","Roading",58
2010,"New Plymouth District Council","Depreciation and amortisation","Roading",9532
2010,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Roading",9
2010,"New Plymouth District Council","Interest expenditure","Roading",0
2010,"New Plymouth District Council","Purchases and other operating expenditure","Roading",8277
2009,"New Plymouth District Council","Rates","Roading",0
2009,"New Plymouth District Council","Regulatory income and petrol tax","Roading",482
2009,"New Plymouth District Council","Current grants, subsidies, and donations income","Roading",3926
2009,"New Plymouth District Council","Interest income","Roading",0
2009,"New Plymouth District Council","Dividend income","Roading",0
2009,"New Plymouth District Council","Sales and other operating income","Roading",661
2009,"New Plymouth District Council","Employee costs","Roading",570
2009,"New Plymouth District Council","Depreciation and amortisation","Roading",9104
2009,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Roading",11
2009,"New Plymouth District Council","Interest expenditure","Roading",0
2009,"New Plymouth District Council","Purchases and other operating expenditure","Roading",7748
2014,"New Plymouth District Council","Rates","Transportation",0
2014,"New Plymouth District Council","Regulatory income and petrol tax","Transportation",0
2014,"New Plymouth District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"New Plymouth District Council","Interest income","Transportation",0
2014,"New Plymouth District Council","Dividend income","Transportation",0
2014,"New Plymouth District Council","Sales and other operating income","Transportation",3457
2014,"New Plymouth District Council","Employee costs","Transportation",362
2014,"New Plymouth District Council","Depreciation and amortisation","Transportation",254
2014,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"New Plymouth District Council","Interest expenditure","Transportation",0
2014,"New Plymouth District Council","Purchases and other operating expenditure","Transportation",735
2013,"New Plymouth District Council","Rates","Transportation",0
2013,"New Plymouth District Council","Regulatory income and petrol tax","Transportation",1190
2013,"New Plymouth District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"New Plymouth District Council","Interest income","Transportation",0
2013,"New Plymouth District Council","Dividend income","Transportation",0
2013,"New Plymouth District Council","Sales and other operating income","Transportation",2864
2013,"New Plymouth District Council","Employee costs","Transportation",392
2013,"New Plymouth District Council","Depreciation and amortisation","Transportation",183
2013,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"New Plymouth District Council","Interest expenditure","Transportation",0
2013,"New Plymouth District Council","Purchases and other operating expenditure","Transportation",1555
2012,"New Plymouth District Council","Rates","Transportation",0
2012,"New Plymouth District Council","Regulatory income and petrol tax","Transportation",1154
2012,"New Plymouth District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"New Plymouth District Council","Interest income","Transportation",0
2012,"New Plymouth District Council","Dividend income","Transportation",0
2012,"New Plymouth District Council","Sales and other operating income","Transportation",1891
2012,"New Plymouth District Council","Employee costs","Transportation",419
2012,"New Plymouth District Council","Depreciation and amortisation","Transportation",77
2012,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"New Plymouth District Council","Interest expenditure","Transportation",0
2012,"New Plymouth District Council","Purchases and other operating expenditure","Transportation",524
2011,"New Plymouth District Council","Rates","Transportation",0
2011,"New Plymouth District Council","Regulatory income and petrol tax","Transportation",1374
2011,"New Plymouth District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"New Plymouth District Council","Interest income","Transportation",0
2011,"New Plymouth District Council","Dividend income","Transportation",0
2011,"New Plymouth District Council","Sales and other operating income","Transportation",2702
2011,"New Plymouth District Council","Employee costs","Transportation",410
2011,"New Plymouth District Council","Depreciation and amortisation","Transportation",85
2011,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"New Plymouth District Council","Interest expenditure","Transportation",0
2011,"New Plymouth District Council","Purchases and other operating expenditure","Transportation",1390
2010,"New Plymouth District Council","Rates","Transportation",0
2010,"New Plymouth District Council","Regulatory income and petrol tax","Transportation",1295
2010,"New Plymouth District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"New Plymouth District Council","Interest income","Transportation",0
2010,"New Plymouth District Council","Dividend income","Transportation",0
2010,"New Plymouth District Council","Sales and other operating income","Transportation",2662
2010,"New Plymouth District Council","Employee costs","Transportation",387
2010,"New Plymouth District Council","Depreciation and amortisation","Transportation",85
2010,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"New Plymouth District Council","Interest expenditure","Transportation",0
2010,"New Plymouth District Council","Purchases and other operating expenditure","Transportation",1396
2009,"New Plymouth District Council","Rates","Transportation",0
2009,"New Plymouth District Council","Regulatory income and petrol tax","Transportation",1604
2009,"New Plymouth District Council","Current grants, subsidies, and donations income","Transportation",0
2009,"New Plymouth District Council","Interest income","Transportation",0
2009,"New Plymouth District Council","Dividend income","Transportation",0
2009,"New Plymouth District Council","Sales and other operating income","Transportation",1945
2009,"New Plymouth District Council","Employee costs","Transportation",368
2009,"New Plymouth District Council","Depreciation and amortisation","Transportation",85
2009,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2009,"New Plymouth District Council","Interest expenditure","Transportation",0
2009,"New Plymouth District Council","Purchases and other operating expenditure","Transportation",555
2014,"New Plymouth District Council","Rates","Water supply",0
2014,"New Plymouth District Council","Regulatory income and petrol tax","Water supply",0
2014,"New Plymouth District Council","Current grants, subsidies, and donations income","Water supply",0
2014,"New Plymouth District Council","Interest income","Water supply",0
2014,"New Plymouth District Council","Dividend income","Water supply",0
2014,"New Plymouth District Council","Sales and other operating income","Water supply",3705
2014,"New Plymouth District Council","Employee costs","Water supply",9
2014,"New Plymouth District Council","Depreciation and amortisation","Water supply",3913
2014,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Water supply",16
2014,"New Plymouth District Council","Interest expenditure","Water supply",0
2014,"New Plymouth District Council","Purchases and other operating expenditure","Water supply",2824
2013,"New Plymouth District Council","Rates","Water supply",0
2013,"New Plymouth District Council","Regulatory income and petrol tax","Water supply",0
2013,"New Plymouth District Council","Current grants, subsidies, and donations income","Water supply",0
2013,"New Plymouth District Council","Interest income","Water supply",0
2013,"New Plymouth District Council","Dividend income","Water supply",0
2013,"New Plymouth District Council","Sales and other operating income","Water supply",3749
2013,"New Plymouth District Council","Employee costs","Water supply",0
2013,"New Plymouth District Council","Depreciation and amortisation","Water supply",2995
2013,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Water supply",6
2013,"New Plymouth District Council","Interest expenditure","Water supply",0
2013,"New Plymouth District Council","Purchases and other operating expenditure","Water supply",2892
2012,"New Plymouth District Council","Rates","Water supply",0
2012,"New Plymouth District Council","Regulatory income and petrol tax","Water supply",0
2012,"New Plymouth District Council","Current grants, subsidies, and donations income","Water supply",0
2012,"New Plymouth District Council","Interest income","Water supply",0
2012,"New Plymouth District Council","Dividend income","Water supply",0
2012,"New Plymouth District Council","Sales and other operating income","Water supply",4054
2012,"New Plymouth District Council","Employee costs","Water supply",0
2012,"New Plymouth District Council","Depreciation and amortisation","Water supply",2991
2012,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Water supply",6
2012,"New Plymouth District Council","Interest expenditure","Water supply",0
2012,"New Plymouth District Council","Purchases and other operating expenditure","Water supply",3074
2011,"New Plymouth District Council","Rates","Water supply",6512
2011,"New Plymouth District Council","Regulatory income and petrol tax","Water supply",0
2011,"New Plymouth District Council","Current grants, subsidies, and donations income","Water supply",0
2011,"New Plymouth District Council","Interest income","Water supply",0
2011,"New Plymouth District Council","Dividend income","Water supply",0
2011,"New Plymouth District Council","Sales and other operating income","Water supply",3622
2011,"New Plymouth District Council","Employee costs","Water supply",1
2011,"New Plymouth District Council","Depreciation and amortisation","Water supply",2934
2011,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Water supply",6
2011,"New Plymouth District Council","Interest expenditure","Water supply",0
2011,"New Plymouth District Council","Purchases and other operating expenditure","Water supply",2708
2010,"New Plymouth District Council","Rates","Water supply",6796
2010,"New Plymouth District Council","Regulatory income and petrol tax","Water supply",0
2010,"New Plymouth District Council","Current grants, subsidies, and donations income","Water supply",0
2010,"New Plymouth District Council","Interest income","Water supply",0
2010,"New Plymouth District Council","Dividend income","Water supply",0
2010,"New Plymouth District Council","Sales and other operating income","Water supply",3837
2010,"New Plymouth District Council","Employee costs","Water supply",0
2010,"New Plymouth District Council","Depreciation and amortisation","Water supply",3001
2010,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Water supply",1
2010,"New Plymouth District Council","Interest expenditure","Water supply",2060
2010,"New Plymouth District Council","Purchases and other operating expenditure","Water supply",2743
2009,"New Plymouth District Council","Rates","Water supply",6649
2009,"New Plymouth District Council","Regulatory income and petrol tax","Water supply",0
2009,"New Plymouth District Council","Current grants, subsidies, and donations income","Water supply",0
2009,"New Plymouth District Council","Interest income","Water supply",0
2009,"New Plymouth District Council","Dividend income","Water supply",0
2009,"New Plymouth District Council","Sales and other operating income","Water supply",3596
2009,"New Plymouth District Council","Employee costs","Water supply",1520
2009,"New Plymouth District Council","Depreciation and amortisation","Water supply",2975
2009,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Water supply",1
2009,"New Plymouth District Council","Interest expenditure","Water supply",0
2009,"New Plymouth District Council","Purchases and other operating expenditure","Water supply",2685
2014,"New Plymouth District Council","Rates","Wastewater",0
2014,"New Plymouth District Council","Regulatory income and petrol tax","Wastewater",0
2014,"New Plymouth District Council","Current grants, subsidies, and donations income","Wastewater",0
2014,"New Plymouth District Council","Interest income","Wastewater",0
2014,"New Plymouth District Council","Dividend income","Wastewater",0
2014,"New Plymouth District Council","Sales and other operating income","Wastewater",2357
2014,"New Plymouth District Council","Employee costs","Wastewater",291
2014,"New Plymouth District Council","Depreciation and amortisation","Wastewater",7132
2014,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2014,"New Plymouth District Council","Interest expenditure","Wastewater",0
2014,"New Plymouth District Council","Purchases and other operating expenditure","Wastewater",4852
2013,"New Plymouth District Council","Rates","Wastewater",0
2013,"New Plymouth District Council","Regulatory income and petrol tax","Wastewater",0
2013,"New Plymouth District Council","Current grants, subsidies, and donations income","Wastewater",0
2013,"New Plymouth District Council","Interest income","Wastewater",0
2013,"New Plymouth District Council","Dividend income","Wastewater",0
2013,"New Plymouth District Council","Sales and other operating income","Wastewater",0
2013,"New Plymouth District Council","Employee costs","Wastewater",5
2013,"New Plymouth District Council","Depreciation and amortisation","Wastewater",5550
2013,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2013,"New Plymouth District Council","Interest expenditure","Wastewater",0
2013,"New Plymouth District Council","Purchases and other operating expenditure","Wastewater",4742
2012,"New Plymouth District Council","Rates","Wastewater",0
2012,"New Plymouth District Council","Regulatory income and petrol tax","Wastewater",0
2012,"New Plymouth District Council","Current grants, subsidies, and donations income","Wastewater",0
2012,"New Plymouth District Council","Interest income","Wastewater",0
2012,"New Plymouth District Council","Dividend income","Wastewater",0
2012,"New Plymouth District Council","Sales and other operating income","Wastewater",2169
2012,"New Plymouth District Council","Employee costs","Wastewater",0
2012,"New Plymouth District Council","Depreciation and amortisation","Wastewater",5540
2012,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2012,"New Plymouth District Council","Interest expenditure","Wastewater",0
2012,"New Plymouth District Council","Purchases and other operating expenditure","Wastewater",5222
2011,"New Plymouth District Council","Rates","Wastewater",10882
2011,"New Plymouth District Council","Regulatory income and petrol tax","Wastewater",0
2011,"New Plymouth District Council","Current grants, subsidies, and donations income","Wastewater",0
2011,"New Plymouth District Council","Interest income","Wastewater",0
2011,"New Plymouth District Council","Dividend income","Wastewater",0
2011,"New Plymouth District Council","Sales and other operating income","Wastewater",1995
2011,"New Plymouth District Council","Employee costs","Wastewater",1
2011,"New Plymouth District Council","Depreciation and amortisation","Wastewater",5091
2011,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2011,"New Plymouth District Council","Interest expenditure","Wastewater",0
2011,"New Plymouth District Council","Purchases and other operating expenditure","Wastewater",4510
2010,"New Plymouth District Council","Rates","Wastewater",10448
2010,"New Plymouth District Council","Regulatory income and petrol tax","Wastewater",0
2010,"New Plymouth District Council","Current grants, subsidies, and donations income","Wastewater",0
2010,"New Plymouth District Council","Interest income","Wastewater",0
2010,"New Plymouth District Council","Dividend income","Wastewater",0
2010,"New Plymouth District Council","Sales and other operating income","Wastewater",1719
2010,"New Plymouth District Council","Employee costs","Wastewater",0
2010,"New Plymouth District Council","Depreciation and amortisation","Wastewater",4907
2010,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2010,"New Plymouth District Council","Interest expenditure","Wastewater",2974
2010,"New Plymouth District Council","Purchases and other operating expenditure","Wastewater",4544
2009,"New Plymouth District Council","Rates","Wastewater",10197
2009,"New Plymouth District Council","Regulatory income and petrol tax","Wastewater",0
2009,"New Plymouth District Council","Current grants, subsidies, and donations income","Wastewater",0
2009,"New Plymouth District Council","Interest income","Wastewater",0
2009,"New Plymouth District Council","Dividend income","Wastewater",0
2009,"New Plymouth District Council","Sales and other operating income","Wastewater",1414
2009,"New Plymouth District Council","Employee costs","Wastewater",1799
2009,"New Plymouth District Council","Depreciation and amortisation","Wastewater",4736
2009,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2009,"New Plymouth District Council","Interest expenditure","Wastewater",0
2009,"New Plymouth District Council","Purchases and other operating expenditure","Wastewater",4444
2014,"New Plymouth District Council","Rates","Solid waste/refuse",0
2014,"New Plymouth District Council","Regulatory income and petrol tax","Solid waste/refuse",0
2014,"New Plymouth District Council","Current grants, subsidies, and donations income","Solid waste/refuse",0
2014,"New Plymouth District Council","Interest income","Solid waste/refuse",0
2014,"New Plymouth District Council","Dividend income","Solid waste/refuse",0
2014,"New Plymouth District Council","Sales and other operating income","Solid waste/refuse",6401
2014,"New Plymouth District Council","Employee costs","Solid waste/refuse",0
2014,"New Plymouth District Council","Depreciation and amortisation","Solid waste/refuse",601
2014,"New Plymouth District Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",0
2014,"New Plymouth District Council","Interest expenditure","Solid waste/refuse",0
2014,"New Plymouth District Council","Purchases and other operating expenditure","Solid waste/refuse",3499
2013,"New Plymouth District Council","Rates","Solid waste/refuse",0
