"year","council","income","activity","val"
2011,"North Shore City Council","Rates","Roading",8723
2011,"North Shore City Council","Regulatory income and petrol tax","Roading",493
2011,"North Shore City Council","Current grants, subsidies, and donations income","Roading",2479
2011,"North Shore City Council","Interest income","Roading",0
2011,"North Shore City Council","Dividend income","Roading",0
2011,"North Shore City Council","Sales and other operating income","Roading",0
2011,"North Shore City Council","Employee costs","Roading",983
2011,"North Shore City Council","Depreciation and amortisation","Roading",4047
2011,"North Shore City Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"North Shore City Council","Interest expenditure","Roading",599
2011,"North Shore City Council","Purchases and other operating expenditure","Roading",1710
2010,"North Shore City Council","Rates","Roading",33645
2010,"North Shore City Council","Regulatory income and petrol tax","Roading",1505
2010,"North Shore City Council","Current grants, subsidies, and donations income","Roading",9684
2010,"North Shore City Council","Interest income","Roading",0
2010,"North Shore City Council","Dividend income","Roading",0
2010,"North Shore City Council","Sales and other operating income","Roading",0
2010,"North Shore City Council","Employee costs","Roading",1928
2010,"North Shore City Council","Depreciation and amortisation","Roading",16761
2010,"North Shore City Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"North Shore City Council","Interest expenditure","Roading",0
2010,"North Shore City Council","Purchases and other operating expenditure","Roading",4099
2009,"North Shore City Council","Rates","Roading",28452
2009,"North Shore City Council","Regulatory income and petrol tax","Roading",1509
2009,"North Shore City Council","Current grants, subsidies, and donations income","Roading",7789
2009,"North Shore City Council","Interest income","Roading",0
2009,"North Shore City Council","Dividend income","Roading",0
2009,"North Shore City Council","Sales and other operating income","Roading",4800
2009,"North Shore City Council","Employee costs","Roading",6387
2009,"North Shore City Council","Depreciation and amortisation","Roading",16132
2009,"North Shore City Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"North Shore City Council","Interest expenditure","Roading",0
2009,"North Shore City Council","Purchases and other operating expenditure","Roading",20637
2011,"North Shore City Council","Rates","Transportation",2168
2011,"North Shore City Council","Regulatory income and petrol tax","Transportation",1252
2011,"North Shore City Council","Current grants, subsidies, and donations income","Transportation",188
2011,"North Shore City Council","Interest income","Transportation",0
2011,"North Shore City Council","Dividend income","Transportation",0
2011,"North Shore City Council","Sales and other operating income","Transportation",3337
2011,"North Shore City Council","Employee costs","Transportation",4096
