"year","council","income","activity","val"
2014,"Northland Regional Council","Rates","Roading",0
2014,"Northland Regional Council","Regulatory income and petrol tax","Roading",0
2014,"Northland Regional Council","Current grants, subsidies, and donations income","Roading",0
2014,"Northland Regional Council","Interest income","Roading",0
2014,"Northland Regional Council","Dividend income","Roading",0
2014,"Northland Regional Council","Sales and other operating income","Roading",0
2014,"Northland Regional Council","Employee costs","Roading",0
2014,"Northland Regional Council","Depreciation and amortisation","Roading",0
2014,"Northland Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Northland Regional Council","Interest expenditure","Roading",0
2014,"Northland Regional Council","Purchases and other operating expenditure","Roading",0
2013,"Northland Regional Council","Rates","Roading",0
2013,"Northland Regional Council","Regulatory income and petrol tax","Roading",0
2013,"Northland Regional Council","Current grants, subsidies, and donations income","Roading",0
2013,"Northland Regional Council","Interest income","Roading",0
2013,"Northland Regional Council","Dividend income","Roading",0
2013,"Northland Regional Council","Sales and other operating income","Roading",0
2013,"Northland Regional Council","Employee costs","Roading",0
2013,"Northland Regional Council","Depreciation and amortisation","Roading",0
2013,"Northland Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Northland Regional Council","Interest expenditure","Roading",0
2013,"Northland Regional Council","Purchases and other operating expenditure","Roading",0
2012,"Northland Regional Council","Rates","Roading",0
2012,"Northland Regional Council","Regulatory income and petrol tax","Roading",0
2012,"Northland Regional Council","Current grants, subsidies, and donations income","Roading",0
2012,"Northland Regional Council","Interest income","Roading",0
2012,"Northland Regional Council","Dividend income","Roading",0
2012,"Northland Regional Council","Sales and other operating income","Roading",0
2012,"Northland Regional Council","Employee costs","Roading",0
2012,"Northland Regional Council","Depreciation and amortisation","Roading",0
2012,"Northland Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Northland Regional Council","Interest expenditure","Roading",0
2012,"Northland Regional Council","Purchases and other operating expenditure","Roading",0
2011,"Northland Regional Council","Rates","Roading",0
2011,"Northland Regional Council","Regulatory income and petrol tax","Roading",0
2011,"Northland Regional Council","Current grants, subsidies, and donations income","Roading",0
2011,"Northland Regional Council","Interest income","Roading",0
2011,"Northland Regional Council","Dividend income","Roading",0
2011,"Northland Regional Council","Sales and other operating income","Roading",0
2011,"Northland Regional Council","Employee costs","Roading",0
2011,"Northland Regional Council","Depreciation and amortisation","Roading",0
2011,"Northland Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Northland Regional Council","Interest expenditure","Roading",0
2011,"Northland Regional Council","Purchases and other operating expenditure","Roading",0
2010,"Northland Regional Council","Rates","Roading",0
2010,"Northland Regional Council","Regulatory income and petrol tax","Roading",0
2010,"Northland Regional Council","Current grants, subsidies, and donations income","Roading",0
2010,"Northland Regional Council","Interest income","Roading",0
2010,"Northland Regional Council","Dividend income","Roading",0
2010,"Northland Regional Council","Sales and other operating income","Roading",0
2010,"Northland Regional Council","Employee costs","Roading",0
2010,"Northland Regional Council","Depreciation and amortisation","Roading",0
2010,"Northland Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Northland Regional Council","Interest expenditure","Roading",0
2010,"Northland Regional Council","Purchases and other operating expenditure","Roading",0
2009,"Northland Regional Council","Rates","Roading",0
2009,"Northland Regional Council","Regulatory income and petrol tax","Roading",0
