"year","council","income","activity","val"
2014,"Opotiki District Council","Rates","Roading",1980
2014,"Opotiki District Council","Regulatory income and petrol tax","Roading",59
2014,"Opotiki District Council","Current grants, subsidies, and donations income","Roading",721
2014,"Opotiki District Council","Interest income","Roading",0
2014,"Opotiki District Council","Dividend income","Roading",0
2014,"Opotiki District Council","Sales and other operating income","Roading",0
2014,"Opotiki District Council","Employee costs","Roading",0
2014,"Opotiki District Council","Depreciation and amortisation","Roading",1311
2014,"Opotiki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Opotiki District Council","Interest expenditure","Roading",9
2014,"Opotiki District Council","Purchases and other operating expenditure","Roading",1700
2013,"Opotiki District Council","Rates","Roading",2040
2013,"Opotiki District Council","Regulatory income and petrol tax","Roading",40
2013,"Opotiki District Council","Current grants, subsidies, and donations income","Roading",1270
2013,"Opotiki District Council","Interest income","Roading",0
2013,"Opotiki District Council","Dividend income","Roading",0
2013,"Opotiki District Council","Sales and other operating income","Roading",0
2013,"Opotiki District Council","Employee costs","Roading",0
2013,"Opotiki District Council","Depreciation and amortisation","Roading",1218
2013,"Opotiki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Opotiki District Council","Interest expenditure","Roading",0
2013,"Opotiki District Council","Purchases and other operating expenditure","Roading",1946
2012,"Opotiki District Council","Rates","Roading",1849
2012,"Opotiki District Council","Regulatory income and petrol tax","Roading",62
2012,"Opotiki District Council","Current grants, subsidies, and donations income","Roading",970
2012,"Opotiki District Council","Interest income","Roading",0
2012,"Opotiki District Council","Dividend income","Roading",0
2012,"Opotiki District Council","Sales and other operating income","Roading",83
2012,"Opotiki District Council","Employee costs","Roading",0
2012,"Opotiki District Council","Depreciation and amortisation","Roading",1223
2012,"Opotiki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Opotiki District Council","Interest expenditure","Roading",13
2012,"Opotiki District Council","Purchases and other operating expenditure","Roading",1977
2011,"Opotiki District Council","Rates","Roading",1820
2011,"Opotiki District Council","Regulatory income and petrol tax","Roading",64
2011,"Opotiki District Council","Current grants, subsidies, and donations income","Roading",1508
2011,"Opotiki District Council","Interest income","Roading",0
2011,"Opotiki District Council","Dividend income","Roading",0
2011,"Opotiki District Council","Sales and other operating income","Roading",68
2011,"Opotiki District Council","Employee costs","Roading",0
2011,"Opotiki District Council","Depreciation and amortisation","Roading",1026
2011,"Opotiki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Opotiki District Council","Interest expenditure","Roading",29
2011,"Opotiki District Council","Purchases and other operating expenditure","Roading",2556
2010,"Opotiki District Council","Rates","Roading",1674
2010,"Opotiki District Council","Regulatory income and petrol tax","Roading",60
2010,"Opotiki District Council","Current grants, subsidies, and donations income","Roading",421
2010,"Opotiki District Council","Interest income","Roading",0
2010,"Opotiki District Council","Dividend income","Roading",0
2010,"Opotiki District Council","Sales and other operating income","Roading",0
2010,"Opotiki District Council","Employee costs","Roading",0
2010,"Opotiki District Council","Depreciation and amortisation","Roading",1058
2010,"Opotiki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Opotiki District Council","Interest expenditure","Roading",38
2010,"Opotiki District Council","Purchases and other operating expenditure","Roading",1536
2009,"Opotiki District Council","Rates","Roading",1503
2009,"Opotiki District Council","Regulatory income and petrol tax","Roading",72
2009,"Opotiki District Council","Current grants, subsidies, and donations income","Roading",656
2009,"Opotiki District Council","Interest income","Roading",0
2009,"Opotiki District Council","Dividend income","Roading",0
2009,"Opotiki District Council","Sales and other operating income","Roading",33
2009,"Opotiki District Council","Employee costs","Roading",0
2009,"Opotiki District Council","Depreciation and amortisation","Roading",1116
2009,"Opotiki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Opotiki District Council","Interest expenditure","Roading",39
2009,"Opotiki District Council","Purchases and other operating expenditure","Roading",1417
2014,"Opotiki District Council","Rates","Transportation",0
2014,"Opotiki District Council","Regulatory income and petrol tax","Transportation",0
2014,"Opotiki District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Opotiki District Council","Interest income","Transportation",0
2014,"Opotiki District Council","Dividend income","Transportation",0
2014,"Opotiki District Council","Sales and other operating income","Transportation",0
2014,"Opotiki District Council","Employee costs","Transportation",0
2014,"Opotiki District Council","Depreciation and amortisation","Transportation",0
2014,"Opotiki District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Opotiki District Council","Interest expenditure","Transportation",0
2014,"Opotiki District Council","Purchases and other operating expenditure","Transportation",0
2013,"Opotiki District Council","Rates","Transportation",0
2013,"Opotiki District Council","Regulatory income and petrol tax","Transportation",0
2013,"Opotiki District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Opotiki District Council","Interest income","Transportation",0
2013,"Opotiki District Council","Dividend income","Transportation",0
2013,"Opotiki District Council","Sales and other operating income","Transportation",0
2013,"Opotiki District Council","Employee costs","Transportation",0
2013,"Opotiki District Council","Depreciation and amortisation","Transportation",0
2013,"Opotiki District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Opotiki District Council","Interest expenditure","Transportation",0
2013,"Opotiki District Council","Purchases and other operating expenditure","Transportation",0
2012,"Opotiki District Council","Rates","Transportation",0
