"year","council","income","activity","val"
2014,"Otago Regional Council","Rates","Roading",0
2014,"Otago Regional Council","Regulatory income and petrol tax","Roading",0
2014,"Otago Regional Council","Current grants, subsidies, and donations income","Roading",0
2014,"Otago Regional Council","Interest income","Roading",0
2014,"Otago Regional Council","Dividend income","Roading",0
2014,"Otago Regional Council","Sales and other operating income","Roading",0
2014,"Otago Regional Council","Employee costs","Roading",0
2014,"Otago Regional Council","Depreciation and amortisation","Roading",0
2014,"Otago Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Otago Regional Council","Interest expenditure","Roading",0
2014,"Otago Regional Council","Purchases and other operating expenditure","Roading",0
2013,"Otago Regional Council","Rates","Roading",0
2013,"Otago Regional Council","Regulatory income and petrol tax","Roading",0
2013,"Otago Regional Council","Current grants, subsidies, and donations income","Roading",0
2013,"Otago Regional Council","Interest income","Roading",0
2013,"Otago Regional Council","Dividend income","Roading",0
2013,"Otago Regional Council","Sales and other operating income","Roading",0
2013,"Otago Regional Council","Employee costs","Roading",0
2013,"Otago Regional Council","Depreciation and amortisation","Roading",0
2013,"Otago Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Otago Regional Council","Interest expenditure","Roading",0
2013,"Otago Regional Council","Purchases and other operating expenditure","Roading",0
2012,"Otago Regional Council","Rates","Roading",0
2012,"Otago Regional Council","Regulatory income and petrol tax","Roading",0
2012,"Otago Regional Council","Current grants, subsidies, and donations income","Roading",0
2012,"Otago Regional Council","Interest income","Roading",0
2012,"Otago Regional Council","Dividend income","Roading",0
2012,"Otago Regional Council","Sales and other operating income","Roading",0
2012,"Otago Regional Council","Employee costs","Roading",0
2012,"Otago Regional Council","Depreciation and amortisation","Roading",0
2012,"Otago Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Otago Regional Council","Interest expenditure","Roading",0
2012,"Otago Regional Council","Purchases and other operating expenditure","Roading",0
2011,"Otago Regional Council","Rates","Roading",0
2011,"Otago Regional Council","Regulatory income and petrol tax","Roading",0
2011,"Otago Regional Council","Current grants, subsidies, and donations income","Roading",0
2011,"Otago Regional Council","Interest income","Roading",0
2011,"Otago Regional Council","Dividend income","Roading",0
2011,"Otago Regional Council","Sales and other operating income","Roading",0
2011,"Otago Regional Council","Employee costs","Roading",0
