"year","council","income","activity","val"
2014,"Otorohanga District Council","Rates","Roading",4701
2014,"Otorohanga District Council","Regulatory income and petrol tax","Roading",77
2014,"Otorohanga District Council","Current grants, subsidies, and donations income","Roading",1556
2014,"Otorohanga District Council","Interest income","Roading",0
2014,"Otorohanga District Council","Dividend income","Roading",0
2014,"Otorohanga District Council","Sales and other operating income","Roading",43
2014,"Otorohanga District Council","Employee costs","Roading",474
2014,"Otorohanga District Council","Depreciation and amortisation","Roading",2802
2014,"Otorohanga District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Otorohanga District Council","Interest expenditure","Roading",0
2014,"Otorohanga District Council","Purchases and other operating expenditure","Roading",2155
2013,"Otorohanga District Council","Rates","Roading",4625
2013,"Otorohanga District Council","Regulatory income and petrol tax","Roading",75
2013,"Otorohanga District Council","Current grants, subsidies, and donations income","Roading",1586
2013,"Otorohanga District Council","Interest income","Roading",0
2013,"Otorohanga District Council","Dividend income","Roading",0
2013,"Otorohanga District Council","Sales and other operating income","Roading",29
2013,"Otorohanga District Council","Employee costs","Roading",0
2013,"Otorohanga District Council","Depreciation and amortisation","Roading",2802
2013,"Otorohanga District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Otorohanga District Council","Interest expenditure","Roading",0
2013,"Otorohanga District Council","Purchases and other operating expenditure","Roading",2755
2012,"Otorohanga District Council","Rates","Roading",4428
2012,"Otorohanga District Council","Regulatory income and petrol tax","Roading",80
2012,"Otorohanga District Council","Current grants, subsidies, and donations income","Roading",2901
2012,"Otorohanga District Council","Interest income","Roading",0
2012,"Otorohanga District Council","Dividend income","Roading",0
2012,"Otorohanga District Council","Sales and other operating income","Roading",19
2012,"Otorohanga District Council","Employee costs","Roading",0
2012,"Otorohanga District Council","Depreciation and amortisation","Roading",2745
2012,"Otorohanga District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Otorohanga District Council","Interest expenditure","Roading",476
2012,"Otorohanga District Council","Purchases and other operating expenditure","Roading",2951
2011,"Otorohanga District Council","Rates","Roading",4246
2011,"Otorohanga District Council","Regulatory income and petrol tax","Roading",78
2011,"Otorohanga District Council","Current grants, subsidies, and donations income","Roading",3067
2011,"Otorohanga District Council","Interest income","Roading",0
2011,"Otorohanga District Council","Dividend income","Roading",0
2011,"Otorohanga District Council","Sales and other operating income","Roading",7
2011,"Otorohanga District Council","Employee costs","Roading",0
2011,"Otorohanga District Council","Depreciation and amortisation","Roading",2590
2011,"Otorohanga District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Otorohanga District Council","Interest expenditure","Roading",530
2011,"Otorohanga District Council","Purchases and other operating expenditure","Roading",2708
2010,"Otorohanga District Council","Rates","Roading",4195
2010,"Otorohanga District Council","Regulatory income and petrol tax","Roading",85
2010,"Otorohanga District Council","Current grants, subsidies, and donations income","Roading",2739
2010,"Otorohanga District Council","Interest income","Roading",0
2010,"Otorohanga District Council","Dividend income","Roading",0
2010,"Otorohanga District Council","Sales and other operating income","Roading",13
2010,"Otorohanga District Council","Employee costs","Roading",0
2010,"Otorohanga District Council","Depreciation and amortisation","Roading",2527
2010,"Otorohanga District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Otorohanga District Council","Interest expenditure","Roading",543
2010,"Otorohanga District Council","Purchases and other operating expenditure","Roading",2623
2009,"Otorohanga District Council","Rates","Roading",4101
2009,"Otorohanga District Council","Regulatory income and petrol tax","Roading",89
2009,"Otorohanga District Council","Current grants, subsidies, and donations income","Roading",3145
2009,"Otorohanga District Council","Interest income","Roading",0
2009,"Otorohanga District Council","Dividend income","Roading",0
2009,"Otorohanga District Council","Sales and other operating income","Roading",0
2009,"Otorohanga District Council","Employee costs","Roading",0
2009,"Otorohanga District Council","Depreciation and amortisation","Roading",2467
2009,"Otorohanga District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Otorohanga District Council","Interest expenditure","Roading",0
2009,"Otorohanga District Council","Purchases and other operating expenditure","Roading",3272
2014,"Otorohanga District Council","Rates","Transportation",0
2014,"Otorohanga District Council","Regulatory income and petrol tax","Transportation",0
2014,"Otorohanga District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Otorohanga District Council","Interest income","Transportation",0
2014,"Otorohanga District Council","Dividend income","Transportation",0
2014,"Otorohanga District Council","Sales and other operating income","Transportation",0
2014,"Otorohanga District Council","Employee costs","Transportation",0
2014,"Otorohanga District Council","Depreciation and amortisation","Transportation",0
2014,"Otorohanga District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Otorohanga District Council","Interest expenditure","Transportation",0
2014,"Otorohanga District Council","Purchases and other operating expenditure","Transportation",0
2013,"Otorohanga District Council","Rates","Transportation",0
2013,"Otorohanga District Council","Regulatory income and petrol tax","Transportation",0
2013,"Otorohanga District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Otorohanga District Council","Interest income","Transportation",0
2013,"Otorohanga District Council","Dividend income","Transportation",0
2013,"Otorohanga District Council","Sales and other operating income","Transportation",0
2013,"Otorohanga District Council","Employee costs","Transportation",0
2013,"Otorohanga District Council","Depreciation and amortisation","Transportation",0
2013,"Otorohanga District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Otorohanga District Council","Interest expenditure","Transportation",0
2013,"Otorohanga District Council","Purchases and other operating expenditure","Transportation",0
2012,"Otorohanga District Council","Rates","Transportation",0
2012,"Otorohanga District Council","Regulatory income and petrol tax","Transportation",0
2012,"Otorohanga District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Otorohanga District Council","Interest income","Transportation",0
2012,"Otorohanga District Council","Dividend income","Transportation",0
2012,"Otorohanga District Council","Sales and other operating income","Transportation",0
2012,"Otorohanga District Council","Employee costs","Transportation",0
2012,"Otorohanga District Council","Depreciation and amortisation","Transportation",0
2012,"Otorohanga District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Otorohanga District Council","Interest expenditure","Transportation",0
2012,"Otorohanga District Council","Purchases and other operating expenditure","Transportation",0
2011,"Otorohanga District Council","Rates","Transportation",0
2011,"Otorohanga District Council","Regulatory income and petrol tax","Transportation",0
2011,"Otorohanga District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Otorohanga District Council","Interest income","Transportation",0
2011,"Otorohanga District Council","Dividend income","Transportation",0
2011,"Otorohanga District Council","Sales and other operating income","Transportation",0
2011,"Otorohanga District Council","Employee costs","Transportation",0
2011,"Otorohanga District Council","Depreciation and amortisation","Transportation",0
2011,"Otorohanga District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Otorohanga District Council","Interest expenditure","Transportation",0
2011,"Otorohanga District Council","Purchases and other operating expenditure","Transportation",0
2010,"Otorohanga District Council","Rates","Transportation",0
2010,"Otorohanga District Council","Regulatory income and petrol tax","Transportation",0
2010,"Otorohanga District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Otorohanga District Council","Interest income","Transportation",0
2010,"Otorohanga District Council","Dividend income","Transportation",0
2010,"Otorohanga District Council","Sales and other operating income","Transportation",0
2010,"Otorohanga District Council","Employee costs","Transportation",0
2010,"Otorohanga District Council","Depreciation and amortisation","Transportation",0
2010,"Otorohanga District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Otorohanga District Council","Interest expenditure","Transportation",0
2010,"Otorohanga District Council","Purchases and other operating expenditure","Transportation",0
2009,"Otorohanga District Council","Rates","Transportation",0
2009,"Otorohanga District Council","Regulatory income and petrol tax","Transportation",0
2009,"Otorohanga District Council","Current grants, subsidies, and donations income","Transportation",0
2009,"Otorohanga District Council","Interest income","Transportation",0
2009,"Otorohanga District Council","Dividend income","Transportation",0
2009,"Otorohanga District Council","Sales and other operating income","Transportation",0
2009,"Otorohanga District Council","Employee costs","Transportation",0
2009,"Otorohanga District Council","Depreciation and amortisation","Transportation",0
2009,"Otorohanga District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2009,"Otorohanga District Council","Interest expenditure","Transportation",0
2009,"Otorohanga District Council","Purchases and other operating expenditure","Transportation",0
2014,"Otorohanga District Council","Rates","Water supply",597
2014,"Otorohanga District Council","Regulatory income and petrol tax","Water supply",0
2014,"Otorohanga District Council","Current grants, subsidies, and donations income","Water supply",0
2014,"Otorohanga District Council","Interest income","Water supply",0
2014,"Otorohanga District Council","Dividend income","Water supply",0
2014,"Otorohanga District Council","Sales and other operating income","Water supply",693
2014,"Otorohanga District Council","Employee costs","Water supply",197
2014,"Otorohanga District Council","Depreciation and amortisation","Water supply",362
2014,"Otorohanga District Council","Current grants, subsidies, and donations expenditure","Water supply",0
