"year","council","income","activity","val"
2014,"Palmerston North City Council","Rates","Roading",12088
2014,"Palmerston North City Council","Regulatory income and petrol tax","Roading",563
2014,"Palmerston North City Council","Current grants, subsidies, and donations income","Roading",1901
2014,"Palmerston North City Council","Interest income","Roading",0
2014,"Palmerston North City Council","Dividend income","Roading",0
2014,"Palmerston North City Council","Sales and other operating income","Roading",325
2014,"Palmerston North City Council","Employee costs","Roading",1643
2014,"Palmerston North City Council","Depreciation and amortisation","Roading",9091
2014,"Palmerston North City Council","Current grants, subsidies, and donations expenditure","Roading",60
2014,"Palmerston North City Council","Interest expenditure","Roading",0
2014,"Palmerston North City Council","Purchases and other operating expenditure","Roading",4311
2013,"Palmerston North City Council","Rates","Roading",12248
2013,"Palmerston North City Council","Regulatory income and petrol tax","Roading",551
2013,"Palmerston North City Council","Current grants, subsidies, and donations income","Roading",1850
2013,"Palmerston North City Council","Interest income","Roading",0
2013,"Palmerston North City Council","Dividend income","Roading",0
2013,"Palmerston North City Council","Sales and other operating income","Roading",287
2013,"Palmerston North City Council","Employee costs","Roading",1618
2013,"Palmerston North City Council","Depreciation and amortisation","Roading",8825
2013,"Palmerston North City Council","Current grants, subsidies, and donations expenditure","Roading",71
2013,"Palmerston North City Council","Interest expenditure","Roading",0
2013,"Palmerston North City Council","Purchases and other operating expenditure","Roading",4041
2012,"Palmerston North City Council","Rates","Roading",11662
2012,"Palmerston North City Council","Regulatory income and petrol tax","Roading",560
2012,"Palmerston North City Council","Current grants, subsidies, and donations income","Roading",2008
2012,"Palmerston North City Council","Interest income","Roading",0
2012,"Palmerston North City Council","Dividend income","Roading",0
2012,"Palmerston North City Council","Sales and other operating income","Roading",526
2012,"Palmerston North City Council","Employee costs","Roading",1488
2012,"Palmerston North City Council","Depreciation and amortisation","Roading",7465
2012,"Palmerston North City Council","Current grants, subsidies, and donations expenditure","Roading",55
2012,"Palmerston North City Council","Interest expenditure","Roading",0
2012,"Palmerston North City Council","Purchases and other operating expenditure","Roading",4489
