"year","council","income","activity","val"
2011,"Papakura District Council","Rates","Roading",2910
2011,"Papakura District Council","Regulatory income and petrol tax","Roading",273
2011,"Papakura District Council","Current grants, subsidies, and donations income","Roading",185
2011,"Papakura District Council","Interest income","Roading",0
2011,"Papakura District Council","Dividend income","Roading",0
2011,"Papakura District Council","Sales and other operating income","Roading",136
2011,"Papakura District Council","Employee costs","Roading",483
2011,"Papakura District Council","Depreciation and amortisation","Roading",1988
2011,"Papakura District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Papakura District Council","Interest expenditure","Roading",405
2011,"Papakura District Council","Purchases and other operating expenditure","Roading",1752
2010,"Papakura District Council","Rates","Roading",7185
2010,"Papakura District Council","Regulatory income and petrol tax","Roading",0
2010,"Papakura District Council","Current grants, subsidies, and donations income","Roading",1545
2010,"Papakura District Council","Interest income","Roading",0
2010,"Papakura District Council","Dividend income","Roading",0
2010,"Papakura District Council","Sales and other operating income","Roading",543
2010,"Papakura District Council","Employee costs","Roading",1024
2010,"Papakura District Council","Depreciation and amortisation","Roading",5966
2010,"Papakura District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Papakura District Council","Interest expenditure","Roading",886
2010,"Papakura District Council","Purchases and other operating expenditure","Roading",5603
2009,"Papakura District Council","Rates","Roading",5571
2009,"Papakura District Council","Regulatory income and petrol tax","Roading",198
2009,"Papakura District Council","Current grants, subsidies, and donations income","Roading",1217
2009,"Papakura District Council","Interest income","Roading",0
2009,"Papakura District Council","Dividend income","Roading",0
2009,"Papakura District Council","Sales and other operating income","Roading",241
2009,"Papakura District Council","Employee costs","Roading",913
2009,"Papakura District Council","Depreciation and amortisation","Roading",5272
2009,"Papakura District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Papakura District Council","Interest expenditure","Roading",0
2009,"Papakura District Council","Purchases and other operating expenditure","Roading",4818
2011,"Papakura District Council","Rates","Transportation",-129
2011,"Papakura District Council","Regulatory income and petrol tax","Transportation",318
2011,"Papakura District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Papakura District Council","Interest income","Transportation",0
2011,"Papakura District Council","Dividend income","Transportation",0
2011,"Papakura District Council","Sales and other operating income","Transportation",0
2011,"Papakura District Council","Employee costs","Transportation",0
2011,"Papakura District Council","Depreciation and amortisation","Transportation",0
2011,"Papakura District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Papakura District Council","Interest expenditure","Transportation",0
2011,"Papakura District Council","Purchases and other operating expenditure","Transportation",89
2010,"Papakura District Council","Rates","Transportation",0
2010,"Papakura District Council","Regulatory income and petrol tax","Transportation",384
2010,"Papakura District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Papakura District Council","Interest income","Transportation",0
2010,"Papakura District Council","Dividend income","Transportation",0
2010,"Papakura District Council","Sales and other operating income","Transportation",0
2010,"Papakura District Council","Employee costs","Transportation",0
2010,"Papakura District Council","Depreciation and amortisation","Transportation",0
2010,"Papakura District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Papakura District Council","Interest expenditure","Transportation",0
2010,"Papakura District Council","Purchases and other operating expenditure","Transportation",286
2009,"Papakura District Council","Rates","Transportation",0
2009,"Papakura District Council","Regulatory income and petrol tax","Transportation",453
2009,"Papakura District Council","Current grants, subsidies, and donations income","Transportation",0
2009,"Papakura District Council","Interest income","Transportation",0
2009,"Papakura District Council","Dividend income","Transportation",0
2009,"Papakura District Council","Sales and other operating income","Transportation",0
2009,"Papakura District Council","Employee costs","Transportation",0
2009,"Papakura District Council","Depreciation and amortisation","Transportation",0
2009,"Papakura District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2009,"Papakura District Council","Interest expenditure","Transportation",0
2009,"Papakura District Council","Purchases and other operating expenditure","Transportation",0
2011,"Papakura District Council","Rates","Water supply",0
2011,"Papakura District Council","Regulatory income and petrol tax","Water supply",0
2011,"Papakura District Council","Current grants, subsidies, and donations income","Water supply",0
2011,"Papakura District Council","Interest income","Water supply",0
2011,"Papakura District Council","Dividend income","Water supply",0
2011,"Papakura District Council","Sales and other operating income","Water supply",0
2011,"Papakura District Council","Employee costs","Water supply",0
2011,"Papakura District Council","Depreciation and amortisation","Water supply",315
2011,"Papakura District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2011,"Papakura District Council","Interest expenditure","Water supply",0
2011,"Papakura District Council","Purchases and other operating expenditure","Water supply",1
2010,"Papakura District Council","Rates","Water supply",0
2010,"Papakura District Council","Regulatory income and petrol tax","Water supply",0
2010,"Papakura District Council","Current grants, subsidies, and donations income","Water supply",0
2010,"Papakura District Council","Interest income","Water supply",0
2010,"Papakura District Council","Dividend income","Water supply",0
2010,"Papakura District Council","Sales and other operating income","Water supply",0
2010,"Papakura District Council","Employee costs","Water supply",0
2010,"Papakura District Council","Depreciation and amortisation","Water supply",947
2010,"Papakura District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2010,"Papakura District Council","Interest expenditure","Water supply",0
2010,"Papakura District Council","Purchases and other operating expenditure","Water supply",4
2009,"Papakura District Council","Rates","Water supply",0
2009,"Papakura District Council","Regulatory income and petrol tax","Water supply",0
2009,"Papakura District Council","Current grants, subsidies, and donations income","Water supply",0
2009,"Papakura District Council","Interest income","Water supply",0
2009,"Papakura District Council","Dividend income","Water supply",0
2009,"Papakura District Council","Sales and other operating income","Water supply",260
2009,"Papakura District Council","Employee costs","Water supply",0
2009,"Papakura District Council","Depreciation and amortisation","Water supply",1981
2009,"Papakura District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2009,"Papakura District Council","Interest expenditure","Water supply",0
2009,"Papakura District Council","Purchases and other operating expenditure","Water supply",207
2011,"Papakura District Council","Rates","Wastewater",1411
2011,"Papakura District Council","Regulatory income and petrol tax","Wastewater",0
2011,"Papakura District Council","Current grants, subsidies, and donations income","Wastewater",6
2011,"Papakura District Council","Interest income","Wastewater",0
2011,"Papakura District Council","Dividend income","Wastewater",0
2011,"Papakura District Council","Sales and other operating income","Wastewater",75
2011,"Papakura District Council","Employee costs","Wastewater",301
2011,"Papakura District Council","Depreciation and amortisation","Wastewater",994
2011,"Papakura District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2011,"Papakura District Council","Interest expenditure","Wastewater",194
2011,"Papakura District Council","Purchases and other operating expenditure","Wastewater",417
2010,"Papakura District Council","Rates","Wastewater",3484
2010,"Papakura District Council","Regulatory income and petrol tax","Wastewater",0
2010,"Papakura District Council","Current grants, subsidies, and donations income","Wastewater",0
2010,"Papakura District Council","Interest income","Wastewater",0
2010,"Papakura District Council","Dividend income","Wastewater",0
2010,"Papakura District Council","Sales and other operating income","Wastewater",299
2010,"Papakura District Council","Employee costs","Wastewater",636
2010,"Papakura District Council","Depreciation and amortisation","Wastewater",2982
2010,"Papakura District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2010,"Papakura District Council","Interest expenditure","Wastewater",424
2010,"Papakura District Council","Purchases and other operating expenditure","Wastewater",1335
2009,"Papakura District Council","Rates","Wastewater",4067
2009,"Papakura District Council","Regulatory income and petrol tax","Wastewater",0
2009,"Papakura District Council","Current grants, subsidies, and donations income","Wastewater",233
2009,"Papakura District Council","Interest income","Wastewater",0
2009,"Papakura District Council","Dividend income","Wastewater",0
2009,"Papakura District Council","Sales and other operating income","Wastewater",0
2009,"Papakura District Council","Employee costs","Wastewater",539
2009,"Papakura District Council","Depreciation and amortisation","Wastewater",1959
2009,"Papakura District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2009,"Papakura District Council","Interest expenditure","Wastewater",832
2009,"Papakura District Council","Purchases and other operating expenditure","Wastewater",1592
2011,"Papakura District Council","Rates","Solid waste/refuse",450
2011,"Papakura District Council","Regulatory income and petrol tax","Solid waste/refuse",371
2011,"Papakura District Council","Current grants, subsidies, and donations income","Solid waste/refuse",0
2011,"Papakura District Council","Interest income","Solid waste/refuse",0
2011,"Papakura District Council","Dividend income","Solid waste/refuse",0
2011,"Papakura District Council","Sales and other operating income","Solid waste/refuse",0
2011,"Papakura District Council","Employee costs","Solid waste/refuse",0
2011,"Papakura District Council","Depreciation and amortisation","Solid waste/refuse",0
2011,"Papakura District Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",0
2011,"Papakura District Council","Interest expenditure","Solid waste/refuse",14
2011,"Papakura District Council","Purchases and other operating expenditure","Solid waste/refuse",641
2010,"Papakura District Council","Rates","Solid waste/refuse",1110
2010,"Papakura District Council","Regulatory income and petrol tax","Solid waste/refuse",995
2010,"Papakura District Council","Current grants, subsidies, and donations income","Solid waste/refuse",0
2010,"Papakura District Council","Interest income","Solid waste/refuse",0
2010,"Papakura District Council","Dividend income","Solid waste/refuse",0
2010,"Papakura District Council","Sales and other operating income","Solid waste/refuse",0
2010,"Papakura District Council","Employee costs","Solid waste/refuse",0
2010,"Papakura District Council","Depreciation and amortisation","Solid waste/refuse",0
2010,"Papakura District Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",0
2010,"Papakura District Council","Interest expenditure","Solid waste/refuse",30
2010,"Papakura District Council","Purchases and other operating expenditure","Solid waste/refuse",2054
2009,"Papakura District Council","Rates","Solid waste/refuse",2008
2009,"Papakura District Council","Regulatory income and petrol tax","Solid waste/refuse",0
2009,"Papakura District Council","Current grants, subsidies, and donations income","Solid waste/refuse",0
2009,"Papakura District Council","Interest income","Solid waste/refuse",0
2009,"Papakura District Council","Dividend income","Solid waste/refuse",0
2009,"Papakura District Council","Sales and other operating income","Solid waste/refuse",822
2009,"Papakura District Council","Employee costs","Solid waste/refuse",0
2009,"Papakura District Council","Depreciation and amortisation","Solid waste/refuse",22
2009,"Papakura District Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",0
2009,"Papakura District Council","Interest expenditure","Solid waste/refuse",0
2009,"Papakura District Council","Purchases and other operating expenditure","Solid waste/refuse",2697
2011,"Papakura District Council","Rates","Environmental protection",0
2011,"Papakura District Council","Regulatory income and petrol tax","Environmental protection",0
2011,"Papakura District Council","Current grants, subsidies, and donations income","Environmental protection",0
2011,"Papakura District Council","Interest income","Environmental protection",0
2011,"Papakura District Council","Dividend income","Environmental protection",0
2011,"Papakura District Council","Sales and other operating income","Environmental protection",0
2011,"Papakura District Council","Employee costs","Environmental protection",0
2011,"Papakura District Council","Depreciation and amortisation","Environmental protection",0
2011,"Papakura District Council","Current grants, subsidies, and donations expenditure","Environmental protection",0
2011,"Papakura District Council","Interest expenditure","Environmental protection",0
2011,"Papakura District Council","Purchases and other operating expenditure","Environmental protection",0
2010,"Papakura District Council","Rates","Environmental protection",0
2010,"Papakura District Council","Regulatory income and petrol tax","Environmental protection",0
2010,"Papakura District Council","Current grants, subsidies, and donations income","Environmental protection",0
2010,"Papakura District Council","Interest income","Environmental protection",0
2010,"Papakura District Council","Dividend income","Environmental protection",0
2010,"Papakura District Council","Sales and other operating income","Environmental protection",0
2010,"Papakura District Council","Employee costs","Environmental protection",0
2010,"Papakura District Council","Depreciation and amortisation","Environmental protection",0
2010,"Papakura District Council","Current grants, subsidies, and donations expenditure","Environmental protection",0
2010,"Papakura District Council","Interest expenditure","Environmental protection",0
2010,"Papakura District Council","Purchases and other operating expenditure","Environmental protection",0
2009,"Papakura District Council","Rates","Environmental protection",0
2009,"Papakura District Council","Regulatory income and petrol tax","Environmental protection",0
2009,"Papakura District Council","Current grants, subsidies, and donations income","Environmental protection",0
2009,"Papakura District Council","Interest income","Environmental protection",0
2009,"Papakura District Council","Dividend income","Environmental protection",0
2009,"Papakura District Council","Sales and other operating income","Environmental protection",0
2009,"Papakura District Council","Employee costs","Environmental protection",0
2009,"Papakura District Council","Depreciation and amortisation","Environmental protection",0
2009,"Papakura District Council","Current grants, subsidies, and donations expenditure","Environmental protection",0
2009,"Papakura District Council","Interest expenditure","Environmental protection",8
2009,"Papakura District Council","Purchases and other operating expenditure","Environmental protection",0
2011,"Papakura District Council","Rates","Culture",603
2011,"Papakura District Council","Regulatory income and petrol tax","Culture",0
2011,"Papakura District Council","Current grants, subsidies, and donations income","Culture",3
2011,"Papakura District Council","Interest income","Culture",0
2011,"Papakura District Council","Dividend income","Culture",0
2011,"Papakura District Council","Sales and other operating income","Culture",58
2011,"Papakura District Council","Employee costs","Culture",297
2011,"Papakura District Council","Depreciation and amortisation","Culture",90
2011,"Papakura District Council","Current grants, subsidies, and donations expenditure","Culture",1405
2011,"Papakura District Council","Interest expenditure","Culture",21
2011,"Papakura District Council","Purchases and other operating expenditure","Culture",215
2010,"Papakura District Council","Rates","Culture",1488
2010,"Papakura District Council","Regulatory income and petrol tax","Culture",0
2010,"Papakura District Council","Current grants, subsidies, and donations income","Culture",0
2010,"Papakura District Council","Interest income","Culture",0
2010,"Papakura District Council","Dividend income","Culture",0
2010,"Papakura District Council","Sales and other operating income","Culture",233
2010,"Papakura District Council","Employee costs","Culture",633
2010,"Papakura District Council","Depreciation and amortisation","Culture",270
2010,"Papakura District Council","Current grants, subsidies, and donations expenditure","Culture",0
2010,"Papakura District Council","Interest expenditure","Culture",47
2010,"Papakura District Council","Purchases and other operating expenditure","Culture",690
2009,"Papakura District Council","Rates","Culture",1760
2009,"Papakura District Council","Regulatory income and petrol tax","Culture",0
2009,"Papakura District Council","Current grants, subsidies, and donations income","Culture",0
2009,"Papakura District Council","Interest income","Culture",0
2009,"Papakura District Council","Dividend income","Culture",0
2009,"Papakura District Council","Sales and other operating income","Culture",199
2009,"Papakura District Council","Employee costs","Culture",581
2009,"Papakura District Council","Depreciation and amortisation","Culture",254
2009,"Papakura District Council","Current grants, subsidies, and donations expenditure","Culture",0
2009,"Papakura District Council","Interest expenditure","Culture",2
2009,"Papakura District Council","Purchases and other operating expenditure","Culture",1106
2011,"Papakura District Council","Rates","Recreation and sport",1745
2011,"Papakura District Council","Regulatory income and petrol tax","Recreation and sport",0
2011,"Papakura District Council","Current grants, subsidies, and donations income","Recreation and sport",0
2011,"Papakura District Council","Interest income","Recreation and sport",0
2011,"Papakura District Council","Dividend income","Recreation and sport",0
2011,"Papakura District Council","Sales and other operating income","Recreation and sport",23
2011,"Papakura District Council","Employee costs","Recreation and sport",0
2011,"Papakura District Council","Depreciation and amortisation","Recreation and sport",197
2011,"Papakura District Council","Current grants, subsidies, and donations expenditure","Recreation and sport",0
2011,"Papakura District Council","Interest expenditure","Recreation and sport",245
2011,"Papakura District Council","Purchases and other operating expenditure","Recreation and sport",924
2010,"Papakura District Council","Rates","Recreation and sport",4310
2010,"Papakura District Council","Regulatory income and petrol tax","Recreation and sport",0
2010,"Papakura District Council","Current grants, subsidies, and donations income","Recreation and sport",0
2010,"Papakura District Council","Interest income","Recreation and sport",0
2010,"Papakura District Council","Dividend income","Recreation and sport",0
2010,"Papakura District Council","Sales and other operating income","Recreation and sport",90
2010,"Papakura District Council","Employee costs","Recreation and sport",0
2010,"Papakura District Council","Depreciation and amortisation","Recreation and sport",594
2010,"Papakura District Council","Current grants, subsidies, and donations expenditure","Recreation and sport",0
2010,"Papakura District Council","Interest expenditure","Recreation and sport",536
2010,"Papakura District Council","Purchases and other operating expenditure","Recreation and sport",2960
2009,"Papakura District Council","Rates","Recreation and sport",5572
2009,"Papakura District Council","Regulatory income and petrol tax","Recreation and sport",0
2009,"Papakura District Council","Current grants, subsidies, and donations income","Recreation and sport",0
2009,"Papakura District Council","Interest income","Recreation and sport",0
2009,"Papakura District Council","Dividend income","Recreation and sport",0
2009,"Papakura District Council","Sales and other operating income","Recreation and sport",92
2009,"Papakura District Council","Employee costs","Recreation and sport",0
2009,"Papakura District Council","Depreciation and amortisation","Recreation and sport",659
2009,"Papakura District Council","Current grants, subsidies, and donations expenditure","Recreation and sport",0
2009,"Papakura District Council","Interest expenditure","Recreation and sport",589
2009,"Papakura District Council","Purchases and other operating expenditure","Recreation and sport",3170
2011,"Papakura District Council","Rates","Property",668
2011,"Papakura District Council","Regulatory income and petrol tax","Property",0
2011,"Papakura District Council","Current grants, subsidies, and donations income","Property",0
2011,"Papakura District Council","Interest income","Property",0
2011,"Papakura District Council","Dividend income","Property",0
2011,"Papakura District Council","Sales and other operating income","Property",100
2011,"Papakura District Council","Employee costs","Property",0
2011,"Papakura District Council","Depreciation and amortisation","Property",188
2011,"Papakura District Council","Current grants, subsidies, and donations expenditure","Property",0
2011,"Papakura District Council","Interest expenditure","Property",198
2011,"Papakura District Council","Purchases and other operating expenditure","Property",195
2010,"Papakura District Council","Rates","Property",1648
2010,"Papakura District Council","Regulatory income and petrol tax","Property",0
2010,"Papakura District Council","Current grants, subsidies, and donations income","Property",0
2010,"Papakura District Council","Interest income","Property",0
2010,"Papakura District Council","Dividend income","Property",0
2010,"Papakura District Council","Sales and other operating income","Property",396
2010,"Papakura District Council","Employee costs","Property",0
2010,"Papakura District Council","Depreciation and amortisation","Property",565
2010,"Papakura District Council","Current grants, subsidies, and donations expenditure","Property",0
2010,"Papakura District Council","Interest expenditure","Property",433
2010,"Papakura District Council","Purchases and other operating expenditure","Property",625
2009,"Papakura District Council","Rates","Property",525
2009,"Papakura District Council","Regulatory income and petrol tax","Property",0
2009,"Papakura District Council","Current grants, subsidies, and donations income","Property",0
2009,"Papakura District Council","Interest income","Property",0
2009,"Papakura District Council","Dividend income","Property",0
2009,"Papakura District Council","Sales and other operating income","Property",554
2009,"Papakura District Council","Employee costs","Property",0
2009,"Papakura District Council","Depreciation and amortisation","Property",319
2009,"Papakura District Council","Current grants, subsidies, and donations expenditure","Property",0
2009,"Papakura District Council","Interest expenditure","Property",47
2009,"Papakura District Council","Purchases and other operating expenditure","Property",994
2011,"Papakura District Council","Rates","Emergency management",98
2011,"Papakura District Council","Regulatory income and petrol tax","Emergency management",0
2011,"Papakura District Council","Current grants, subsidies, and donations income","Emergency management",1
2011,"Papakura District Council","Interest income","Emergency management",0
2011,"Papakura District Council","Dividend income","Emergency management",0
2011,"Papakura District Council","Sales and other operating income","Emergency management",0
2011,"Papakura District Council","Employee costs","Emergency management",0
2011,"Papakura District Council","Depreciation and amortisation","Emergency management",5
2011,"Papakura District Council","Current grants, subsidies, and donations expenditure","Emergency management",0
2011,"Papakura District Council","Interest expenditure","Emergency management",2
2011,"Papakura District Council","Purchases and other operating expenditure","Emergency management",34
2010,"Papakura District Council","Rates","Emergency management",243
2010,"Papakura District Council","Regulatory income and petrol tax","Emergency management",0
2010,"Papakura District Council","Current grants, subsidies, and donations income","Emergency management",0
2010,"Papakura District Council","Interest income","Emergency management",0
2010,"Papakura District Council","Dividend income","Emergency management",0
2010,"Papakura District Council","Sales and other operating income","Emergency management",1
2010,"Papakura District Council","Employee costs","Emergency management",0
2010,"Papakura District Council","Depreciation and amortisation","Emergency management",15
2010,"Papakura District Council","Current grants, subsidies, and donations expenditure","Emergency management",0
2010,"Papakura District Council","Interest expenditure","Emergency management",4
2010,"Papakura District Council","Purchases and other operating expenditure","Emergency management",110
2009,"Papakura District Council","Rates","Emergency management",181
2009,"Papakura District Council","Regulatory income and petrol tax","Emergency management",0
2009,"Papakura District Council","Current grants, subsidies, and donations income","Emergency management",6
2009,"Papakura District Council","Interest income","Emergency management",0
2009,"Papakura District Council","Dividend income","Emergency management",0
2009,"Papakura District Council","Sales and other operating income","Emergency management",0
2009,"Papakura District Council","Employee costs","Emergency management",0
2009,"Papakura District Council","Depreciation and amortisation","Emergency management",13
2009,"Papakura District Council","Current grants, subsidies, and donations expenditure","Emergency management",0
2009,"Papakura District Council","Interest expenditure","Emergency management",0
2009,"Papakura District Council","Purchases and other operating expenditure","Emergency management",158
2011,"Papakura District Council","Rates","Planning and regulation",690
2011,"Papakura District Council","Regulatory income and petrol tax","Planning and regulation",1386
2011,"Papakura District Council","Current grants, subsidies, and donations income","Planning and regulation",0
2011,"Papakura District Council","Interest income","Planning and regulation",0
2011,"Papakura District Council","Dividend income","Planning and regulation",0
2011,"Papakura District Council","Sales and other operating income","Planning and regulation",2
2011,"Papakura District Council","Employee costs","Planning and regulation",1261
2011,"Papakura District Council","Depreciation and amortisation","Planning and regulation",14
2011,"Papakura District Council","Current grants, subsidies, and donations expenditure","Planning and regulation",0
2011,"Papakura District Council","Interest expenditure","Planning and regulation",31
2011,"Papakura District Council","Purchases and other operating expenditure","Planning and regulation",973
2010,"Papakura District Council","Rates","Planning and regulation",1703
2010,"Papakura District Council","Regulatory income and petrol tax","Planning and regulation",3716
2010,"Papakura District Council","Current grants, subsidies, and donations income","Planning and regulation",0
2010,"Papakura District Council","Interest income","Planning and regulation",0
2010,"Papakura District Council","Dividend income","Planning and regulation",0
2010,"Papakura District Council","Sales and other operating income","Planning and regulation",9
2010,"Papakura District Council","Employee costs","Planning and regulation",2677
2010,"Papakura District Council","Depreciation and amortisation","Planning and regulation",43
2010,"Papakura District Council","Current grants, subsidies, and donations expenditure","Planning and regulation",0
2010,"Papakura District Council","Interest expenditure","Planning and regulation",66
2010,"Papakura District Council","Purchases and other operating expenditure","Planning and regulation",3117
2009,"Papakura District Council","Rates","Planning and regulation",3267
2009,"Papakura District Council","Regulatory income and petrol tax","Planning and regulation",3250
2009,"Papakura District Council","Current grants, subsidies, and donations income","Planning and regulation",0
2009,"Papakura District Council","Interest income","Planning and regulation",0
2009,"Papakura District Council","Dividend income","Planning and regulation",0
2009,"Papakura District Council","Sales and other operating income","Planning and regulation",0
2009,"Papakura District Council","Employee costs","Planning and regulation",2522
2009,"Papakura District Council","Depreciation and amortisation","Planning and regulation",33
2009,"Papakura District Council","Current grants, subsidies, and donations expenditure","Planning and regulation",0
2009,"Papakura District Council","Interest expenditure","Planning and regulation",123
2009,"Papakura District Council","Purchases and other operating expenditure","Planning and regulation",4048
2011,"Papakura District Council","Rates","Community development",761
2011,"Papakura District Council","Regulatory income and petrol tax","Community development",0
2011,"Papakura District Council","Current grants, subsidies, and donations income","Community development",148
2011,"Papakura District Council","Interest income","Community development",0
2011,"Papakura District Council","Dividend income","Community development",0
2011,"Papakura District Council","Sales and other operating income","Community development",50
2011,"Papakura District Council","Employee costs","Community development",500
2011,"Papakura District Council","Depreciation and amortisation","Community development",13
2011,"Papakura District Council","Current grants, subsidies, and donations expenditure","Community development",0
2011,"Papakura District Council","Interest expenditure","Community development",21
2011,"Papakura District Council","Purchases and other operating expenditure","Community development",523
2010,"Papakura District Council","Rates","Community development",1878
2010,"Papakura District Council","Regulatory income and petrol tax","Community development",0
2010,"Papakura District Council","Current grants, subsidies, and donations income","Community development",0
2010,"Papakura District Council","Interest income","Community development",0
2010,"Papakura District Council","Dividend income","Community development",0
2010,"Papakura District Council","Sales and other operating income","Community development",200
2010,"Papakura District Council","Employee costs","Community development",1065
2010,"Papakura District Council","Depreciation and amortisation","Community development",40
2010,"Papakura District Council","Current grants, subsidies, and donations expenditure","Community development",0
2010,"Papakura District Council","Interest expenditure","Community development",47
2010,"Papakura District Council","Purchases and other operating expenditure","Community development",1676
2009,"Papakura District Council","Rates","Community development",1027
2009,"Papakura District Council","Regulatory income and petrol tax","Community development",0
2009,"Papakura District Council","Current grants, subsidies, and donations income","Community development",78
2009,"Papakura District Council","Interest income","Community development",0
2009,"Papakura District Council","Dividend income","Community development",0
2009,"Papakura District Council","Sales and other operating income","Community development",58
2009,"Papakura District Council","Employee costs","Community development",1273
2009,"Papakura District Council","Depreciation and amortisation","Community development",107
2009,"Papakura District Council","Current grants, subsidies, and donations expenditure","Community development",0
2009,"Papakura District Council","Interest expenditure","Community development",32
2009,"Papakura District Council","Purchases and other operating expenditure","Community development",140
2011,"Papakura District Council","Rates","Economic development",269
2011,"Papakura District Council","Regulatory income and petrol tax","Economic development",0
2011,"Papakura District Council","Current grants, subsidies, and donations income","Economic development",68
2011,"Papakura District Council","Interest income","Economic development",0
2011,"Papakura District Council","Dividend income","Economic development",0
2011,"Papakura District Council","Sales and other operating income","Economic development",32
2011,"Papakura District Council","Employee costs","Economic development",111
2011,"Papakura District Council","Depreciation and amortisation","Economic development",4
2011,"Papakura District Council","Current grants, subsidies, and donations expenditure","Economic development",0
2011,"Papakura District Council","Interest expenditure","Economic development",1
2011,"Papakura District Council","Purchases and other operating expenditure","Economic development",162
2010,"Papakura District Council","Rates","Economic development",663
2010,"Papakura District Council","Regulatory income and petrol tax","Economic development",0
2010,"Papakura District Council","Current grants, subsidies, and donations income","Economic development",0
