"year","council","income","activity","val"
2014,"Porirua City Council","Rates","Roading",0
2014,"Porirua City Council","Regulatory income and petrol tax","Roading",220
2014,"Porirua City Council","Current grants, subsidies, and donations income","Roading",1225
2014,"Porirua City Council","Interest income","Roading",0
2014,"Porirua City Council","Dividend income","Roading",0
2014,"Porirua City Council","Sales and other operating income","Roading",62
2014,"Porirua City Council","Employee costs","Roading",129
2014,"Porirua City Council","Depreciation and amortisation","Roading",2956
2014,"Porirua City Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Porirua City Council","Interest expenditure","Roading",0
2014,"Porirua City Council","Purchases and other operating expenditure","Roading",2842
2013,"Porirua City Council","Rates","Roading",0
2013,"Porirua City Council","Regulatory income and petrol tax","Roading",229
2013,"Porirua City Council","Current grants, subsidies, and donations income","Roading",2813
2013,"Porirua City Council","Interest income","Roading",0
2013,"Porirua City Council","Dividend income","Roading",0
2013,"Porirua City Council","Sales and other operating income","Roading",0
2013,"Porirua City Council","Employee costs","Roading",0
2013,"Porirua City Council","Depreciation and amortisation","Roading",2796
2013,"Porirua City Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Porirua City Council","Interest expenditure","Roading",0
2013,"Porirua City Council","Purchases and other operating expenditure","Roading",3242
2012,"Porirua City Council","Rates","Roading",0
2012,"Porirua City Council","Regulatory income and petrol tax","Roading",206
2012,"Porirua City Council","Current grants, subsidies, and donations income","Roading",1631
2012,"Porirua City Council","Interest income","Roading",0
2012,"Porirua City Council","Dividend income","Roading",0
2012,"Porirua City Council","Sales and other operating income","Roading",4
2012,"Porirua City Council","Employee costs","Roading",0
2012,"Porirua City Council","Depreciation and amortisation","Roading",2553
2012,"Porirua City Council","Current grants, subsidies, and donations expenditure","Roading",5
2012,"Porirua City Council","Interest expenditure","Roading",0
2012,"Porirua City Council","Purchases and other operating expenditure","Roading",3018
2011,"Porirua City Council","Rates","Roading",325
2011,"Porirua City Council","Regulatory income and petrol tax","Roading",227
2011,"Porirua City Council","Current grants, subsidies, and donations income","Roading",1765
2011,"Porirua City Council","Interest income","Roading",0
2011,"Porirua City Council","Dividend income","Roading",0
2011,"Porirua City Council","Sales and other operating income","Roading",0
2011,"Porirua City Council","Employee costs","Roading",0
2011,"Porirua City Council","Depreciation and amortisation","Roading",2468
2011,"Porirua City Council","Current grants, subsidies, and donations expenditure","Roading",0
