"year","council","income","activity","val"
2014,"Queenstown Lakes District Council","Rates","Roading",12809
2014,"Queenstown Lakes District Council","Regulatory income and petrol tax","Roading",0
2014,"Queenstown Lakes District Council","Current grants, subsidies, and donations income","Roading",3267
2014,"Queenstown Lakes District Council","Interest income","Roading",0
2014,"Queenstown Lakes District Council","Dividend income","Roading",0
2014,"Queenstown Lakes District Council","Sales and other operating income","Roading",437
2014,"Queenstown Lakes District Council","Employee costs","Roading",0
2014,"Queenstown Lakes District Council","Depreciation and amortisation","Roading",8367
2014,"Queenstown Lakes District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Queenstown Lakes District Council","Interest expenditure","Roading",1302
2014,"Queenstown Lakes District Council","Purchases and other operating expenditure","Roading",6730
2013,"Queenstown Lakes District Council","Rates","Roading",12678
2013,"Queenstown Lakes District Council","Regulatory income and petrol tax","Roading",0
2013,"Queenstown Lakes District Council","Current grants, subsidies, and donations income","Roading",2981
2013,"Queenstown Lakes District Council","Interest income","Roading",0
2013,"Queenstown Lakes District Council","Dividend income","Roading",0
2013,"Queenstown Lakes District Council","Sales and other operating income","Roading",474
2013,"Queenstown Lakes District Council","Employee costs","Roading",0
2013,"Queenstown Lakes District Council","Depreciation and amortisation","Roading",7548
2013,"Queenstown Lakes District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Queenstown Lakes District Council","Interest expenditure","Roading",1570
2013,"Queenstown Lakes District Council","Purchases and other operating expenditure","Roading",7041
2012,"Queenstown Lakes District Council","Rates","Roading",11099
2012,"Queenstown Lakes District Council","Regulatory income and petrol tax","Roading",0
2012,"Queenstown Lakes District Council","Current grants, subsidies, and donations income","Roading",3572
2012,"Queenstown Lakes District Council","Interest income","Roading",0
2012,"Queenstown Lakes District Council","Dividend income","Roading",0
2012,"Queenstown Lakes District Council","Sales and other operating income","Roading",771
2012,"Queenstown Lakes District Council","Employee costs","Roading",0
2012,"Queenstown Lakes District Council","Depreciation and amortisation","Roading",7278
2012,"Queenstown Lakes District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Queenstown Lakes District Council","Interest expenditure","Roading",1511
2012,"Queenstown Lakes District Council","Purchases and other operating expenditure","Roading",7868
2011,"Queenstown Lakes District Council","Rates","Roading",10414
2011,"Queenstown Lakes District Council","Regulatory income and petrol tax","Roading",310
2011,"Queenstown Lakes District Council","Current grants, subsidies, and donations income","Roading",2787
2011,"Queenstown Lakes District Council","Interest income","Roading",0
2011,"Queenstown Lakes District Council","Dividend income","Roading",0
2011,"Queenstown Lakes District Council","Sales and other operating income","Roading",88
2011,"Queenstown Lakes District Council","Employee costs","Roading",0
2011,"Queenstown Lakes District Council","Depreciation and amortisation","Roading",6505
2011,"Queenstown Lakes District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Queenstown Lakes District Council","Interest expenditure","Roading",1551
2011,"Queenstown Lakes District Council","Purchases and other operating expenditure","Roading",6982
2010,"Queenstown Lakes District Council","Rates","Roading",9509
2010,"Queenstown Lakes District Council","Regulatory income and petrol tax","Roading",305
2010,"Queenstown Lakes District Council","Current grants, subsidies, and donations income","Roading",3681
2010,"Queenstown Lakes District Council","Interest income","Roading",0
2010,"Queenstown Lakes District Council","Dividend income","Roading",0
2010,"Queenstown Lakes District Council","Sales and other operating income","Roading",57
2010,"Queenstown Lakes District Council","Employee costs","Roading",0
2010,"Queenstown Lakes District Council","Depreciation and amortisation","Roading",6627
2010,"Queenstown Lakes District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Queenstown Lakes District Council","Interest expenditure","Roading",1487
2010,"Queenstown Lakes District Council","Purchases and other operating expenditure","Roading",8224
2009,"Queenstown Lakes District Council","Rates","Roading",8593
2009,"Queenstown Lakes District Council","Regulatory income and petrol tax","Roading",0
2009,"Queenstown Lakes District Council","Current grants, subsidies, and donations income","Roading",3425
2009,"Queenstown Lakes District Council","Interest income","Roading",0
2009,"Queenstown Lakes District Council","Dividend income","Roading",0
2009,"Queenstown Lakes District Council","Sales and other operating income","Roading",0
2009,"Queenstown Lakes District Council","Employee costs","Roading",142
2009,"Queenstown Lakes District Council","Depreciation and amortisation","Roading",5823
2009,"Queenstown Lakes District Council","Current grants, subsidies, and donations expenditure","Roading",0
