"year","council","income","activity","val"
2014,"Rangitikei District Council","Rates","Roading",6171
2014,"Rangitikei District Council","Regulatory income and petrol tax","Roading",112
2014,"Rangitikei District Council","Current grants, subsidies, and donations income","Roading",3836
2014,"Rangitikei District Council","Interest income","Roading",0
2014,"Rangitikei District Council","Dividend income","Roading",0
2014,"Rangitikei District Council","Sales and other operating income","Roading",0
2014,"Rangitikei District Council","Employee costs","Roading",0
2014,"Rangitikei District Council","Depreciation and amortisation","Roading",6208
2014,"Rangitikei District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Rangitikei District Council","Interest expenditure","Roading",0
2014,"Rangitikei District Council","Purchases and other operating expenditure","Roading",6400
2013,"Rangitikei District Council","Rates","Roading",6760
2013,"Rangitikei District Council","Regulatory income and petrol tax","Roading",113
2013,"Rangitikei District Council","Current grants, subsidies, and donations income","Roading",2541
2013,"Rangitikei District Council","Interest income","Roading",0
2013,"Rangitikei District Council","Dividend income","Roading",0
2013,"Rangitikei District Council","Sales and other operating income","Roading",25
2013,"Rangitikei District Council","Employee costs","Roading",0
2013,"Rangitikei District Council","Depreciation and amortisation","Roading",6401
2013,"Rangitikei District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Rangitikei District Council","Interest expenditure","Roading",0
2013,"Rangitikei District Council","Purchases and other operating expenditure","Roading",5650
2012,"Rangitikei District Council","Rates","Roading",6834
2012,"Rangitikei District Council","Regulatory income and petrol tax","Roading",111
2012,"Rangitikei District Council","Current grants, subsidies, and donations income","Roading",5935
2012,"Rangitikei District Council","Interest income","Roading",0
2012,"Rangitikei District Council","Dividend income","Roading",0
2012,"Rangitikei District Council","Sales and other operating income","Roading",2
2012,"Rangitikei District Council","Employee costs","Roading",0
2012,"Rangitikei District Council","Depreciation and amortisation","Roading",6295
2012,"Rangitikei District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Rangitikei District Council","Interest expenditure","Roading",0
2012,"Rangitikei District Council","Purchases and other operating expenditure","Roading",8621
2011,"Rangitikei District Council","Rates","Roading",6785
2011,"Rangitikei District Council","Regulatory income and petrol tax","Roading",106
2011,"Rangitikei District Council","Current grants, subsidies, and donations income","Roading",12617
2011,"Rangitikei District Council","Interest income","Roading",0
2011,"Rangitikei District Council","Dividend income","Roading",0
2011,"Rangitikei District Council","Sales and other operating income","Roading",106
2011,"Rangitikei District Council","Employee costs","Roading",0
2011,"Rangitikei District Council","Depreciation and amortisation","Roading",6425
2011,"Rangitikei District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Rangitikei District Council","Interest expenditure","Roading",0
2011,"Rangitikei District Council","Purchases and other operating expenditure","Roading",9376
2010,"Rangitikei District Council","Rates","Roading",6406
2010,"Rangitikei District Council","Regulatory income and petrol tax","Roading",139
2010,"Rangitikei District Council","Current grants, subsidies, and donations income","Roading",5371
2010,"Rangitikei District Council","Interest income","Roading",0
2010,"Rangitikei District Council","Dividend income","Roading",0
