"year","council","income","activity","val"
2011,"Rodney District Council","Rates","Roading",9775
2011,"Rodney District Council","Regulatory income and petrol tax","Roading",422
2011,"Rodney District Council","Current grants, subsidies, and donations income","Roading",2222
2011,"Rodney District Council","Interest income","Roading",0
2011,"Rodney District Council","Dividend income","Roading",0
2011,"Rodney District Council","Sales and other operating income","Roading",1016
2011,"Rodney District Council","Employee costs","Roading",0
2011,"Rodney District Council","Depreciation and amortisation","Roading",6222
2011,"Rodney District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Rodney District Council","Interest expenditure","Roading",1261
2011,"Rodney District Council","Purchases and other operating expenditure","Roading",4483
2010,"Rodney District Council","Rates","Roading",26929
2010,"Rodney District Council","Regulatory income and petrol tax","Roading",832
2010,"Rodney District Council","Current grants, subsidies, and donations income","Roading",6782
2010,"Rodney District Council","Interest income","Roading",0
2010,"Rodney District Council","Dividend income","Roading",0
2010,"Rodney District Council","Sales and other operating income","Roading",257
2010,"Rodney District Council","Employee costs","Roading",0
2010,"Rodney District Council","Depreciation and amortisation","Roading",21397
2010,"Rodney District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Rodney District Council","Interest expenditure","Roading",6784
2010,"Rodney District Council","Purchases and other operating expenditure","Roading",12577
2009,"Rodney District Council","Rates","Roading",25347
2009,"Rodney District Council","Regulatory income and petrol tax","Roading",766
2009,"Rodney District Council","Current grants, subsidies, and donations income","Roading",7326
2009,"Rodney District Council","Interest income","Roading",0
2009,"Rodney District Council","Dividend income","Roading",0
2009,"Rodney District Council","Sales and other operating income","Roading",367
2009,"Rodney District Council","Employee costs","Roading",0
2009,"Rodney District Council","Depreciation and amortisation","Roading",19367
2009,"Rodney District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Rodney District Council","Interest expenditure","Roading",5964
2009,"Rodney District Council","Purchases and other operating expenditure","Roading",13232
2011,"Rodney District Council","Rates","Transportation",0
2011,"Rodney District Council","Regulatory income and petrol tax","Transportation",0
2011,"Rodney District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Rodney District Council","Interest income","Transportation",0
2011,"Rodney District Council","Dividend income","Transportation",0
2011,"Rodney District Council","Sales and other operating income","Transportation",0
2011,"Rodney District Council","Employee costs","Transportation",0
2011,"Rodney District Council","Depreciation and amortisation","Transportation",0
2011,"Rodney District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Rodney District Council","Interest expenditure","Transportation",0
2011,"Rodney District Council","Purchases and other operating expenditure","Transportation",0
2010,"Rodney District Council","Rates","Transportation",0
2010,"Rodney District Council","Regulatory income and petrol tax","Transportation",0
2010,"Rodney District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Rodney District Council","Interest income","Transportation",0
2010,"Rodney District Council","Dividend income","Transportation",0
2010,"Rodney District Council","Sales and other operating income","Transportation",0
2010,"Rodney District Council","Employee costs","Transportation",0
2010,"Rodney District Council","Depreciation and amortisation","Transportation",0
