"year","council","income","activity","val"
2014,"Rotorua District Council","Rates","Roading",8848
2014,"Rotorua District Council","Regulatory income and petrol tax","Roading",531
2014,"Rotorua District Council","Current grants, subsidies, and donations income","Roading",2321
2014,"Rotorua District Council","Interest income","Roading",0
2014,"Rotorua District Council","Dividend income","Roading",0
2014,"Rotorua District Council","Sales and other operating income","Roading",943
2014,"Rotorua District Council","Employee costs","Roading",196
2014,"Rotorua District Council","Depreciation and amortisation","Roading",5944
2014,"Rotorua District Council","Current grants, subsidies, and donations expenditure","Roading",11
2014,"Rotorua District Council","Interest expenditure","Roading",1919
2014,"Rotorua District Council","Purchases and other operating expenditure","Roading",6339
2013,"Rotorua District Council","Rates","Roading",5601
2013,"Rotorua District Council","Regulatory income and petrol tax","Roading",522
2013,"Rotorua District Council","Current grants, subsidies, and donations income","Roading",2770
2013,"Rotorua District Council","Interest income","Roading",0
2013,"Rotorua District Council","Dividend income","Roading",0
2013,"Rotorua District Council","Sales and other operating income","Roading",548
2013,"Rotorua District Council","Employee costs","Roading",76
2013,"Rotorua District Council","Depreciation and amortisation","Roading",8915
2013,"Rotorua District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Rotorua District Council","Interest expenditure","Roading",0
2013,"Rotorua District Council","Purchases and other operating expenditure","Roading",7562
2012,"Rotorua District Council","Rates","Roading",8984
2012,"Rotorua District Council","Regulatory income and petrol tax","Roading",547
2012,"Rotorua District Council","Current grants, subsidies, and donations income","Roading",2324
2012,"Rotorua District Council","Interest income","Roading",0
2012,"Rotorua District Council","Dividend income","Roading",0
2012,"Rotorua District Council","Sales and other operating income","Roading",718
2012,"Rotorua District Council","Employee costs","Roading",182
2012,"Rotorua District Council","Depreciation and amortisation","Roading",7678
2012,"Rotorua District Council","Current grants, subsidies, and donations expenditure","Roading",40
2012,"Rotorua District Council","Interest expenditure","Roading",0
2012,"Rotorua District Council","Purchases and other operating expenditure","Roading",6170
2011,"Rotorua District Council","Rates","Roading",8974
2011,"Rotorua District Council","Regulatory income and petrol tax","Roading",570
2011,"Rotorua District Council","Current grants, subsidies, and donations income","Roading",2368
2011,"Rotorua District Council","Interest income","Roading",0
2011,"Rotorua District Council","Dividend income","Roading",0
2011,"Rotorua District Council","Sales and other operating income","Roading",859
2011,"Rotorua District Council","Employee costs","Roading",192
2011,"Rotorua District Council","Depreciation and amortisation","Roading",4768
2011,"Rotorua District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Rotorua District Council","Interest expenditure","Roading",0
2011,"Rotorua District Council","Purchases and other operating expenditure","Roading",5546
2010,"Rotorua District Council","Rates","Roading",8565
2010,"Rotorua District Council","Regulatory income and petrol tax","Roading",596
2010,"Rotorua District Council","Current grants, subsidies, and donations income","Roading",2227
2010,"Rotorua District Council","Interest income","Roading",0
2010,"Rotorua District Council","Dividend income","Roading",0
2010,"Rotorua District Council","Sales and other operating income","Roading",781
2010,"Rotorua District Council","Employee costs","Roading",173
2010,"Rotorua District Council","Depreciation and amortisation","Roading",4733
2010,"Rotorua District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Rotorua District Council","Interest expenditure","Roading",0
2010,"Rotorua District Council","Purchases and other operating expenditure","Roading",5703
2009,"Rotorua District Council","Rates","Roading",6993
2009,"Rotorua District Council","Regulatory income and petrol tax","Roading",590
2009,"Rotorua District Council","Current grants, subsidies, and donations income","Roading",2116
2009,"Rotorua District Council","Interest income","Roading",0
2009,"Rotorua District Council","Dividend income","Roading",0
2009,"Rotorua District Council","Sales and other operating income","Roading",647
2009,"Rotorua District Council","Employee costs","Roading",140
2009,"Rotorua District Council","Depreciation and amortisation","Roading",5058
2009,"Rotorua District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Rotorua District Council","Interest expenditure","Roading",0
2009,"Rotorua District Council","Purchases and other operating expenditure","Roading",5469
2014,"Rotorua District Council","Rates","Transportation",1773
2014,"Rotorua District Council","Regulatory income and petrol tax","Transportation",1597
2014,"Rotorua District Council","Current grants, subsidies, and donations income","Transportation",263
2014,"Rotorua District Council","Interest income","Transportation",0
2014,"Rotorua District Council","Dividend income","Transportation",0
2014,"Rotorua District Council","Sales and other operating income","Transportation",1688
