"year","council","income","activity","val"
2014,"Ruapehu District Council","Rates","Roading",4817
2014,"Ruapehu District Council","Regulatory income and petrol tax","Roading",176
2014,"Ruapehu District Council","Current grants, subsidies, and donations income","Roading",4984
2014,"Ruapehu District Council","Interest income","Roading",0
2014,"Ruapehu District Council","Dividend income","Roading",0
2014,"Ruapehu District Council","Sales and other operating income","Roading",1820
2014,"Ruapehu District Council","Employee costs","Roading",2117
2014,"Ruapehu District Council","Depreciation and amortisation","Roading",4573
2014,"Ruapehu District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Ruapehu District Council","Interest expenditure","Roading",0
2014,"Ruapehu District Council","Purchases and other operating expenditure","Roading",9274
2013,"Ruapehu District Council","Rates","Roading",4106
2013,"Ruapehu District Council","Regulatory income and petrol tax","Roading",494
2013,"Ruapehu District Council","Current grants, subsidies, and donations income","Roading",4155
2013,"Ruapehu District Council","Interest income","Roading",0
2013,"Ruapehu District Council","Dividend income","Roading",0
2013,"Ruapehu District Council","Sales and other operating income","Roading",0
2013,"Ruapehu District Council","Employee costs","Roading",0
2013,"Ruapehu District Council","Depreciation and amortisation","Roading",4570
2013,"Ruapehu District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Ruapehu District Council","Interest expenditure","Roading",0
2013,"Ruapehu District Council","Purchases and other operating expenditure","Roading",523
2012,"Ruapehu District Council","Rates","Roading",5268
2012,"Ruapehu District Council","Regulatory income and petrol tax","Roading",231
2012,"Ruapehu District Council","Current grants, subsidies, and donations income","Roading",6016
2012,"Ruapehu District Council","Interest income","Roading",0
2012,"Ruapehu District Council","Dividend income","Roading",0
2012,"Ruapehu District Council","Sales and other operating income","Roading",0
2012,"Ruapehu District Council","Employee costs","Roading",0
2012,"Ruapehu District Council","Depreciation and amortisation","Roading",4199
2012,"Ruapehu District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Ruapehu District Council","Interest expenditure","Roading",593
2012,"Ruapehu District Council","Purchases and other operating expenditure","Roading",7675
2011,"Ruapehu District Council","Rates","Roading",4914
2011,"Ruapehu District Council","Regulatory income and petrol tax","Roading",144
2011,"Ruapehu District Council","Current grants, subsidies, and donations income","Roading",10964
2011,"Ruapehu District Council","Interest income","Roading",0
2011,"Ruapehu District Council","Dividend income","Roading",0
2011,"Ruapehu District Council","Sales and other operating income","Roading",324
2011,"Ruapehu District Council","Employee costs","Roading",0
2011,"Ruapehu District Council","Depreciation and amortisation","Roading",3880
2011,"Ruapehu District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Ruapehu District Council","Interest expenditure","Roading",611
2011,"Ruapehu District Council","Purchases and other operating expenditure","Roading",6889
2010,"Ruapehu District Council","Rates","Roading",4452
2010,"Ruapehu District Council","Regulatory income and petrol tax","Roading",142
2010,"Ruapehu District Council","Current grants, subsidies, and donations income","Roading",6087
2010,"Ruapehu District Council","Interest income","Roading",0
2010,"Ruapehu District Council","Dividend income","Roading",0
2010,"Ruapehu District Council","Sales and other operating income","Roading",361
2010,"Ruapehu District Council","Employee costs","Roading",0
2010,"Ruapehu District Council","Depreciation and amortisation","Roading",3757
2010,"Ruapehu District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Ruapehu District Council","Interest expenditure","Roading",570
2010,"Ruapehu District Council","Purchases and other operating expenditure","Roading",7843
2009,"Ruapehu District Council","Rates","Roading",4376
2009,"Ruapehu District Council","Regulatory income and petrol tax","Roading",139
2009,"Ruapehu District Council","Current grants, subsidies, and donations income","Roading",6674
2009,"Ruapehu District Council","Interest income","Roading",0
2009,"Ruapehu District Council","Dividend income","Roading",0
2009,"Ruapehu District Council","Sales and other operating income","Roading",184
2009,"Ruapehu District Council","Employee costs","Roading",361
2009,"Ruapehu District Council","Depreciation and amortisation","Roading",3667
2009,"Ruapehu District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Ruapehu District Council","Interest expenditure","Roading",559
2009,"Ruapehu District Council","Purchases and other operating expenditure","Roading",8213
2014,"Ruapehu District Council","Rates","Transportation",0
2014,"Ruapehu District Council","Regulatory income and petrol tax","Transportation",0
2014,"Ruapehu District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Ruapehu District Council","Interest income","Transportation",0
2014,"Ruapehu District Council","Dividend income","Transportation",0
2014,"Ruapehu District Council","Sales and other operating income","Transportation",0
2014,"Ruapehu District Council","Employee costs","Transportation",0
2014,"Ruapehu District Council","Depreciation and amortisation","Transportation",0
2014,"Ruapehu District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Ruapehu District Council","Interest expenditure","Transportation",0
2014,"Ruapehu District Council","Purchases and other operating expenditure","Transportation",0
2013,"Ruapehu District Council","Rates","Transportation",387
2013,"Ruapehu District Council","Regulatory income and petrol tax","Transportation",0
2013,"Ruapehu District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Ruapehu District Council","Interest income","Transportation",0
2013,"Ruapehu District Council","Dividend income","Transportation",0
2013,"Ruapehu District Council","Sales and other operating income","Transportation",0
2013,"Ruapehu District Council","Employee costs","Transportation",0
2013,"Ruapehu District Council","Depreciation and amortisation","Transportation",0
2013,"Ruapehu District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Ruapehu District Council","Interest expenditure","Transportation",0
2013,"Ruapehu District Council","Purchases and other operating expenditure","Transportation",1241
2012,"Ruapehu District Council","Rates","Transportation",0
2012,"Ruapehu District Council","Regulatory income and petrol tax","Transportation",0
