"year","council","income","activity","val"
2014,"Selwyn District Council","Rates","Roading",3127
2014,"Selwyn District Council","Regulatory income and petrol tax","Roading",167
2014,"Selwyn District Council","Current grants, subsidies, and donations income","Roading",2501
2014,"Selwyn District Council","Interest income","Roading",0
2014,"Selwyn District Council","Dividend income","Roading",0
2014,"Selwyn District Council","Sales and other operating income","Roading",0
2014,"Selwyn District Council","Employee costs","Roading",0
2014,"Selwyn District Council","Depreciation and amortisation","Roading",9994
2014,"Selwyn District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Selwyn District Council","Interest expenditure","Roading",0
2014,"Selwyn District Council","Purchases and other operating expenditure","Roading",7383
2013,"Selwyn District Council","Rates","Roading",3731
2013,"Selwyn District Council","Regulatory income and petrol tax","Roading",176
2013,"Selwyn District Council","Current grants, subsidies, and donations income","Roading",2576
2013,"Selwyn District Council","Interest income","Roading",0
2013,"Selwyn District Council","Dividend income","Roading",0
2013,"Selwyn District Council","Sales and other operating income","Roading",0
2013,"Selwyn District Council","Employee costs","Roading",0
2013,"Selwyn District Council","Depreciation and amortisation","Roading",9955
2013,"Selwyn District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Selwyn District Council","Interest expenditure","Roading",0
2013,"Selwyn District Council","Purchases and other operating expenditure","Roading",6559
2012,"Selwyn District Council","Rates","Roading",0
2012,"Selwyn District Council","Regulatory income and petrol tax","Roading",155
2012,"Selwyn District Council","Current grants, subsidies, and donations income","Roading",5712
2012,"Selwyn District Council","Interest income","Roading",0
2012,"Selwyn District Council","Dividend income","Roading",0
2012,"Selwyn District Council","Sales and other operating income","Roading",87
2012,"Selwyn District Council","Employee costs","Roading",0
2012,"Selwyn District Council","Depreciation and amortisation","Roading",9702
2012,"Selwyn District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Selwyn District Council","Interest expenditure","Roading",0
2012,"Selwyn District Council","Purchases and other operating expenditure","Roading",9945
2011,"Selwyn District Council","Rates","Roading",0
2011,"Selwyn District Council","Regulatory income and petrol tax","Roading",182
2011,"Selwyn District Council","Current grants, subsidies, and donations income","Roading",7590
2011,"Selwyn District Council","Interest income","Roading",0
2011,"Selwyn District Council","Dividend income","Roading",0
2011,"Selwyn District Council","Sales and other operating income","Roading",53
2011,"Selwyn District Council","Employee costs","Roading",0
2011,"Selwyn District Council","Depreciation and amortisation","Roading",8334
2011,"Selwyn District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Selwyn District Council","Interest expenditure","Roading",0
2011,"Selwyn District Council","Purchases and other operating expenditure","Roading",7032
2010,"Selwyn District Council","Rates","Roading",0
2010,"Selwyn District Council","Regulatory income and petrol tax","Roading",169
2010,"Selwyn District Council","Current grants, subsidies, and donations income","Roading",4458
2010,"Selwyn District Council","Interest income","Roading",0
2010,"Selwyn District Council","Dividend income","Roading",0
2010,"Selwyn District Council","Sales and other operating income","Roading",338
2010,"Selwyn District Council","Employee costs","Roading",0
2010,"Selwyn District Council","Depreciation and amortisation","Roading",8088
2010,"Selwyn District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Selwyn District Council","Interest expenditure","Roading",0
2010,"Selwyn District Council","Purchases and other operating expenditure","Roading",6114
2009,"Selwyn District Council","Rates","Roading",0
2009,"Selwyn District Council","Regulatory income and petrol tax","Roading",155
2009,"Selwyn District Council","Current grants, subsidies, and donations income","Roading",4811
2009,"Selwyn District Council","Interest income","Roading",0
2009,"Selwyn District Council","Dividend income","Roading",0
2009,"Selwyn District Council","Sales and other operating income","Roading",143
2009,"Selwyn District Council","Employee costs","Roading",0
2009,"Selwyn District Council","Depreciation and amortisation","Roading",7762
2009,"Selwyn District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Selwyn District Council","Interest expenditure","Roading",0
2009,"Selwyn District Council","Purchases and other operating expenditure","Roading",5770
2014,"Selwyn District Council","Rates","Transportation",0
2014,"Selwyn District Council","Regulatory income and petrol tax","Transportation",0
2014,"Selwyn District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Selwyn District Council","Interest income","Transportation",0
2014,"Selwyn District Council","Dividend income","Transportation",0
2014,"Selwyn District Council","Sales and other operating income","Transportation",0
2014,"Selwyn District Council","Employee costs","Transportation",0
2014,"Selwyn District Council","Depreciation and amortisation","Transportation",0
