"year","council","income","activity","val"
2014,"South Taranaki District Council","Rates","Roading",6824
2014,"South Taranaki District Council","Regulatory income and petrol tax","Roading",200
2014,"South Taranaki District Council","Current grants, subsidies, and donations income","Roading",3840
2014,"South Taranaki District Council","Interest income","Roading",0
2014,"South Taranaki District Council","Dividend income","Roading",0
2014,"South Taranaki District Council","Sales and other operating income","Roading",269
2014,"South Taranaki District Council","Employee costs","Roading",167
2014,"South Taranaki District Council","Depreciation and amortisation","Roading",5589
2014,"South Taranaki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"South Taranaki District Council","Interest expenditure","Roading",72
2014,"South Taranaki District Council","Purchases and other operating expenditure","Roading",6957
2013,"South Taranaki District Council","Rates","Roading",6715
2013,"South Taranaki District Council","Regulatory income and petrol tax","Roading",201
2013,"South Taranaki District Council","Current grants, subsidies, and donations income","Roading",3261
2013,"South Taranaki District Council","Interest income","Roading",0
2013,"South Taranaki District Council","Dividend income","Roading",0
2013,"South Taranaki District Council","Sales and other operating income","Roading",28
2013,"South Taranaki District Council","Employee costs","Roading",164
2013,"South Taranaki District Council","Depreciation and amortisation","Roading",5586
2013,"South Taranaki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"South Taranaki District Council","Interest expenditure","Roading",78
2013,"South Taranaki District Council","Purchases and other operating expenditure","Roading",6532
2012,"South Taranaki District Council","Rates","Roading",6421
2012,"South Taranaki District Council","Regulatory income and petrol tax","Roading",201
2012,"South Taranaki District Council","Current grants, subsidies, and donations income","Roading",7498
2012,"South Taranaki District Council","Interest income","Roading",0
2012,"South Taranaki District Council","Dividend income","Roading",0
2012,"South Taranaki District Council","Sales and other operating income","Roading",27
2012,"South Taranaki District Council","Employee costs","Roading",164
2012,"South Taranaki District Council","Depreciation and amortisation","Roading",5753
2012,"South Taranaki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"South Taranaki District Council","Interest expenditure","Roading",82
2012,"South Taranaki District Council","Purchases and other operating expenditure","Roading",7113
2011,"South Taranaki District Council","Rates","Roading",6070
2011,"South Taranaki District Council","Regulatory income and petrol tax","Roading",189
2011,"South Taranaki District Council","Current grants, subsidies, and donations income","Roading",6877
2011,"South Taranaki District Council","Interest income","Roading",0
2011,"South Taranaki District Council","Dividend income","Roading",0
2011,"South Taranaki District Council","Sales and other operating income","Roading",65
2011,"South Taranaki District Council","Employee costs","Roading",157
2011,"South Taranaki District Council","Depreciation and amortisation","Roading",5927
2011,"South Taranaki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"South Taranaki District Council","Interest expenditure","Roading",96
2011,"South Taranaki District Council","Purchases and other operating expenditure","Roading",7243
2010,"South Taranaki District Council","Rates","Roading",5888
2010,"South Taranaki District Council","Regulatory income and petrol tax","Roading",197
2010,"South Taranaki District Council","Current grants, subsidies, and donations income","Roading",6965
2010,"South Taranaki District Council","Interest income","Roading",0
2010,"South Taranaki District Council","Dividend income","Roading",0
2010,"South Taranaki District Council","Sales and other operating income","Roading",32
2010,"South Taranaki District Council","Employee costs","Roading",106
2010,"South Taranaki District Council","Depreciation and amortisation","Roading",4962
2010,"South Taranaki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"South Taranaki District Council","Interest expenditure","Roading",108
2010,"South Taranaki District Council","Purchases and other operating expenditure","Roading",6290
2009,"South Taranaki District Council","Rates","Roading",5602
2009,"South Taranaki District Council","Regulatory income and petrol tax","Roading",216
2009,"South Taranaki District Council","Current grants, subsidies, and donations income","Roading",7728
2009,"South Taranaki District Council","Interest income","Roading",0
2009,"South Taranaki District Council","Dividend income","Roading",0
2009,"South Taranaki District Council","Sales and other operating income","Roading",76
2009,"South Taranaki District Council","Employee costs","Roading",108
2009,"South Taranaki District Council","Depreciation and amortisation","Roading",5059
2009,"South Taranaki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"South Taranaki District Council","Interest expenditure","Roading",0
2009,"South Taranaki District Council","Purchases and other operating expenditure","Roading",6131
2014,"South Taranaki District Council","Rates","Transportation",207
2014,"South Taranaki District Council","Regulatory income and petrol tax","Transportation",143
2014,"South Taranaki District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"South Taranaki District Council","Interest income","Transportation",0
2014,"South Taranaki District Council","Dividend income","Transportation",0
2014,"South Taranaki District Council","Sales and other operating income","Transportation",0
2014,"South Taranaki District Council","Employee costs","Transportation",23
2014,"South Taranaki District Council","Depreciation and amortisation","Transportation",0
2014,"South Taranaki District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"South Taranaki District Council","Interest expenditure","Transportation",1
2014,"South Taranaki District Council","Purchases and other operating expenditure","Transportation",46
2013,"South Taranaki District Council","Rates","Transportation",0
2013,"South Taranaki District Council","Regulatory income and petrol tax","Transportation",0
2013,"South Taranaki District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"South Taranaki District Council","Interest income","Transportation",0
2013,"South Taranaki District Council","Dividend income","Transportation",0
2013,"South Taranaki District Council","Sales and other operating income","Transportation",0
2013,"South Taranaki District Council","Employee costs","Transportation",0
2013,"South Taranaki District Council","Depreciation and amortisation","Transportation",0
2013,"South Taranaki District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"South Taranaki District Council","Interest expenditure","Transportation",0
2013,"South Taranaki District Council","Purchases and other operating expenditure","Transportation",0
2012,"South Taranaki District Council","Rates","Transportation",0
2012,"South Taranaki District Council","Regulatory income and petrol tax","Transportation",0
