"year","council","income","activity","val"
2014,"South Waikato District Council","Rates","Roading",4290
2014,"South Waikato District Council","Regulatory income and petrol tax","Roading",299
2014,"South Waikato District Council","Current grants, subsidies, and donations income","Roading",1009
2014,"South Waikato District Council","Interest income","Roading",0
2014,"South Waikato District Council","Dividend income","Roading",0
2014,"South Waikato District Council","Sales and other operating income","Roading",0
2014,"South Waikato District Council","Employee costs","Roading",0
2014,"South Waikato District Council","Depreciation and amortisation","Roading",3188
2014,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"South Waikato District Council","Interest expenditure","Roading",163
2014,"South Waikato District Council","Purchases and other operating expenditure","Roading",3472
2013,"South Waikato District Council","Rates","Roading",4171
2013,"South Waikato District Council","Regulatory income and petrol tax","Roading",280
2013,"South Waikato District Council","Current grants, subsidies, and donations income","Roading",1031
2013,"South Waikato District Council","Interest income","Roading",0
2013,"South Waikato District Council","Dividend income","Roading",0
2013,"South Waikato District Council","Sales and other operating income","Roading",0
2013,"South Waikato District Council","Employee costs","Roading",0
2013,"South Waikato District Council","Depreciation and amortisation","Roading",2854
2013,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"South Waikato District Council","Interest expenditure","Roading",108
2013,"South Waikato District Council","Purchases and other operating expenditure","Roading",2426
2012,"South Waikato District Council","Rates","Roading",3846
2012,"South Waikato District Council","Regulatory income and petrol tax","Roading",148
2012,"South Waikato District Council","Current grants, subsidies, and donations income","Roading",1053
2012,"South Waikato District Council","Interest income","Roading",0
2012,"South Waikato District Council","Dividend income","Roading",0
2012,"South Waikato District Council","Sales and other operating income","Roading",118
2012,"South Waikato District Council","Employee costs","Roading",0
2012,"South Waikato District Council","Depreciation and amortisation","Roading",2902
2012,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"South Waikato District Council","Interest expenditure","Roading",85
2012,"South Waikato District Council","Purchases and other operating expenditure","Roading",3880
2011,"South Waikato District Council","Rates","Roading",3434
2011,"South Waikato District Council","Regulatory income and petrol tax","Roading",132
2011,"South Waikato District Council","Current grants, subsidies, and donations income","Roading",1254
2011,"South Waikato District Council","Interest income","Roading",0
2011,"South Waikato District Council","Dividend income","Roading",0
2011,"South Waikato District Council","Sales and other operating income","Roading",29
2011,"South Waikato District Council","Employee costs","Roading",0
2011,"South Waikato District Council","Depreciation and amortisation","Roading",2473
2011,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"South Waikato District Council","Interest expenditure","Roading",56
2011,"South Waikato District Council","Purchases and other operating expenditure","Roading",2874
2010,"South Waikato District Council","Rates","Roading",2938
2010,"South Waikato District Council","Regulatory income and petrol tax","Roading",185
2010,"South Waikato District Council","Current grants, subsidies, and donations income","Roading",1421
2010,"South Waikato District Council","Interest income","Roading",0
2010,"South Waikato District Council","Dividend income","Roading",0
2010,"South Waikato District Council","Sales and other operating income","Roading",64
2010,"South Waikato District Council","Employee costs","Roading",0
2010,"South Waikato District Council","Depreciation and amortisation","Roading",2377
2010,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"South Waikato District Council","Interest expenditure","Roading",21
2010,"South Waikato District Council","Purchases and other operating expenditure","Roading",2699
2009,"South Waikato District Council","Rates","Roading",2742
2009,"South Waikato District Council","Regulatory income and petrol tax","Roading",162
2009,"South Waikato District Council","Current grants, subsidies, and donations income","Roading",1069
2009,"South Waikato District Council","Interest income","Roading",0
2009,"South Waikato District Council","Dividend income","Roading",0
2009,"South Waikato District Council","Sales and other operating income","Roading",88
2009,"South Waikato District Council","Employee costs","Roading",282
2009,"South Waikato District Council","Depreciation and amortisation","Roading",2275
2009,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"South Waikato District Council","Interest expenditure","Roading",41
2009,"South Waikato District Council","Purchases and other operating expenditure","Roading",2905
2014,"South Waikato District Council","Rates","Transportation",69
2014,"South Waikato District Council","Regulatory income and petrol tax","Transportation",22
2014,"South Waikato District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"South Waikato District Council","Interest income","Transportation",0
2014,"South Waikato District Council","Dividend income","Transportation",0
2014,"South Waikato District Council","Sales and other operating income","Transportation",0
2014,"South Waikato District Council","Employee costs","Transportation",0
2014,"South Waikato District Council","Depreciation and amortisation","Transportation",6
2014,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"South Waikato District Council","Interest expenditure","Transportation",0
2014,"South Waikato District Council","Purchases and other operating expenditure","Transportation",22
2013,"South Waikato District Council","Rates","Transportation",17
2013,"South Waikato District Council","Regulatory income and petrol tax","Transportation",0
2013,"South Waikato District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"South Waikato District Council","Interest income","Transportation",0
2013,"South Waikato District Council","Dividend income","Transportation",0
2013,"South Waikato District Council","Sales and other operating income","Transportation",29
2013,"South Waikato District Council","Employee costs","Transportation",0
2013,"South Waikato District Council","Depreciation and amortisation","Transportation",0
2013,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"South Waikato District Council","Interest expenditure","Transportation",0
2013,"South Waikato District Council","Purchases and other operating expenditure","Transportation",0
2012,"South Waikato District Council","Rates","Transportation",25
2012,"South Waikato District Council","Regulatory income and petrol tax","Transportation",0
2012,"South Waikato District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"South Waikato District Council","Interest income","Transportation",0
2012,"South Waikato District Council","Dividend income","Transportation",0
2012,"South Waikato District Council","Sales and other operating income","Transportation",21
2012,"South Waikato District Council","Employee costs","Transportation",11
2012,"South Waikato District Council","Depreciation and amortisation","Transportation",6
2012,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"South Waikato District Council","Interest expenditure","Transportation",0
2012,"South Waikato District Council","Purchases and other operating expenditure","Transportation",3
2011,"South Waikato District Council","Rates","Transportation",0
2011,"South Waikato District Council","Regulatory income and petrol tax","Transportation",0
2011,"South Waikato District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"South Waikato District Council","Interest income","Transportation",0
2011,"South Waikato District Council","Dividend income","Transportation",0
2011,"South Waikato District Council","Sales and other operating income","Transportation",0
2011,"South Waikato District Council","Employee costs","Transportation",0
2011,"South Waikato District Council","Depreciation and amortisation","Transportation",0
2011,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"South Waikato District Council","Interest expenditure","Transportation",0
2011,"South Waikato District Council","Purchases and other operating expenditure","Transportation",0
2010,"South Waikato District Council","Rates","Transportation",0
2010,"South Waikato District Council","Regulatory income and petrol tax","Transportation",0
2010,"South Waikato District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"South Waikato District Council","Interest income","Transportation",0
2010,"South Waikato District Council","Dividend income","Transportation",0
2010,"South Waikato District Council","Sales and other operating income","Transportation",0
2010,"South Waikato District Council","Employee costs","Transportation",0
2010,"South Waikato District Council","Depreciation and amortisation","Transportation",0
2010,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"South Waikato District Council","Interest expenditure","Transportation",0
2010,"South Waikato District Council","Purchases and other operating expenditure","Transportation",17
2009,"South Waikato District Council","Rates","Transportation",0
2009,"South Waikato District Council","Regulatory income and petrol tax","Transportation",0
2009,"South Waikato District Council","Current grants, subsidies, and donations income","Transportation",0
2009,"South Waikato District Council","Interest income","Transportation",0
2009,"South Waikato District Council","Dividend income","Transportation",0
2009,"South Waikato District Council","Sales and other operating income","Transportation",0
2009,"South Waikato District Council","Employee costs","Transportation",0
2009,"South Waikato District Council","Depreciation and amortisation","Transportation",0
2009,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2009,"South Waikato District Council","Interest expenditure","Transportation",0
2009,"South Waikato District Council","Purchases and other operating expenditure","Transportation",0
2014,"South Waikato District Council","Rates","Water supply",1852
2014,"South Waikato District Council","Regulatory income and petrol tax","Water supply",0
2014,"South Waikato District Council","Current grants, subsidies, and donations income","Water supply",0
2014,"South Waikato District Council","Interest income","Water supply",0
2014,"South Waikato District Council","Dividend income","Water supply",0
2014,"South Waikato District Council","Sales and other operating income","Water supply",461
2014,"South Waikato District Council","Employee costs","Water supply",0
2014,"South Waikato District Council","Depreciation and amortisation","Water supply",851
2014,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"South Waikato District Council","Interest expenditure","Water supply",0
2014,"South Waikato District Council","Purchases and other operating expenditure","Water supply",1181
2013,"South Waikato District Council","Rates","Water supply",1847
2013,"South Waikato District Council","Regulatory income and petrol tax","Water supply",0
2013,"South Waikato District Council","Current grants, subsidies, and donations income","Water supply",0
2013,"South Waikato District Council","Interest income","Water supply",0
2013,"South Waikato District Council","Dividend income","Water supply",0
2013,"South Waikato District Council","Sales and other operating income","Water supply",466
2013,"South Waikato District Council","Employee costs","Water supply",0
2013,"South Waikato District Council","Depreciation and amortisation","Water supply",633
2013,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2013,"South Waikato District Council","Interest expenditure","Water supply",0
2013,"South Waikato District Council","Purchases and other operating expenditure","Water supply",1068
2012,"South Waikato District Council","Rates","Water supply",1786
2012,"South Waikato District Council","Regulatory income and petrol tax","Water supply",0
2012,"South Waikato District Council","Current grants, subsidies, and donations income","Water supply",0
2012,"South Waikato District Council","Interest income","Water supply",0
2012,"South Waikato District Council","Dividend income","Water supply",0
2012,"South Waikato District Council","Sales and other operating income","Water supply",242
2012,"South Waikato District Council","Employee costs","Water supply",0
2012,"South Waikato District Council","Depreciation and amortisation","Water supply",620
2012,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2012,"South Waikato District Council","Interest expenditure","Water supply",0
2012,"South Waikato District Council","Purchases and other operating expenditure","Water supply",1543
2011,"South Waikato District Council","Rates","Water supply",1572
2011,"South Waikato District Council","Regulatory income and petrol tax","Water supply",0
2011,"South Waikato District Council","Current grants, subsidies, and donations income","Water supply",0
2011,"South Waikato District Council","Interest income","Water supply",0
2011,"South Waikato District Council","Dividend income","Water supply",0
2011,"South Waikato District Council","Sales and other operating income","Water supply",237
2011,"South Waikato District Council","Employee costs","Water supply",0
2011,"South Waikato District Council","Depreciation and amortisation","Water supply",610
2011,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2011,"South Waikato District Council","Interest expenditure","Water supply",0
2011,"South Waikato District Council","Purchases and other operating expenditure","Water supply",1221
2010,"South Waikato District Council","Rates","Water supply",1420
2010,"South Waikato District Council","Regulatory income and petrol tax","Water supply",0
2010,"South Waikato District Council","Current grants, subsidies, and donations income","Water supply",0
2010,"South Waikato District Council","Interest income","Water supply",0
2010,"South Waikato District Council","Dividend income","Water supply",0
2010,"South Waikato District Council","Sales and other operating income","Water supply",177
2010,"South Waikato District Council","Employee costs","Water supply",0
2010,"South Waikato District Council","Depreciation and amortisation","Water supply",647
2010,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2010,"South Waikato District Council","Interest expenditure","Water supply",0
2010,"South Waikato District Council","Purchases and other operating expenditure","Water supply",938
2009,"South Waikato District Council","Rates","Water supply",1159
2009,"South Waikato District Council","Regulatory income and petrol tax","Water supply",0
2009,"South Waikato District Council","Current grants, subsidies, and donations income","Water supply",0
2009,"South Waikato District Council","Interest income","Water supply",0
2009,"South Waikato District Council","Dividend income","Water supply",0
2009,"South Waikato District Council","Sales and other operating income","Water supply",200
2009,"South Waikato District Council","Employee costs","Water supply",276
2009,"South Waikato District Council","Depreciation and amortisation","Water supply",595
2009,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2009,"South Waikato District Council","Interest expenditure","Water supply",0
2009,"South Waikato District Council","Purchases and other operating expenditure","Water supply",906
2014,"South Waikato District Council","Rates","Wastewater",3053
2014,"South Waikato District Council","Regulatory income and petrol tax","Wastewater",0
2014,"South Waikato District Council","Current grants, subsidies, and donations income","Wastewater",0
2014,"South Waikato District Council","Interest income","Wastewater",0
2014,"South Waikato District Council","Dividend income","Wastewater",0
2014,"South Waikato District Council","Sales and other operating income","Wastewater",291
2014,"South Waikato District Council","Employee costs","Wastewater",0
2014,"South Waikato District Council","Depreciation and amortisation","Wastewater",1443
2014,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2014,"South Waikato District Council","Interest expenditure","Wastewater",0
2014,"South Waikato District Council","Purchases and other operating expenditure","Wastewater",1690
2013,"South Waikato District Council","Rates","Wastewater",2566
2013,"South Waikato District Council","Regulatory income and petrol tax","Wastewater",0
2013,"South Waikato District Council","Current grants, subsidies, and donations income","Wastewater",0
2013,"South Waikato District Council","Interest income","Wastewater",0
2013,"South Waikato District Council","Dividend income","Wastewater",0
2013,"South Waikato District Council","Sales and other operating income","Wastewater",10
2013,"South Waikato District Council","Employee costs","Wastewater",0
2013,"South Waikato District Council","Depreciation and amortisation","Wastewater",1091
2013,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2013,"South Waikato District Council","Interest expenditure","Wastewater",0
2013,"South Waikato District Council","Purchases and other operating expenditure","Wastewater",960
2012,"South Waikato District Council","Rates","Wastewater",2781
2012,"South Waikato District Council","Regulatory income and petrol tax","Wastewater",0
2012,"South Waikato District Council","Current grants, subsidies, and donations income","Wastewater",0
2012,"South Waikato District Council","Interest income","Wastewater",0
2012,"South Waikato District Council","Dividend income","Wastewater",0
2012,"South Waikato District Council","Sales and other operating income","Wastewater",0
2012,"South Waikato District Council","Employee costs","Wastewater",6
2012,"South Waikato District Council","Depreciation and amortisation","Wastewater",1164
2012,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2012,"South Waikato District Council","Interest expenditure","Wastewater",55
2012,"South Waikato District Council","Purchases and other operating expenditure","Wastewater",2210
2011,"South Waikato District Council","Rates","Wastewater",2658
2011,"South Waikato District Council","Regulatory income and petrol tax","Wastewater",0
2011,"South Waikato District Council","Current grants, subsidies, and donations income","Wastewater",0
2011,"South Waikato District Council","Interest income","Wastewater",0
2011,"South Waikato District Council","Dividend income","Wastewater",0
2011,"South Waikato District Council","Sales and other operating income","Wastewater",5
2011,"South Waikato District Council","Employee costs","Wastewater",0
2011,"South Waikato District Council","Depreciation and amortisation","Wastewater",1190
2011,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2011,"South Waikato District Council","Interest expenditure","Wastewater",5
2011,"South Waikato District Council","Purchases and other operating expenditure","Wastewater",1665
2010,"South Waikato District Council","Rates","Wastewater",2543
2010,"South Waikato District Council","Regulatory income and petrol tax","Wastewater",0
2010,"South Waikato District Council","Current grants, subsidies, and donations income","Wastewater",0
2010,"South Waikato District Council","Interest income","Wastewater",0
2010,"South Waikato District Council","Dividend income","Wastewater",0
2010,"South Waikato District Council","Sales and other operating income","Wastewater",7
2010,"South Waikato District Council","Employee costs","Wastewater",0
2010,"South Waikato District Council","Depreciation and amortisation","Wastewater",1111
2010,"South Waikato District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2010,"South Waikato District Council","Interest expenditure","Wastewater",4
