"year","council","income","activity","val"
2014,"South Wairarapa District Council","Rates","Roading",2463
2014,"South Wairarapa District Council","Regulatory income and petrol tax","Roading",77
2014,"South Wairarapa District Council","Current grants, subsidies, and donations income","Roading",1784
2014,"South Wairarapa District Council","Interest income","Roading",0
2014,"South Wairarapa District Council","Dividend income","Roading",0
2014,"South Wairarapa District Council","Sales and other operating income","Roading",351
2014,"South Wairarapa District Council","Employee costs","Roading",1
2014,"South Wairarapa District Council","Depreciation and amortisation","Roading",2427
2014,"South Wairarapa District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"South Wairarapa District Council","Interest expenditure","Roading",90
2014,"South Wairarapa District Council","Purchases and other operating expenditure","Roading",3067
2013,"South Wairarapa District Council","Rates","Roading",2616
2013,"South Wairarapa District Council","Regulatory income and petrol tax","Roading",77
2013,"South Wairarapa District Council","Current grants, subsidies, and donations income","Roading",1158
2013,"South Wairarapa District Council","Interest income","Roading",0
2013,"South Wairarapa District Council","Dividend income","Roading",0
2013,"South Wairarapa District Council","Sales and other operating income","Roading",326
2013,"South Wairarapa District Council","Employee costs","Roading",1
2013,"South Wairarapa District Council","Depreciation and amortisation","Roading",2382
2013,"South Wairarapa District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"South Wairarapa District Council","Interest expenditure","Roading",108
2013,"South Wairarapa District Council","Purchases and other operating expenditure","Roading",2438
2012,"South Wairarapa District Council","Rates","Roading",2274
2012,"South Wairarapa District Council","Regulatory income and petrol tax","Roading",81
2012,"South Wairarapa District Council","Current grants, subsidies, and donations income","Roading",1626
2012,"South Wairarapa District Council","Interest income","Roading",0
2012,"South Wairarapa District Council","Dividend income","Roading",0
2012,"South Wairarapa District Council","Sales and other operating income","Roading",424
2012,"South Wairarapa District Council","Employee costs","Roading",19
2012,"South Wairarapa District Council","Depreciation and amortisation","Roading",2019
2012,"South Wairarapa District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"South Wairarapa District Council","Interest expenditure","Roading",108
2012,"South Wairarapa District Council","Purchases and other operating expenditure","Roading",2970
2011,"South Wairarapa District Council","Rates","Roading",2251
2011,"South Wairarapa District Council","Regulatory income and petrol tax","Roading",82
2011,"South Wairarapa District Council","Current grants, subsidies, and donations income","Roading",1251
