"year","council","income","activity","val"
2014,"Southland District Council","Rates","Roading",12828
2014,"Southland District Council","Regulatory income and petrol tax","Roading",339
2014,"Southland District Council","Current grants, subsidies, and donations income","Roading",6415
2014,"Southland District Council","Interest income","Roading",0
2014,"Southland District Council","Dividend income","Roading",0
2014,"Southland District Council","Sales and other operating income","Roading",295
2014,"Southland District Council","Employee costs","Roading",409
2014,"Southland District Council","Depreciation and amortisation","Roading",14620
2014,"Southland District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Southland District Council","Interest expenditure","Roading",0
2014,"Southland District Council","Purchases and other operating expenditure","Roading",11024
2013,"Southland District Council","Rates","Roading",11993
2013,"Southland District Council","Regulatory income and petrol tax","Roading",347
2013,"Southland District Council","Current grants, subsidies, and donations income","Roading",5899
2013,"Southland District Council","Interest income","Roading",0
2013,"Southland District Council","Dividend income","Roading",0
2013,"Southland District Council","Sales and other operating income","Roading",144
2013,"Southland District Council","Employee costs","Roading",455
2013,"Southland District Council","Depreciation and amortisation","Roading",15162
2013,"Southland District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Southland District Council","Interest expenditure","Roading",0
2013,"Southland District Council","Purchases and other operating expenditure","Roading",10406
2012,"Southland District Council","Rates","Roading",11369
2012,"Southland District Council","Regulatory income and petrol tax","Roading",351
2012,"Southland District Council","Current grants, subsidies, and donations income","Roading",5814
2012,"Southland District Council","Interest income","Roading",0
2012,"Southland District Council","Dividend income","Roading",0
2012,"Southland District Council","Sales and other operating income","Roading",218
2012,"Southland District Council","Employee costs","Roading",456
2012,"Southland District Council","Depreciation and amortisation","Roading",15944
2012,"Southland District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Southland District Council","Interest expenditure","Roading",0
2012,"Southland District Council","Purchases and other operating expenditure","Roading",10854
2011,"Southland District Council","Rates","Roading",10608
2011,"Southland District Council","Regulatory income and petrol tax","Roading",306
2011,"Southland District Council","Current grants, subsidies, and donations income","Roading",5256
2011,"Southland District Council","Interest income","Roading",0
2011,"Southland District Council","Dividend income","Roading",0
2011,"Southland District Council","Sales and other operating income","Roading",221
2011,"Southland District Council","Employee costs","Roading",470
2011,"Southland District Council","Depreciation and amortisation","Roading",16124
2011,"Southland District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Southland District Council","Interest expenditure","Roading",0
2011,"Southland District Council","Purchases and other operating expenditure","Roading",10275
2010,"Southland District Council","Rates","Roading",10377
2010,"Southland District Council","Regulatory income and petrol tax","Roading",331
2010,"Southland District Council","Current grants, subsidies, and donations income","Roading",12278
2010,"Southland District Council","Interest income","Roading",0
2010,"Southland District Council","Dividend income","Roading",0
2010,"Southland District Council","Sales and other operating income","Roading",402
2010,"Southland District Council","Employee costs","Roading",305
2010,"Southland District Council","Depreciation and amortisation","Roading",14765
2010,"Southland District Council","Current grants, subsidies, and donations expenditure","Roading",1
2010,"Southland District Council","Interest expenditure","Roading",0
2010,"Southland District Council","Purchases and other operating expenditure","Roading",10347
2009,"Southland District Council","Rates","Roading",9341
2009,"Southland District Council","Regulatory income and petrol tax","Roading",349
2009,"Southland District Council","Current grants, subsidies, and donations income","Roading",14749
2009,"Southland District Council","Interest income","Roading",0
2009,"Southland District Council","Dividend income","Roading",0
2009,"Southland District Council","Sales and other operating income","Roading",164
2009,"Southland District Council","Employee costs","Roading",322
2009,"Southland District Council","Depreciation and amortisation","Roading",13765
2009,"Southland District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Southland District Council","Interest expenditure","Roading",0
2009,"Southland District Council","Purchases and other operating expenditure","Roading",12251
2014,"Southland District Council","Rates","Transportation",295
2014,"Southland District Council","Regulatory income and petrol tax","Transportation",5
2014,"Southland District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Southland District Council","Interest income","Transportation",0
2014,"Southland District Council","Dividend income","Transportation",0
2014,"Southland District Council","Sales and other operating income","Transportation",81
2014,"Southland District Council","Employee costs","Transportation",0
2014,"Southland District Council","Depreciation and amortisation","Transportation",561
2014,"Southland District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Southland District Council","Interest expenditure","Transportation",0
2014,"Southland District Council","Purchases and other operating expenditure","Transportation",148
2013,"Southland District Council","Rates","Transportation",299
2013,"Southland District Council","Regulatory income and petrol tax","Transportation",6
2013,"Southland District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Southland District Council","Interest income","Transportation",0
2013,"Southland District Council","Dividend income","Transportation",0
2013,"Southland District Council","Sales and other operating income","Transportation",87
2013,"Southland District Council","Employee costs","Transportation",0
