"year","council","income","activity","val"
2014,"Southland Regional Council","Rates","Roading",0
2014,"Southland Regional Council","Regulatory income and petrol tax","Roading",0
2014,"Southland Regional Council","Current grants, subsidies, and donations income","Roading",0
2014,"Southland Regional Council","Interest income","Roading",0
2014,"Southland Regional Council","Dividend income","Roading",0
2014,"Southland Regional Council","Sales and other operating income","Roading",0
2014,"Southland Regional Council","Employee costs","Roading",0
2014,"Southland Regional Council","Depreciation and amortisation","Roading",0
2014,"Southland Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Southland Regional Council","Interest expenditure","Roading",0
2014,"Southland Regional Council","Purchases and other operating expenditure","Roading",0
2013,"Southland Regional Council","Rates","Roading",0
2013,"Southland Regional Council","Regulatory income and petrol tax","Roading",0
2013,"Southland Regional Council","Current grants, subsidies, and donations income","Roading",0
2013,"Southland Regional Council","Interest income","Roading",0
2013,"Southland Regional Council","Dividend income","Roading",0
2013,"Southland Regional Council","Sales and other operating income","Roading",0
2013,"Southland Regional Council","Employee costs","Roading",0
2013,"Southland Regional Council","Depreciation and amortisation","Roading",0
2013,"Southland Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Southland Regional Council","Interest expenditure","Roading",0
2013,"Southland Regional Council","Purchases and other operating expenditure","Roading",0
2012,"Southland Regional Council","Rates","Roading",0
2012,"Southland Regional Council","Regulatory income and petrol tax","Roading",0
2012,"Southland Regional Council","Current grants, subsidies, and donations income","Roading",0
2012,"Southland Regional Council","Interest income","Roading",0
2012,"Southland Regional Council","Dividend income","Roading",0
2012,"Southland Regional Council","Sales and other operating income","Roading",0
2012,"Southland Regional Council","Employee costs","Roading",0
2012,"Southland Regional Council","Depreciation and amortisation","Roading",0
2012,"Southland Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Southland Regional Council","Interest expenditure","Roading",0
2012,"Southland Regional Council","Purchases and other operating expenditure","Roading",0
2011,"Southland Regional Council","Rates","Roading",0
2011,"Southland Regional Council","Regulatory income and petrol tax","Roading",0
2011,"Southland Regional Council","Current grants, subsidies, and donations income","Roading",0
2011,"Southland Regional Council","Interest income","Roading",0
2011,"Southland Regional Council","Dividend income","Roading",0
2011,"Southland Regional Council","Sales and other operating income","Roading",0
2011,"Southland Regional Council","Employee costs","Roading",0
2011,"Southland Regional Council","Depreciation and amortisation","Roading",0
2011,"Southland Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Southland Regional Council","Interest expenditure","Roading",0
2011,"Southland Regional Council","Purchases and other operating expenditure","Roading",0
2010,"Southland Regional Council","Rates","Roading",0
2010,"Southland Regional Council","Regulatory income and petrol tax","Roading",0
2010,"Southland Regional Council","Current grants, subsidies, and donations income","Roading",0
2010,"Southland Regional Council","Interest income","Roading",0
2010,"Southland Regional Council","Dividend income","Roading",0
2010,"Southland Regional Council","Sales and other operating income","Roading",0
2010,"Southland Regional Council","Employee costs","Roading",0
2010,"Southland Regional Council","Depreciation and amortisation","Roading",0
2010,"Southland Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Southland Regional Council","Interest expenditure","Roading",0
2010,"Southland Regional Council","Purchases and other operating expenditure","Roading",0
2009,"Southland Regional Council","Rates","Roading",0
2009,"Southland Regional Council","Regulatory income and petrol tax","Roading",0
2009,"Southland Regional Council","Current grants, subsidies, and donations income","Roading",0
2009,"Southland Regional Council","Interest income","Roading",0
2009,"Southland Regional Council","Dividend income","Roading",0
2009,"Southland Regional Council","Sales and other operating income","Roading",0
2009,"Southland Regional Council","Employee costs","Roading",0
2009,"Southland Regional Council","Depreciation and amortisation","Roading",0
2009,"Southland Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Southland Regional Council","Interest expenditure","Roading",0
2009,"Southland Regional Council","Purchases and other operating expenditure","Roading",0
2014,"Southland Regional Council","Rates","Transportation",0
2014,"Southland Regional Council","Regulatory income and petrol tax","Transportation",0
2014,"Southland Regional Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Southland Regional Council","Interest income","Transportation",0
2014,"Southland Regional Council","Dividend income","Transportation",0
2014,"Southland Regional Council","Sales and other operating income","Transportation",275
2014,"Southland Regional Council","Employee costs","Transportation",0
2014,"Southland Regional Council","Depreciation and amortisation","Transportation",0
2014,"Southland Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Southland Regional Council","Interest expenditure","Transportation",0
2014,"Southland Regional Council","Purchases and other operating expenditure","Transportation",0
2013,"Southland Regional Council","Rates","Transportation",0
2013,"Southland Regional Council","Regulatory income and petrol tax","Transportation",0
2013,"Southland Regional Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Southland Regional Council","Interest income","Transportation",0
2013,"Southland Regional Council","Dividend income","Transportation",0
2013,"Southland Regional Council","Sales and other operating income","Transportation",95
2013,"Southland Regional Council","Employee costs","Transportation",0
2013,"Southland Regional Council","Depreciation and amortisation","Transportation",0
2013,"Southland Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Southland Regional Council","Interest expenditure","Transportation",0
2013,"Southland Regional Council","Purchases and other operating expenditure","Transportation",0
2012,"Southland Regional Council","Rates","Transportation",0
